Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,101.71,102.99,100.41,102.99,743338,0.0
2020-12-07,103,103.3,99.14,99.5,1030436,0.0
2020-12-08,99.02,100.99,98.37,100.4,744448,0.0
2020-12-09,100.48,101.47,100.01,101.1,739350,0.0
2020-12-10,100.49,101.565,99.29,99.34,585813,0.0
2020-12-11,98.85,99.38,97.58,98.09,634725,0.0
2020-12-14,99.07,99.07,97.09,97.12,869426,0.0
2020-12-15,97.56,99.34,97.56,99.04,747035,0.0
2020-12-16,99.11,99.11,98.01,98.37,478171,0.0
2020-12-17,98.91,99.09,97.46,98.76,807263,0.0
2020-12-18,98.76,99.85,97.51,98.62,794822,0.0
2020-12-21,97.32,97.8408,95.765,97.66,762602,0.0
2020-12-22,97.62,98.38,96.46,96.72,595408,0.0
2020-12-23,97.04,98.08,96.67,97.25,529655,0.0
2020-12-24,97.33,97.58,96.08,96.97,264333,0.0
2020-12-28,97.71,98.2,96.37,96.75,477411,0.0
2020-12-29,97.64,98.26,96.32,97.13,908595,0.0
2020-12-30,97.21,97.56,96.4,96.98,569312,0.0
2020-12-31,96.75,97.9731,96.08,97.72,392002,0.0
2021-01-04,97.85,97.95,95.07,96.5,1554568,0.0
2021-01-05,96.73,98.88,94.89,97.77,1555910,0.0
2021-01-06,100.16,107.15,100.16,106.15,2534755,0.0
2021-01-07,106.55,110.39,106.2405,110.12,1782085,0.0
2021-01-08,110.07,112.48,109.54,109.96,1580687,0.0
2021-01-11,109.17,110.49,106.1,107.35,1464558,0.0
2021-01-12,107.49,107.77,106.15,106.53,2322182,0.0
2021-01-13,106.32,106.52,105.4,105.62,1497702,0.0
2021-01-14,105.68,106.66,105.35,105.65,848219,0.0
2021-01-15,105.6,107.89,104.53,106.81,1293172,0.0
2021-01-19,107.49,107.89,103.24,103.5,1126377,0.0
2021-01-20,103.19,104.39,102.77,103.79,1003649,0.0
2021-01-21,103.67,105.41,102.725,104.97,925899,0.0
2021-01-22,104.66,108.72,104.66,107.75,1283598,0.0
2021-01-25,107.09,107.52,106,106.9,590669,0.0
2021-01-26,107.67,109.62,106.935,108.85,734513,0.0
2021-01-27,107.91,109.76,106.61,106.94,797400,0.0
2021-01-28,107.38,109.645,106.82,107,898212,0.0
2021-01-29,106.81,107.62,104.13,104.2,657860,0.0
2021-02-01,104.86,107.38,104.81,106.88,1175723,0.0
2021-02-02,108.1,110,105.54,105.61,1118632,0.0
2021-02-03,105.18,106.08,103.4,105.36,1098759,0.0
2021-02-04,106.14,112.88,106.14,111.9,1716410,0.0
2021-02-05,112.2,112.33,108.08,109.7,1622995,0.0
2021-02-08,109.7,110.42,107.7,108.48,1041542,0.0
2021-02-09,108.13,108.84,106.25,107.41,737843,0.0
2021-02-10,108.25,108.25,106.04,106.27,987828,0.0
2021-02-11,106.63,106.72,104.22,104.52,923824,0.0
2021-02-12,103.75,105.45,103.61,105.19,779941,0.0
2021-02-16,105.62,105.62,103.08,103.31,618011,0.0
2021-02-17,102.71,105.7,102.68,105.34,771093,0.0
2021-02-18,104.72,105.73,104.31,105.26,568115,0.0
2021-02-19,105.61,106.32,105,105.87,704364,0.0
2021-02-22,105.28,106.62,104.05,106.16,607367,0.0
2021-02-23,106.76,108,104.5,106.46,632003,0.0
2021-02-24,106.13,107.35,104.7,105.25,823138,0.0
2021-02-25,105.86,106.82,102.54,102.86,797024,0.0
2021-02-26,102.96,103.4,100.71,101.19,928741,0.0
2021-03-01,101.92,103.86,101.92,103.18,781117,0.0
2021-03-02,103.22,104.36,102.63,104.28,627032,0.0
2021-03-03,104.13,104.94,103.315,103.33,640040,0.0
2021-03-04,102.7,104.85,101.85,103.05,726243,0.0
2021-03-05,103.73,105.45,101.84,104.79,967078,0.0
2021-03-08,105.59,109.16,105.565,107.5,1049096,0.0
2021-03-09,107.79,111.14,107.72,110.14,1360436,0.0
2021-03-10,110,113.565,109.72,111.88,1724896,0.0
2021-03-11,110.68,111.43,108.52,109.86,1080050,0.0
2021-03-12,110.77,113.385,110,112.97,860228,0.0
2021-03-15,113.14,114.08,112.09,113.85,561416,0.0
2021-03-16,113.62,113.7324,111.8201,112.81,784766,0.0
2021-03-17,113.5,114.63,112.7,114.06,656059,0.0
2021-03-18,113.71,116.7,113.28,115.65,792880,0.0
2021-03-19,115.35,117.12,115.025,115.96,1272475,0.0
2021-03-22,115.87,116.42,114.19,116.35,537469,0.0
2021-03-23,116,116.33,113.18,113.82,698771,0.0
2021-03-24,113.66,116.85,113.43,115.36,1123435,0.0
2021-03-25,115.38,117.635,114.11,117.36,454815,0.0
2021-03-26,118,118.85,117.24,118.69,547690,0.0
2021-03-29,118.15,119.81,117.78,119.05,494911,0.0
2021-03-30,119.06,120.54,118.65,119.01,704933,0.0
2021-03-31,118.7,119.51,117.855,118.06,955077,0.0
2021-04-01,117.94,118,114.72,116.87,944812,0.0
2021-04-05,117.26,118.09,115.15,117.04,839349,0.0
2021-04-06,117.01,117.93,115.77,115.99,649548,0.0
2021-04-07,116.44,117.14,115.43,116.51,570353,0.0
2021-04-08,116.26,116.505,114.8,115.46,511221,0.0
2021-04-09,115.92,116.94,115.58,116.79,534745,0.0
2021-04-12,116.56,118.5053,116.395,117.55,914877,0.0
2021-04-13,116.89,117.27,116.26,117.19,879891,0.0
2021-04-14,116.94,118.3834,116.82,118.04,744886,0.0
2021-04-15,118.44,119.54,118.03,119.07,1054864,0.0
2021-04-16,119.5,119.91,118.665,119.69,1031400,0.0
2021-04-19,120,120.8,118.92,119.47,978812,0.0
2021-04-20,119.3,120.94,119.065,120.5,535537,0.0
2021-04-21,121,121.66,120.32,121.14,401415,0.0
2021-04-22,121.48,121.48,119.845,120.81,548603,0.0
2021-04-23,120.86,121.82,120.229,121.7,402395,0.0
2021-04-26,121.78,121.78,119.51,119.74,385235,0.0
2021-04-27,119.3,119.765,117.78,118.79,953038,0.0
2021-04-28,119.12,119.6899,118.14,119.34,852206,0.0
2021-04-29,120.42,121.39,119.21,121.2,720290,0.0
2021-04-30,121.06,122.0943,120.48,120.78,777022,0.0
2021-05-03,121.52,124.28,121.51,123.79,1153914,0.0
2021-05-04,123.95,125.86,122.99,125.86,1071094,0.0
2021-05-05,120.61,121.55,115.91,118.7,3784702,0.0
2021-05-06,117.4,118.18,114.0654,117.7,1479335,0.0
2021-05-07,118.15,121.37,117.26,120.86,1106456,0.0
2021-05-10,120.52,124.85,120.43,123.24,831660,0.0
2021-05-11,122.87,123.33,119.51,120.11,898238,0.0
2021-05-12,120.04,120.66,119.09,120.1,874011,0.0
2021-05-13,120.24,120.88,119.14,119.52,992753,0.0
2021-05-14,119.36,119.36,116.41,116.48,2311947,0.0
2021-05-17,116.31,118.82,113.87,118.16,1034412,0.0
2021-05-18,117.41,118.235,115.28,116.99,1133885,0.0
2021-05-19,116.71,118.93,115.355,118.81,1108154,0.0
2021-05-20,118.51,120.64,118.26,120.07,899548,0.0
2021-05-21,120.7,122.31,120.05,120.08,601893,0.0
2021-05-24,120.48,120.81,118.38,118.52,579763,0.0
2021-05-25,118.12,118.5494,114.6,115.03,1239148,0.0
2021-05-26,114.94,115.51,112.68,114.73,1235581,0.0
2021-05-27,115.4,115.44,113.79,115.09,898532,0.0
2021-05-28,115.74,116,114.3,114.76,719517,0.0
2021-06-01,114.54,114.68,113.47,114.32,689274,0.0
2021-06-02,115.25,115.86,114.14,115.12,838610,0.0
2021-06-03,115.11,117.25,114.96,116.88,879381,0.0
2021-06-04,116.9,117.21,115.95,116.92,537697,0.0
2021-06-07,117.39,119.15,116.67,118.25,677300,0.0
2021-06-08,118.89,118.94,116.5,117.9,514345,0.0
2021-06-09,118.12,118.91,117.3,117.39,521804,0.0
2021-06-10,117.99,121.1199,117.58,120.97,629134,0.0
2021-06-11,120.71,121.32,119.02,119.85,497114,0.0
2021-06-14,119.83,119.83,117.75,118.72,512664,0.0
2021-06-15,119.11,119.2838,118.3,119.04,272392,0.0
2021-06-16,119.29,119.45,117.79,118.36,391526,0.0
2021-06-17,118.53,118.725,116.92,118.11,373405,0.0
2021-06-18,117.23,117.23,114.31,114.4,735238,0.0
2021-06-21,114.7,116.74,114.38,116.64,473567,0.0
2021-06-22,116.19,117.34,115.96,116.69,607371,0.0
2021-06-23,116.47,116.67,115.49,115.79,470193,0.0
2021-06-24,116.46,116.46,115.03,115.45,654324,0.0
2021-06-25,115.48,116.78,114.98,116.41,1126914,0.0
2021-06-28,116.27,116.27,114.26,114.74,766523,0.0
2021-06-29,115.12,115.84,114.36,114.44,771844,0.0
2021-06-30,114.62,115.1,113.62,114.48,604626,0.0
2021-07-01,114.9,117.03,114.9,116.47,770639,0.0
2021-07-02,116.18,116.92,115.05,116.65,522684,0.0
2021-07-06,116.04,116.13,112.66,115.42,751591,0.0
2021-07-07,114.95,116.12,114.62,115.04,617830,0.0
2021-07-08,114.16,114.84,113.255,114.51,511995,0.0
2021-07-09,115.29,115.82,114.74,115.09,354196,0.0
2021-07-12,114.7,116.25,114.26,115.52,414297,0.0
2021-07-13,115.29,115.82,114.14,114.22,652301,0.0
2021-07-14,114.02,114.33,113.28,113.555,369446,0.0
2021-07-15,112.79,114.03,112.79,113.16,575341,0.0
2021-07-16,113.38,113.765,112.6,112.87,332187,0.0
2021-07-19,112.09,113.31,111.34,112.7,698852,0.0
2021-07-20,118.5,119.8,116.35,116.56,1910923,0.0
2021-07-21,116.81,118.42,116.69,118.22,1433553,0.0
2021-07-22,118.22,120.05,117.61,119.84,881810,0.0
2021-07-23,120.05,122.56,119.91,121.29,841318,0.0
2021-07-26,121.48,122.49,120.31,120.79,520226,0.0
2021-07-27,120.42,121.76,119.725,121.4,461895,0.0
2021-07-28,121.4,121.66,120.33,121.3,424561,0.0
2021-07-29,122,122.98,121.09,122.71,488830,0.0
2021-07-30,122.81,123.24,122.01,122.17,626063,0.0
2021-08-02,122.28,123.31,121.23,122.76,604919,0.0
2021-08-03,122.84,124.33,122.42,123.71,773233,0.0
2021-08-04,123.76,128.87,123.575,125.56,1514496,0.0
2021-08-05,125.7,126.09,119.5,121.9,1842726,0.0
2021-08-06,121.95,122.045,119.63,120.63,992794,0.0
2021-08-09,120.64,121.885,119.2,120.22,456772,0.0
2021-08-10,119.87,120.02,117.32,119.01,896791,0.0
2021-08-11,119.41,120.03,118.08,119.24,861702,0.0
2021-08-12,119.55,120.52,118.2295,120.07,534785,0.0
2021-08-13,119.75,120.22,118.28,119.56,745287,0.0
2021-08-16,119.7,120.9193,119.25,120.01,439110,0.0
2021-08-17,119.99,121.18,119.42,120.93,488589,0.0
2021-08-18,120.93,121.07,118.55,118.56,439681,0.0
2021-08-19,117.94,120.65,117.7557,119.31,575040,0.0
2021-08-20,118.97,119.9554,118.63,119.56,360358,0.0
2021-08-23,120.16,120.24,118.99,119.7,367257,0.0
2021-08-24,119.5,119.5,117.85,117.99,756474,0.0
2021-08-25,117.83,118.86,116.52,118.11,636686,0.0
2021-08-26,118.06,118.07,115.81,116.82,753769,0.0
2021-08-27,117.69,120.29,117.19,119.89,705476,0.0
2021-08-30,119.57,120.49,119.35,119.52,301924,0.0
2021-08-31,119.3,122.8489,119.3,122.25,599484,0.0
2021-09-01,122.15,122.79,119.84,122.68,577851,0.0
2021-09-02,122.98,125,122.98,124.98,531314,0.0
2021-09-03,125.01,125.56,124.905,125.09,383263,0.0
2021-09-07,125.14,125.445,123.2512,124.2,418826,0.0
