Date,Estimate,Actual
2022-05-03,None,None
2022-02-02,None,None
2021-11-03,None,None
2021-05-05,2.48,2.53
2021-02-04,1.94,2.18
2020-11-05,1.85,1.89
2020-08-05,1.57,1.85
2020-05-07,2.27,2.4
2020-01-30,1.67,1.76
2019-11-07,1.58,1.61
2019-08-01,1.62,1.76
2019-05-02,1.96,2.11
2019-01-31,1.5,1.6
2018-11-06,1.44,1.45
2018-08-02,1.46,1.54
2018-05-02,1.82,1.94
2018-02-06,1.35,1.55
2017-11-02,1.32,1.33
2017-08-03,1.37,1.43
2017-05-04,1.68,1.77
2017-01-31,1.23,1.36
2016-11-02,1.23,1.3
2016-08-02,1.27,1.37
2016-05-05,1.59,1.68
2016-02-04,1.25,1.27
2015-10-29,1.18,1.17
2015-07-23,1.15,1.2
2015-04-30,1.19,1.45
2015-01-28,0.97,1.14
2014-10-30,1.05,1.1
2014-07-24,0.92,1.01
2014-04-24,1,1.06
2014-01-23,0.78,0.8
2013-10-31,0.74,0.79
2013-07-24,0.74,0.73
2013-04-25,0.88,0.88
2013-01-24,0.67,0.71
2012-11-01,0.68,0.66
2012-07-26,0.69,0.71
2012-04-26,0.81,0.81
2012-01-26,0.63,0.62
2011-11-01,0.56,0.61
2011-07-28,0.59,0.66
2011-04-28,0.69,0.77
2011-02-04,0.54,0.57
2010-11-02,0.48,0.5
2010-07-27,0.49,0.52
2010-04-22,0.55,0.63
2010-01-26,0.46,0.52
2009-11-03,0.4,0.44
2009-07-30,0.39,0.42
2009-04-23,0.45,0.48
2009-01-22,0.35,0.37
2008-10-30,0.35,0.37
2008-07-24,0.33,0.37
2008-04-23,0.39,0.41
2008-01-24,0.31,0.31
2007-11-01,0.32,0.35
2007-07-26,0.31,0.3
2007-04-25,0.34,0.34
2007-01-24,0.28,0.33
2006-11-02,0.28,0.31
2006-07-25,0.27,0.28
2006-04-26,0.27,0.28
2006-01-25,0.2,0.22
2005-11-03,0.23,0.24
2005-07-21,0.21,0.23
2005-04-21,0.2,0.23
2005-01-25,0.16,0.15
2004-11-02,0.19,0.21
2004-07-22,0.25,0.26
2004-04-26,0.3,0.31
2004-01-26,0.24,0.24
2003-11-05,0.26,0.26
2003-07-24,0.26,0.26
2003-04-24,0.26,0.26
2003-01-24,0.2,0.21
2002-11-05,0.21,0.22
2002-07-31,0.2,0.22
2002-04-25,0.19,0.22
2002-01-24,0.16,0.16
2001-11-08,0.16,0.16
2001-07-25,0.14,0.14
2001-04-26,0.14,0.14
2001-02-01,0.12,0.12
2000-11-01,0.14,0.13
2000-07-27,0.12,0.12
2000-04-27,0.12,0.12
2000-01-27,0.1,0.11
1999-11-03,0.11,0.11
1999-07-29,0.1,0.1
1999-04-29,0.1,0.11
1999-01-26,0.09,0.09
1998-11-03,0.1,0.1
1998-07-28,0.08,0.09
1998-04-28,0.08,0.08
1998-01-27,0.08,0.08
1997-11-04,0.08,0.08
1997-07-30,0.07,0.07
1997-04-30,0.07,0.07
