Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-09,253.18,253.18,243.18,245.62,792236,0.0
2020-06-10,246.41,252.98,244.59,250.86,713494,0.0
2020-06-11,246.43,246.43,234,235.1101,524535,0.0
2020-06-12,239.77,247.74,239.54,239.545,193788,0.0
2020-06-15,239.96,246.94,236.35,246.33,690206,0.0
2020-06-16,252.49,252.49,246.295,249.14,372565,0.0
2020-06-17,252.04,256,249.79,254.74,631785,0.0
2020-06-18,254,255.34,250.04,253.37,253574,0.0
2020-06-19,254.22,260.45,250.895,257.16,896072,0.0
2020-06-22,258.88,259.245,253.615,254.44,341035,0.0
2020-06-23,254.67,258.8161,252.13,252.59,378670,0.0
2020-06-24,252.15,253.42,239.48,241.65,456068,0.0
2020-06-25,240,242.47,235.99,242.09,387564,0.0
2020-06-26,243.34,243.34,237.6,239.53,263747,0.0
2020-06-29,240.76,241.62,234.39,240.22,286349,0.0
2020-06-30,240.08,242.56,237.18,241.46,273910,0.0
2020-07-01,242.96,257.492,242.68,255.44,595156,0.0
2020-07-02,256.11,266.35,255.43,264.15,476650,0.0
2020-07-06,267.57,272.56,263.81,266.22,355748,0.0
2020-07-07,266.07,271.11,261.73,264.73,357600,0.0
2020-07-08,265.37,268.1953,262.8009,265.86,227425,0.0
2020-07-09,267.3,268.72,261.01,265.66,214833,0.0
2020-07-10,265.45,266.3,261.47,264.58,122696,0.0
2020-07-13,267.96,274.2,262.74,264.56,495883,0.0
2020-07-14,262.97,264.56,251.86,264.48,316161,0.0
2020-07-15,269.69,277.28,262.82,276.93,335336,0.0
2020-07-16,273.55,276.795,271.22,273.08,124380,0.0
2020-07-17,273.86,284.73,272.24,284.55,351466,0.0
2020-07-20,285,292.28,283.14,290.76,440563,0.0
2020-07-21,294.49,300.025,290.93,298.6,564401,0.0
2020-07-22,298.78,300.7784,293.585,297.3299,256147,0.0
2020-07-23,299.53,301.105,293.26,294.58,139467,0.0
2020-07-24,293.2,294.87,286.85,292.94,153979,0.0
2020-07-27,293,300.37,290.045,298.61,230579,0.0
2020-07-28,299.46,299.56,294.14,294.91,178637,0.0
2020-07-29,294.91,301.48,294.91,299,268809,0.0
2020-07-30,298.41,300.94,292.29,299.14,250125,0.0
2020-07-31,300.2,302.97,294.22,299.63,197560,0.0
2020-08-03,300.5,309.17,298.3,308.29,253893,0.0
2020-08-04,308.93,310.969,302.83,305.73,323573,0.0
2020-08-05,305.36,319.19,303.11,316.65,431823,0.0
2020-08-06,317.04,318.46,308.4844,314.76,397902,0.0
2020-08-07,310.48,316.88,307.44,310.82,410229,0.0
2020-08-10,308.02,308.02,298.71,300.12,315562,0.0
2020-08-11,300.01,302.05,294.09,294.91,397054,0.0
2020-08-12,294.85,307.24,294.85,302.08,215677,0.0
2020-08-13,304.29,310.23,304.055,308.25,159587,0.0
2020-08-14,307.48,310.615,303.67,307.27,191190,0.0
2020-08-17,307.76,313.8,305.68,309.95,146168,0.0
2020-08-18,311.99,314.56,306.5,312.82,178311,0.0
2020-08-19,312.38,317.69,311.49,314.35,191264,0.0
2020-08-20,311.16,315,309.04,309.84,187100,0.0
2020-08-21,310,310.5,304.45,307.99,220604,0.0
2020-08-24,308.99,313.095,303.15,304.45,226934,0.0
2020-08-25,304.53,318.9608,303.77,311.47,227818,0.0
2020-08-26,308.52,309.18,302.37,306.21,204333,0.0
