Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,108.17,109.64,107.85,109.49,2982247,25484,109.012247
2021-01-04,109.53,110.25,107.2551,109.11,6192530,56159,108.915801
2021-01-05,108.85,110.91,108.3038,110.46,4323126,41679,109.935763
2021-01-06,108.94,111.03,108.59,110.23,5539612,47261,110.121977
2021-01-07,110.28,111.62,109.25,111.3,5568951,50661,110.820489
2021-01-08,111.67,112.55,110.3375,111.61,4242160,43351,111.448611
2021-01-11,111.21,111.98,110.2271,110.84,3177736,29579,110.865353
2021-01-12,110.52,110.72,108.34,108.84,5777386,50628,109.115773
2021-01-13,109.09,112.9,108.25,112.15,6047106,56724,111.646179
2021-01-14,111.21,111.66,109.75,110.04,4391349,42530,110.635138
2021-01-15,110.0,111.62,109.39,111.3,4480180,36532,110.728343
2021-01-19,111.74,113.13,110.52,112.57,6820328,40716,112.388789
2021-01-20,112.55,113.53,112.0,112.89,2952325,31294,112.906448
2021-01-21,112.25,113.54,110.26,112.95,5028069,46592,112.535892
2021-01-22,113.0,113.51,111.74,112.84,4163905,33654,112.76775
2021-01-25,113.06,115.4,113.01,114.72,4689257,51218,114.546584
2021-01-26,114.25,115.1199,113.7938,114.73,4142373,43896,114.546438
2021-01-27,113.79,117.78,113.5,114.29,9105439,86371,115.600088
2021-01-28,118.0,124.07,117.145,120.39,11296299,100760,121.679874
2021-01-29,120.25,124.72,119.71,123.59,10997844,102881,123.310859
2021-02-01,123.24,124.82,122.5,122.54,8337131,72808,123.376845
2021-02-02,123.58,123.72,120.23,120.24,7276960,64783,121.353986
2021-02-03,119.74,120.89,118.9,120.22,4992052,55653,120.031177
2021-02-04,119.83,120.865,118.79,119.74,4378032,48442,119.899807
2021-02-05,120.43,124.32,120.04,124.03,5803597,55870,123.019391
2021-02-08,125.0,125.8,123.77,124.5,3456961,39765,124.533695
2021-02-09,124.83,125.28,123.6149,125.15,3424557,36181,124.660956
2021-02-10,125.79,126.2,124.76,125.29,4195881,45353,125.427281
2021-02-11,125.69,126.87,125.2,126.84,3697423,37750,126.312566
2021-02-12,126.41,128.54,126.25,128.23,3658831,38087,127.953954
2021-02-16,128.49,128.5,126.85,128.02,5174037,45809,127.793835
2021-02-17,127.37,128.0,126.39,127.24,3162043,38134,127.000547
2021-02-18,125.47,126.66,124.07,125.41,5435020,46886,125.400798
2021-02-19,125.25,125.39,122.67,123.04,6204246,58465,123.471292
2021-02-22,122.66,122.95,120.53,122.55,4842237,52445,122.065935
2021-02-23,122.61,123.18,120.21,120.8,5566264,62585,121.239001
2021-02-24,120.8,122.91,120.66,122.38,4127524,47529,122.232122
2021-02-25,121.93,122.76,120.7745,121.58,3468872,42298,121.709524
2021-02-26,122.0,122.36,119.66,119.78,5197681,48371,120.327471
2021-03-01,120.61,122.95,120.61,122.21,3859195,36776,122.104526
2021-03-02,122.55,123.1,121.19,122.53,4908215,42519,122.458566
2021-03-03,121.79,121.89,119.06,119.18,5239587,47158,119.687453
2021-03-04,118.57,119.81,114.74,116.01,6699680,67270,116.667805
2021-03-05,116.5,117.58,114.8,117.25,4859525,51738,116.433454
2021-03-08,117.0,118.28,115.56,115.63,3931566,41405,116.651799
2021-03-09,117.08,119.34,116.49,116.7,5176110,52534,117.676746
2021-03-10,117.24,119.2,115.32,115.88,7640452,61368,116.757957
2021-03-11,116.84,117.865,115.84,117.52,4915710,48585,117.250064
2021-03-12,117.09,117.27,116.12,116.71,3714034,36111,116.697056
2021-03-15,117.19,118.22,116.54,118.1,4652129,41818,117.725243
2021-03-16,118.6,119.44,117.53,118.22,3870506,40977,118.231727
2021-03-17,117.67,118.22,116.915,117.62,3797248,40270,117.598723
2021-03-18,117.88,119.15,117.31,118.11,4253018,51636,118.231135
2021-03-19,118.18,120.99,117.57,120.25,11284991,68019,119.757056
2021-03-22,120.4,122.22,120.01,121.47,5173154,45063,121.440326
2021-03-23,121.82,122.15,119.87,120.49,3788585,42972,120.864915
2021-03-24,120.04,120.45,117.95,118.02,6521451,54275,118.552806
2021-03-25,118.73,119.501,117.24,119.05,5320061,51103,118.648261
2021-03-26,119.28,122.3,118.935,122.07,4858260,58349,120.98612
2021-03-29,121.0,122.74,120.045,122.23,4810103,49341,121.886124
2021-03-30,121.5,122.49,119.3789,119.75,5054414,50163,119.987295
2021-03-31,120.0,121.45,119.75,119.84,5792830,49682,120.200893
2021-04-01,120.28,120.87,118.78,118.94,4005413,48257,119.528823
2021-04-05,119.65,120.35,119.08,119.86,6306193,46221,119.790444
