Date,Open,High,Low,Close,Volume,OpenInterest
2020-09-21,78.26,79.54,77.79,79.36,2324200,0.0
2020-09-22,78.84,80.65,78.84,79.86,1374775,0.0
2020-09-23,79.84,80.17,78.94,79.18,2809738,0.0
2020-09-24,79.13,80.5684,78.58,80.47,2709937,0.0
2020-09-25,80.31,80.89,79.81,80.65,2516971,0.0
2020-09-28,81.06,81.53,80.46,80.69,1359849,0.0
2020-09-29,81.01,81.555,80.48,80.97,2791454,0.0
2020-09-30,81.54,82.095,81.245,81.73,3100003,0.0
2020-10-01,81.69,83.09,81.3,83.04,1721204,0.0
2020-10-02,82.73,85.61,82.22,85.31,3543663,0.0
2020-10-05,85.25,87.33,84.25,87.08,2551535,0.0
2020-10-06,86.63,89.68,86.36,88.44,3612315,0.0
2020-10-07,88.8,89.65,88.09,88.61,1959431,0.0
2020-10-08,88.72,89.82,88.371,89.37,1327022,0.0
2020-10-09,89.95,89.95,88.56,89.85,2371295,0.0
2020-10-12,89.7,91.255,88.91,90.46,1887979,0.0
2020-10-13,89.89,89.96,88.44,89.23,2606805,0.0
2020-10-14,89.32,90.05,88.59,89.37,1835949,0.0
2020-10-15,88.56,90.62,88.56,89.53,1389230,0.0
2020-10-16,89.845,91.69,89.37,91.52,1593387,0.0
2020-10-19,91.43,91.87,90.94,91.3,1584405,0.0
2020-10-20,91.9,91.9,90.02,90.73,3035981,0.0
2020-10-21,90.41,91.365,90.09,90.4,1961567,0.0
2020-10-22,90.17,92.7,89.79,92.2,2049312,0.0
2020-10-23,92.15,92.31,91.52,91.86,2561134,0.0
2020-10-26,91.46,94.21,91.46,93.6,3238248,0.0
2020-10-27,93.08,93.8,91.96,92.52,2030382,0.0
2020-10-28,92.07,93.44,90.18,90.34,2062473,0.0
2020-10-29,90.06,91.48,88.84,90.53,1805578,0.0
2020-10-30,90.6,91.14,88.75,89.95,1660532,0.0
2020-11-02,90.83,91.24,89.77,91.2,1986743,0.0
2020-11-03,92.09,92.09,90.45,90.83,2334601,0.0
2020-11-04,90.65,92.13,89.99,90.14,1863208,0.0
2020-11-05,91.08,92.83,90.58,90.65,2495729,0.0
2020-11-06,91.47,91.91,90.47,90.9,1548893,0.0
2020-11-09,92,94.21,90.03,90.21,2906107,0.0
2020-11-10,90.04,91.74,89.385,90.79,1836105,0.0
2020-11-11,90.9,92.7853,90.73,91.14,1751144,0.0
2020-11-12,90.39,90.88,88.84,89.65,1321310,0.0
2020-11-13,89.766,90.47,89.2,89.75,1370764,0.0
2020-11-16,89.27,89.81,88.005,89.24,3726184,0.0
2020-11-17,88.9,89.18,86.49,86.74,2669731,0.0
2020-11-18,87.27,87.28,84.05,84.14,2529318,0.0
2020-11-19,83.33,83.69,81.98,82.42,3945020,0.0
2020-11-20,81.79,82.79,80.81,82.48,5162492,0.0
2020-11-23,83.22,83.83,82.4,83.4,3285520,0.0
2020-11-24,84.1,84.965,83.33,84.77,1903878,0.0
2020-11-25,85.11,85.535,84.2801,85.39,1771702,0.0
2020-11-27,85.27,85.41,84.134,84.92,991913,0.0
2020-11-30,84.82,85.25,84.01,84.88,2047616,0.0
2020-12-01,85.23,86.28,84.61,85.21,2674389,0.0
2020-12-02,84.86,85.95,84.08,85.87,1437569,0.0
2020-12-03,85.59,85.6909,84.22,84.76,2008021,0.0
2020-12-04,84.59,85.03,82.64,83.39,2562574,0.0
2020-12-07,82.85,84.13,82.8,83.85,1681564,0.0
2020-12-08,83.67,84.085,82.69,83.49,1535530,0.0
2020-12-09,83.49,83.85,82.833,83.67,1862246,0.0
2020-12-10,84,84.03,82.21,82.45,2024982,0.0
2020-12-11,82.05,82.88,81.88,82.76,1362216,0.0
2020-12-14,83.8014,84.47,82.14,82.21,1880999,0.0
2020-12-15,82.7,84.43,82.155,84.29,1938367,0.0
2020-12-16,84.22,84.83,82.6,82.85,1832074,0.0
2020-12-17,83.27,84.735,83.22,83.86,1973294,0.0
2020-12-18,83.6491,84.6,82.62,83.34,3640734,0.0
2020-12-21,82.71,83.025,80.86,82.14,2419126,0.0
2020-12-22,81.94,82.05,80.9,81.43,1938925,0.0
2020-12-23,81.89,82.27,80.7,80.71,1868747,0.0
2020-12-24,80.84,81.58,80.41,81.42,653329,0.0
2020-12-28,81.74,81.9,80.67,81.27,1413071,0.0
2020-12-29,81.45,82.18,81.03,81.22,1448446,0.0
2020-12-30,81.05,81.7,81.03,81.47,1081320,0.0
2020-12-31,81.53,83.36,81.43,83.22,1364389,0.0
2021-01-04,83.33,83.44,81.205,81.54,2030509,0.0
2021-01-05,81.8,82.045,80.975,81.43,1654257,0.0
2021-01-06,81.12,82.74,80.62,82.08,2199862,0.0
2021-01-07,82.45,82.45,79.87,79.885,2397951,0.0
2021-01-08,79.67,80.02,78.61,79.15,2589466,0.0
2021-01-11,79.11,79.22,77.83,78.78,2126533,0.0
2021-01-12,77.85,78.36,76.82,77.84,2774503,0.0
2021-01-13,78.06,78.49,77.39,78.145,6952636,0.0
2021-01-14,78.06,79.035,77.14,78.83,7371432,0.0
2021-01-15,76.96,80.69,76.96,80.48,3644394,0.0
2021-01-19,80.95,81.17,79.38,80.7,2327858,0.0
2021-01-20,80.37,81.05,79.57,80.76,2255499,0.0
2021-01-21,81,81.61,80.3,80.98,2499547,0.0
2021-01-22,80.81,82.46,80.77,82.09,3288480,0.0
2021-01-25,81.58,83.1,81.35,82.59,1917370,0.0
2021-01-26,82.2,82.55,80.77,81.82,2585910,0.0
2021-01-27,81.2,82.67,80.09,80.45,2051919,0.0
2021-01-28,80.95,82.27,80.51,80.56,1738981,0.0
2021-01-29,80.1935,81.62,79.81,80.88,2532827,0.0
2021-02-01,81.1,81.75,80.01,81.18,1492611,0.0
2021-02-02,81.32,83.03,80.82,82.12,2109320,0.0
2021-02-03,82.1,82.4999,81.2,81.28,1708285,0.0
2021-02-04,81.34,82.26,81.1,82.23,1459899,0.0
2021-02-05,82.49,82.82,82.01,82.15,1175377,0.0
2021-02-08,82.37,82.39,80.4,80.99,1751761,0.0
2021-02-09,80.24,80.465,79,79.82,1848672,0.0
2021-02-10,79.99,80.45,79.44,80.01,2459594,0.0
2021-02-11,80.14,80.24,78.77,78.95,1708577,0.0
2021-02-12,78.91,79.33,78.18,78.6,1668815,0.0
2021-02-16,78.5661,78.79,77.91,78.18,1796404,0.0
2021-02-17,78.49,79.35,78.22,78.48,1788161,0.0
2021-02-18,78.51,80.69,78.51,80.49,3155996,0.0
