Date,Estimate,Actual
2022-07-20,None,None
2022-04-20,None,None
2022-02-23,None,None
2021-07-22,1.14,1.18
2021-04-22,1.17,1.15
2021-02-25,0.79,0.87
2020-10-22,1.48,1.47
2020-08-06,1.06,1.08
2020-05-06,1.1,1.02
2020-02-20,0.58,0.6
2019-10-24,1.32,1.46
2019-07-25,0.97,1
2019-04-25,1.12,1.19
2019-01-24,0.71,0.72
2018-10-25,1.21,1.26
2018-07-25,0.88,1.01
2018-04-26,0.98,0.96
2018-01-25,0.79,0.85
2017-10-26,1.16,1.1
2017-07-27,0.82,0.75
2017-04-27,0.95,0.96
2017-01-26,0.55,0.67
2016-11-01,1.22,1.3
2016-07-28,0.9,0.95
2016-04-28,1.04,1.02
2016-01-28,0.5,0.48
2015-10-22,1.01,1.06
2015-07-23,0.81,0.88
2015-04-23,1.1,1.28
2015-01-28,0.5,0.48
2014-10-23,1.01,1.01
2014-07-25,0.75,0.8
2014-04-25,0.93,1.15
2014-01-27,0.57,0.6
2013-10-23,1.09,1.1
2013-07-25,0.74,0.73
2013-04-26,0.81,0.8
2013-02-15,0.46,0.5
2012-10-24,1.03,1.02
2012-07-20,0.71,0.77
2012-04-20,0.79,0.8
2012-01-27,0.4,0.4
2011-10-26,1.15,1.17
2011-07-29,0.76,0.73
2011-04-21,0.8,0.82
2011-01-28,0.4,0.38
2010-10-19,1.04,1.15
2010-07-30,0.69,0.74
2010-04-29,0.78,0.76
2010-01-28,0.46,0.5
2009-10-29,0.85,0.93
2009-07-31,0.61,0.68
2009-04-24,0.79,0.89
2009-01-29,0.53,0.59
2008-10-31,1.04,0.93
2008-07-31,0.68,0.7
2008-04-24,0.87,1.02
2008-01-29,0.5,0.52
2007-10-24,1.11,1.16
2007-07-31,0.58,0.64
2007-04-26,0.72,0.68
2007-01-30,0.37,0.38
2006-10-31,0.99,0.99
2006-07-27,0.54,0.44
2006-04-27,0.88,0.96
2006-02-01,0.25,0.29
2005-10-27,0.82,0.95
2005-07-29,0.43,0.61
2005-04-28,0.71,0.88
2005-01-27,0.43,0.42
2004-10-21,0.74,0.8
2004-07-30,0.43,0.38
2004-04-29,0.61,0.72
2004-02-03,0.39,0.4
2003-10-23,0.86,0.76
2003-07-30,0.4,0.44
2003-04-29,0.51,0.61
2003-01-24,0.55,0.52
2002-10-25,1.05,1.21
2002-07-25,0.52,0.56
2002-04-24,0.59,0.59
2002-01-22,0.38,0.35
2001-10-23,1.44,1.43
2001-07-24,0.8,0.89
2001-04-24,0.66,0.68
2001-01-23,0.46,0.49
2000-10-24,0.98,1.29
2000-07-26,0.52,0.51
2000-04-25,0.6,0.53
2000-01-25,0.53,0.55
1999-10-26,0.88,0.9
1999-07-27,0.59,0.56
1999-04-27,0.86,0.79
1999-01-26,0.63,0.38
1998-10-27,1.04,1.02
1998-07-21,0.66,0.62
1998-04-21,0.89,0.79
1998-01-28,0.79,0.66
1997-10-27,0.95,1.07
1997-07-23,0.63,0.64
