Date,Open,High,Low,Close,Volume,OpenInterest
2020-08-17,30.89,30.9,29.85,29.95,9454200,0.0
2020-08-18,30.06,30.2,29.49,29.58,12567456,0.0
2020-08-19,29.5,30.05,29.31,29.86,7623528,0.0
2020-08-20,29.37,29.63,29.085,29.12,7633234,0.0
2020-08-21,29.11,29.27,28.23,28.27,12315944,0.0
2020-08-24,28.98,29.57,28.96,29.54,8186060,0.0
2020-08-25,29.99,30.2,29.26,29.51,7246851,0.0
2020-08-26,29.46,29.51,28.74,29.06,6371938,0.0
2020-08-27,29.1,30.05,29.09,29.67,7891973,0.0
2020-08-28,30.12,30.12,29.23,29.36,10565578,0.0
2020-08-31,29.25,29.33,28.71,29.13,12539256,0.0
2020-09-01,28.87,29.36,28.67,29.16,8965688,0.0
2020-09-02,29.27,29.86,28.73,29.81,11627622,0.0
2020-09-03,30,30.96,29.23,29.4,12400846,0.0
2020-09-04,30,30.22,29.25,29.8,9941423,0.0
2020-09-08,29.38,29.55,28.57,28.88,12853375,0.0
2020-09-09,29.16,29.25,28.43,29.15,13131097,0.0
2020-09-10,29.51,29.56,28.03,28.16,13354148,0.0
2020-09-11,28.22,28.79,28.075,28.4,10257145,0.0
2020-09-14,28.77,29.6,28.6,29.41,11118907,0.0
2020-09-15,29.2221,29.81,28.92,28.94,5704655,0.0
2020-09-16,28.79,30.06,28.59,29.76,6876075,0.0
2020-09-17,29.13,29.45,28.61,28.71,6741813,0.0
2020-09-18,28.49,28.987,27.92,28,8115963,0.0
2020-09-21,27.02,27.41,26.51,26.98,7512185,0.0
2020-09-22,26.95,27.72,26.85,27.34,6512908,0.0
2020-09-23,27.47,28.12,26.4,26.44,6179977,0.0
2020-09-24,26.39,27.09,25.57,26.48,5065618,0.0
2020-09-25,26.165,27.15,26.12,27.07,3853565,0.0
2020-09-28,27.66,28.035,27.42,27.63,5304314,0.0
2020-09-29,27.54,27.645,26.9601,27.28,6906139,0.0
2020-09-30,27.42,27.94,27.25,27.53,7144232,0.0
2020-10-01,27.66,28.01,27.305,27.73,7889020,0.0
2020-10-02,27.19,28.48,27.07,28.23,6965496,0.0
2020-10-05,28.77,29.42,28.58,29.06,9358845,0.0
2020-10-06,29.4,29.98,28.925,28.98,11936289,0.0
2020-10-07,29.28,29.68,28.955,29.55,7249685,0.0
2020-10-08,29.81,30.48,29.35,30.26,10088020,0.0
2020-10-09,30.43,30.57,29.75,29.95,13233663,0.0
2020-10-12,29.87,30.63,29.76,30.46,7718264,0.0
2020-10-13,29.96,30.195,29.495,29.82,10425257,0.0
2020-10-14,29.79,30.36,29.53,29.65,11225383,0.0
2020-10-15,29.205,29.98,29.12,29.97,5149455,0.0
2020-10-16,30.01,30.66,29.71,30.28,9213386,0.0
2020-10-19,30.41,30.83,30.02,30.09,7297488,0.0
2020-10-20,30.45,31.23,30.4,30.65,9483819,0.0
2020-10-21,30.58,31.84,30.5,31.68,10978118,0.0
2020-10-22,31.54,32.15,31.22,32.02,8827062,0.0
2020-10-23,32.4,32.64,31.75,32.38,7130290,0.0
2020-10-26,31.87,31.91,30.74,31.26,8793977,0.0
2020-10-27,33.28,33.29,31.15,31.17,20968571,0.0
2020-10-28,30.25,30.97,29.89,30.25,12000567,0.0
2020-10-29,29.99,31.42,29.71,31.29,11477886,0.0
2020-10-30,31.08,31.765,30.77,31.49,9368765,0.0
2020-11-02,32.25,32.735,31.9,32.46,11288927,0.0
2020-11-03,32.95,33.19,32.71,32.91,11550478,0.0
2020-11-04,32.33,32.61,31.28,31.6,9017920,0.0
2020-11-05,31.83,33.6,31.82,33.36,10207903,0.0
2020-11-06,34.04,35.5,32.76,33.15,15315502,0.0
2020-11-09,36.96,38.63,36.51,37.51,20931581,0.0
2020-11-10,37.89,38.595,37.24,38.235,16799926,0.0
2020-11-11,37.74,37.91,36.735,37.37,12012108,0.0
2020-11-12,37.03,37.03,35.55,36.07,10519647,0.0
2020-11-13,36.46,37.31,36.29,37.185,5530437,0.0
2020-11-16,38.59,38.68,37.92,38.48,10960186,0.0
2020-11-17,37.84,38.6982,37.66,38.42,7952753,0.0
2020-11-18,38.25,39.36,38.03,38.54,11386044,0.0
2020-11-19,37.99,38.6,37.47,38.53,7505681,0.0
2020-11-20,38.65,38.86,38,38.62,9570518,0.0
2020-11-23,39.38,39.95,38.81,39.76,8544699,0.0
2020-11-24,40.79,41.57,40.27,40.97,10643937,0.0
2020-11-25,40.27,40.5,39.705,40.11,6660351,0.0
2020-11-27,39.95,40.16,39.45,39.7,3592374,0.0
2020-11-30,39.1,39.61,38.4,38.44,4135619,0.0
2020-12-01,39.5,39.78,39.085,39.3,4687584,0.0
2020-12-02,39.06,39.885,38.76,39.73,3838735,0.0
2020-12-03,39.67,40.27,39.52,39.85,3806169,0.0
2020-12-04,40.25,40.81,40.15,40.7,3835864,0.0
2020-12-07,40.28,40.34,39.57,39.8,3275353,0.0
2020-12-08,39.28,39.95,39.1821,39.52,2751179,0.0
2020-12-09,39.91,40.29,39.56,39.93,3947633,0.0
2020-12-10,39.28,39.94,39.06,39.72,3115079,0.0
2020-12-11,38.83,39.17,38.555,38.79,4713576,0.0
2020-12-14,39.3,39.37,38.08,38.16,3043400,0.0
2020-12-15,38.48,38.865,37.645,38.54,2537846,0.0
2020-12-16,38.76,38.77,38.075,38.32,2632681,0.0
2020-12-17,38.32,38.35,37.83,38.23,4524411,0.0
2020-12-18,38.2,38.46,36.97,37.47,5555009,0.0
2020-12-21,37.11,37.67,36.78,37.365,3379120,0.0
2020-12-22,37.56,37.62,36.77,36.8,3561942,0.0
2020-12-23,37.25,38.04,37.24,37.43,3238144,0.0
2020-12-24,37.48,37.5,36.97,37.375,1463349,0.0
2020-12-28,37.55,38.02,37.03,37.06,3301348,0.0
2020-12-29,37.36,37.43,36.92,37.16,3508409,0.0
2020-12-30,37.11,38.04,37.1,37.52,2165588,0.0
2020-12-31,37.53,37.96,37.23,37.85,2275223,0.0
2021-01-04,37.65,37.95,36.82,37.12,5643468,0.0
2021-01-05,37.28,38.01,37.18,37.75,3156428,0.0
2021-01-06,38.62,40.66,38.62,40.22,6918485,0.0
2021-01-07,40.78,41.04,40.35,40.89,4493868,0.0
2021-01-08,41,41.12,40.01,40.61,4524667,0.0
2021-01-11,39.92,40.79,39.71,40.28,3032128,0.0
2021-01-12,40.66,41.26,40.57,41.01,6603985,0.0
2021-01-13,40.69,41.12,40.4301,40.72,6254747,0.0
2021-01-14,41,41.4481,40.68,41.31,3388199,0.0
2021-01-15,40.88,41.51,40.53,41.34,6433140,0.0
2021-01-19,41.58,42.42,41.52,42.25,4349241,0.0
2021-01-20,42.23,42.57,42,42.07,4909040,0.0
2021-01-21,41.95,42.14,41.045,41.06,4508970,0.0
2021-01-22,40.53,40.93,39.955,40.06,3702851,0.0
2021-01-25,39.53,39.8,38.985,39.58,3315976,0.0
2021-01-26,39.87,39.94,39.01,39.11,3019755,0.0
2021-01-27,38.57,38.735,37.095,37.6,5061451,0.0
2021-01-28,38.06,38.93,37.93,38.47,4439836,0.0
2021-01-29,38.11,38.11,36.8,37.42,4385120,0.0
2021-02-01,37.73,37.91,36.865,37.41,3066278,0.0
2021-02-02,38.09,38.995,37.85,38.56,3917733,0.0
2021-02-03,38.53,39.35,38.48,38.95,3985671,0.0
2021-02-04,39.19,41.35,38.945,41.34,4144924,0.0
2021-02-05,41.82,41.9316,41.18,41.68,3198343,0.0
2021-02-08,41.65,42.32,41.47,42.29,2697998,0.0
2021-02-09,42.12,42.51,41.75,42.14,2732836,0.0
2021-02-10,42.35,42.77,41.96,42.43,2838760,0.0
2021-02-11,42.33,42.53,41.29,41.6,2806367,0.0
2021-02-12,41.46,42.19,41.19,41.42,3565205,0.0
2021-02-16,41.74,42.63,41.51,42.13,4073732,0.0
