Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,115.21,116.65,114.04,116.38,375869,6905,115.8803
2021-01-04,116.42,116.8,113.71,114.48,770752,12863,114.846413
2021-01-05,114.15,115.885,113.795,114.7,686485,11780,114.933388
2021-01-06,115.81,120.3,115.81,117.31,942791,14870,117.942135
2021-01-07,118.46,121.01,117.81,120.4,839543,11786,119.732887
2021-01-08,120.35,121.33,118.09,119.98,530068,9679,119.617821
2021-01-11,118.51,120.99,118.41,120.33,509098,7417,120.464508
2021-01-12,120.27,121.3,119.27,119.88,684463,10402,119.983765
2021-01-13,119.43,120.03,116.97,117.01,435566,8020,117.639817
2021-01-14,117.36,117.685,115.7,116.28,556626,11425,116.537775
2021-01-15,115.3,115.545,113.06,114.41,504270,9567,114.425958
2021-01-19,114.93,116.43,114.61,114.71,377773,6908,115.021043
2021-01-20,115.05,115.065,113.165,114.19,718290,12943,114.175838
2021-01-21,114.17,116.0,113.75,115.04,928140,9041,115.024177
2021-01-22,114.25,114.46,112.27,113.61,582022,10495,113.391674
2021-01-25,112.8,112.92,111.12,112.09,615775,10052,112.107141
2021-01-26,112.77,113.54,110.52,111.26,551733,8928,111.478238
2021-01-27,109.95,113.68,108.17,112.15,855454,14194,111.60187
2021-01-28,113.16,114.84,110.11,110.48,1184655,14859,111.551284
2021-01-29,109.19,109.37,106.61,107.01,772535,12394,107.776222
2021-02-01,108.09,110.78,108.09,110.32,565789,9420,110.013016
2021-02-02,110.78,112.12,109.86,110.89,648433,9739,111.255085
2021-02-03,110.47,111.8818,110.015,111.43,425381,8590,111.237473
2021-02-04,111.56,113.3,111.015,111.87,428349,8735,112.256241
2021-02-05,112.35,114.47,112.35,113.79,1395732,16105,113.74741
2021-02-08,114.86,117.19,113.725,117.03,682168,10344,116.231394
2021-02-09,116.56,117.33,116.03,116.72,447472,8314,116.60092
2021-02-10,117.68,118.57,115.965,117.91,448148,8975,117.490711
2021-02-11,118.13,119.49,117.795,119.11,522251,10000,118.778021
2021-02-12,118.44,120.61,117.36,118.26,668763,12764,118.639128
2021-02-16,116.94,117.77,109.58,109.81,1336388,18042,111.01543
2021-02-17,108.89,110.25,108.25,109.3,838700,14544,109.393684
2021-02-18,108.87,110.2,108.07,108.31,713685,11135,108.970132
2021-02-19,108.36,109.325,107.575,109.06,914044,12961,108.67749
2021-02-22,108.42,109.26,106.52,108.99,620498,10694,108.266322
2021-02-23,109.02,109.62,106.85,108.79,496219,9246,108.526879
2021-02-24,108.62,110.8043,108.01,109.33,569788,10657,109.658357
2021-02-25,108.86,109.99,107.06,107.59,574284,8368,108.151086
2021-02-26,107.6,109.54,106.92,108.78,1288619,16395,108.696182
2021-03-01,109.75,113.05,108.0,111.7,928202,10386,111.483309
2021-03-02,112.39,114.05,111.0,112.79,763408,10159,113.003586
2021-03-03,112.14,113.57,111.47,112.15,894787,12763,112.383697
2021-03-04,111.57,111.62,107.75,110.4,1101480,16452,109.853933
2021-03-05,111.62,113.87,110.68,113.31,1082799,16587,112.445886
2021-03-08,114.29,119.53,113.49,116.49,1233879,18054,117.19113
2021-03-09,116.27,117.14,114.19,114.44,721886,12716,115.215003
2021-03-10,114.37,116.4699,113.93,115.95,636727,10410,115.648364
2021-03-11,116.33,116.56,114.67,115.0,527700,10537,115.48177
2021-03-12,116.29,117.3,115.6,117.29,437683,7992,116.727603
2021-03-15,116.52,118.16,116.42,118.13,1376125,13673,117.754174
2021-03-16,118.9,122.74,118.5188,121.33,859835,13114,120.996406
2021-03-17,121.19,123.56,121.03,122.56,1109503,15483,122.225345
2021-03-18,121.9,123.42,121.53,121.98,678358,10433,122.248019
2021-03-19,121.74,121.74,119.72,119.92,1025079,9414,120.310891
2021-03-22,119.38,120.94,118.23,120.45,719428,9157,120.149332
2021-03-23,119.38,121.07,119.02,119.29,612269,10012,119.864617
2021-03-24,120.43,123.3099,119.85,121.65,1272819,11823,121.843308
2021-03-25,122.04,123.68,120.52,123.48,718435,11200,122.728713
2021-03-26,124.64,126.82,123.75,126.75,471106,9692,125.679588
2021-03-29,126.74,128.41,125.7,126.28,812752,12070,126.987344
2021-03-30,125.83,126.3,124.44,125.29,578303,10947,125.225063
2021-03-31,124.75,126.65,124.09,125.62,592881,10022,125.665793
2021-04-01,125.85,128.0,124.62,127.75,733887,11768,127.16024
2021-04-05,128.95,130.06,128.45,130.03,630405,8424,129.610146
2021-04-06,133.63,134.44,131.01,131.5,1514969,18049,132.683925
2021-04-07,130.75,131.93,129.69,131.36,532899,8537,131.258587
2021-04-08,131.23,131.53,129.535,130.85,542715,10148,130.805014
2021-04-09,131.77,132.78,130.68,131.69,557896,10192,131.502537
2021-04-12,132.16,132.43,130.8906,131.61,464231,8313,131.689166
2021-04-13,130.67,130.8213,128.94,129.34,483753,9799,129.562186
2021-04-14,129.37,131.22,129.31,130.24,306054,6200,130.436156
2021-04-15,130.1,130.86,129.48,130.53,553605,9663,130.327564
2021-04-16,132.0,133.13,131.55,133.01,611051,9621,132.451518
2021-04-19,133.22,133.37,131.9,132.34,482950,10148,132.496163
2021-04-20,132.7,133.3,131.55,132.45,669563,12739,132.317098
2021-04-21,132.69,134.83,132.57,133.09,699818,11055,133.531688
2021-04-22,134.66,139.73,134.66,135.49,1116088,15652,136.745513
2021-04-23,134.78,138.83,134.3,138.35,938570,12990,137.036407
2021-04-26,139.26,140.21,135.65,136.25,930939,13535,136.982277
2021-04-27,136.29,138.6332,135.0,137.65,812721,11991,137.530779
2021-04-28,137.83,137.83,135.98,136.5,514958,9101,136.4922
2021-04-29,137.27,138.23,136.735,137.22,836099,12683,137.29605
2021-04-30,136.28,136.53,133.93,134.38,890142,12846,134.820455
2021-05-03,135.81,137.13,135.175,136.07,983089,13927,136.279323
2021-05-04,135.64,137.77,135.6152,137.41,911270,15772,136.846176
2021-05-05,137.72,137.72,134.78,136.24,914979,11286,136.538023
2021-05-06,136.65,140.3,136.3056,140.16,793702,13858,139.177955
2021-05-07,140.11,142.2,139.9,141.25,674330,10323,141.263749
2021-05-10,141.96,144.76,141.96,142.55,860092,14681,143.473268
2021-05-11,141.65,142.03,139.07,139.74,603860,11458,140.033106
2021-05-12,139.55,139.65,134.92,135.39,790414,14673,136.490502
2021-05-13,135.8,139.99,135.59,139.21,646795,10708,138.544328
2021-05-14,139.59,141.43,139.5,140.25,499448,8445,140.543055
2021-05-17,139.53,140.28,138.62,138.93,360919,7927,139.25838
2021-05-18,138.98,139.4,137.11,137.19,506489,10212,138.079269
2021-05-19,135.53,137.99,135.39,137.66,549264,12360,137.126454
2021-05-20,138.24,138.68,137.19,137.63,427809,9319,137.807847
2021-05-21,138.24,139.49,136.96,137.51,471895,10587,137.843148
2021-05-24,138.0,138.9,137.33,138.73,660053,8365,138.538971
2021-05-25,138.8,140.13,138.25,139.24,640107,13018,139.494091
2021-05-26,138.97,139.93,138.64,139.07,410586,9716,139.097285
2021-05-27,139.92,140.5203,139.01,140.18,813264,10231,139.942231
2021-05-28,140.15,141.23,140.115,140.48,450695,8746,140.577871
2021-06-01,141.66,142.85,139.19,139.36,629963,11463,140.449854
2021-06-02,139.52,139.52,137.8204,138.34,692014,12908,138.585796
2021-06-03,137.46,138.49,136.98,137.94,718406,10342,137.599211
2021-06-04,138.94,139.41,138.17,138.83,432434,8405,138.707644
2021-06-07,139.19,139.19,137.69,138.0,388587,8645,138.040619
2021-06-08,138.17,139.65,137.2949,139.0,574822,9892,139.006209
2021-06-09,138.87,139.35,138.06,138.09,570133,10045,138.533428
