Date,Open,High,Low,Close,Volume,OpenInterest
2020-08-03,10.4,10.58,10.32,10.45,12074656,0.0
2020-08-04,10.45,10.75,10.45,10.71,9395586,0.0
2020-08-05,10.8,10.87,10.67,10.7,9490257,0.0
2020-08-06,10.73,10.84,10.65,10.81,8582004,0.0
2020-08-07,10.71,10.85,10.685,10.81,7789571,0.0
2020-08-10,10.91,11.14,10.83,11.11,9638251,0.0
2020-08-11,11.2,11.29,11.03,11.08,9957651,0.0
2020-08-12,11.19,11.23,11.115,11.19,5107756,0.0
2020-08-13,11.09,11.26,11.07,11.19,3968188,0.0
2020-08-14,11.18,11.29,11.115,11.19,2404586,0.0
2020-08-17,11.28,11.38,11.24,11.32,5975326,0.0
2020-08-18,11.4,11.5,10.985,11.08,13551094,0.0
2020-08-19,11.35,11.585,11.22,11.28,14413518,0.0
2020-08-20,11.17,11.3,11.15,11.27,10088216,0.0
2020-08-21,11.23,11.26,11.085,11.11,9656240,0.0
2020-08-24,11.105,11.115,10.86,10.865,11612480,0.0
2020-08-25,10.9,10.905,10.68,10.87,9161190,0.0
2020-08-26,10.85,10.97,10.79,10.95,9509336,0.0
2020-08-27,11.06,11.125,11.02,11.08,7598294,0.0
2020-08-28,11.08,11.26,11.03,11.25,5904118,0.0
2020-08-31,11.19,11.2,11.03,11.05,9211104,0.0
2020-09-01,10.98,11.24,10.95,11.23,10712488,0.0
2020-09-02,11.08,11.43,11.02,11.43,15838944,0.0
2020-09-03,11.27,11.305,10.955,11.07,11840132,0.0
2020-09-04,11.15,11.2,10.865,11.02,12508260,0.0
2020-09-08,10.89,10.97,10.73,10.77,10949005,0.0
2020-09-09,10.88,11.095,10.85,11.01,8594302,0.0
2020-09-10,11.175,11.35,11.055,11.11,15233243,0.0
2020-09-11,11.16,11.1725,10.97,11.06,8997828,0.0
2020-09-14,11.11,11.265,11.05,11.14,15503288,0.0
2020-09-15,11.25,11.35,11.18,11.21,4675425,0.0
2020-09-16,11.24,11.335,11.17,11.19,5289670,0.0
2020-09-17,11.08,11.35,10.925,11.33,9108750,0.0
2020-09-18,11.33,11.38,11.21,11.25,10077423,0.0
2020-09-21,11.02,11.14,10.87,11,5901644,0.0
