Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-22,131.99,133.12,129.41,132.54,619191,0.0
2020-05-26,138.63,142.83,138.04,140.04,911724,0.0
2020-05-27,147.18,148.5657,143.68,146.27,873038,0.0
2020-05-28,147.63,148.26,143.07,143.64,801261,0.0
2020-05-29,140.74,142.94,137.88,140.07,1017641,0.0
2020-06-01,141.01,144.88,140.12,143.98,598620,0.0
2020-06-02,145.94,147.89,144.43,146.4,718486,0.0
2020-06-03,151,154.85,150,151.48,711690,0.0
2020-06-04,149.65,154.85,149.02,153.12,855149,0.0
2020-06-05,163.8,164.71,154.6878,155.39,1275668,0.0
2020-06-08,158.31,162.75,157.6101,162.71,976023,0.0
2020-06-09,157.28,161.66,155.78,159.6,1077512,0.0
2020-06-10,158.29,159.92,153.64,154.05,1018257,0.0
2020-06-11,144.99,149.12,138.7,139.12,983594,0.0
2020-06-12,146.83,148.56,142.945,142.945,300866,0.0
2020-06-15,141.92,152.9,141.51,150.23,1442347,0.0
2020-06-16,158.04,158.04,150.18,153.62,1110579,0.0
2020-06-17,153.98,154.01,149.06,149.77,979395,0.0
2020-06-18,148.69,153.705,147.91,150.53,984055,0.0
2020-06-19,153.87,153.97,146.76,148.37,1249791,0.0
2020-06-22,148.75,151.28,147.16,148.32,847559,0.0
2020-06-23,151.58,152.39,148.16,148.61,771071,0.0
2020-06-24,146.62,146.67,140.785,142.88,1061218,0.0
2020-06-25,145.69,152.72,144.96,151.67,1260219,0.0
2020-06-26,148.69,149.6,143.92,147.1,1333638,0.0
2020-06-29,149.42,149.7,146.89,148.28,866797,0.0
2020-06-30,147.22,151.295,147.22,150.04,964415,0.0
2020-07-01,150.44,151.7158,145.58,145.85,679269,0.0
2020-07-02,150.09,151.11,145.16,145.45,586782,0.0
2020-07-06,150.18,151.98,149.2,150.19,535511,0.0
2020-07-07,148.64,149.1793,145.88,146.12,641337,0.0
2020-07-08,145.67,148.99,145.67,148.41,594899,0.0
2020-07-09,148.39,148.65,142.37,143.25,549454,0.0
2020-07-10,143.7,148.91,143.56,148.57,687259,0.0
2020-07-13,150.22,151.585,147.76,148.01,575996,0.0
2020-07-14,147.54,150.21,146.38,149.8,435942,0.0
2020-07-15,153.65,154.61,150.53,154.12,525480,0.0
2020-07-16,152.63,155.11,151.23,153.11,444915,0.0
2020-07-17,153.8,154.1,152,153.37,560491,0.0
2020-07-20,152.04,154.76,151.12,154.39,661461,0.0
2020-07-21,154.85,158.71,154.83,157.34,566088,0.0
2020-07-22,156.59,160.14,156.59,158.08,564000,0.0
2020-07-23,157.23,159.65,156.44,156.85,346614,0.0
2020-07-24,156,157.71,155.11,155.27,567038,0.0
2020-07-27,154.56,156.87,152.2,156.35,436238,0.0
2020-07-28,154.7,156.24,154.03,154.11,1065866,0.0
2020-07-29,153.7,157.05,152.03,156.89,1591022,0.0
2020-07-30,153.32,153.32,148.785,152.08,1789251,0.0
2020-07-31,152.42,154.42,151.07,153.51,1001381,0.0
2020-08-03,154.42,156.44,152.53,155.72,769417,0.0
2020-08-04,154.05,154.85,151.67,153.43,1293108,0.0
2020-08-05,155.34,157.24,155.19,156.22,1112620,0.0
2020-08-06,155.06,156.79,154.31,155.86,901978,0.0
2020-08-07,153.89,159.93,153.67,159.84,1102976,0.0
2020-08-10,160.78,162.2,160.07,160.76,716804,0.0
2020-08-11,164,165.73,162.32,162.57,1264080,0.0
2020-08-12,165.38,165.47,159.18,161.08,748354,0.0
2020-08-13,159.67,161.25,158.78,159.08,445075,0.0
2020-08-14,158.38,160.98,157.82,159.66,394300,0.0
2020-08-17,159.69,159.82,157.76,157.86,704602,0.0
2020-08-18,158.05,158.35,156.34,156.46,881867,0.0
2020-08-19,156.65,160.06,156.58,156.95,960619,0.0
2020-08-20,155.24,157.39,154.27,155.16,815152,0.0
2020-08-21,155.24,156.79,153.92,154.57,962684,0.0
2020-08-24,155.38,157.75,155.33,157.72,1319276,0.0
2020-08-25,159.48,159.88,156.86,157.02,829266,0.0
2020-08-26,156.77,156.915,155.03,155.74,869720,0.0
2020-08-27,155.78,160.49,155.5,159.18,998322,0.0
2020-08-28,160.02,160.02,156.96,158.93,821214,0.0
2020-08-31,158.89,158.89,156.79,156.82,1124559,0.0
2020-09-01,155.59,157.425,154.1,157.23,1131896,0.0
2020-09-02,157.03,160.69,156.37,159.63,990498,0.0
2020-09-03,160.64,163.5081,154.96,156.33,1053518,0.0
2020-09-04,159.44,160.28,153.5,156.54,1051208,0.0
2020-09-08,154.36,154.5,148.88,149.51,1256679,0.0
2020-09-09,150.97,151.54,148.39,150.13,1066602,0.0
2020-09-10,151.86,152.13,149.385,150.07,1231257,0.0
2020-09-11,150.68,153.1522,149.91,152.18,1123371,0.0
2020-09-14,153.5,156.8844,153.415,156.04,1145180,0.0
2020-09-15,155.835,156.135,153.38,153.85,558504,0.0
2020-09-16,154.28,159.75,153.86,157.58,426900,0.0
2020-09-17,154.7,157.5,153.21,157.01,341307,0.0
2020-09-18,156.7,159.58,155.61,157.77,634890,0.0
2020-09-21,153.62,155.14,147.69,150.4,512427,0.0
2020-09-22,150.12,152.37,147.16,148.69,371433,0.0
2020-09-23,149.2,151.24,145.185,145.27,348995,0.0
2020-09-24,145.24,147.06,141.82,144.65,381481,0.0
2020-09-25,142.77,148.06,142.64,146.71,323294,0.0
2020-09-28,149.67,152.8,147.9,151.49,482482,0.0
2020-09-29,150.25,151.535,147,150.38,769118,0.0
2020-09-30,151.63,156.38,150.84,154.11,1344654,0.0
2020-10-01,155.18,156.91,153.17,155.3,793294,0.0
2020-10-02,152.37,160.69,152.02,158.86,826764,0.0
2020-10-05,161.04,163.42,160.87,162.7,928563,0.0
2020-10-06,164.06,165.56,159.435,159.8,754552,0.0
2020-10-07,162.62,165.67,161.81,164.9,777776,0.0
2020-10-08,166.58,169.5,165.4048,169.32,766418,0.0
2020-10-09,170,171.67,169.13,170.35,783712,0.0
2020-10-12,169.75,172.93,169.75,172.04,766462,0.0
2020-10-13,170.85,171.95,165.955,166.73,1154047,0.0
2020-10-14,167.56,169.15,166.62,167.09,703603,0.0
2020-10-15,164.55,171.68,164.11,170.98,729220,0.0
2020-10-16,171.48,171.78,168.565,169.96,1085302,0.0
2020-10-19,171.4,173.11,168.66,169,718303,0.0
2020-10-20,169.29,171.1,167.53,168.15,1168723,0.0
2020-10-21,168.16,170.24,166.69,166.76,544355,0.0
2020-10-22,167.16,170.79,166.21,170.39,584551,0.0
2020-10-23,171.73,172.4,169.81,170.27,737108,0.0
2020-10-26,167.76,168.24,163.44,165.73,647814,0.0
2020-10-27,165.74,165.74,162.02,162.42,779487,0.0
2020-10-28,159.01,161.15,156.5399,158.57,1040316,0.0
2020-10-29,158.98,162.76,155.33,161.25,1125074,0.0
2020-10-30,159.92,161.49,157.83,160.85,854303,0.0
2020-11-02,163.86,165.53,162.3865,164.51,700394,0.0
2020-11-03,167,170.1,166.395,167.46,805146,0.0
2020-11-04,164.49,172.94,161.94,168.24,1382268,0.0
2020-11-05,170.86,174.63,170.53,172.7,928157,0.0
2020-11-06,172.95,172.95,168.7,169.61,576389,0.0
2020-11-09,182.58,187.475,182.18,182.84,2053295,0.0
2020-11-10,182.74,184.53,178.6472,183.17,1359694,0.0
2020-11-11,185.16,185.18,180.03,181.31,922078,0.0
2020-11-12,180.38,180.88,175.6701,177.3,813224,0.0
2020-11-13,179.58,185.43,178.99,184.64,844876,0.0
2020-11-16,188.46,188.57,184.32,185.98,1029417,0.0
2020-11-17,183.61,185.08,181.51,184.25,996961,0.0
2020-11-18,184.5,188.4423,183.28,183.32,708209,0.0
2020-11-19,181.82,184.1,180.26,183.63,741086,0.0
2020-11-20,182.81,182.99,179.77,179.95,860215,0.0
2020-11-23,181.73,184.25,181.08,183.76,768891,0.0
2020-11-24,186.81,193.19,185.72,192.7,1130935,0.0
2020-11-25,191.79,191.94,188.48,190.21,1127258,0.0
2020-11-27,190.08,191.5,189.25,190.87,429192,0.0
2020-11-30,188.35,190.12,184.735,185.24,636311,0.0
2020-12-01,189.51,190.79,187.93,190.26,666437,0.0
2020-12-02,189.95,193.86,189.31,193.5,718984,0.0
2020-12-03,193.08,196.69,192.85,194.66,557409,0.0
2020-12-04,196.05,198.158,195.43,196.28,397002,0.0
2020-12-07,195.14,195.34,192.5621,194.38,709550,0.0
2020-12-08,192.39,193.7,191.56,192.51,438232,0.0
2020-12-09,194.02,196.42,191.81,193.22,414104,0.0
2020-12-10,191.2,193.12,190.27,192.97,448473,0.0
2020-12-11,190.38,192.33,189.48,191.74,445309,0.0
2020-12-14,194.61,194.61,190.89,190.98,572470,0.0
2020-12-15,193.09,193.145,189.64,190.75,552035,0.0
2020-12-16,192.25,192.68,188.86,189.71,550409,0.0
2020-12-17,190.2,190.79,188.1695,190.05,516368,0.0
2020-12-18,188.05,190.32,185.63,186.94,981029,0.0
2020-12-21,186.55,187.765,182.83,186.68,525619,0.0
2020-12-22,187.24,187.72,184.44,185.02,432073,0.0
2020-12-23,185.63,189.69,185.63,188.54,366140,0.0
2020-12-24,188.98,189.88,186.95,189.7,188309,0.0
2020-12-28,191.16,193.07,189.93,189.99,314550,0.0
2020-12-29,190.97,191.36,188.84,189.06,351353,0.0
2020-12-30,188.83,192.5,188.83,191.35,294102,0.0
2020-12-31,191.21,194.66,191.13,194.44,284784,0.0
2021-01-04,195.3,195.9,185.8,188.27,475790,0.0
2021-01-05,188.11,189.85,185.71,187.03,477222,0.0
2021-01-06,191.26,199.94,190.83,197.74,617754,0.0
2021-01-07,200,202.18,199.405,200.13,393442,0.0
2021-01-08,200.75,201.635,198.52,201.62,413236,0.0
2021-01-11,199.22,201.96,199.11,201.59,482312,0.0
2021-01-12,202.09,206.15,201.335,204.62,1334546,0.0
2021-01-13,204.56,204.86,201.5,203.07,782087,0.0
2021-01-14,203.97,207.28,202.525,206.95,550810,0.0
2021-01-15,204.63,208.53,203.43,208.28,583401,0.0
2021-01-19,209.6,213.73,209.27,212.88,563170,0.0
2021-01-20,213.74,214.49,211.3901,213.17,403814,0.0
2021-01-21,213.4,214.5,211.94,211.94,480720,0.0
2021-01-22,210.4,212.45,210,211.8,354044,0.0
2021-01-25,210.33,213.47,209.346,211.66,509392,0.0
2021-01-26,213.23,213.41,210.34,211.31,490929,0.0
2021-01-27,207.28,209.96,201.06,201.9,779982,0.0
2021-01-28,204.47,209.41,199.307,206.66,681399,0.0
2021-01-29,204.97,204.97,197.81,197.83,686654,0.0
2021-02-01,199.82,201.06,196.77,200.7,483411,0.0
2021-02-02,203.63,206.2,202.74,205.03,410695,0.0
2021-02-03,204.35,205.3,201.04,201.93,699368,0.0
2021-02-04,202.47,209.43,202.265,209.37,386895,0.0
2021-02-05,210.69,213.29,209.89,211.09,380671,0.0
2021-02-08,211.31,213.51,210.94,213.45,325477,0.0
2021-02-09,212.83,215.45,211.46,214.66,443430,0.0
2021-02-10,215.23,217.74,213.74,215.06,601594,0.0
2021-02-11,215,215.9099,212.96,214.79,394347,0.0
2021-02-12,214,218.33,213.79,218.26,320364,0.0
2021-02-16,219.75,221.3673,218.65,220.06,396885,0.0
2021-02-17,219.16,219.8,216.3014,218.39,353258,0.0
2021-02-18,215.75,217.3,212.795,214.2,456812,0.0
2021-02-19,215.75,224.7,214.31,224.49,936791,0.0
2021-02-22,223.46,227.93,222.14,225.88,594118,0.0
2021-02-23,227.96,227.96,222.81,226.5,593130,0.0
2021-02-24,226.25,232.81,225.21,232.02,558989,0.0
2021-02-25,233.49,233.91,223.11,223.94,484192,0.0
2021-02-26,224.1,226.29,220.38,221.24,586082,0.0
2021-03-01,224.98,230.73,224.98,229.16,514994,0.0
2021-03-02,228.27,229.07,225.81,225.82,550267,0.0
2021-03-03,226.75,228.26,223.38,223.56,646670,0.0
2021-03-04,221.91,224.27,213.38,217.23,849733,0.0
2021-03-05,221.26,223.3,213.9,222.3,825169,0.0
2021-03-08,225,230,223.475,224.02,751797,0.0
2021-03-09,223.66,227.04,221.3,223.22,734360,0.0
2021-03-10,225.75,228.49,224.47,225.51,1025449,0.0
2021-03-11,224.94,229.34,222.25,226.55,862955,0.0
2021-03-12,229.18,229.42,224.54,225.39,612074,0.0
2021-03-15,226.13,228.18,221.83,228.13,799447,0.0
2021-03-16,226.28,227.62,220.4,221,797093,0.0
2021-03-17,221.76,225.5332,220.305,225.46,688494,0.0
2021-03-18,227.01,236.44,225.67,226.85,1516743,0.0
2021-03-19,225.18,230.34,221.9,228.14,1084320,0.0
2021-03-22,228.42,230.08,225.826,229.24,598497,0.0
2021-03-23,227.79,229.16,220.82,221.57,623601,0.0
2021-03-24,223.6,228.38,222.48,222.51,486798,0.0
2021-03-25,222.53,228.4,219.18,227.52,516685,0.0
2021-03-26,229.51,232.66,226.54,232.59,450860,0.0
2021-03-29,229.85,231.68,226.11,229.3,471249,0.0
2021-03-30,230.44,233.86,230.39,232.73,273607,0.0
2021-03-31,232.53,235.16,231.69,232.49,433902,0.0
2021-04-01,234.05,235.55,232.69,235.42,370942,0.0
2021-04-05,238.45,240.52,235.9671,238.25,387327,0.0
2021-04-06,238.29,239.6464,235.735,236.4,277909,0.0
2021-04-07,237.11,238.91,235.15,238.01,298119,0.0
2021-04-08,237.67,238.2,234.715,236.89,267573,0.0
2021-04-09,239.32,241.18,237.9,240.73,342837,0.0
2021-04-12,241.75,246.39,240.86,245.64,474323,0.0
2021-04-13,244.44,245.05,240.99,243.34,485870,0.0
2021-04-14,242.92,248.63,241.81,246.91,472881,0.0
2021-04-15,248.87,249.27,244.77,247.26,440352,0.0
2021-04-16,248.98,249.22,246.26,248.78,432603,0.0
