Date,Estimate,Actual
2021-07-26,5.2,None
2021-04-26,4.7,5.43
2021-01-27,4.52,4.53
2020-10-28,1.47,1.47
2020-07-29,2.46,2.64
2020-05-06,3.94,5.41
2020-01-29,4.28,4.2
2019-10-23,4.1,4.12
2019-07-24,4.04,4.06
2019-04-24,3.65,3.75
2019-01-30,3.58,3.8
2018-10-23,3.69,3.74
2018-07-24,3.48,3.6
2018-04-23,3.46,3.7
2018-01-24,0.94,3.26
2017-10-24,2.79,3.53
2017-07-25,2.62,2.8
2017-04-24,2.52,2.7
2017-02-01,2.43,2.73
2016-10-25,2.42,1.37
2016-07-26,2.26,2.23
2016-04-27,2.18,2.17
2016-01-27,2.35,2.47
2015-10-21,2.33,2.35
2015-07-22,2.28,2.33
2015-04-22,2.33,2.18
2015-01-28,2.22,2.3
2014-10-28,1.95,2.1
2014-07-29,2.01,2.08
2014-04-28,1.88,2.04
2014-02-04,1.81,1.87
2013-10-29,1.72,1.91
2013-07-24,1.62,1.69
2013-04-22,1.57,1.59
2013-01-30,1.47,1.71
2012-10-24,1.19,1.32
2012-07-25,1.32,1.13
2012-04-23,1.4,1.45
2012-02-01,1.39,1.33
2011-10-26,1.2,1.04
2011-07-27,1.32,1.31
2011-04-25,1.32,1.35
2011-02-02,1.31,1.21
2010-10-27,1.08,1.37
2010-07-28,0.77,0.86
2010-04-26,0.81,0.81
2010-02-03,0.76,0.9
2009-10-21,0.64,1
2009-07-23,0.57,0.41
2009-04-21,0.34,0.58
2009-01-28,0.21,-0.44
2008-10-29,0.82,1.04
2008-07-23,0.87,0.93
2008-04-22,0.97,0.89
2008-01-24,1.03,1.16
2007-10-24,0.99,0.99
2007-07-25,0.94,0.98
2007-04-24,0.88,0.9
2007-01-25,0.85,0.95
2006-10-24,0.8,0.9
2006-07-25,0.77,0.77
2006-04-25,0.75,0.73
2006-01-26,0.74,0.77
2005-10-24,0.61,0.73
