Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-11,190.28,190.28,179.9,180.68,1545737,0.0
2020-06-12,184.91,185.38,181.35,181.38,277850,0.0
2020-06-15,178.52,185.345,177.21,184.1,1054612,0.0
2020-06-16,188.49,188.83,184.27,186.26,1030983,0.0
2020-06-17,186.73,193.42,186.45,191.8,1371404,0.0
2020-06-18,190.72,194.86,190.13,191.1,1042475,0.0
2020-06-19,193.9,194.02,186.21,186.69,1884091,0.0
2020-06-22,185.8,190.26,185.02,188.77,1089050,0.0
2020-06-23,191.04,191.38,188.49,189.01,962411,0.0
2020-06-24,187.88,188.71,185.77,187.51,2132909,0.0
2020-06-25,187.67,194.9,187.25,194.49,1554507,0.0
2020-06-26,193.54,196.41,189.23,190.07,1792809,0.0
2020-06-29,191.43,191.89,187.24,188.16,997305,0.0
2020-06-30,187.69,193.25,186.15,192.45,1453516,0.0
2020-07-01,192.7,193.815,190.12,191.14,969276,0.0
2020-07-02,193.8,193.8,190.77,191.45,1025126,0.0
2020-07-06,194.67,194.805,192.21,192.7,1032668,0.0
2020-07-07,192.2,193.675,191.8,192.45,1369952,0.0
2020-07-08,193.07,195.55,192.65,195.55,1702973,0.0
2020-07-09,195.49,195.69,192.66,194.46,1231055,0.0
2020-07-10,194.95,197.75,193.79,197.52,779681,0.0
2020-07-13,198,199.59,196.075,197.05,971278,0.0
2020-07-14,197.54,200.98,197.53,199.06,1084324,0.0
2020-07-15,201.59,201.78,199.23,200.98,1004422,0.0
2020-07-16,201.01,202.76,199.985,202.5,1128426,0.0
2020-07-17,204.18,204.18,201.685,203.7,1086395,0.0
2020-07-20,202.84,204.25,202.27,203.87,977260,0.0
2020-07-21,205,206.27,203.96,206.22,822825,0.0
2020-07-22,205.48,207.95,204.97,207.85,1044559,0.0
2020-07-23,207.7,208.735,206.36,207.36,592232,0.0
2020-07-24,207.04,208.655,206.41,207.17,933385,0.0
2020-07-27,207.57,207.77,205.16,207.01,1120120,0.0
2020-07-28,207,208.115,204.632,205.74,2057779,0.0
2020-07-29,204.97,206.54,203.66,205.91,2585042,0.0
2020-07-30,203.64,207.43,202.61,207.43,2646792,0.0
2020-07-31,205.2,206.8056,200.53,205.13,4274050,0.0
2020-08-03,205.39,206.45,199.5,200.13,2584272,0.0
2020-08-04,200.02,201.73,197.63,199.62,2084716,0.0
2020-08-05,196.71,199.605,196.71,198.49,2892926,0.0
2020-08-06,197.61,198.14,194.23,195.66,2462090,0.0
2020-08-07,195.17,195.72,193.53,195.45,2039484,0.0
2020-08-10,195.6979,195.8,192.72,192.85,1732083,0.0
2020-08-11,194.72,194.72,192.05,193.56,3046793,0.0
2020-08-12,194.95,195.24,191.64,192.17,3102716,0.0
2020-08-13,191.13,194.79,190,194.78,1183722,0.0
2020-08-14,194.72,197.63,194.515,197.15,1064197,0.0
2020-08-17,197.2,199.63,196.67,196.69,2675125,0.0
2020-08-18,196.34,197.66,194.61,196.42,2019322,0.0
2020-08-19,195.08,199.14,194.86,197.66,1893000,0.0
2020-08-20,196.86,198.08,196.29,196.98,2419756,0.0
2020-08-21,197.06,197.06,193.18,193.5,2065638,0.0
2020-08-24,193.44,194.14,188.23,190.1,3788816,0.0
2020-08-25,191.63,193.81,189.61,192.36,3686273,0.0
2020-08-26,191.98,197.27,190.23,195.46,2528438,0.0
2020-08-27,196.37,200.46,195.4,199.65,1608799,0.0
2020-08-28,201,201.23,198.61,200.1,2020760,0.0
2020-08-31,199.7,202.23,199.7,199.99,2305478,0.0
2020-09-01,199.32,202.97,198.46,202.58,2516630,0.0
2020-09-02,202.64,210.31,202.5,209.69,2914883,0.0
2020-09-03,210.48,212.1,202.81,203.85,3725196,0.0
2020-09-04,206.07,206.5,200.12,202.74,1937737,0.0
2020-09-08,201.87,202.07,197.84,197.95,2893625,0.0
2020-09-09,200.14,205.6,199.35,203.66,1818856,0.0
2020-09-10,205.87,206.4,201.76,202.04,2224858,0.0
2020-09-11,202.26,203.07,199.5,201.54,2063510,0.0
2020-09-14,203.33,204.42,201.68,201.85,1809087,0.0
2020-09-15,202.28,203.92,201.68,201.9,885999,0.0
2020-09-16,202.9,204.56,202.27,202.55,777054,0.0
2020-09-17,200,203.14,199.04,201.59,986439,0.0
2020-09-18,201.13,204.03,200.86,201.11,765705,0.0
2020-09-21,198.18,199.96,196.5,199.2,1439106,0.0
2020-09-22,198.08,201.3,195.94,199.99,1230731,0.0
2020-09-23,200.27,205.23,200.09,200.41,1781035,0.0
2020-09-24,199.53,201.08,195.22,195.68,1364684,0.0
2020-09-25,194.34,197.87,192.19,196.47,1013666,0.0
2020-09-28,198.76,204.9,198.52,203.57,1364715,0.0
2020-09-29,202.74,205.43,202.2,205.02,2189158,0.0
2020-09-30,205.96,208.235,203.66,206.16,2361278,0.0
2020-10-01,207.21,207.71,204.29,206.18,2117674,0.0
2020-10-02,204.86,207.92,204.38,205.52,1306923,0.0
2020-10-05,207.06,207.9,204.74,206.51,1401112,0.0
2020-10-06,207.87,209.38,204.7719,205.53,1681014,0.0
2020-10-07,206.67,209.115,206.39,208.34,1656655,0.0
2020-10-08,210,212.95,207.94,208.07,1484912,0.0
2020-10-09,209.39,210.51,208.32,209.05,1646867,0.0
2020-10-12,209.81,214.88,208.8,214.39,2434629,0.0
2020-10-13,213.63,216.49,210.12,210.9,2246649,0.0
2020-10-14,211.46,214.42,209.06,210.08,1889342,0.0
2020-10-15,208.53,213.37,208.08,212.7,1891593,0.0
2020-10-16,213.36,215.26,212.685,212.87,1879742,0.0
2020-10-19,212.5,214.6,208.625,209.06,1114933,0.0
2020-10-20,210.66,211.54,206.145,206.36,2198248,0.0
2020-10-21,206.44,209.84,206.105,206.47,1086384,0.0
2020-10-22,206.51,207.74,205.23,207.27,1091240,0.0
2020-10-23,207.67,208.46,204.94,207.17,1124189,0.0
2020-10-26,205.52,206.41,200.2,202.17,2242665,0.0
2020-10-27,202.79,203.2,199.28,199.28,1678696,0.0
2020-10-28,196.04,196.95,192.44,194.45,2369846,0.0
2020-10-29,194.73,194.73,186.4,186.79,2888228,0.0
2020-10-30,187.15,188.61,180.56,184.14,4938829,0.0
2020-11-02,186.06,186.06,180.31,180.64,3956542,0.0
2020-11-03,182.83,184.32,179.82,179.96,3989111,0.0
2020-11-04,179.52,186.635,179.52,183.48,5466918,0.0
2020-11-05,186.15,188.025,184.2,185.48,2679310,0.0
2020-11-06,186.46,191.64,184.67,190.27,2386773,0.0
2020-11-09,195,204.3,191.145,193.14,4232043,0.0
2020-11-10,194.14,201.23,192.51,200.1,3248520,0.0
2020-11-11,201.47,202.69,198.93,201.28,3309207,0.0
2020-11-12,199.87,201.74,198.81,200,2484088,0.0
2020-11-13,200.73,204.79,200.03,203.7,1480886,0.0
2020-11-16,206.86,208.31,204.45,208.17,2991803,0.0
2020-11-17,206.49,209.41,202.68,207.25,2775547,0.0
2020-11-18,206.2,208.35,203.39,203.52,1800324,0.0
2020-11-19,202.82,204.8,201.22,202.92,2350069,0.0
2020-11-20,202.9,203.57,197.86,198.43,2547638,0.0
2020-11-23,199.87,203.38,198.83,203.15,2529998,0.0
2020-11-24,205.61,210.11,204.62,207.93,2737343,0.0
2020-11-25,207.5,208.9,203.6,208.07,1651648,0.0
2020-11-27,207.67,209.58,206.08,206.58,1126560,0.0
2020-11-30,205.43,207.3,204.44,204.89,1123688,0.0
2020-12-01,207.48,210.94,207.435,210.75,1422602,0.0
2020-12-02,210.46,213.2,208.62,209.09,1087412,0.0
2020-12-03,208.5,210.9,207.62,210.01,1077179,0.0
2020-12-04,210.31,212.715,209.51,211.77,841669,0.0
2020-12-07,211.7,214,206.83,207.25,1237313,0.0
2020-12-08,206.63,210.61,204.8,209.79,1346950,0.0
2020-12-09,209.9,211.95,205.1,207.07,1392626,0.0
2020-12-10,205.78,207.1946,204.94,206.24,1164845,0.0
2020-12-11,204.2,207.7,203.67,204.08,1122013,0.0
2020-12-14,206.31,208.07,203.87,203.92,1080422,0.0
2020-12-15,204.63,209.163,203.4,208,1328395,0.0
2020-12-16,209.12,212.22,207.66,209.24,978277,0.0
2020-12-17,209.765,213.62,209.49,211.33,1406700,0.0
2020-12-18,211.36,211.83,204.53,205.49,1827838,0.0
2020-12-21,205.69,209.45,201.36,208.99,1926919,0.0
2020-12-22,208.41,210.85,206.14,209.08,1381977,0.0
2020-12-23,210.37,211.66,207.1397,207.73,962305,0.0
2020-12-24,209.55,210.99,208,210.66,391809,0.0
2020-12-28,211.49,212.4,206.72,206.83,763196,0.0
2020-12-29,208.15,208.95,206.15,206.91,560070,0.0
