Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,14.4,14.528,14.06,14.19,7479639,44412,14.292193
2021-01-04,14.65,14.95,14.38,14.77,9609944,54948,14.697336
2021-01-05,14.86,16.728,14.86,16.18,15103131,78026,16.156473
2021-01-06,16.4,17.075,15.69,16.84,13579063,75821,16.653418
2021-01-07,17.0,17.5,16.73,17.11,8578199,48633,17.144496
2021-01-08,17.36,17.45,16.3,16.58,7761143,44396,16.746398
2021-01-11,15.95,16.75,15.79,16.66,6508894,36341,16.438203
2021-01-12,17.07,18.55,16.91,18.53,11540273,68173,18.047864
2021-01-13,18.5,18.53,17.693,17.8,7303334,45920,17.993715
2021-01-14,18.4,19.32,18.26,18.35,11194868,65006,18.648322
2021-01-15,18.03,18.0305,17.12,17.27,8919047,56348,17.50982
2021-01-19,18.08,18.11,17.565,17.82,7088102,41232,17.800995
2021-01-20,18.0,18.2,17.18,17.47,7111839,43133,17.512231
2021-01-21,17.29,17.5,16.13,16.64,10331962,60210,16.698206
2021-01-22,16.05,16.44,15.74,16.38,8273842,50848,16.187389
2021-01-25,16.18,16.18,15.31,15.73,9155456,51915,15.716666
2021-01-26,16.19,16.61,15.29,15.3,8334067,46340,15.742015
2021-01-27,15.08,15.98,14.545,14.6,12474778,75030,15.153671
2021-01-28,15.0,15.41,14.63,14.94,8295982,55897,14.98454
2021-01-29,14.82,15.44,14.03,14.28,11388865,65448,14.552468
2021-02-01,14.88,15.37,14.57,15.12,10580311,64691,14.96211
2021-02-02,15.8,16.41,15.5434,15.56,12371568,75931,15.890522
2021-02-03,15.8,16.71,15.71,16.43,9493998,54399,16.350845
2021-02-04,16.6,16.62,15.75,16.32,9448117,53666,16.201735
2021-02-05,16.62,16.85,16.085,16.22,7742721,46263,16.365986
2021-02-08,16.53,17.91,16.5033,17.84,10826480,62032,17.471648
2021-02-09,17.65,17.65,17.09,17.23,7619853,44173,17.337446
2021-02-10,17.5,17.99,17.19,17.61,8233571,45133,17.544764
2021-02-11,17.43,17.56,16.43,16.98,7671389,43234,16.914756
2021-02-12,16.71,17.535,16.54,17.48,6788437,40845,17.222116
2021-02-16,18.16,19.04,17.94,18.58,12008653,63551,18.556753
2021-02-17,18.87,19.06,18.23,18.69,9440968,53883,18.645966
2021-02-18,18.46,18.53,17.6,17.63,7970860,52973,17.975029
2021-02-19,17.64,18.2854,17.44,18.02,7340188,40132,18.009743
2021-02-22,18.31,19.6,18.21,19.08,9793811,66405,19.20642
2021-02-23,19.26,19.85,17.6301,19.75,10431374,70342,19.157154
2021-02-24,19.72,20.95,19.45,20.81,10985019,78289,20.491313
2021-02-25,21.25,21.89,20.0,20.13,11286703,81818,20.995739
2021-02-26,19.6,20.11,18.63,19.73,9259589,63152,19.571292
2021-03-01,20.08,20.34,19.435,19.52,10290886,64169,19.828502
2021-03-02,19.2,20.38,19.1538,19.5,7414929,49800,19.887554
2021-03-03,19.72,20.59,19.72,19.91,7557164,53933,20.172304
2021-03-04,20.24,21.58,19.98,20.98,13253237,86050,20.889685
2021-03-05,22.0,23.3,21.02,23.25,13114611,88268,22.392437
2021-03-08,23.5,23.85,22.485,23.17,8328757,61858,23.168468
2021-03-09,22.81,23.01,21.565,21.6,9781444,64407,22.130631
2021-03-10,21.75,21.86,21.08,21.63,9020766,60783,21.535182
2021-03-11,22.1,22.2,21.6639,21.89,7357052,44416,21.944816
2021-03-12,22.05,22.14,20.98,21.23,7688309,46039,21.306116
2021-03-15,21.29,21.55,20.885,21.53,6561885,45245,21.261139
2021-03-16,21.0,21.43,20.705,20.75,7563165,52380,21.001501
2021-03-17,20.6,21.105,20.08,20.985,8201258,49625,20.726578
2021-03-18,20.67,20.74,19.12,19.24,9486700,56768,19.933952
2021-03-19,19.19,19.885,18.83,19.48,13698150,50909,19.507665
2021-03-22,19.38,19.43,18.77,18.86,6599948,44020,18.985226
2021-03-23,18.22,18.97,17.9,18.275,7285914,51541,18.424608
2021-03-24,18.74,19.23,18.54,18.58,7242233,49769,18.931392
2021-03-25,17.84,18.4168,17.45,18.34,8270267,54518,18.041793
2021-03-26,18.85,19.01,18.0,18.79,9273258,60893,18.45889
2021-03-29,18.48,18.57,17.65,17.96,7528904,51109,18.040526
2021-03-30,17.58,17.98,17.1,17.83,6172492,42208,17.635307
2021-03-31,17.74,18.07,17.57,17.9,5195485,39434,17.839349
2021-04-01,18.25,18.92,17.94,18.85,10298317,62385,18.534511
2021-04-05,18.72,18.81,17.37,17.54,9737716,62219,17.759436
2021-04-06,17.74,18.38,17.7212,17.86,6901251,41955,17.997278
2021-04-07,17.93,18.19,17.725,18.015,6267271,35358,18.012366
2021-04-08,17.85,17.86,17.22,17.55,6165354,37479,17.468114
2021-04-09,17.6,17.68,17.135,17.26,6123341,36019,17.322469
2021-04-12,17.47,17.81,17.1,17.24,5219723,32490,17.346349
2021-04-13,17.25,17.5899,17.17,17.28,4998467,33761,17.362027
2021-04-14,17.55,18.68,17.49,18.14,8249283,50555,18.196572
2021-04-15,18.15,18.16,17.735,18.07,4468376,31836,17.976763
2021-04-16,18.26,18.2731,17.585,17.795,5750768,37784,17.821039
2021-04-19,17.9,18.3891,17.78,18.08,4539815,29854,18.068783
2021-04-20,17.94,18.04,16.755,17.0,9876012,59326,17.10476
2021-04-21,16.43,17.3,16.27,17.15,5437089,35815,17.066469
2021-04-22,17.21,17.715,16.96,17.61,8081750,45356,17.461978
2021-04-23,17.58,18.21,17.395,18.18,5743417,35703,17.988941
2021-04-26,18.18,18.85,18.07,18.65,8048278,45969,18.616183
2021-04-27,18.8,19.15,18.62,19.03,6813930,34464,18.930802
2021-04-28,19.29,20.66,19.245,20.49,8645019,51106,20.293685
2021-04-29,20.9,21.25,20.315,20.68,6334777,45420,20.765908
2021-04-30,20.41,20.72,19.74,20.0,8824114,49319,20.094896
2021-05-03,20.29,20.55,19.9973,20.46,5865964,38762,20.359416
2021-05-04,20.67,20.86,19.86,20.18,9053917,50050,20.207505
2021-05-05,20.53,21.485,20.29,20.97,7542929,50804,21.037388
2021-05-06,20.95,21.51,20.3401,21.43,8378264,57558,21.018417
2021-05-07,20.83,21.65,20.54,21.59,8190946,50476,21.242521
2021-05-10,21.99,22.48,21.82,21.89,7178499,50242,22.138648
2021-05-11,21.05,21.537,20.67,21.04,7053027,45918,21.096534
2021-05-12,21.34,22.235,21.045,21.13,6840201,47384,21.626685
2021-05-13,20.76,21.22,19.95,20.395,6400871,46296,20.59902
