Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,130.8,131.23,129.7,130.29,769866,11132,130.422248
2021-01-04,131.36,131.97,127.76,129.51,1963153,25792,129.53886
2021-01-05,129.0,133.8,129.0,133.39,1762811,26064,132.498039
2021-01-06,133.39,138.96,133.01,138.11,2078591,26046,137.435801
2021-01-07,141.02,145.85,140.61,144.8,2237297,30724,144.130427
2021-01-08,146.27,151.19,143.81,145.56,2471865,32899,146.847484
2021-01-11,142.95,147.46,141.71,145.08,2475268,30064,145.107849
2021-01-12,146.74,152.78,146.2,151.09,2221158,29465,150.522583
2021-01-13,150.02,150.99,145.1,146.06,2275190,28656,146.91026
2021-01-14,146.67,147.0044,143.11,144.22,1879798,26679,144.606344
2021-01-15,143.25,143.87,137.53,142.75,1783677,23423,141.274733
2021-01-19,146.1,147.62,141.02,142.57,1789765,22939,143.139726
2021-01-20,145.6,145.95,143.03,145.12,2112724,24442,144.506831
2021-01-21,145.69,146.57,143.35,143.85,1855464,25141,144.363495
2021-01-22,141.28,143.69,139.0,139.49,2251793,31203,140.587094
2021-01-25,139.33,139.81,134.1,139.01,2197115,36317,137.42546
2021-01-26,139.29,140.35,135.3,135.7,1652095,22216,136.51022
2021-01-27,130.63,133.38,127.21,127.96,2274360,33734,129.249901
2021-01-28,130.36,135.0928,129.27,133.42,3049121,33780,132.405544
2021-01-29,133.59,137.06,130.66,133.6,2596729,27481,133.35634
2021-02-01,135.24,139.3,135.24,138.77,1654671,25019,137.645517
2021-02-02,141.0,143.35,140.31,141.26,2117369,26543,141.642258
2021-02-03,141.36,146.5,141.0,143.15,2346393,29705,143.003458
2021-02-04,150.0,151.23,142.15,142.15,4001011,38763,144.618529
2021-02-05,145.5,147.43,144.04,147.13,1944407,25734,146.278202
2021-02-08,148.0,149.38,146.0737,148.77,1654131,19706,148.08461
2021-02-09,147.0,149.37,145.73,148.28,1132081,16680,148.080403
2021-02-10,149.45,149.99,146.45,149.89,2010490,21918,149.016991
2021-02-11,151.07,154.57,148.61,153.95,1812023,25351,152.676714
2021-02-12,153.89,156.52,151.43,156.29,1404292,19542,155.306172
2021-02-16,157.01,159.5,154.77,155.09,1875550,24715,156.282804
2021-02-17,154.08,157.21,152.92,156.57,1332678,20127,155.24338
2021-02-18,155.37,155.6,148.03,149.35,1531369,23364,150.167898
