Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,174.93,178.37,173.95,178.22,495430,7494,177.154585
2021-01-04,178.28,178.98,170.56,170.77,1305868,15576,171.384233
2021-01-05,170.32,172.5925,170.13,170.59,782575,11547,170.838003
2021-01-06,164.92,164.92,161.76,163.25,4378853,47337,163.544028
2021-01-07,165.4,166.42,163.89,165.34,1446356,20616,165.038157
2021-01-08,165.94,166.5,163.86,165.91,963402,14567,165.49111
2021-01-11,165.47,166.16,163.98,164.77,707232,10719,164.801827
2021-01-12,164.11,165.15,161.975,164.01,2102657,18085,164.001739
2021-01-13,164.76,169.9,164.1,168.9,2018731,20843,167.961267
2021-01-14,169.24,169.85,167.15,167.67,1328872,13209,168.103846
2021-01-15,167.34,168.73,165.55,168.37,896493,11730,167.609399
2021-01-19,169.32,169.46,165.99,166.51,1016926,13268,166.68819
2021-01-20,166.44,172.19,166.06,171.03,1015586,13757,170.775571
2021-01-21,170.85,171.915,170.02,171.64,669656,9651,171.153472
2021-01-22,170.96,172.12,168.84,168.84,689509,10803,170.075978
2021-01-25,168.4,170.29,167.34,169.48,833246,12328,169.352153
2021-01-26,169.74,170.68,168.05,169.01,397032,8666,169.05321
2021-01-27,168.04,169.11,165.0,166.24,706846,9713,166.256788
2021-01-28,166.24,169.88,165.82,167.34,523416,9691,168.217546
2021-01-29,167.06,168.945,165.32,167.11,1548133,13461,167.144025
2021-02-01,167.6,169.57,166.67,169.56,952395,12755,168.59642
2021-02-02,168.94,170.51,166.45,166.46,751465,11485,168.127447
2021-02-03,165.81,169.12,165.14,168.89,828529,10874,167.74477
2021-02-04,169.56,172.66,168.96,171.03,823601,13455,171.220483
2021-02-05,172.0,172.43,170.84,171.7,638056,8723,171.707633
2021-02-08,171.71,172.41,170.1,170.42,750408,8612,170.71503
2021-02-09,170.94,171.81,169.97,171.34,387445,7800,171.081241
2021-02-10,172.84,174.33,171.0,172.91,720825,10975,172.750463
2021-02-11,172.77,173.29,170.88,171.98,662348,10184,171.928703
2021-02-12,171.44,173.47,170.95,173.06,793495,9735,172.812649
2021-02-16,174.02,174.02,169.16,170.6,959712,14018,170.641034
2021-02-17,170.75,170.75,168.67,169.5,583155,9614,169.455774
2021-02-18,168.66,169.77,167.88,168.31,940638,15012,168.4739
2021-02-19,169.0,170.0,166.0,166.24,860228,11375,167.355546
2021-02-22,165.84,166.21,163.65,165.8,1329210,16087,165.357169
2021-02-23,165.91,166.28,163.58,163.63,1010837,16448,164.095414
