Date,Estimate,Actual
2022-04-25,None,None
2022-01-31,None,None
2021-10-25,None,None
2021-07-26,0.63,None
2021-04-26,0.58,0.04
2021-01-25,0.65,3.8
2020-10-26,0.61,0.63
2020-07-27,0.53,1.82
2020-04-27,0.66,0.14
2020-02-03,0.59,1.74
2019-10-28,0.43,-0.44
2019-07-29,0.52,0.68
2019-04-29,0.41,1.11
2019-02-04,0.52,-0.3
2018-10-29,0.49,1.99
2018-07-30,0.53,0.51
2018-04-30,0.51,1.32
2018-01-29,0.4,0.38
2017-10-30,0.42,0.55
2017-07-31,0.43,0.35
2017-05-01,0.38,0.29
2017-01-30,0.26,-0.31
2016-10-31,0.39,0.07
2016-08-01,-0.29,-1.72
2016-05-02,0.38,-0.05
2016-02-01,0.4,0.32
2015-11-02,0.48,0.46
2015-07-27,0.49,0.44
2015-04-27,0.18,0.25
2015-02-02,0.42,0.5
2014-11-03,0.41,0.39
2014-07-28,0.47,0.39
2014-05-05,0.46,0.46
2014-02-03,0.42,0.51
2013-10-28,0.37,0.35
2013-07-29,0.36,0.38
2013-04-29,0.37,0.36
2013-02-07,0.33,0.36
2012-10-26,0.3,0.3
2012-07-30,0.36,0.29
2012-05-01,0.42,0.3
2012-02-07,0.45,0.44
2011-10-25,0.5,0.4
2011-07-27,0.56,0.44
2011-05-04,0.48,0.44
2011-02-02,0.5,1.52
2010-07-29,0.45,-0.45
2010-04-29,0.42,0.47
2010-02-11,0.41,0.49
2009-11-05,0.4,0.47
2009-08-06,0.72,0.49
2009-05-07,0.66,1.01
2009-02-09,0.71,0.66
2008-10-30,0.69,0.67
2007-05-03,0.6,0.48
2006-08-07,0.56,0.56
2005-08-02,0.61,0.58
2005-05-10,0.56,0.55
2004-12-06,0.71,0.36
2004-11-04,0.61,0.79
2003-11-05,0.66,0.64
2003-08-08,0.54,0.62
2003-05-15,0.53,0.52
2003-02-21,0.76,0.53
2002-02-07,0.52,0.44
2001-11-08,0.46,None
2001-08-09,0.44,0.39
