Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-03,103.68,105.77,103.32,104.76,675420,0.0
2020-06-04,103.96,104.61,101.84,104.22,865235,0.0
2020-06-05,104.8,105.6767,103.975,104.55,1145117,0.0
2020-06-08,104.4,106.49,103.28,106.04,657270,0.0
2020-06-09,105.23,105.23,102.92,104.33,541309,0.0
2020-06-10,103.97,105.17,103.36,103.72,479630,0.0
2020-06-11,102,102.6,98.33,99.34,687655,0.0
2020-06-12,101.71,101.71,100.47,100.62,161065,0.0
2020-06-15,98.24,101.75,97.72,101.13,568761,0.0
2020-06-16,103.67,104.82,101.58,102.43,765054,0.0
2020-06-17,102.49,102.79,100.525,101.18,450566,0.0
2020-06-18,100.33,102.2,100.33,101.43,464436,0.0
2020-06-19,102.97,103.31,99.48,99.73,1094616,0.0
2020-06-22,99.14,100.57,98.4,100.12,607146,0.0
2020-06-23,101.26,101.52,98.49,98.84,810429,0.0
2020-06-24,98.02,99.04,97.05,98.9,1401402,0.0
2020-06-25,98.46,98.68,95.3,97.08,1031817,0.0
2020-06-26,97.15,98.29,96.1,97.51,1068246,0.0
2020-06-29,98.11,98.56,96.785,98.38,616315,0.0
2020-06-30,98.46,100.31,98.24,99.54,537649,0.0
2020-07-01,99.75,101.34,99.75,100.69,501543,0.0
2020-07-02,101.19,102.17,100.86,101.17,339760,0.0
2020-07-06,102.1,102.88,100.73,101.17,430162,0.0
2020-07-07,100.37,101.07,99.67,100.07,567254,0.0
2020-07-08,100.02,100.36,98.69,99.37,451462,0.0
2020-07-09,98.72,98.8,97.08,97.7,689708,0.0
2020-07-10,97.69,99.73,97.555,99.07,395728,0.0
2020-07-13,99.59,100.68,99.02,99.71,489446,0.0
2020-07-14,99.75,101.035,99.2,100.42,443628,0.0
2020-07-15,101.38,102.37,100.47,100.65,540441,0.0
2020-07-16,100.63,101.33,100.09,100.55,473640,0.0
2020-07-17,101.03,101.66,100.46,101.05,539784,0.0
2020-07-20,100.81,101.315,99.48,99.78,831374,0.0
2020-07-21,100.42,102.32,99.88,102.1,585807,0.0
2020-07-22,101.83,104.35,101.26,104.03,596157,0.0
2020-07-23,104.05,104.5,102.95,103.7,483786,0.0
2020-07-24,104.38,104.425,102.48,103.06,502732,0.0
2020-07-27,102.98,103.74,102.21,102.58,580465,0.0
2020-07-28,102.2,105.14,102.2,104.64,1076113,0.0
2020-07-29,105.03,105.98,105.03,105.66,1172298,0.0
2020-07-30,104.81,105.77,104.7,105.46,966995,0.0
2020-07-31,105.32,106.67,104.64,105.95,1415963,0.0
2020-08-03,105.61,105.65,104.05,105.32,888462,0.0
2020-08-04,104.13,105.61,104.12,104.8,1392784,0.0
2020-08-05,104.8,105.98,103.25,103.69,1337078,0.0
2020-08-06,106.1,106.1,103.35,104.71,1211932,0.0
2020-08-07,103.89,106.61,103.89,105.7,970049,0.0
2020-08-10,106.43,107.02,105.583,106.01,965874,0.0
2020-08-11,106.67,106.67,103.3,103.53,1100369,0.0
2020-08-12,104.1,106,104.05,104.91,1111656,0.0
2020-08-17,104.51,105.07,103.98,104.19,1133399,0.0
2020-08-18,103.85,104.29,102.94,102.99,1365066,0.0
2020-08-19,103.28,103.71,102.3,102.65,1714028,0.0
2020-08-20,102.21,103.01,101.61,101.73,1229924,0.0
2020-08-21,101.18,101.2,99.08,100.84,1784386,0.0
2020-08-24,100.0122,101.92,99.59,101.92,650150,0.0
2020-08-25,102.24,102.24,99.72,100.45,712247,0.0
2020-08-26,100.12,100.12,98.5,99.31,996174,0.0
2020-08-27,99.82,100.18,98.53,98.94,1034056,0.0
2020-08-28,99.39,99.65,98.06,99.61,813244,0.0
2020-08-31,99.51,100.21,99.12,99.78,775619,0.0
2020-09-01,99.42,99.42,97.135,97.38,1327424,0.0
2020-09-02,97.51,99.03,97.1637,98.42,2081322,0.0
2020-09-03,98.95,99.93,97.38,98.14,1235176,0.0
2020-09-04,98.5,98.63,96.47,97.2,1418319,0.0
2020-09-08,97.63,97.63,95.12,96.13,1463629,0.0
2020-09-09,96.69,97.71,96.32,96.65,1163640,0.0
2020-09-10,95.6,95.815,94.26,94.29,884520,0.0
2020-09-11,94.56,94.56,92.75,93.24,887620,0.0
2020-09-14,93.96,94.2,93.04,93.32,1073621,0.0
2020-09-15,93.78,94.59,91.9,92.36,648426,0.0
2020-09-16,92.11,94.495,92.11,93.93,838022,0.0
2020-09-17,93.83,94.19,92.96,93.42,441556,0.0
2020-09-18,93.67,93.67,91.795,92,850408,0.0
2020-09-21,91.24,92.48,90.485,92.26,1055221,0.0
2020-09-22,92.23,94.29,92.23,93.73,751075,0.0
2020-09-23,93.75,94.16,92.72,92.92,577815,0.0
2020-09-24,92.81,94.22,92.51,93.6,577625,0.0
2020-09-25,93.23,95.51,92.8901,95.26,768034,0.0
2020-09-28,95.3,95.76,94.65,95,428204,0.0
2020-09-29,95.17,95.93,94.89,95.1,783971,0.0
2020-09-30,95.82,95.95,94.69,95.57,911381,0.0
2020-10-01,95.61,96.34,94.82,95.44,1188140,0.0
2020-10-02,94.95,97,94.59,96.01,1890677,0.0
2020-10-05,96.59,96.59,94.945,95.18,1380944,0.0
2020-10-06,95.36,97.874,95.36,96.98,1384523,0.0
2020-10-07,97.07,97.42,95.62,96.38,1429885,0.0
2020-10-08,96.7,97.28,96.2,96.77,1628766,0.0
2020-10-09,97.4,97.8,95.99,96.52,2276872,0.0
2020-10-12,96.29,97.27,96.1079,96.62,1492618,0.0
2020-10-13,95.97,96.4275,94.31,95.39,1047652,0.0
2020-10-14,95.32,96.05,94.49,95.05,921590,0.0
2020-10-15,94.41,95.44,93.4335,94.49,1269458,0.0
2020-10-16,94.37,95.07,93.42,94.49,1362071,0.0
2020-10-19,94.76,95.01,93.9,94.23,748377,0.0
2020-10-20,94.41,94.695,93.105,94.3,1152639,0.0
2020-10-21,94.28,96.9,94.03,95.52,1573852,0.0
2020-10-22,95.56,97.1,95.35,96.62,1212320,0.0
2020-10-23,97.26,98.16,96.99,97.66,1001460,0.0
2020-10-26,97.19,97.81,96.66,97.49,1348204,0.0
2020-10-27,97.66,98.17,97.03,97.08,1175691,0.0
2020-10-28,96.16,96.6475,92.62,92.69,981727,0.0
2020-10-29,92.5,93.37,90.6697,92.11,1043476,0.0
2020-10-30,91.63,92.22,91.05,91.69,1480190,0.0
2020-11-02,92.51,95.6,92.37,95.5,1388205,0.0
2020-11-03,96.7,98.395,96.4301,97.63,1283520,0.0
2020-11-04,97,98.59,95.487,95.61,1050563,0.0
2020-11-05,96.62,97.55,94.52,95.02,1097571,0.0
2020-11-06,95.46,95.6941,93.32,93.64,861954,0.0
2020-11-09,98,99.61,96.635,97.78,1192838,0.0
2020-11-10,98.24,102.95,97.92,102.45,2472783,0.0
2020-11-11,102.54,102.68,99.82,100.74,1892716,0.0
2020-11-12,99.89,100.73,97.45,98.72,2203264,0.0
2020-11-13,99.36,102.74,99.24,102.18,1090870,0.0
2020-11-16,103.57,103.66,100.9,101.31,2723912,0.0
2020-11-17,100.56,101.41,99.89,100.03,1856577,0.0
2020-11-18,100.61,100.83,95.83,96.22,1957500,0.0
2020-11-19,96.55,96.79,93.04,95.07,2433416,0.0
2020-11-20,95.21,96.46,94.36,95.65,2161268,0.0
2020-11-23,96.16,97.16,95.98,96.85,1420813,0.0
2020-11-24,97.8,101.3,97.52,100.26,2650379,0.0
