Date,Open,High,Low,Close,Volume,OpenInterest
2020-08-31,82.81,83.9299,82.69,83.54,4181887,0.0
2020-09-01,83.8438,84.49,82.6,83.32,5278757,0.0
2020-09-02,83.58,84.02,82.475,83.44,6409262,0.0
2020-09-03,82.96,83,79.411,80.32,7306852,0.0
2020-09-04,79.1,79.8,75.68,79,8310389,0.0
2020-09-08,76.58,77.49,75.92,76.19,8876491,0.0
2020-09-09,77.85,80,77.26,79.58,6223103,0.0
2020-09-10,80.58,81.11,78.73,79.1,5543626,0.0
2020-09-11,79.83,80.52,77.63,77.95,5140465,0.0
2020-09-14,79.04,79.42,78.48,79.13,5488812,0.0
2020-09-15,80,82.2089,79.78,81.8,5127075,0.0
2020-09-16,81.68,82.39,79.825,79.96,4665338,0.0
2020-09-17,78.06,79.19,77.71,78.76,6730559,0.0
2020-09-18,79.33,80.64,78.08,80.12,7201843,0.0
2020-09-21,79.64,81.465,79.16,81.41,5678924,0.0
2020-09-22,82.3128,83.275,80.755,82.63,5644468,0.0
2020-09-23,82.53,83.15,79.89,80.15,5005911,0.0
2020-09-24,79.28,80.89,79.25,79.69,4593144,0.0
2020-09-25,79.88,81.335,79.06,80.98,4451296,0.0
2020-09-28,81.63,82.02,80.505,81.96,3111651,0.0
2020-09-29,81.83,82,80.54,80.76,4191308,0.0
2020-09-30,80.61,82.015,80.4,80.9,5818145,0.0
2020-10-01,81.72,83.54,81.38,82.68,4880891,0.0
2020-10-02,81.99,81.99,78.13,78.32,7234662,0.0
2020-10-05,79.36,80.17,78.4,79.95,4833954,0.0
2020-10-06,79.66,80.644,78.12,78.32,3712151,0.0
2020-10-07,78.68,78.925,77.66,78.47,4690197,0.0
2020-10-08,78.9618,78.9618,77.35,77.82,4722262,0.0
2020-10-09,78.19,78.75,77.72,78.21,4675163,0.0
2020-10-12,79.28,81.92,78.95,81.07,5682724,0.0
2020-10-13,81.45,82.46,80.461,81.98,4138404,0.0
2020-10-14,82.51,82.96,81.0768,81.895,4052365,0.0
2020-10-15,81.02,81.47,80.115,80.34,3186844,0.0
2020-10-16,80.95,81.615,80.52,80.63,3526403,0.0
2020-10-19,82.28,82.505,79.81,80.07,3226932,0.0
2020-10-20,80.5,81.13,79.595,80.13,2774789,0.0
2020-10-21,80.985,82.465,80.72,81.95,4253571,0.0
2020-10-22,82.205,82.205,79.57,80.78,3708934,0.0
2020-10-23,81,81.3807,79.89,81.04,3728257,0.0
2020-10-26,80.75,81.76,79.76,80.5,3447899,0.0
2020-10-27,81,81.49,80.08,80.96,4645909,0.0
2020-10-28,80.18,80.68,78.93,79.01,4897455,0.0
2020-10-29,78.81,79.47,77.133,77.76,7843296,0.0
2020-10-30,77.45,78.28,74.37,75.83,9956980,0.0
2020-11-02,76.55,77.77,75.7,76.41,6105216,0.0
2020-11-03,76.58,77.68,75.76,76.25,5644867,0.0
2020-11-04,78.93,80.02,77.67,79.37,6829322,0.0
2020-11-05,80.7427,81.68,79.89,80.17,5346010,0.0
2020-11-06,79.87,80.14,77.27,78.81,6838129,0.0
2020-11-09,75,78.23,71.19,75.41,11764779,0.0
2020-11-10,74.8,76.24,73.21,75.11,7558466,0.0
2020-11-11,76.34,76.69,75.71,76.55,4690990,0.0
2020-11-12,77.07,78.4,76.525,76.71,4061054,0.0
2020-11-13,77.5,77.645,76.61,77.64,3890894,0.0
2020-11-16,76.72,77.5,75.57,77.46,7310531,0.0
2020-11-17,77.52,78.8,77.01,77.12,5607677,0.0
2020-11-18,76.9453,77.07,75.26,75.48,8762080,0.0
2020-11-19,73.96,76.7,73.74,75.91,8261272,0.0
2020-11-20,75.7,77.71,75.5,76.81,5877221,0.0
2020-11-23,76.92,77.34,75.11,75.93,6527296,0.0
2020-11-24,75.93,76.05,74.91,75.22,6225436,0.0
2020-11-25,75.93,77.14,75.65,76.52,4269490,0.0
2020-11-27,77.7,78.21,76.66,78.14,2991683,0.0
2020-11-30,78.32,79.73,77.78,79.48,6991607,0.0
2020-12-01,79.94,79.99,78.63,79.94,5098104,0.0
2020-12-02,79.72,80.01,78.7388,79.15,3803353,0.0
2020-12-03,79.31,79.81,78.55,78.79,4135886,0.0
2020-12-04,78.72,80.93,78.635,80.9,5595105,0.0
2020-12-07,81.4,82.95,81.18,82.27,6106509,0.0
2020-12-08,82.48,83.635,81.99,83.63,6205065,0.0
2020-12-09,83.5,83.68,81.87,82.64,9401383,0.0
2020-12-10,82.28,83.93,81.68,83.1,7978406,0.0
2020-12-11,83.13,84.04,82.87,83.67,5211649,0.0
2020-12-14,84.27,86.2601,84.075,85.93,6978171,0.0
2020-12-15,86.25,86.96,85.59,86.93,5228194,0.0
2020-12-16,87.26,88.29,86.84,88.225,5785494,0.0
2020-12-17,88.8652,89.35,86.979,88.45,5794805,0.0
2020-12-18,89.04,90.78,88.29,90.37,8075812,0.0
2020-12-21,89.48,90.05,87.18,88.81,6222033,0.0
2020-12-22,89.44,89.61,88.3,89.41,4361829,0.0
2020-12-23,89.95,90.49,88.8,90.22,3860501,0.0
2020-12-24,90.3,91.22,90.28,90.91,2028754,0.0
2020-12-28,91.76,92.26,90.77,91.43,4022996,0.0
2020-12-29,91.63,92.105,90.85,91.41,3384953,0.0
2020-12-30,91.75,92.6,91.43,91.55,2353529,0.0
2020-12-31,91.74,92.99,91.53,92.85,3856476,0.0
2021-01-04,92.695,92.91,89.22,89.9,6341012,0.0
2021-01-05,90.32,90.75,89.1,90.69,4043693,0.0
2021-01-06,89.06,89.9,87.89,87.99,6839458,0.0
2021-01-07,88.86,90.75,88.27,89.66,5512266,0.0
2021-01-08,90.07,91.37,89.53,91.3,3807875,0.0
2021-01-11,91.3,91.85,90.55,90.92,5138424,0.0
2021-01-12,91,91.185,87.96,89.25,4938076,0.0
2021-01-13,89.64,90.335,88.44,89.77,3677098,0.0
2021-01-14,90.1638,91.24,89.65,90.02,4788900,0.0
2021-01-15,89.9856,90.75,88.57,90.7,5888911,0.0
2021-01-19,90.915,93.37,90.83,93.15,4876310,0.0
2021-01-20,93.96,95.87,93.57,95.12,4870458,0.0
2021-01-21,95.47,95.7,94.21,94.59,3572569,0.0
2021-01-22,94.68,95.23,93.82,94.43,3212422,0.0
2021-01-25,95.53,95.76,92.74,93.39,4865938,0.0
2021-01-26,93.35,93.68,92.14,92.38,5917447,0.0
2021-01-27,91,91,88.21,88.66,11195033,0.0
2021-01-28,89.57,91.42,89.01,90.28,6117259,0.0
2021-01-29,89.995,91.33,89.74,91.01,4004938,0.0
2021-02-01,91.48,92.16,90.86,91.42,3688393,0.0
2021-02-02,92.04,94.18,91.81,93.98,5286974,0.0
2021-02-03,93.89,94.07,92.59,92.77,6281364,0.0
2021-02-04,93.35,94.42,92.41,92.68,6120680,0.0
2021-02-05,100.66,104.2299,100,101.61,15677996,0.0
2021-02-08,102.05,103.08,100.39,101.26,5305437,0.0
2021-02-09,101.95,103.77,101.06,102.74,4855784,0.0
2021-02-10,103.04,103.44,101.245,102.78,3281673,0.0
2021-02-11,103.5,104.215,102.55,103.23,3016135,0.0
2021-02-12,102.78,103.89,102.14,103.81,2440302,0.0
2021-02-16,103.82,104.53,102.48,102.96,3182043,0.0
2021-02-17,102.58,103.37,101.81,102.35,3462404,0.0
2021-02-18,101.83,102.4,100.94,102.29,4545852,0.0
2021-02-19,102.95,103.08,100.585,100.79,3578868,0.0
2021-02-22,99.82,99.82,96.41,96.59,5506648,0.0
2021-02-23,95.07,96.85,93.55,96.42,5407538,0.0
2021-02-24,95.45,96.06,94.52,95.69,4361105,0.0
2021-02-25,95.32,96.42,93.79,95.1,4712568,0.0
2021-02-26,96,97.21,95.16,95.58,4976958,0.0
2021-03-01,97.09,98.92,96.89,98.75,4466278,0.0
2021-03-02,98.91,98.99,96.59,96.74,3324917,0.0
