Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-11,100.87,102.99,98.13,98.65,7738038,0.0
2020-06-12,103.21,103.5,99.56,99.6,1750567,0.0
2020-06-15,100,104.74,97.62,103.96,6088116,0.0
2020-06-16,109.02,109.06,102.855,105.63,6150682,0.0
2020-06-17,105.67,106.12,103.83,103.96,3804111,0.0
2020-06-18,102.14,103.49,101.27,102.19,3274047,0.0
2020-06-19,104.23,104.23,99.32,100.9,5754431,0.0
2020-06-22,98,100.5,97.95,99.44,4056984,0.0
2020-06-23,100.94,101.6475,99.245,99.38,3820363,0.0
2020-06-24,97.65,98.27,94.995,95.51,5219660,0.0
2020-06-25,94.61,98.12,93.76,97.82,4804396,0.0
2020-06-26,95.93,96.3,92.45,93.42,5278145,0.0
2020-06-29,94.44,95.41,93.34,94.51,4353154,0.0
2020-06-30,94.16,95.6,93.5656,95.14,3536484,0.0
2020-07-01,95.25,96.96,93.64,94.07,2970978,0.0
2020-07-02,96.77,97.29,93.85,94.34,3541140,0.0
2020-07-06,96.51,97.9,95.84,96.57,3524723,0.0
2020-07-07,95.44,95.515,92.63,93.01,5013714,0.0
2020-07-08,91.97,93.095,90.71,92.89,5346209,0.0
2020-07-09,92.51,93.21,89.58,90.6,3978982,0.0
2020-07-10,90.32,93.305,89.82,93.23,3288181,0.0
2020-07-13,94.24,95.76,92.78,93.56,4454367,0.0
2020-07-14,93.19,95.22,92.29,94.84,3459621,0.0
2020-07-15,96.66,97.78,96.39,97.33,4880831,0.0
2020-07-16,96.5,97.79,95.67,96.32,2425835,0.0
2020-07-17,96.35,96.53,95.01,95.195,2666612,0.0
2020-07-20,94.8,95.36,93.58,93.97,3326695,0.0
2020-07-21,95.25,97.46,94.73,96.32,3651165,0.0
2020-07-22,95.81,97.41,95.38,96.53,3746435,0.0
2020-07-23,95.51,97.78,95.51,96.6,3533105,0.0
2020-07-24,96.23,97.15,95.07,95.33,3245721,0.0
2020-07-27,94.64,95.98,93.6401,95.77,3024867,0.0
2020-07-28,95.76,96.29,94.18,94.42,5344850,0.0
2020-07-29,94.71,96.75,94.44,96.7,4884926,0.0
2020-07-30,94.68,94.78,92.5,94.67,7163718,0.0
2020-07-31,94.31,94.45,92.23,93.3,6883710,0.0
2020-08-03,93.31,94.4,92.44,93.54,5026744,0.0
2020-08-04,93.49,93.7966,92.49,93.2,4399126,0.0
2020-08-05,93.82,95.58,93.81,95.39,4774766,0.0
2020-08-06,95.18,96.265,94.48,95.91,4793033,0.0
2020-08-07,95.29,99.3,94.95,99.21,8613050,0.0
2020-08-10,99.49,102.645,99.26,101.67,8866200,0.0
2020-08-11,103.99,105.7,102.96,103.27,8755991,0.0
2020-08-12,104.76,104.8,100.68,101.66,6191145,0.0
2020-08-14,99.66,101.29,99.27,100.42,1708431,0.0
2020-08-17,99.92,100,97.44,97.55,7781103,0.0
2020-08-18,98.19,98.83,96.47,96.66,5566323,0.0
2020-08-19,96.82,97.9148,95.89,96.9,4855660,0.0
2020-08-20,95.74,97.5755,95.68,96.72,4860740,0.0
2020-08-21,96.49,97.65,95.96,96.16,4206175,0.0
2020-08-24,97.7,99.37,97.645,99.33,4943730,0.0
2020-08-25,100.62,100.79,98.0282,99.05,4692589,0.0
2020-08-26,98.56,99.14,97.81,98.39,3925604,0.0
2020-08-27,98.76,102.14,98.53,101.54,7303696,0.0
2020-08-28,102.15,102.9,100.74,102.54,6420122,0.0
2020-08-31,102.9,102.9,101.36,101.52,7631731,0.0
2020-09-01,100.54,102.78,100.16,102.48,5490430,0.0
2020-09-02,102.58,104.87,102.29,104.36,6192006,0.0
2020-09-03,104.97,109.03,103.85,104.46,12393056,0.0
2020-09-04,106.35,108.275,104.48,105.65,9405511,0.0
2020-09-08,104.42,105.08,103.3,103.7,7113085,0.0
