Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,79.2,80.29,78.72,80.24,1770195,17677,79.617888
2021-01-04,80.49,80.99,79.31,80.12,3467149,27841,80.046983
2021-01-05,80.13,81.73,79.49,81.22,2714100,26018,80.951435
2021-01-06,79.6,81.4301,79.6,80.94,3062184,25791,80.879137
2021-01-07,80.96,81.72,80.37,81.49,1688378,19617,81.336026
2021-01-08,81.53,82.14,81.04,81.7,1728324,17448,81.602243
2021-01-11,82.2,82.89,81.32,82.47,2285452,24008,82.172034
2021-01-12,82.04,82.36,79.89,80.56,2897679,25005,80.698777
2021-01-13,80.42,82.8494,80.235,82.4,4140054,31545,82.04214
2021-01-14,82.15,82.38,79.84,80.05,3308813,31388,80.976287
2021-01-15,80.05,80.27,79.22,80.04,1646226,17683,79.900389
2021-01-19,80.56,80.65,78.555,78.83,3018144,25425,79.01635
2021-01-20,78.66,79.75,78.52,79.52,2948794,22557,79.304302
2021-01-21,79.17,80.34,78.85,80.01,2278550,17710,79.719434
2021-01-22,80.03,80.14,79.51,79.51,1294609,18772,79.78321
2021-01-25,79.48,80.72,79.14,80.1,1683555,19481,79.927413
2021-01-26,80.09,81.05,79.13,80.81,1606379,17472,80.219082
2021-01-27,80.11,80.44,77.76,78.02,2822080,29755,78.659919
2021-01-28,78.22,79.22,77.12,77.15,4950534,33314,78.011126
2021-01-29,75.2,77.78,74.9908,76.83,4084335,35993,76.875058
2021-02-01,77.51,77.91,76.18,76.38,3291693,30242,76.678493
2021-02-02,77.01,77.8,76.46,76.52,4132569,33801,76.953738
2021-02-03,76.33,77.87,75.8425,77.29,2488897,26027,77.215566
2021-02-04,76.68,80.49,76.56,77.18,3495813,36952,77.981201
2021-02-05,77.48,78.06,77.14,77.3,1824508,18567,77.465121
2021-02-08,77.54,78.165,77.01,77.6,2204981,19126,77.560289
2021-02-09,77.65,77.715,76.755,76.99,1804159,19558,77.09136
2021-02-10,77.53,78.06,77.03,77.61,5499655,28036,77.530003
2021-02-11,78.13,78.17,77.62,77.86,1798892,17577,77.887396
2021-02-12,78.0,78.98,77.76,78.73,3542798,28882,78.563009
2021-02-16,78.68,79.09,77.26,77.8,2665795,20940,77.743273
2021-02-17,77.34,77.87,76.85,77.68,3570486,19608,77.574377
2021-02-18,77.8,79.33,77.53,78.83,2185373,22127,78.764108
2021-02-19,78.83,79.14,77.85,78.44,2926452,26062,78.691567
2021-02-22,78.11,79.1,77.68,78.87,2653457,28561,78.60822
2021-02-23,79.62,80.39,77.95,78.14,3434420,38737,78.618646
2021-02-24,78.25,78.67,77.48,78.51,2503715,26624,78.115397
2021-02-25,78.22,78.9,77.98,78.65,2613109,30912,78.467448
2021-02-26,78.81,78.94,76.8,77.69,4875383,41371,77.880267
2021-03-01,78.07,78.39,77.6,77.94,3914140,27192,77.964995
2021-03-02,78.42,78.99,77.63,77.68,3433439,22983,77.949039
2021-03-03,77.26,77.58,76.51,77.15,2469758,27046,77.103302
2021-03-04,77.17,77.278,75.9,76.42,3920393,40556,76.539623
2021-03-05,76.91,78.3,76.83,78.06,2456370,28815,77.710791
2021-03-08,78.21,79.3,77.65,78.28,1553543,24010,78.523298
2021-03-09,78.55,79.16,77.24,77.27,1976580,25467,78.002771
2021-03-10,77.35,77.87,76.96,77.72,2089402,24998,77.53962
2021-03-11,77.64,78.04,77.105,77.74,1637565,22059,77.721726
2021-03-12,78.0,78.38,77.55,77.96,1462524,18266,77.996771
2021-03-15,78.01,78.69,77.56,78.67,1482734,16546,78.406125
2021-03-16,78.68,78.96,78.025,78.93,1919827,19854,78.576443
2021-03-17,79.13,80.21,78.68,79.69,3797930,38845,79.702612
2021-03-18,79.59,80.52,79.51,79.86,2060073,25959,79.996721
2021-03-19,79.79,80.83,79.47,80.3,3987773,26967,80.225622
2021-03-22,79.8,81.54,79.51,81.24,3121410,25761,81.032448
2021-03-23,81.4,82.576,81.25,81.6,2752455,26445,81.93678
2021-03-24,81.19,82.45,81.03,82.08,2282944,26186,82.045134
2021-03-25,82.8,83.62,82.125,83.41,3635543,28994,83.054962
