Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,238.49,242.795,238.39,242.79,2230499,0.0
2020-12-07,242.43,243.58,235.86,236.45,1106428,0.0
2020-12-08,235.11,240.36,234.6101,240.13,1066701,0.0
2020-12-09,240.04,240.78,237.6,239.84,1032157,0.0
2020-12-10,240.43,243.31,240.03,242.37,1078817,0.0
2020-12-11,241.25,242.94,240.05,242.68,851883,0.0
2020-12-14,243.46,246.74,239.9,239.95,1059371,0.0
2020-12-15,240.44,245.5899,239.8405,244.12,1046207,0.0
2020-12-16,244.95,247.065,242.25,245.37,853262,0.0
2020-12-17,246.45,249.63,246.01,248.7,1034656,0.0
2020-12-18,248.45,253.23,247,252.22,1410636,0.0
2020-12-21,249.36,250.4,245.27,248.03,810152,0.0
2020-12-22,247.41,248.48,245.23,245.85,798834,0.0
2020-12-23,247.08,247.23,244.18,244.2,834348,0.0
2020-12-24,244.9,249.25,244.9,248.22,367236,0.0
2020-12-28,248.8,249.865,247.2901,248.26,581152,0.0
2020-12-29,249.41,250.75,247.28,248.45,676322,0.0
2020-12-30,248.61,249.34,246.59,246.67,540227,0.0
2020-12-31,247.23,250.78,246.76,250.22,493352,0.0
2021-01-04,251,251.71,246.75,250.7,802814,0.0
2021-01-05,251.25,252.7,247.42,251.03,957503,0.0
2021-01-06,250.29,254.62,250,253.7,1224820,0.0
2021-01-07,254.46,255.87,251.21,253.39,1068801,0.0
2021-01-08,254.56,256.67,253.625,255.06,1007980,0.0
2021-01-11,255.63,257.795,255,257.29,661269,0.0
2021-01-12,261.74,267.37,259.6,262.99,3651428,0.0
2021-01-13,262.44,266.19,262,263.07,1863662,0.0
2021-01-14,262.61,262.99,257.42,257.77,1250365,0.0
2021-01-15,257.86,262.07,257.58,261.69,1128673,0.0
2021-01-19,263.98,265.23,259.3,260.83,994970,0.0
2021-01-20,260.16,263.58,259.0001,263.19,880702,0.0
2021-01-21,262.29,264,260.17,261.77,1127279,0.0
2021-01-22,261.58,262.36,258.69,258.73,1397451,0.0
2021-01-25,258.5,261.24,257.34,260.4,730313,0.0
2021-01-26,260,260.23,255.47,258.35,1112489,0.0
2021-01-27,256.25,257.67,250.495,250.95,1123425,0.0
2021-01-28,252.67,258.99,251.83,256.21,1459868,0.0
2021-01-29,256.45,264.59,254.92,261.59,1721350,0.0
2021-02-01,262.45,265.025,260.85,261.36,973935,0.0
2021-02-02,262.44,264.055,258.095,258.17,1291348,0.0
2021-02-03,258.49,263.63,257.07,260.78,1506231,0.0
2021-02-04,259.91,261.924,252.49,254.91,2371692,0.0
2021-02-05,255.29,258.19,252.14,254.68,1397587,0.0
2021-02-08,255.03,258.37,255.03,256.97,1234602,0.0
2021-02-09,256.43,257.237,253.04,254.1,1152939,0.0
2021-02-10,256.23,256.8,252.08,253.1,854992,0.0
2021-02-11,254.26,254.26,250.7175,253.39,857254,0.0
2021-02-12,253.76,257.02,252.38,256.23,1053035,0.0
2021-02-16,256.44,257.81,255.07,257.38,930534,0.0
2021-02-17,256.71,257.305,254.28,256.53,1001864,0.0
2021-02-18,256.71,257.98,254,255.83,1340640,0.0
2021-02-19,255.91,256.055,247.78,247.93,1823095,0.0
2021-02-22,248.13,248.26,241.85,246.02,1228969,0.0
2021-02-23,246.87,248.86,243.26,247.59,1454507,0.0
2021-02-24,247.4,248.14,244.68,246.68,1347396,0.0
2021-02-25,246.74,250.195,245.4,247.16,1108980,0.0
2021-02-26,246.11,247.5,241.01,241.13,1236196,0.0
2021-03-01,242.71,246.14,241.85,245.76,1124095,0.0
2021-03-02,247.12,247.12,243.37,244.76,725790,0.0
2021-03-03,243.99,244.53,241.23,241.7,1177494,0.0
2021-03-04,241.82,243.88,238.46,240.95,1195588,0.0
2021-03-05,241.84,247.61,240.95,246.45,945847,0.0
2021-03-08,245.81,249.64,244.015,246.2,800123,0.0
2021-03-09,247.1,248.09,242.71,242.86,985533,0.0
2021-03-10,245.17,245.17,236.82,237.89,1941235,0.0
2021-03-11,238,239.73,236.03,238.2,2186764,0.0
2021-03-12,239.37,240.12,236.31,238.12,968037,0.0
2021-03-15,238.39,240.93,237.92,240.92,933251,0.0
2021-03-16,241.24,241.52,238.66,239.55,748676,0.0
2021-03-17,239.25,240.97,238.63,239.36,993693,0.0
2021-03-18,238.62,240.99,238.03,239.2,769353,0.0
2021-03-19,239.94,241.325,237.87,239.06,1335818,0.0
2021-03-22,238.5,241.69,238,241.62,770852,0.0
2021-03-23,241.96,241.99,239.46,240.39,753167,0.0
2021-03-24,239.33,242.32,238.765,241.71,814098,0.0
2021-03-25,243.65,243.65,238.56,241.85,987421,0.0
