Date,Open,High,Low,Close,Volume,OpenInterest
2020-04-29,14.77,14.92,14.3,14.82,5149548,0.0
2020-04-30,14.67,14.79,13.79,13.92,5650263,0.0
2020-05-01,13.58,13.88,13.46,13.69,5030054,0.0
2020-05-04,13.31,14.05,13.29,13.96,4626726,0.0
2020-05-05,14.5,14.64,13.5,13.6,5109758,0.0
2020-05-06,13.55,13.74,12.92,12.93,4502369,0.0
2020-05-07,13.33,14.07,13.3,14.02,5792924,0.0
2020-05-08,14.37,15.02,14.135,15,7199172,0.0
2020-05-11,14.75,14.894,14.385,14.62,3897868,0.0
2020-05-12,14.81,15.03,14.34,14.56,5494688,0.0
2020-05-13,14.34,14.56,13.55,13.61,4674399,0.0
2020-05-14,13.31,14.3318,13.1,14,4474489,0.0
2020-05-15,13.92,14.49,13.71,13.76,4302984,0.0
2020-05-18,14.56,15.49,14.34,15.33,4553820,0.0
2020-05-19,15.03,15.17,14.49,14.5,3950977,0.0
2020-05-20,14.98,15.72,14.74,15.61,3937323,0.0
2020-05-21,15.73,15.73,15.05,15.41,2934664,0.0
2020-05-22,15.1,15.195,14.755,15.11,2967099,0.0
2020-05-26,15.65,16.17,15.6,16.01,3860078,0.0
2020-05-27,16.29,16.56,15.895,16.56,4401225,0.0
2020-05-28,16.63,16.6613,16.24,16.41,5307735,0.0
2020-05-29,16.21,16.73,16.03,16.54,6464087,0.0
2020-06-01,16.5,16.735,16.23,16.32,4306026,0.0
2020-06-02,16.38,17.2999,16.38,17.12,4915886,0.0
2020-06-03,17.62,17.685,17.32,17.32,4114378,0.0
2020-06-04,17.18,17.49,16.88,17.15,6273470,0.0
2020-06-05,18.2,18.275,17.54,17.73,8989326,0.0
2020-06-08,18.9,19.3,18.53,19.03,8930871,0.0
2020-06-09,18.34,18.72,18.01,18.68,6294327,0.0
2020-06-10,18.19,18.39,17.27,17.27,6213547,0.0
2020-06-11,15.95,16.52,15.51,15.625,6715899,0.0
2020-06-12,16.42,16.71,15.93,15.93,981222,0.0
2020-06-15,15.09,16.545,15.08,16.35,5903867,0.0
2020-06-16,17.26,17.39,16.45,16.86,5974953,0.0
2020-06-17,16.78,16.9,16.035,16.11,5411728,0.0
2020-06-18,15.94,16.3,15.735,16.11,5042633,0.0
2020-06-19,16.68,16.68,15.385,15.48,7968495,0.0
2020-06-22,15.32,15.585,15.22,15.35,5811062,0.0
2020-06-23,15.59,15.83,15.45,15.54,8741211,0.0
2020-06-24,15.25,15.27,14.07,14.31,6281870,0.0
2020-06-25,14.22,14.97,14.11,14.95,5355980,0.0
2020-06-26,14.87,14.94,14.49,14.7,4843223,0.0
2020-06-29,14.76,15.07,14.5,14.86,5429859,0.0
2020-06-30,14.66,15.485,14.64,15.39,4061930,0.0
2020-07-01,15.6,15.97,15.27,15.41,7918529,0.0
2020-07-02,15.74,16.09,15.38,15.41,7273672,0.0
2020-07-06,15.73,16.01,15.285,15.51,5025701,0.0
2020-07-07,15.33,15.51,15.165,15.22,4942923,0.0
2020-07-08,15.26,15.71,15.23,15.52,4145799,0.0
2020-07-09,15.52,15.61,14.605,14.65,4277488,0.0
2020-07-10,14.62,15.085,14.57,15.06,2643674,0.0
2020-07-13,15.22,15.47,14.86,15.07,4052715,0.0
2020-07-14,14.99,15.625,14.83,15.57,4189537,0.0
2020-07-15,15.99,16.03,15.56,15.6,5128768,0.0
2020-07-16,15.3,15.69,15.1,15.475,2470909,0.0
2020-07-17,15.49,15.6,15.25,15.27,3433992,0.0
2020-07-20,15.24,15.35,14.7847,15.06,4821298,0.0
2020-07-21,15.4,16.39,15.32,16.3,5847840,0.0
2020-07-22,15.98,16.85,15.8263,16.46,8643435,0.0
2020-07-23,16.53,16.8,16.07,16.69,4984369,0.0
2020-07-24,16.79,17.18,16.34,16.37,7012276,0.0
2020-07-27,16.38,16.49,15.96,16.33,3952582,0.0
