Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-14,481,500.14,471.45,496.15,5338057,0.0
2020-05-15,495,515.59,490.52,513.03,3849735,0.0
2020-05-18,519,528.785,514.59,516.49,2876168,0.0
2020-05-19,512.46,515.58,498.83,501.2,1807813,0.0
2020-05-20,509.56,513,503.46,508.73,1007858,0.0
2020-05-21,508.08,509.63,504.1505,508.43,790983,0.0
2020-05-22,506,513.57,503,513.3,556551,0.0
2020-05-26,525,530.15,521.41,523.62,879195,0.0
2020-05-27,536.25,537.35,525.33,536.4,980947,0.0
2020-05-28,548.48,550,535.01,536.96,953858,0.0
2020-05-29,530.69,534.5,520.55,528.59,788611,0.0
2020-06-01,528,543.11,526.73,538.45,518033,0.0
2020-06-02,544.4,547.765,538.43,541.36,611628,0.0
2020-06-03,550,551.944,542.81,548.09,859607,0.0
2020-06-04,541.93,548.135,540,546.25,737447,0.0
2020-06-05,558,562.09,551.62,556.92,1004466,0.0
2020-06-08,557.22,561.925,550.55,557.44,823270,0.0
2020-06-09,547.97,562.5,546.95,558.79,640559,0.0
2020-06-10,559.45,567.575,555.63,558.46,604866,0.0
2020-06-11,544.07,548.67,521.14,525.2,931720,0.0
2020-06-12,538.4,539.13,527.06,528.0058,201307,0.0
2020-06-15,518.23,549.59,515.72,543.16,1013017,0.0
2020-06-16,558.9,558.9,539.35,551.05,731209,0.0
2020-06-17,554.96,561.5,552.8,555.1,512715,0.0
2020-06-18,549.87,558.35,548.53,556.76,401949,0.0
2020-06-19,566.98,566.98,546.85,555.26,832911,0.0
2020-06-22,550.77,558.57,548.5942,553.61,377777,0.0
2020-06-23,560,561.9899,553.21,554.36,508554,0.0
2020-06-24,548.65,551.9,536.24,538.83,660315,0.0
2020-06-25,537.77,550.3999,532.7477,546.96,615167,0.0
2020-06-26,542.11,544.425,528.63,534.55,772564,0.0
2020-06-29,540,540.57,530.99,532.91,560093,0.0
2020-06-30,533.97,545.98,533.97,544.09,884767,0.0
2020-07-01,544.29,546.4819,537.46,544.31,452741,0.0
2020-07-02,555.48,560.56,548.62,551.73,635841,0.0
2020-07-06,560,564.4,557.09,557.67,594039,0.0
2020-07-07,553.37,560.47,549.16,549.23,445622,0.0
2020-07-08,551.01,559.94,549.485,557.9,347675,0.0
2020-07-09,554.46,557.4741,544.26,549.66,372215,0.0
2020-07-10,550.53,555.92,546.7777,553.96,412169,0.0
2020-07-13,558.2,565.23,552,552.56,650365,0.0
2020-07-14,552.76,562.51,551.46,561.34,464993,0.0
2020-07-15,572.28,573,560.24,568.51,685159,0.0
2020-07-16,565.3,569.76,563.12,567.725,410273,0.0
2020-07-17,578.35,592.4817,572.65,587.72,1035520,0.0
2020-07-20,580.22,585,577.13,579.49,573330,0.0
2020-07-21,584.75,584.75,578.29,579.73,432254,0.0
2020-07-22,580.33,586.62,577.98,582.82,387845,0.0
2020-07-23,580.31,585.0533,575.2197,577.76,269159,0.0
2020-07-24,578,578,567.66,570.79,362370,0.0
2020-07-27,568.73,578.275,565.345,575.39,452167,0.0
2020-07-28,572.9,574.19,569.04,570.23,762966,0.0
2020-07-29,569.75,580.21,569.75,577.92,1050848,0.0
2020-07-30,569.31,573.09,564,573.09,562541,0.0
2020-07-31,572.33,575.32,566.68,575.32,517038,0.0
2020-08-03,579.35,583.55,577.31,579.56,642740,0.0
2020-08-04,573.65,575.69,567.93,571.04,829551,0.0
2020-08-05,576.71,584.92,573.23,582.27,787924,0.0
2020-08-06,579.96,583.345,575.0664,581.77,635934,0.0
2020-08-07,582.67,588.34,579.42,587.88,813688,0.0
2020-08-10,584.6,585.83,579.67,579.99,699755,0.0
2020-08-11,585.3,596.51,583.33,586.62,939324,0.0
2020-08-12,592.14,605.72,584.395,590.24,1102818,0.0
2020-08-13,586.72,595.305,586.72,589.91,427313,0.0
2020-08-14,588.61,592.46,584.06,588.46,254026,0.0
2020-08-17,590.93,595.545,587.89,592.07,620356,0.0
2020-08-18,591.09,594.76,588.8,588.8,725964,0.0
2020-08-19,592.33,595.55,588.8,589.79,466292,0.0
2020-08-20,585.679,588.26,581.04,583.24,865275,0.0
2020-08-21,585.41,588,581.93,583.815,761759,0.0
2020-08-24,587.38,591.69,584.29,591.69,633160,0.0
2020-08-25,594.45,594.6,590.12,590.77,603138,0.0
2020-08-26,591.46,595.7,587.9,592.15,637592,0.0
2020-08-27,592.94,598.9,591.99,594.77,636213,0.0
2020-08-28,595.61,601.31,592.09,600.9,687140,0.0
2020-08-31,602.52,604.08,593.67,594.08,632941,0.0
2020-09-01,594.74,601.02,593.15,596,646857,0.0
2020-09-02,597.74,609.69,594.19,607.36,961894,0.0
2020-09-03,604.13,605.4496,573.7,578.7001,1264474,0.0
2020-09-04,581.81,584.09,557.86,564.63,1490345,0.0
2020-09-08,559.99,560.77,548,552.67,1430865,0.0
2020-09-09,561.62,564.1,555.33,560.18,1266625,0.0
2020-09-10,555.125,558.25,541.21,543.3,1287874,0.0
2020-09-11,544.48,547.45,537.86,541.2,1159447,0.0
2020-09-14,545.04,553.21,543.27,547.77,1114513,0.0
2020-09-15,552.25,553.43,547.28,548.05,470111,0.0
2020-09-16,549.58,566.88,548.8,561.91,759760,0.0
2020-09-17,553.9,555.8,544.51,548.03,839065,0.0
2020-09-18,550.22,559.16,548.47,556.93,713763,0.0
2020-09-21,548.63,556.755,542.52,552.58,496786,0.0
2020-09-22,551.58,556.55,544.53,550.35,399805,0.0
2020-09-23,550.39,552.87,538.05,538.54,301574,0.0
2020-09-24,537.28,542.09,532,534.99,359831,0.0
2020-09-25,531.39,548.9,531.39,548.15,359843,0.0
2020-09-28,554,563.94,554,558.65,371179,0.0
2020-09-29,560.16,561.855,552.37,554.79,705510,0.0
2020-09-30,557.2,570.8825,555.11,563.5,1081428,0.0
2020-10-01,576.84,578.24,566.17,568.47,850005,0.0
2020-10-02,560.54,574.61,559.18,570.12,618026,0.0
2020-10-05,574.7,581.52,573,580.35,646271,0.0
2020-10-06,580.98,590.6044,578.13,579.74,1101914,0.0
2020-10-07,584.32,592.79,584.32,591.96,868565,0.0
2020-10-08,595.36,606.21,594.34,604.45,863543,0.0
2020-10-09,610.6,614.3,606.58,611.34,741271,0.0
2020-10-12,615.37,620.66,613.66,614.53,1052510,0.0
2020-10-13,634.17,646.29,626.16,638.95,2015338,0.0
2020-10-14,641.83,643.46,634.05,639.88,1223920,0.0
2020-10-15,634.09,648.9,632.64,646.37,1331242,0.0
2020-10-16,652.04,659.57,648,657.39,1443326,0.0
2020-10-19,658.25,666.64,633.03,634.03,1154868,0.0
2020-10-20,636.62,650.9848,636.62,644.49,764808,0.0
2020-10-21,646.58,653.72,634.82,634.98,573675,0.0
2020-10-22,635,637.83,629.82,635.84,767467,0.0
2020-10-23,637.87,639.1599,633.51,637.63,699718,0.0
2020-10-26,630,631.59,615.83,622.19,1067339,0.0
2020-10-27,620.32,624.58,613.47,614.6,563355,0.0
2020-10-28,602.69,606.445,596.26,600.3,878825,0.0
2020-10-29,600.21,606.59,590.26,602.13,614882,0.0
2020-10-30,600.79,600.87,587.9,599.21,615704,0.0
2020-11-02,608.96,618.35,606.4462,614.81,661825,0.0
2020-11-03,620.9,633.34,619,629.96,866649,0.0
2020-11-04,628.29,657.98,627.8101,652,1341856,0.0
2020-11-05,661.02,672,659.78,668.19,1226930,0.0
2020-11-06,666.06,668,654.19,654.9,787887,0.0
2020-11-09,685.12,692.73,663.18,666.2,1404470,0.0
2020-11-10,661.07,666.54,645.12,660.61,1250787,0.0
2020-11-11,670.79,675.7475,667.025,670.62,714757,0.0
2020-11-12,666.94,668.67,654.87,659.79,729771,0.0
2020-11-13,660,669.2251,658.29,668.2207,903071,0.0
2020-11-16,682.5,682.5,669.265,676.85,1017390,0.0
2020-11-17,676.46,676.46,664.51,667.5,1119124,0.0
2020-11-18,670.8,676.65,668.9545,669.15,765939,0.0
2020-11-19,665.97,675.34,663.24,673.33,767721,0.0
2020-11-20,674.02,675.75,669,672.76,681625,0.0
2020-11-23,676.88,689,673.84,682.86,809426,0.0
2020-11-24,694.67,700.66,686.5,699.29,1059197,0.0
