Date,Open,High,Low,Close,Volume,OpenInterest
2020-09-21,81.78,81.88,79.89,81.02,853217,0.0
2020-09-22,81.34,82.03,81,81.58,1216977,0.0
2020-09-23,81.5,81.9,79.61,79.85,1535833,0.0
2020-09-24,79.53,81.39,78.58,80.11,1475156,0.0
2020-09-25,79.79,81.74,79.24,81.45,832056,0.0
2020-09-28,82.22,82.795,81.295,82.23,636960,0.0
2020-09-29,82.22,82.915,81.75,82.36,1401185,0.0
2020-09-30,82.77,84,82.2,83.05,1790018,0.0
2020-10-01,83.63,84.29,82.48,82.6,2311996,0.0
2020-10-02,81.67,83.25,81.43,82.69,1679856,0.0
2020-10-05,83.82,86.4,83.58,85.39,2649260,0.0
2020-10-06,85.57,86.19,83.99,84.31,2429568,0.0
2020-10-07,85.75,86.87,85.515,86.55,1948479,0.0
2020-10-08,88.13,89.4,87.68,89,2948688,0.0
2020-10-09,89.45,90.89,89.2,90.27,2239099,0.0
2020-10-12,90.93,91,89.64,89.68,2076093,0.0
2020-10-13,89.49,90.77,89.31,90.26,1649201,0.0
2020-10-14,90.61,90.92,89.95,90.05,1465380,0.0
2020-10-15,88.97,91.19,88.76,90.81,1683085,0.0
2020-10-16,91.41,91.99,90.97,91.44,1746461,0.0
2020-10-19,91.59,92.02,90.71,91.22,1482315,0.0
2020-10-20,91.94,93.36,91.38,91.39,2466000,0.0
2020-10-21,91.81,93.49,91.66,92.78,1703045,0.0
2020-10-22,92.11,92.7314,90.66,91.14,2408135,0.0
2020-10-23,92,92.79,91.03,92.71,1605768,0.0
2020-10-26,91.74,92.37,90.63,91.6,1863783,0.0
2020-10-27,91.75,92.33,91.06,91.09,1631079,0.0
2020-10-28,89.39,90.54,88.67,88.71,2785313,0.0
2020-10-29,88.54,89.97,88.23,89.21,2446982,0.0
2020-10-30,89.04,89.94,87.98,89.01,1339009,0.0
2020-11-02,90.19,91.66,89.08,90.19,3263069,0.0
2020-11-03,91.26,93.95,91.09,93.75,2757780,0.0
2020-11-04,94,97.03,93.36,94.11,3650352,0.0
2020-11-05,96.74,97.8,95.01,97.05,2790328,0.0
2020-11-06,97.67,98.87,96.85,97.54,2800193,0.0
2020-11-09,100.35,102.76,92.83,92.99,6110204,0.0
2020-11-10,92.9,95.07,91.98,94.99,3748061,0.0
2020-11-11,95.52,95.87,94.53,95.81,2142312,0.0
2020-11-12,95.69,95.84,93.73,94.4,2253032,0.0
2020-11-13,94.95,95.34,94,94.03,1934247,0.0
2020-11-16,95.73,96.23,94.69,95.88,1099004,0.0
2020-11-17,96.19,97.55,95.89,97.12,2394329,0.0
2020-11-18,97.5,98.3452,96.47,96.56,3659977,0.0
2020-11-19,96.06,98.61,95.51,97.91,3205166,0.0
2020-11-20,98.01,98.88,96.98,97.3,2904465,0.0
2020-11-23,97.2,98.2,95.17,95.45,1832875,0.0
2020-11-24,95.62,96.29,95.51,96.11,2877433,0.0
2020-11-25,96.52,96.7964,95.777,96.3,1833950,0.0
2020-11-27,95.91,96.46,95.105,96.25,932850,0.0
2020-11-30,96.58,97.26,95.35,96.01,1193383,0.0
2020-12-01,97.25,97.96,95.945,96.85,2044933,0.0
2020-12-02,96.56,97.245,93.42,94,1336142,0.0
2020-12-03,93.75,94.38,92.39,92.59,1171173,0.0
2020-12-04,93,94.63,92.73,94.2,1589107,0.0
2020-12-07,94.63,96.045,94.5,95.51,980270,0.0
2020-12-08,94.7,96.885,94.7,95.9,997509,0.0
2020-12-09,95.94,96.16,92.83,93.36,1338426,0.0
2020-12-10,93.17,94.13,92.58,93.27,1214788,0.0
2020-12-11,92.47,93.04,91.43,92.58,1243835,0.0
2020-12-14,93.02,93.79,90.13,90.3,1726468,0.0
2020-12-15,91,93.29,90.64,92.05,1196568,0.0
2020-12-16,92.1,92.29,90.23,90.42,1199653,0.0
2020-12-17,90.98,92.62,90.81,92.04,1079622,0.0
2020-12-18,92.47,92.69,91.02,92.08,1551755,0.0
2020-12-21,90.92,92.949,90.16,92.72,1125713,0.0
2020-12-22,92.47,93.28,92.1,92.44,863666,0.0
2020-12-23,92.38,92.88,91.38,91.62,797650,0.0
2020-12-24,91.99,92.42,91.65,92.35,308344,0.0
2020-12-28,92.79,92.998,91.08,91.37,830194,0.0
2020-12-29,92.04,93.48,91.93,92.25,825477,0.0
2020-12-30,93.01,93.63,92.81,92.86,658447,0.0
2020-12-31,93.1,93.33,91.58,93.22,715104,0.0
2021-01-04,91.73,92.25,88.71,89.84,3038103,0.0
2021-01-05,89.75,90.99,89.64,90.61,1043346,0.0
2021-01-06,91.01,92.96,90.71,91.7,1449096,0.0
2021-01-07,91.93,92.1,90.285,90.68,1207776,0.0
2021-01-08,90.94,91.18,89.71,90.58,1093351,0.0
2021-01-11,90.24,90.99,90.2,90.55,868551,0.0
2021-01-12,90.21,90.82,89.79,90.25,2033657,0.0
2021-01-13,90.72,91.83,89.9088,91.09,1924032,0.0
2021-01-14,91.43,91.535,89.86,89.96,1027595,0.0
2021-01-15,89.75,90.46,89.22,90.42,1665072,0.0
2021-01-19,90.85,91.39,90.04,90.46,1273404,0.0
2021-01-20,90.22,93,90.14,92.26,1131175,0.0
2021-01-21,91.73,92.58,90.94,91.34,911842,0.0
2021-01-22,91.13,91.29,89.85,90.74,957444,0.0
2021-01-25,90.76,90.92,88.35,89.82,1207431,0.0
2021-01-26,89.92,90.86,88.75,88.8,1348337,0.0
2021-01-27,87.54,87.65,85.15,85.34,1592504,0.0
2021-01-28,86.09,88.7,85.9862,88.23,1401611,0.0
2021-01-29,87.79,89,87.2601,88.075,1572423,0.0
2021-02-01,88.7,89.71,88.05,89.44,1700799,0.0
2021-02-02,90.12,91.64,90.09,90.52,900557,0.0
2021-02-03,90.55,91.3,90.035,91.01,1403738,0.0
2021-02-04,90.48,91.66,87.2,88.86,2941130,0.0
2021-02-05,89.58,89.58,87.62,89.39,2193637,0.0
2021-02-08,90.08,90.53,89.43,89.73,1339659,0.0
2021-02-09,89.66,90.6299,88.755,88.79,1007089,0.0
2021-02-10,89.68,90.4734,89.08,89.9,915998,0.0
2021-02-11,90,90.085,87.73,88.54,1457257,0.0
2021-02-12,88.09,89.69,88.01,89.68,850725,0.0
2021-02-16,90.1,90.65,89.13,90.21,1154764,0.0
2021-02-17,89.71,90.19,89.13,89.87,919423,0.0
2021-02-18,89.5,90.96,89.39,90.37,1130597,0.0
2021-02-19,90.47,91.27,89.96,90.51,1455483,0.0
2021-02-22,89.8,89.8,87.8335,88.1,949656,0.0
2021-02-23,88.38,88.38,86.2,86.54,1872676,0.0
2021-02-24,86.5,87,85.31,86.26,1594568,0.0
2021-02-25,86.21,86.9,85.81,86.22,1429799,0.0
2021-02-26,86.19,86.97,85.38,85.38,1532265,0.0
2021-03-01,85.33,87.31,85.2,86.51,1282723,0.0
2021-03-02,86.82,87.05,86.2,86.4,1089444,0.0
2021-03-03,85.61,86.27,84.34,84.59,1739190,0.0
2021-03-04,84.5,85.3,81.87,83.5,1649613,0.0
2021-03-05,83.66,83.8,80.74,82.2,2897851,0.0
2021-03-08,82.21,84.47,81.19,82.6,1650961,0.0
2021-03-09,83.45,86.5,82.89,86.28,2350883,0.0
2021-03-10,86.55,86.66,85.12,85.23,1115372,0.0
2021-03-11,85.52,85.6,83.12,83.52,1538269,0.0
2021-03-12,83.88,85.1,83.59,84.65,1181828,0.0
2021-03-15,84.41,86.07,83.58,85.4,1895748,0.0
