Date,Estimate,Actual
2022-04-26,None,None
2022-02-01,None,None
2021-04-28,0.31,0.37
2021-02-03,0.31,0.23
2020-10-28,0.25,0.37
2020-07-29,-0.02,0.08
2020-04-29,0.31,0.28
2020-02-05,0.44,0.46
2019-10-23,0.38,0.39
2019-07-24,0.38,0.39
2019-04-24,0.36,0.35
2019-02-06,0.37,0.39
2018-10-24,0.34,0.35
2018-07-25,0.34,0.35
2018-04-25,0.32,0.33
2018-02-01,0.34,0.34
2017-10-26,0.31,0.31
2017-07-27,0.31,0.32
2017-04-27,0.3,0.29
2017-02-02,0.29,0.3
2016-10-26,0.27,0.27
2016-07-28,0.27,0.27
2016-04-27,0.24,0.28
2016-02-04,0.25,0.26
2015-10-28,0.23,0.24
2015-07-23,0.21,0.22
2015-04-28,0.21,0.21
2015-02-04,0.22,0.22
2014-10-22,0.2,0.2
2014-07-24,0.19,0.21
2014-04-29,0.18,0.2
2014-02-04,0.13,0.13
2013-10-24,0.09,0.1
2013-07-25,0.09,0.12
2013-04-25,0.09,0.1
2013-01-29,0.11,0.11
2012-10-18,0.11,0.1
2012-07-26,0.1,0.11
2012-04-19,0.08,0.09
2012-02-02,0.08,0.08
2011-10-20,0.08,0.1
2011-07-28,0.08,0.12
2011-04-20,0.04,0.14
2011-02-01,0.1,0.12
2010-10-19,0.06,0.12
2010-07-20,0.03,0.06
2010-04-26,0.08,0.1
2010-02-10,0.13,0.13
2009-10-19,0.14,0.12
2009-07-20,0.13,0.13
2009-04-20,0.12,0.12
2009-01-28,0.13,0.13
2008-10-21,0.11,0.09
2008-07-21,0.11,0.13
2008-04-21,0.11,0.17
2008-02-04,0.09,0.12
2007-10-19,0.07,0.11
2007-07-20,0.09,0.08
2007-04-23,0.1,0.1
2007-02-01,0.11,0.1
2006-10-18,0.09,0.1
2006-07-27,0.17,0.21
2006-04-18,0.45,0.43
2006-02-07,0.42,0.41
2005-10-14,0.44,0.42
2005-07-19,0.48,0.48
2005-04-19,0.51,0.51
2005-02-01,0.48,0.49
2004-10-19,0.46,0.47
2004-07-26,0.45,0.44
2004-04-20,0.22,0.23
2004-02-02,0.16,0.17
2003-10-21,0.14,0.16
2003-07-22,0.15,0.15
2003-04-21,0.14,0.14
2003-02-04,0.15,0.16
2002-10-22,0.11,0.12
2002-07-23,0.11,0.12
2002-04-16,0.1,0.11
2002-02-05,0.1,0.1
2001-10-22,0.09,0.1
2001-07-18,0.1,0.1
2001-04-25,0.11,0.11
2001-02-06,0.11,0.11
2000-10-17,0.15,0.13
2000-07-18,0.14,0.15
2000-04-18,0.11,0.13
2000-02-08,0.13,0.13
1999-10-26,0.11,0.13
1999-07-20,0.13,0.14
1999-04-20,0.1,0.13
1999-02-23,0.11,0.12
1998-11-13,0.09,0.11
1998-07-28,0.1,0.1
1998-04-28,0.08,0.09
1998-02-24,0.1,0.1
1997-10-21,0.11,0.11
1997-07-22,0.11,0.11
1997-04-29,0.1,0.1
1997-02-25,0.11,0.11
