Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,39.31,39.31,38.59,38.64,1211958,11570,38.753709
2021-01-04,38.99,39.14,37.76,38.06,1838490,17009,38.146846
2021-01-05,37.87,39.23,37.87,38.96,1693576,14433,38.841722
2021-01-06,39.0,40.415,39.0,40.17,2782883,24625,40.104147
2021-01-07,40.79,41.38,40.39,41.1,2259236,17217,41.038114
2021-01-08,41.1,41.14,39.86,40.29,2059449,19650,40.370801
2021-01-11,39.68,40.41,39.5,40.18,1294931,13998,40.167514
2021-01-12,40.73,41.84,40.45,41.17,3152610,25826,41.313832
2021-01-13,41.07,41.4,39.95,40.15,2246763,17148,40.198968
2021-01-14,40.44,40.6,39.285,39.6,2819675,23119,39.624079
2021-01-15,39.12,39.35,38.015,38.6,4637976,30828,38.583321
2021-01-19,38.96,39.54,38.38,39.3,2374121,22408,39.127217
2021-01-20,40.01,40.92,39.55,40.88,2263509,22564,40.511544
2021-01-21,40.91,43.9,40.9,43.6,4586542,37798,43.135552
2021-01-22,43.33,43.45,42.41,42.8,2198493,20947,42.82508
2021-01-25,42.57,43.59,42.21,43.51,2194886,28592,43.192483
2021-01-26,44.05,44.7,43.44,43.96,3178442,27921,44.047115
2021-01-27,43.85,46.48,43.53,44.9,7918718,46492,45.341586
2021-01-28,44.79,45.05,42.04,42.41,3088687,34959,42.894562
2021-01-29,42.16,43.54,41.63,41.99,2735006,28270,42.466913
2021-02-01,42.21,42.52,41.48,42.08,3116717,27868,42.023173
2021-02-02,42.46,42.54,41.3,41.34,2011270,21099,41.592436
2021-02-03,41.41,42.79,41.02,42.7,2344889,21239,42.255259
2021-02-04,43.04,43.304,42.315,42.71,2035464,18799,42.689343
2021-02-05,43.21,43.32,42.39,43.1,1861113,21516,43.057258
2021-02-08,43.26,43.67,42.76,43.44,2440133,22385,43.241759
2021-02-09,43.18,43.32,42.61,42.91,1469898,21367,42.853063
2021-02-10,43.33,44.355,42.97,43.69,2805825,25862,43.792261
2021-02-11,45.5,45.75,41.685,42.84,3961580,35634,43.011485
2021-02-12,42.58,42.8499,41.14,41.99,2690093,24050,41.710761
2021-02-16,43.81,44.38,42.66,43.78,3875199,34534,43.721106
2021-02-17,43.81,44.95,43.29,44.57,4879228,39366,44.450906
2021-02-18,44.07,44.5,42.97,43.06,2620610,24541,43.380482
2021-02-19,43.7,44.16,42.93,43.56,2476613,22141,43.335288
2021-02-22,43.25,44.7,43.2,44.64,1909835,17700,44.366
2021-02-23,44.2,44.93,43.02,44.88,2966518,28097,44.224133
2021-02-24,45.1,46.19,44.96,46.0,2750083,22577,45.830461
2021-02-25,46.23,46.32,44.66,45.11,1893750,21199,45.315525
2021-02-26,45.15,45.52,43.88,45.0,3216716,29907,44.905617
2021-03-01,45.39,45.73,44.65,45.23,1844106,19444,45.371027
2021-03-02,45.35,46.87,45.04,46.22,2016705,18558,46.252075
2021-03-03,46.52,48.39,46.32,47.32,3202342,32254,47.514012
2021-03-04,47.23,47.46,45.395,46.51,2167671,25463,46.411543
2021-03-05,46.91,48.98,46.7,48.84,3681575,42797,48.051443
2021-03-08,49.32,50.53,49.1,49.71,3276748,34586,49.824967
2021-03-09,49.61,50.37,48.91,48.91,3071812,31549,49.554025
2021-03-10,49.1,50.34,48.805,49.9,2360885,25996,49.910032
2021-03-11,49.87,50.0,48.18,49.15,2547297,31772,48.991936
2021-03-12,49.3,50.44,48.95,50.33,1684178,18369,49.927216
2021-03-15,50.43,50.5978,49.7,50.55,1791559,21987,50.262393
2021-03-16,50.32,50.46,48.63,48.77,1503388,17130,49.087446
2021-03-17,48.77,49.66,48.41,49.66,2532924,26342,49.296389
2021-03-18,49.32,49.83,47.94,48.16,2067670,21360,48.777189
2021-03-19,47.82,49.205,47.65,49.02,4675143,25118,48.847539
2021-03-22,48.58,48.89,47.45,48.13,2138057,22199,48.016903
2021-03-23,47.23,47.23,44.13,44.3,3513862,36518,45.182968
2021-03-24,44.63,45.13,43.47,43.5,3268199,32820,44.082121
2021-03-25,42.73,44.0,42.53,43.7,2793003,27949,43.481098
