Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,36.2,36.29,35.72,36.26,2317041,17521,36.100844
2021-01-04,36.4,36.48,35.7601,35.99,4339753,41453,36.084598
2021-01-05,35.28,35.77,35.25,35.56,4993730,37797,35.536363
2021-01-06,35.52,36.095,35.48,35.73,4167183,37123,35.749446
2021-01-07,35.69,35.7,33.76,33.78,8903851,60932,34.342724
2021-01-08,33.89,34.13,33.4,34.07,6455371,45301,33.789374
2021-01-11,34.14,34.27,33.0399,33.1,6966409,51496,33.40962
2021-01-12,33.1,33.33,32.55,32.91,6292048,52864,32.871233
2021-01-13,32.86,33.645,32.81,33.38,5380972,40290,33.417849
2021-01-14,33.55,34.11,33.28,34.05,4063019,31096,33.81106
2021-01-15,33.93,34.255,33.79,33.86,4462785,34179,33.959248
2021-01-19,33.93,34.0195,33.59,33.63,4251430,31782,33.793393
2021-01-20,33.65,33.86,33.06,33.76,3904244,33058,33.538405
2021-01-21,33.81,34.12,33.445,34.06,4216423,28904,33.929855
2021-01-22,34.13,34.67,34.04,34.38,4256579,30989,34.434811
2021-01-25,34.38,35.64,34.26,34.96,3925927,33775,35.03337
2021-01-26,34.92,35.555,34.865,35.49,3965800,32327,35.225891
2021-01-27,35.23,36.6,35.18,35.77,5167785,48978,35.997451
2021-01-28,34.97,35.66,34.345,34.7,5154579,45707,34.908416
2021-01-29,34.73,35.31,34.55,34.6,4118296,33862,34.749336
2021-02-01,34.65,34.94,34.02,34.2,5130970,40458,34.3788
2021-02-02,34.33,34.995,34.12,34.67,3909072,35277,34.606871
2021-02-03,34.56,34.89,34.09,34.62,3196940,28014,34.558831
2021-02-04,34.5,34.98,34.39,34.59,2905659,25894,34.681204
2021-02-05,34.62,35.035,34.41,34.62,3102554,26410,34.721287
2021-02-08,34.85,34.85,34.34,34.8,3250972,26137,34.647215
2021-02-09,34.89,35.08,34.56,34.78,2192086,21712,34.764036
2021-02-10,35.05,35.445,34.99,35.32,2668321,25243,35.227869
2021-02-11,35.18,35.4,34.32,34.43,2925382,25792,34.627724
2021-02-12,34.35,34.6,34.1,34.55,3216686,25697,34.394003
2021-02-16,34.41,34.44,33.62,33.9,3685326,30006,33.926701
2021-02-17,33.77,34.13,33.605,33.97,3763743,27561,33.959603
2021-02-18,33.95,34.93,33.74,34.7,3233576,31088,34.604961
