Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,52.95,53.63,52.64,53.56,1251811,12223,53.206906
2021-01-04,53.88,54.04,52.11,52.93,2861028,25100,52.771631
2021-01-05,53.07,53.65,51.93,53.12,1846340,22578,52.949906
2021-01-06,53.39,55.2,53.232,55.06,2780912,29576,54.763037
2021-01-07,55.21,56.56,55.06,56.31,3344751,29441,56.113163
2021-01-08,56.65,56.99,55.55,55.91,2137462,23236,56.078192
2021-01-11,55.6,56.33,55.4704,55.74,1271461,15996,55.80286
2021-01-12,55.9,56.24,55.47,55.99,1277892,14268,55.899757
2021-01-13,55.91,56.24,55.39,55.4,994185,11950,55.619427
2021-01-14,55.34,55.91,54.76,55.39,1681250,14131,55.410062
2021-01-15,55.33,55.575,54.2,55.44,1257991,16659,55.216104
2021-01-19,55.63,55.73,54.54,54.81,1674917,16088,54.841486
2021-01-20,54.82,55.0299,54.19,54.59,1605920,16386,54.623617
2021-01-21,54.45,55.31,53.15,55.07,1995098,17796,54.891545
2021-01-22,54.88,55.73,54.7,55.39,1326282,16482,55.337686
2021-01-25,54.94,55.295,54.38,55.03,1429925,16242,54.78023
2021-01-26,55.15,55.845,54.94,55.48,893714,12586,55.4278
2021-01-27,54.98,55.62,54.71,55.29,2733821,27398,55.24628
2021-01-28,55.45,56.32,55.25,55.57,1856098,21952,55.806109
2021-01-29,55.63,55.81,53.22,53.73,2622113,20557,54.074692
2021-02-01,53.93,54.88,53.82,54.48,1593098,19950,54.459271
2021-02-02,55.8,56.27,54.47,54.54,1571574,17945,54.95793
2021-02-03,54.19,54.57,53.71,54.4,1312446,15109,54.237918
2021-02-04,54.71,56.47,54.36,55.98,2823609,26358,55.847683
2021-02-05,55.2,55.75,53.01,54.26,3019134,29676,54.476582
2021-02-08,54.35,54.5,51.81,52.91,4018822,36196,52.549183
2021-02-09,53.15,53.484,52.24,52.95,2230887,20723,52.771994
2021-02-10,53.26,53.51,52.83,53.06,1797950,19579,53.104622
2021-02-11,53.12,53.18,51.85,52.41,1754523,20335,52.327616
2021-02-12,52.0,52.41,51.535,51.86,1983492,19788,51.886155
2021-02-16,52.13,52.189,51.46,51.75,2043217,21090,51.781391
2021-02-17,51.5,52.11,50.78,51.72,2138067,24033,51.786449
2021-02-18,51.5,51.67,51.1,51.37,2042409,22121,51.368602
2021-02-19,51.34,52.13,51.27,52.0,2368373,20974,51.875627
2021-02-22,52.02,52.34,51.53,52.13,1741298,21248,52.018359
2021-02-23,52.43,52.6,51.51,51.98,2201656,22966,52.049093
2021-02-24,52.05,53.16,51.95,52.55,2366852,25413,52.723067
2021-02-25,52.71,53.44,51.8801,52.14,2040307,23129,52.584765
2021-02-26,52.15,52.215,51.38,51.52,2850611,27375,51.685976
2021-03-01,51.94,53.0427,51.83,52.75,1887134,21905,52.662936
2021-03-02,53.06,53.34,52.76,52.97,1984323,20961,53.047174
2021-03-03,52.78,53.475,52.48,53.25,2180021,23799,53.1405
2021-03-04,53.02,53.35,51.63,52.2,2486753,28348,52.433818
2021-03-05,52.5,53.68,51.93,53.49,2487451,25950,52.938164
2021-03-08,54.06,55.17,53.62,54.7,1744390,21559,54.668782
2021-03-09,54.76,55.54,54.3,54.31,1840416,22165,54.803956
2021-03-10,54.78,56.42,54.14,56.17,1840681,19115,55.972655
2021-03-11,56.17,56.58,55.38,55.72,2276072,20629,55.816359
2021-03-12,56.17,57.68,55.91,57.35,2233228,23850,57.101965
2021-03-15,57.26,58.08,57.117,58.0,1525297,18788,57.754321
2021-03-16,57.85,58.08,57.27,57.27,1516881,18714,57.494804
2021-03-17,57.63,58.4,57.41,57.94,1797733,18058,57.912003
2021-03-18,57.81,58.89,57.81,58.28,1606504,19937,58.402306
2021-03-19,58.09,59.39,58.01,58.68,3672059,22797,58.689366
2021-03-22,58.51,59.22,58.13,59.14,2037031,17981,58.927692
2021-03-23,59.02,59.19,57.55,57.7,1900540,18165,58.200432
2021-03-24,57.81,60.15,57.73,59.11,2048892,23807,59.34501
2021-03-25,59.32,60.66,58.61,60.39,1816500,22238,59.822401
2021-03-26,61.0,61.9,60.85,61.86,1926181,22463,61.500011
2021-03-29,61.71,62.76,61.55,62.46,1989366,20758,62.355884
2021-03-30,62.51,62.96,61.945,62.28,1550255,20182,62.370952
2021-03-31,61.8,62.07,60.73,60.75,2311781,22944,61.014651
2021-04-01,60.58,60.93,59.4051,60.88,1606807,19888,60.461785
2021-04-05,61.05,61.2117,60.07,60.54,1864442,17225,60.567181
2021-04-06,60.79,61.08,60.17,60.24,1409017,16360,60.431955
2021-04-07,60.36,60.78,60.14,60.7,1283414,15191,60.58124
2021-04-08,60.29,60.59,58.815,59.25,1705004,19555,59.26386
2021-04-09,59.43,60.05,59.34,60.05,1279877,14065,59.750187
2021-04-12,60.05,61.16,60.05,60.86,1351896,21786,60.76828
2021-04-13,60.73,60.73,59.38,60.14,1628559,15149,60.196626
2021-04-14,59.97,61.12,59.96,60.82,1151537,17210,60.730202
2021-04-15,60.55,61.09,60.41,60.87,1463114,18925,60.816694
2021-04-16,61.05,61.455,60.425,61.31,1380637,17167,61.005125
2021-04-19,61.58,61.77,60.89,61.23,1208682,17331,61.186015
2021-04-20,60.92,61.3,60.41,61.05,1035206,13825,61.028193
2021-04-21,61.53,62.11,61.33,61.71,1412047,16948,61.782075
2021-04-22,61.72,61.95,60.6,60.69,1861607,17121,60.851047
2021-04-23,60.7,61.57,60.1925,61.41,1349540,16978,61.140218
