Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,63.76,65.91,63.74,65.74,1547251,0.0
2020-12-07,65.08,66.35,64.76,66.28,1600154,0.0
2020-12-08,65.78,66.9,65.63,66.78,2285813,0.0
2020-12-09,67.31,67.7,65.33,66.09,1533400,0.0
2020-12-10,65.45,66.56,64.85,66.31,1022806,0.0
2020-12-11,65.66,66.42,65.25,66.15,1489899,0.0
2020-12-14,66.69,66.89,64.92,65.13,1403963,0.0
2020-12-15,65.7,66.17,65.09,66.13,1434916,0.0
2020-12-16,66.12,66.57,64.88,65.82,2123602,0.0
2020-12-17,66.02,66.02,63.66,64.41,1741613,0.0
2020-12-18,64.42,64.42,62.32,63.31,2493647,0.0
2020-12-21,62.37,63.095,61.35,62.39,1507045,0.0
2020-12-22,62.66,62.895,61.79,62.57,743505,0.0
2020-12-23,62.76,63.84,62.74,62.76,727736,0.0
2020-12-24,62.99,63.04,62.145,62.9,285738,0.0
2020-12-28,63.26,63.26,62.53,62.97,665902,0.0
2020-12-29,63.11,63.4,61.71,62.1,598503,0.0
2020-12-30,62.17,62.98,62.17,62.46,445556,0.0
2020-12-31,62.62,62.97,61.72,62.7,578645,0.0
2021-01-04,62.74,62.925,59.25,59.54,1915993,0.0
2021-01-05,59.13,60.3,58.735,59.43,1541400,0.0
2021-01-06,59.93,61.39,59.88,60.62,1429253,0.0
2021-01-07,60.81,61.63,60.43,61.52,1851970,0.0
2021-01-08,61.97,63.09,61.45,62.62,977195,0.0
2021-01-11,62.01,62.72,61.71,62.22,770767,0.0
2021-01-12,62.12,63.14,61.76,63.03,1703140,0.0
2021-01-13,63.03,63.64,61.78,61.81,1762959,0.0
2021-01-14,62.18,63,61.67,62.28,935452,0.0
2021-01-15,62.1,63.58,61.7,63.52,1272211,0.0
2021-01-19,63.65,64.09,62.65,63.53,863976,0.0
2021-01-20,63.49,65.24,63.26,64.9,946456,0.0
2021-01-21,64.36,65.14,63.9148,64.99,685245,0.0
2021-01-22,64.99,66.2,64.65,66,1162894,0.0
2021-01-25,66.09,66.31,64.5,65.1,1081536,0.0
2021-01-26,65.4,65.5,63.11,63.13,1059092,0.0
2021-01-27,62.36,63.17,61.58,62.61,1527542,0.0
2021-01-28,63.22,64.21,62.34,63.97,1537177,0.0
2021-01-29,63.36,64.346,60.6,60.93,1573877,0.0
2021-02-01,61.74,63.73,60.71,63.7,1341038,0.0
2021-02-02,64.54,65.85,63.63,65.45,1158535,0.0
2021-02-03,64.84,66.08,64.39,65.66,1088656,0.0
2021-02-04,65.77,67.9,65.57,67.65,1144507,0.0
2021-02-05,68.11,68.19,66.91,67.4,760827,0.0
2021-02-08,67.5,67.9699,66.87,67.94,561520,0.0
2021-02-09,68.34,69.22,67.42,67.47,916035,0.0
2021-02-10,67.57,68.39,66.99,68.12,695622,0.0
2021-02-11,68.36,70.67,68.07,70.37,1430776,0.0
2021-02-12,69.78,71.44,69.74,71.34,1109411,0.0
2021-02-16,71.52,71.73,70.27,70.57,1519819,0.0
2021-02-17,70.39,70.42,69.4,69.7,1075315,0.0
2021-02-18,69.2,70.125,68.72,69.85,1163108,0.0
2021-02-19,70.54,73.1,70.38,72.78,1993204,0.0
2021-02-22,71.71,75.95,71.55,75.23,2632944,0.0
2021-02-23,77.91,82.05,76.04,77.88,4298100,0.0
2021-02-24,77.88,78.29,76.98,77.18,2051663,0.0
2021-02-25,77.32,77.8,74.08,74.49,2471669,0.0
2021-02-26,75.05,76.6452,74.7215,75.77,1968235,0.0
2021-03-01,76.72,78.08,76.19,77.55,1859547,0.0
2021-03-02,77.76,78.78,77,78.02,1646054,0.0
2021-03-03,77.91,79.3999,77.3,77.94,1418154,0.0
2021-03-04,78.14,78.555,75.33,76.67,1818937,0.0
2021-03-05,77.12,78.11,74.77,77.26,1391134,0.0
2021-03-08,77.48,77.77,75.98,76.69,1184752,0.0
2021-03-09,77.36,77.63,74.9,74.96,1683993,0.0
2021-03-10,76.04,77.395,75.06,76.84,1125632,0.0
2021-03-11,77.13,79.1246,76.32,78.56,1337632,0.0
2021-03-12,78.48,79.36,78.31,79.27,800626,0.0
2021-03-15,79.04,80.64,77.525,80.57,1177059,0.0
2021-03-16,80.5,81.32,78.03,78.29,999514,0.0
2021-03-17,78.41,79.4,77.43,79.34,674680,0.0
2021-03-18,78.82,80.24,78.01,78.34,718379,0.0
2021-03-19,78.05,78.24,76.53,76.74,1744826,0.0
2021-03-22,76.94,77.16,75.62,75.93,1198343,0.0
2021-03-23,75.58,76.18,74.61,74.95,1443127,0.0
2021-03-24,75.16,76.17,74.1,74.13,941125,0.0
2021-03-25,73.23,76.65,72.88,76.47,1034601,0.0
2021-03-26,77.3,79.18,76.31,79.12,937887,0.0
2021-03-29,78.09,79.05,77,77.34,938899,0.0
2021-03-30,77.41,79.33,77.1,79.04,1581514,0.0
2021-03-31,78.94,79.91,78.1,79.19,1510796,0.0
2021-04-01,79.81,80.1,78.79,80.04,1415956,0.0
2021-04-05,80.76,81.3,80.1,80.88,1327743,0.0
2021-04-06,80.44,80.9,78.71,79.67,1081578,0.0
2021-04-07,79.75,79.75,77.72,78.4,1352507,0.0
2021-04-08,78.26,79.11,77.9,78.76,1151844,0.0
2021-04-09,79.16,80.67,78.98,80.42,735393,0.0
2021-04-12,80.17,81.09,79.08,81,835136,0.0
2021-04-13,80.94,81.32,78.88,78.94,1315470,0.0
2021-04-14,79.11,81.77,78.87,81.04,1002821,0.0
2021-04-15,81.31,82.07,80.73,81.74,1236956,0.0
2021-04-16,82.2,82.5,81.31,81.84,1016820,0.0
2021-04-19,81.4,82.52,81.12,82.33,925769,0.0
2021-04-20,81.86,82.83,80.58,81.42,1065455,0.0
2021-04-21,81.08,81.71,80.2,81.26,2010191,0.0
2021-04-22,81.84,82.33,80.79,81.58,971633,0.0
2021-04-23,81.66,83.34,81.09,82.91,928500,0.0
2021-04-26,83.5,84.33,83.47,84.04,818156,0.0
2021-04-27,83.98,84.35,83.09,83.46,1068896,0.0
2021-04-28,83.55,83.55,82.3,82.62,1112722,0.0
2021-04-29,83.19,85.7,82.91,85.09,1101819,0.0
2021-04-30,84.94,85.69,84,85.18,992347,0.0
2021-05-03,85.93,86.05,84.49,85.43,984600,0.0
2021-05-04,84.97,86.07,84.53,85.44,1056037,0.0
2021-05-05,85.88,86.14,84.47,85,1032847,0.0
2021-05-06,85.37,85.37,83.67,85.3,1496789,0.0
2021-05-07,85.22,87.06,85.04,86.9,947793,0.0
2021-05-10,86.51,88.24,86.25,86.59,1352325,0.0
2021-05-11,85.77,86.68,84.66,85.73,1148581,0.0
2021-05-12,85.93,86.07,84.18,84.33,1211877,0.0
2021-05-13,84.64,86.97,84.64,86.39,1358911,0.0
2021-05-14,86.75,86.75,85.55,86.31,1832464,0.0
2021-05-17,86.48,86.8,85.555,86.68,856226,0.0
2021-05-18,87.17,87.2,85.64,85.64,1494453,0.0
2021-05-19,84.15,85.23,83.47,84.9,1421868,0.0
2021-05-20,84.9,88,84.68,87.79,1090810,0.0
2021-05-21,87.85,88.91,87.11,87.22,957539,0.0
2021-05-24,87.87,89.35,87.79,88.75,937577,0.0
2021-05-25,88.77,89.5,88.1,88.13,981621,0.0
2021-05-26,88.2,89.12,87.85,88.22,808397,0.0
2021-05-27,88.54,88.73,87.4,87.65,1361412,0.0
2021-05-28,88.02,88.26,87.4,87.76,892097,0.0
2021-06-01,88.55,89.88,88.13,89.63,1479988,0.0
2021-06-02,89.67,90.205,88.6,90,1022448,0.0
2021-06-03,89.56,89.95,88.09,88.82,811299,0.0
2021-06-04,88.97,89.07,87.27,87.97,962031,0.0
2021-06-07,88,88.36,87.38,87.76,786385,0.0
2021-06-08,87.63,89.89,87.44,89.42,1033801,0.0
2021-06-09,89.27,89.62,88.88,89.04,723691,0.0
2021-06-10,89.6,89.69,87.99,88,926207,0.0
2021-06-11,88.26,88.73,88.02,88.7,757315,0.0
2021-06-14,88.71,89.08,87.04,87.69,945465,0.0
2021-06-15,88.49,89.665,88.2,89.12,1082876,0.0
2021-06-16,88.58,89.09,87.225,87.82,1151361,0.0
2021-06-17,87.87,88.175,86.53,87.34,923026,0.0
2021-06-18,86.32,87.05,85.55,86.4,1269221,0.0
2021-06-21,87.29,89.27,86.88,89.01,1309002,0.0
2021-06-22,88.94,89.12,87.995,88.36,1028842,0.0
2021-06-23,88.21,88.25,86.55,86.55,1123766,0.0
2021-06-24,87.26,87.81,86.52,87.72,839157,0.0
2021-06-25,87.74,88.19,86.95,87.23,788799,0.0
2021-06-28,87.09,87.34,86.09,86.72,685171,0.0
2021-06-29,87.05,87.66,85.84,86.02,810488,0.0
2021-06-30,85.91,86.39,85.3234,85.72,1053399,0.0
2021-07-01,86.36,87.76,86,87.22,889559,0.0
2021-07-02,87.35,87.54,85.44,85.91,619261,0.0
2021-07-06,85.92,86.19,83.87,84.93,1127380,0.0
2021-07-07,84.59,85.535,84.31,85.12,1084413,0.0
2021-07-08,84.16,85.5,83.21,84.28,986002,0.0
2021-07-09,85.41,86.27,84.8391,85.82,1268381,0.0
2021-07-12,85.21,86.14,84.74,85.79,996323,0.0
2021-07-13,85.6,85.69,82.89,83.2,910950,0.0
2021-07-14,83.1,84.36,83.04,83.5,695608,0.0
2021-07-15,82.91,84.25,82.75,83.5,673574,0.0
2021-07-16,84.37,84.39,82.95,82.98,455072,0.0
2021-07-19,81.75,81.97,79.84,80.56,1386270,0.0
2021-07-20,81.07,84.36,80.94,83.89,828280,0.0
2021-07-21,84.41,86.19,84.36,85.96,830992,0.0
2021-07-22,85.94,86.76,84.99,86.75,1345845,0.0
2021-07-23,87.06,88.78,86.8613,87.71,1518448,0.0
2021-07-26,87.59,89.62,87.27,89.21,1117709,0.0
2021-07-27,89.2,91.44,88.87,91.36,1482185,0.0
2021-07-28,91.35,91.74,90.165,90.99,1646880,0.0
2021-07-29,94.5,97.43,94.05,95.58,1514493,0.0
2021-07-30,95.8,97.22,95.01,96.47,1253930,0.0
2021-08-02,97.38,97.96,95.36,95.67,821670,0.0
2021-08-03,96.18,96.29,94.82,96.21,919551,0.0
2021-08-04,96.5,98.37,95.91,96.64,1440587,0.0
2021-08-05,96.9,98.93,96.9,98.14,1132128,0.0
2021-08-06,98.47,98.91,96.85,97.76,712313,0.0
2021-08-09,97.13,97.51,95.94,96.29,943736,0.0
2021-08-10,96.2,96.9,95.95,96.29,1095574,0.0
2021-08-11,96.67,97,95.7,96.1,960387,0.0
2021-08-12,96.1,96.27,94.9,95.6,1610771,0.0
2021-08-13,95.41,95.51,94.4,95.41,591684,0.0
2021-08-16,94.99,94.99,93.71,94.34,823685,0.0
2021-08-17,93.66,94.09,92.175,92.93,1217244,0.0
2021-08-18,92.76,93.21,91.74,91.83,765175,0.0
2021-08-19,91.14,91.78,90.04,91.75,856291,0.0
2021-08-20,91.51,93.04,90.73,92.63,810776,0.0
2021-08-23,93.2,93.26,92.4,93.16,614231,0.0
2021-08-24,93.16,93.92,92.6,92.9,776817,0.0
2021-08-25,92.53,94.97,92.1799,94.49,831205,0.0
2021-08-26,94.46,94.68,93.3,93.64,729300,0.0
2021-08-27,94.13,96.12,94.13,95.61,733861,0.0
2021-08-30,95.63,96.22,95.07,96.01,743147,0.0
2021-08-31,96.09,97.52,95.89,96.27,1297901,0.0
2021-09-01,96.7,97.85,95.58,97.36,1014436,0.0
2021-09-02,97.72,98.11,96.82,97.91,797902,0.0
2021-09-03,97.73,98.67,97.5,98.54,745834,0.0
2021-09-07,98.09,98.51,97.3,97.98,1122619,0.0
2021-09-08,97.6,98.39,97.22,98.07,840555,0.0
2021-09-09,97.89,99.24,97.42,98.13,1335047,0.0
2021-09-10,98.74,99.73,96.74,96.91,1031071,0.0
2021-09-13,97.87,98.54,97.12,97.99,729764,0.0
2021-09-14,98.24,98.39,96.17,96.43,732467,0.0
2021-09-15,96.46,97.8145,95.98,97.42,550074,0.0
2021-09-16,97.26,98.21,96.95,97.3,523808,0.0
2021-09-17,96.31,97.64,95.21,95.76,1099675,0.0
2021-09-20,94.24,94.66,93.02,94.51,1163970,0.0
2021-09-21,95.57,95.77,93.56,93.71,871998,0.0
2021-09-22,95.14,96.39,94.38,95.86,676279,0.0
2021-09-23,96.6,97.48,95.955,95.99,965001,0.0
2021-09-24,95.46,96.98,95.29,96.52,580700,0.0
2021-09-27,96.81,97.955,96.02,97.16,1010558,0.0
2021-09-28,96.42,97.575,95.59,97.08,971453,0.0
2021-09-29,97.84,99.01,97.46,98.65,875341,0.0
2021-09-30,99.16,99.52,96.8,97.36,1265035,0.0
2021-10-01,97.9,101.01,97.38,100.43,1323744,0.0
2021-10-04,100.45,101.66,98.8,99.08,879460,0.0
2021-10-05,99.04,100.47,96.84,99.88,846249,0.0
2021-10-06,98.83,99.46,95.75,97.05,1489908,0.0
