Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,21.62,21.79,20.9,21.66,25679255,105911,21.454741
2021-01-04,21.64,21.71,20.04,20.38,40642471,204802,20.511023
2021-01-05,20.2,20.85,20.15,20.6,32464370,130760,20.504059
2021-01-06,20.55,20.915,20.16,20.4,35297223,140454,20.517781
2021-01-07,20.48,21.28,20.47,20.74,28989036,119661,20.933818
2021-01-08,20.85,21.02,20.18,20.47,30369968,139485,20.455014
2021-01-11,20.1,20.44,19.63,20.14,31268949,155950,20.06757
2021-01-12,20.05,20.14,19.61,20.13,33169457,154266,19.866529
2021-01-13,19.8,20.205,19.68,20.1,24793691,116843,19.96319
2021-01-14,20.51,21.55,20.45,20.92,46177603,183156,21.096517
2021-01-15,20.8,21.3993,20.5682,20.79,33962409,145728,20.924785
2021-01-19,21.03,21.255,20.61,20.87,21273465,112032,20.985098
2021-01-20,21.01,21.21,20.59,20.78,21272484,99848,20.813393
2021-01-21,20.7,20.88,20.32,20.74,20241739,107233,20.600704
2021-01-22,20.31,20.425,20.04,20.22,24753689,119044,20.214449
2021-01-25,19.8,19.8097,18.73,19.22,55843404,264244,19.168206
2021-01-26,19.3,19.51,18.62,18.72,44110744,197360,18.904287
2021-01-27,18.4,19.415,17.96,18.98,50581068,267796,18.854132
2021-01-28,20.02,20.67,19.655,19.74,59773217,331429,20.15092
2021-01-29,19.61,19.81,18.38,18.67,50346188,281687,18.888417
2021-02-01,18.98,19.13,18.41,18.8,27139176,152568,18.747217
2021-02-02,19.23,19.6,18.98,19.45,27697152,144118,19.342488
2021-02-03,19.64,20.49,19.4397,20.44,33549115,160757,20.153038
2021-02-04,21.0,21.325,20.66,21.05,32541713,161269,20.984886
2021-02-05,21.35,21.7482,21.13,21.31,29887319,148991,21.442962
2021-02-08,21.6,21.81,21.245,21.61,22167708,119867,21.537362
2021-02-09,21.36,21.42,20.68,21.05,26144120,137354,20.971662
2021-02-10,21.14,21.65,20.87,20.93,27930882,137270,21.186702
2021-02-11,20.89,21.13,20.46,20.72,22698383,114332,20.779098
2021-02-12,20.1,20.83,20.05,20.6,25063700,120297,20.501426
2021-02-16,21.14,22.56,20.96,22.47,55038113,253150,21.9858
2021-02-17,22.27,24.0599,21.88,23.2,59928838,287004,23.237878
2021-02-18,22.95,23.15,22.38,22.89,26607087,137240,22.748054
2021-02-19,23.61,24.72,23.48,24.59,52483257,236467,24.386883
2021-02-22,25.11,27.33,24.65,25.97,87361904,435410,26.318764
2021-02-23,25.1,26.725,23.46,26.46,115819546,532037,25.575147
2021-02-24,27.06,28.18,26.73,27.01,92985324,430262,27.404582
2021-02-25,27.89,28.2392,25.07,25.47,71020522,373486,26.235873
2021-02-26,25.89,26.86,25.2713,26.75,58096615,268917,26.270549
2021-03-01,27.21,27.915,26.02,26.31,59659206,310715,26.950234
2021-03-02,26.94,27.845,26.5401,27.59,49295032,222002,27.309254
2021-03-03,28.35,29.59,28.18,28.67,71576010,369519,28.905337
2021-03-04,29.03,29.43,26.23,27.4,74098246,414250,27.700107
2021-03-05,27.06,27.16,23.26,26.09,83747365,471244,25.37125
2021-03-08,27.04,27.27,25.795,26.69,48041739,236969,26.595843
2021-03-09,26.96,27.8483,25.8,27.58,42549099,204773,26.880891
2021-03-10,27.45,28.42,26.67,26.7,41997576,226260,27.198234
2021-03-11,27.0,27.77,26.48,27.47,33297291,172381,27.379007
2021-03-12,27.29,28.5,27.29,28.46,32492798,177745,28.161978
2021-03-15,29.0,30.12,28.9,29.79,53603606,303863,29.578967
2021-03-16,29.97,29.98,27.85,28.25,51043880,285040,28.673475
2021-03-17,28.12,28.95,27.8183,28.93,30463288,188443,28.450519
2021-03-18,29.5,29.74,28.02,28.27,47106754,270964,28.897818
2021-03-19,28.48,29.09,27.1302,28.96,41507327,211188,28.40975
2021-03-22,28.29,28.47,27.35,27.48,33792050,204730,27.798176
2021-03-23,27.0,27.34,25.18,25.33,51242247,308786,25.92158
2021-03-24,26.25,27.37,24.15,24.85,72339374,373952,25.807682
2021-03-25,23.88,26.035,23.72,25.85,47084989,245347,25.097685
2021-03-26,26.12,26.51,25.21,26.06,28542051,154033,25.843981
2021-03-29,26.05,26.1399,25.25,25.63,19988944,120811,25.692064
2021-03-30,25.73,26.83,25.6601,26.65,23735639,122754,26.392219
2021-03-31,26.58,26.8,25.91,26.54,21560443,120659,26.40243
2021-04-01,27.0,27.1,26.5327,26.86,19612982,112154,26.813984
2021-04-05,27.8,28.73,27.69,28.11,40089338,201864,28.244679
2021-04-06,28.17,29.0866,27.85,28.6,35514960,177676,28.570189
2021-04-07,29.46,30.6259,28.87,29.0,70900268,344317,29.732761
2021-04-08,29.08,29.13,27.82,28.56,37829231,196969,28.391801
2021-04-09,28.69,29.575,28.489,29.3,35817555,198151,29.12838
2021-04-12,28.9,29.08,27.48,27.75,38347947,212031,27.913756
2021-04-13,27.1,27.94,26.73,27.82,26321224,151552,27.410891
2021-04-14,28.04,28.7497,27.85,27.94,23135920,131954,28.244141
2021-04-15,28.15,28.2,27.12,27.32,23238995,139496,27.399283
2021-04-16,27.5,27.79,26.82,27.03,20512992,126875,27.115745
2021-04-19,27.1,27.27,26.385,26.89,21407615,128224,26.920949
2021-04-20,26.5,26.5098,25.12,25.72,30250371,186277,25.672049
2021-04-21,25.65,27.35,25.245,27.33,31310585,164221,26.64906
2021-04-22,26.97,27.9,26.77,26.91,29657331,169747,27.335538
2021-04-23,27.03,27.41,26.565,27.27,19329517,106687,27.168947
2021-04-26,27.82,28.5,27.31,27.55,20016450,113264,27.699008
2021-04-27,27.55,27.88,27.14,27.81,18058906,91454,27.633399
2021-04-28,27.71,28.265,27.57,27.8,17000004,94505,27.850729
2021-04-29,28.79,29.138,27.13,27.21,40210550,199562,28.027419
2021-04-30,27.0,28.01,26.87,27.96,21611418,116012,27.65292
2021-05-03,28.03,28.355,27.53,27.93,21818455,125620,28.033717
2021-05-04,27.5,27.56,26.2,26.68,33512095,203928,26.595598
2021-05-05,26.78,27.31,26.37,26.52,25636586,143340,26.703447
2021-05-06,26.5,26.83,25.52,25.95,25262160,162035,25.926523
2021-05-07,25.99,26.86,25.88,26.76,20193240,122960,26.578711
2021-05-10,26.79,26.83,26.23,26.27,17586124,116408,26.514828
2021-05-11,25.36,26.12,25.09,25.88,28054532,155972,25.699974
2021-05-12,25.5,25.84,24.68,24.78,23897683,147508,25.196096
2021-05-13,24.96,25.6,24.29,25.12,27906079,152730,25.010051
2021-05-14,25.53,27.26,25.51,27.2,35517431,183341,26.698408
2021-05-17,27.2,27.6,26.785,27.52,29753394,162717,27.222515
2021-05-18,27.65,28.62,27.42,28.0,33424833,164674,28.232384
2021-05-19,27.0,27.8,26.74,27.68,26322355,141739,27.336739
2021-05-20,27.63,27.68,26.9619,27.53,24020834,119991,27.305583
2021-05-21,27.89,28.04,27.155,27.17,20551460,100393,27.51689
2021-05-24,27.38,28.15,26.9,27.9,26473252,132437,27.730318
2021-05-25,28.25,29.37,28.23,28.58,38680522,202053,28.763223
2021-05-26,28.82,29.42,28.625,29.37,24530155,128527,29.130446
2021-05-27,29.53,30.0,29.22,30.0,30291763,152661,29.641902
2021-05-28,29.95,30.065,29.41,29.56,25635761,134420,29.725082
2021-06-01,30.12,30.75,29.91,30.15,36825675,186852,30.333182
2021-06-02,30.24,31.5,29.93,31.31,36078655,187088,30.981565
2021-06-03,31.04,31.3,30.35,30.67,24269757,144230,30.753926
2021-06-04,30.95,31.105,30.25,30.54,19384111,109211,30.610517
2021-06-07,30.75,31.455,30.65,30.89,24165631,137944,31.067859
2021-06-08,30.96,31.52,30.61,31.08,25061690,128954,31.003168
2021-06-09,31.19,31.35,30.43,30.45,18466110,101116,30.886649
2021-06-10,30.66,30.77,29.41,29.83,30468212,154031,29.918014
2021-06-11,29.5,30.04,29.29,29.93,20193376,110395,29.731387
2021-06-14,29.82,29.98,28.63,28.75,24529844,133473,29.092466
2021-06-15,28.8,29.39,28.41,28.61,19065800,106729,28.707657
2021-06-16,28.93,29.485,28.69,29.28,25412627,135830,29.113415
2021-06-17,29.28,29.72,28.41,28.42,25967090,145065,28.857598
2021-06-18,28.21,28.515,27.725,28.18,26723120,142769,28.197366
2021-06-21,28.33,28.7,27.91,28.67,21864235,116365,28.309239
2021-06-22,28.55,28.69,27.795,28.06,18369090,107153,28.151572
2021-06-23,28.09,28.49,28.0208,28.15,17891103,101301,28.179405
2021-06-24,28.13,28.535,27.39,27.46,31268922,168154,27.733166
2021-06-25,27.6,28.23,27.52,28.13,31558831,123993,27.968856
2021-06-28,27.35,27.53,26.0,26.15,63771000,355394,26.449049
2021-06-29,26.18,26.49,25.76,25.78,33283789,172055,25.991924
2021-06-30,25.76,26.48,25.69,26.36,22806711,120241,26.239815
2021-07-01,26.5,26.85,26.12,26.36,19318141,101115,26.443369
2021-07-02,26.3,26.3,25.7,26.06,20492241,109071,25.978938
2021-07-06,26.1,26.2784,24.93,25.02,30642777,173451,25.271078
2021-07-07,24.83,25.29,23.87,24.08,36344786,194214,24.306486
2021-07-08,23.35,24.155,22.84,23.72,37039455,196533,23.574552
2021-07-09,24.07,24.34,23.62,24.26,23099927,115274,24.13762
2021-07-12,23.97,24.01,23.555,23.86,23019998,122783,23.832403
2021-07-13,23.53,23.56,22.82,22.85,27115525,135776,23.114378
2021-07-14,23.02,23.36,22.48,22.58,26583889,132509,22.811653
2021-07-15,22.3,22.455,21.37,21.95,43199325,190989,21.906392
2021-07-16,22.23,22.36,20.8,20.92,41457475,179284,21.36183
2021-07-19,19.8,20.295,19.19,19.72,84915178,378303,19.729297
2021-07-20,19.88,21.38,19.62,21.19,68320032,291160,20.673322
2021-07-21,21.67,23.36,21.67,23.19,76726227,310608,22.832965
2021-07-22,22.71,22.88,22.19,22.71,40853993,181657,22.555934
2021-07-23,22.71,22.8,21.89,21.96,32614966,144956,22.152974
2021-07-26,21.8,23.2,21.71,23.16,37036265,163177,22.589831
2021-07-27,22.92,23.33,22.49,22.8,26480719,129253,22.773615
2021-07-28,23.15,23.39,22.2,22.82,27044500,131856,22.748933
2021-07-29,23.08,23.34,22.7,22.71,26431147,120490,22.987518
2021-07-30,22.22,22.68,21.49,21.65,36745905,153374,21.913554
2021-08-02,21.75,22.555,21.355,21.46,34063547,148907,21.864258
2021-08-03,21.55,21.6,20.52,21.43,33233568,156580,21.015069
2021-08-04,20.96,21.69,20.82,21.04,33230856,147568,21.143501
2021-08-05,21.2,22.65,21.14,22.55,32930644,151895,22.172717
2021-08-06,22.85,23.1,22.4101,23.08,30740317,130679,22.857779
2021-08-09,22.87,22.87,21.99,22.71,29934492,125381,22.478431
2021-08-10,22.74,23.85,22.7173,23.65,34875561,133474,23.416497
2021-08-11,23.58,24.01,23.07,23.99,29474461,120741,23.728975
2021-08-12,23.71,23.88,22.96,23.36,29176150,115696,23.270881
2021-08-13,23.3,23.3799,22.74,22.86,21225025,98040,23.053937
2021-08-16,22.56,22.93,21.94,22.79,25782769,110704,22.557634
2021-08-17,22.26,22.5,21.66,22.04,26315154,114744,22.096756
2021-08-18,22.02,22.98,21.675,22.48,31020610,133793,22.526212
2021-08-19,22.04,22.27,21.34,21.66,27903555,129267,21.709667
2021-08-20,21.51,22.02,21.33,21.96,22609154,99859,21.753171
2021-08-23,22.26,22.99,22.24,22.83,23970032,115630,22.704365
2021-08-24,23.2,24.07,23.2,23.84,32771849,141608,23.755123
2021-08-25,24.0,24.32,23.4101,24.11,30570385,121974,24.084274
2021-08-26,23.85,24.32,23.24,23.47,28723062,124553,23.748991
2021-08-27,23.57,24.57,23.54,24.35,36659597,132591,24.202554
