Date,Estimate,Actual
2022-01-10,None,None
2021-10-06,-1.23,None
2021-06-24,-1.6,-1.8
2021-04-07,-1.54,-1.79
2021-01-26,-1.94,-2.02
2020-10-08,-2.2,-2.19
2020-07-10,-2.26,-3.3
2020-03-19,0.27,0.22
2019-12-20,0.5,0.62
2019-09-26,2.53,2.63
2019-06-20,0.61,0.66
2019-03-26,0.44,0.49
2018-12-20,0.7,0.7
2018-09-27,2.32,2.36
2018-06-25,0.6,0.68
2018-03-22,0.43,0.52
2017-12-19,0.51,0.63
2017-09-26,2.2,2.29
2017-06-22,0.47,0.52
2017-03-28,0.35,0.38
2016-12-20,0.58,0.67
2016-09-26,1.89,1.92
2016-06-28,0.39,0.49
2016-03-30,0.32,0.39
2015-12-18,0.42,0.5
2015-09-22,1.63,1.75
2015-06-23,0.16,0.25
2015-03-27,0.1,0.2
2014-12-19,0.2,0.27
2014-09-23,1.44,1.58
2014-06-24,0.02,0.1
2014-03-25,-0.08,0
2013-12-19,0,0.04
2013-09-24,1.3,1.38
2013-06-25,0.06,0.09
2013-03-15,0.02,0.08
2012-12-20,0.11,0.13
2012-09-25,1.43,1.53
2012-06-22,0.08,0.2
2012-03-09,-0.08,-0.2
2011-12-20,0.28,0.28
2011-09-20,1.63,1.69
2011-06-21,0.23,0.26
2011-03-22,0.19,0.19
2010-12-21,0.31,0.31
2010-09-21,1.47,1.62
2010-06-22,0.29,0.32
2010-03-23,0.14,0.22
2009-12-18,0.2,0.24
2009-09-22,1.17,1.33
2009-06-18,0.28,0.33
2009-03-24,0.19,0.33
2008-12-18,0.4,0.47
2008-09-18,1.58,1.65
2008-06-19,0.41,0.49
2008-03-20,0.29,0.3
2007-12-20,0.43,0.44
2007-09-20,1.62,1.67
2007-06-19,0.47,0.48
2007-03-16,0.34,0.35
2006-12-21,0.47,0.51
2006-09-21,1.46,1.49
2006-06-16,0.44,0.46
2006-03-23,0.36,0.34
2005-12-16,0.41,0.43
2005-09-19,1.35,1.36
2005-06-16,0.45,0.49
2005-03-21,0.4,0.42
2004-12-16,0.31,0.36
2004-09-17,1.2,1.23
2004-06-17,0.35,0.41
2004-03-22,0.22,0.25
2003-12-18,0.27,0.26
2003-09-18,0.88,0.9
2003-06-26,0.22,0.19
2003-03-21,0.18,0.22
2002-12-19,0.3,0.33
2002-09-20,0.77,0.85
2002-07-22,0.3,0.33
2002-03-21,0.16,0.22
2001-12-20,0.18,0.2
2001-09-20,0.81,0.84
2001-06-21,0.3,0.32
2001-03-21,0.2,0.22
2000-12-21,0.36,0.37
2000-09-21,0.64,0.67
2000-06-20,0.31,0.32
2000-03-17,0.28,0.28
1999-12-17,0.39,0.4
1999-09-16,0.64,0.67
1999-06-17,0.31,0.33
1999-03-18,0.24,0.26
1998-12-17,0.33,0.37
1998-09-16,0.56,0.59
1998-06-22,0.25,0.27
1998-03-20,0.17,0.19
1997-12-19,0.25,0.26
1997-09-18,0.5,0.5
1997-06-19,0.21,0.22
1997-03-20,0.14,0.14
