Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,78.08,78.55,77.58,78.48,704915,9194,78.275979
2021-01-04,78.4,79.03,76.55,77.74,2180674,28603,77.718562
2021-01-05,77.5,78.5,77.34,78.21,1123622,15211,78.017286
2021-01-06,76.74,78.95,76.52,78.83,1807083,23476,78.344915
2021-01-07,78.9,80.0,78.395,79.63,1824508,20840,79.508726
2021-01-08,79.5,80.0,78.37,79.86,1586941,21347,79.465237
2021-01-11,79.65,79.8,78.45,78.88,1343690,16314,78.916785
2021-01-12,78.79,79.19,78.28,78.93,1199202,17592,78.911051
2021-01-13,79.01,80.82,78.8686,80.65,2375537,24188,80.44916
2021-01-14,80.43,81.75,80.23,80.33,2281977,26661,80.76582
2021-01-15,80.12,80.47,79.08,80.21,1454798,16038,79.996323
2021-01-19,79.25,80.0261,78.76,79.51,1332912,15286,79.447989
2021-01-20,79.26,80.0,78.8,79.74,1184177,13197,79.584288
2021-01-21,80.0,80.17,79.41,79.62,964341,11730,79.692445
2021-01-22,79.64,80.26,79.21,79.9,1312509,13438,79.843705
2021-01-25,79.85,81.36,79.755,80.5,1525629,15896,80.468655
2021-01-26,80.66,81.44,79.93,81.33,1010765,14417,81.034646
2021-01-27,80.9,84.059,80.9,83.3,3087879,36750,82.937992
2021-01-28,83.12,84.2,80.62,80.66,2149602,24638,81.696821
2021-01-29,80.12,81.255,79.25,80.11,1492443,18546,80.165901
2021-02-01,80.76,80.76,79.47,80.09,1340444,17467,80.177533
2021-02-02,80.54,82.06,80.435,80.48,1169541,15747,80.873993
2021-02-03,80.35,80.65,79.2,79.74,1067015,14753,79.937183
2021-02-04,80.04,81.26,79.608,80.09,991700,14125,80.320627
2021-02-05,80.78,80.85,79.695,79.82,928485,12921,80.039266
2021-02-08,79.79,80.22,78.14,78.5,2401993,24593,78.817858
2021-02-09,78.83,79.49,78.67,79.02,1876163,18987,79.002123
2021-02-10,79.56,79.99,78.7425,79.0,2266172,22123,79.157064
2021-02-11,77.53,78.37,75.0574,75.9,3171389,33006,75.970445
2021-02-12,75.5,75.54,74.41,74.95,3211086,29671,74.963069
2021-02-16,75.1,75.2,72.6,72.75,4968612,38904,72.976156
2021-02-17,72.4,73.72,72.23,72.49,3918090,36577,72.866182
2021-02-18,72.68,72.83,72.02,72.54,2994441,30795,72.509096
2021-02-19,72.55,72.94,71.3,71.56,2772991,26350,71.920042
2021-02-22,71.56,71.96,70.74,70.91,2594308,29636,71.065936
2021-02-23,70.54,71.425,69.52,70.07,5757371,50734,70.196485
2021-02-24,69.96,70.79,69.66,70.29,3670179,32963,70.279201
2021-02-25,70.61,71.61,69.92,69.94,3339913,35775,70.55778
2021-02-26,70.26,70.61,69.1175,69.14,3481428,34568,69.519632
2021-03-01,69.48,70.38,69.48,70.15,4312488,31212,70.095195
2021-03-02,70.26,70.6,69.5,69.61,2759549,22216,69.80013
2021-03-03,69.22,69.34,68.18,68.55,2324759,24573,68.687911
2021-03-04,70.28,70.31,67.96,68.22,3540821,37991,68.731663
2021-03-05,68.44,70.57,68.22,70.39,4389931,41125,69.618618
2021-03-08,70.31,71.365,70.11,70.17,2617756,26304,70.613673
2021-03-09,70.77,71.63,70.48,70.53,2513049,25845,71.002207
2021-03-10,71.0,71.44,70.33,70.83,2412342,24987,71.042628
2021-03-11,72.0,72.2,70.99,71.08,3362619,27978,71.449243
2021-03-12,70.54,71.7652,70.54,71.26,3321872,26637,71.240158
2021-03-15,71.65,72.6744,71.29,72.38,3351051,34401,72.277921
2021-03-16,72.88,73.45,72.12,72.2,2668659,22835,72.447386
2021-03-17,72.41,72.65,71.61,72.3,3777260,27123,72.284089
2021-03-18,72.16,72.73,71.66,71.74,2840478,26357,72.129133
2021-03-19,71.69,72.24,71.4,71.95,4598464,23882,71.910032
2021-03-22,71.53,72.2,71.15,71.97,3285141,23565,71.883157
2021-03-23,72.14,72.47,71.51,71.73,1982553,24114,71.902636
2021-03-24,71.39,72.61,71.35,71.83,2404698,25908,72.050065
2021-03-25,72.15,72.41,71.34,72.28,1643989,23849,71.945367
2021-03-26,72.2,72.47,71.75,72.43,1553711,19744,72.135858
2021-03-29,72.33,72.99,71.85,72.49,1681328,24488,72.458373
2021-03-30,72.14,72.48,71.07,71.64,1623299,22043,71.581296
2021-03-31,71.65,72.48,71.3,71.88,2118722,21610,71.994056
2021-04-01,72.19,73.24,71.75,72.92,2022002,25175,72.788248
2021-04-05,72.68,73.52,72.68,73.25,1861467,16801,73.210705
2021-04-06,73.25,73.55,71.761,72.19,2121471,22913,72.278736
2021-04-07,72.12,72.56,72.05,72.26,1648071,20090,72.243798
2021-04-08,72.73,72.91,72.055,72.2,1821549,19607,72.296261
2021-04-09,72.37,73.13,72.2,72.79,2270900,26378,72.696533
2021-04-12,72.73,73.83,72.73,73.55,2319683,22840,73.518259
2021-04-13,73.35,74.12,73.27,74.01,1600606,21725,73.758359
2021-04-14,74.22,74.4839,73.39,73.83,2481568,26096,73.773298
2021-04-15,74.05,75.15,74.03,74.57,1750823,24577,74.731912
2021-04-16,74.59,75.5,74.31,75.29,4056147,26689,75.229884
2021-04-19,75.39,75.41,74.38,74.67,1387832,21612,74.810924
2021-04-20,74.7,75.74,74.63,75.33,1249144,20362,75.433639
2021-04-21,75.51,76.13,75.37,75.88,2498028,20413,75.872486
2021-04-22,76.0,76.37,75.48,75.94,1840405,20576,76.023218
2021-04-23,75.86,75.98,75.2048,75.56,1226483,16158,75.661991
2021-04-26,75.55,75.88,74.81,75.61,1312979,17513,75.566025
2021-04-27,75.27,75.94,74.93,75.51,1455821,17085,75.478541
2021-04-28,75.74,76.0065,74.75,74.97,1597137,18946,75.00213
2021-04-29,74.97,75.36,74.54,75.34,1569400,19224,75.098967
2021-04-30,74.98,75.565,74.51,75.05,2170434,24798,74.922867
2021-05-03,75.2,76.06,75.1701,75.99,2589692,21320,75.871779
2021-05-04,75.73,75.74,75.01,75.48,2800908,28329,75.395738
2021-05-05,73.0,74.64,71.8193,74.6,5630321,51172,73.707535
2021-05-06,74.63,75.53,74.4,75.17,2249945,29603,74.96773
2021-05-07,75.02,77.21,74.82,76.68,3864190,38823,76.500839
2021-05-10,78.33,79.22,77.32,77.35,4750809,48472,77.979207
2021-05-11,77.05,77.79,76.1,76.69,3834834,36245,76.764193
2021-05-12,76.55,77.01,76.24,76.31,2815521,32877,76.542164
2021-05-13,76.14,77.15,76.0,76.87,1910502,25100,76.818186
2021-05-14,77.51,77.62,76.79,76.8,1961895,20729,77.052425
2021-05-17,76.62,77.35,76.42,76.5,2256494,19555,76.643385
2021-05-18,76.67,78.46,76.51,77.92,3813506,34937,77.723181
2021-05-19,77.51,78.5,77.18,78.43,2694649,32819,78.037708
2021-05-20,78.26,79.015,78.08,78.46,2711351,28415,78.615502
2021-05-21,78.78,79.235,77.485,77.53,2680761,30187,77.985543
2021-05-24,77.97,78.005,76.95,77.0,2453603,28928,77.318714
2021-05-25,77.1,79.13,76.74,78.12,6452171,56770,78.02431
2021-05-26,78.34,79.38,78.0,79.03,4550220,40302,78.872989
2021-05-27,79.24,79.5,78.215,78.29,2337091,25375,78.530912
2021-05-28,78.78,79.075,78.23,78.25,1938193,22763,78.54778
2021-06-01,78.4,78.66,77.53,77.9,1753784,24177,77.965561
2021-06-02,77.8,78.52,77.69,78.05,2776449,29113,78.176624
2021-06-03,77.88,80.33,77.84,80.26,3771951,36986,79.715172
2021-06-04,80.35,81.42,79.99,80.35,3125006,30750,80.399111
2021-06-07,80.72,80.72,79.3,79.53,3090360,31043,79.760931
2021-06-08,79.53,80.3,79.25,79.49,1928626,23915,79.614653
2021-06-09,79.64,80.32,79.64,80.03,2190710,27190,79.999982
