Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,93.24,93.91,92.76,93.87,665166,7906,93.579615
2021-01-04,93.65,93.97,91.8,92.37,1139071,16241,92.523427
2021-01-05,91.93,93.58,90.58,91.5,1439849,19706,91.453804
2021-01-06,92.15,95.4,92.15,95.24,1509382,21802,94.628417
2021-01-07,95.49,96.33,94.44,96.16,1088713,16106,95.82848
2021-01-08,96.27,98.65,96.11,97.36,1249714,18492,97.514538
2021-01-11,97.18,97.2,94.46,96.53,991770,13400,96.09571
2021-01-12,96.36,98.18,95.25,97.9,936819,13700,97.351462
2021-01-13,97.86,98.025,95.48,95.71,954030,10955,95.91261
2021-01-14,96.61,97.7129,95.84,97.37,772879,11530,97.318243
2021-01-15,97.34,97.895,94.69,95.21,1505679,14196,95.47017
2021-01-19,96.06,97.99,95.56,96.44,1608635,14279,96.68798
2021-01-20,97.5,100.5,96.58,98.8,2013890,21766,99.278122
2021-01-21,98.44,99.9,97.94,97.95,1226722,13208,98.357036
2021-01-22,97.2,98.37,96.51,97.8,801789,12176,97.721703
2021-01-25,97.83,99.99,97.68,99.32,1377222,18500,99.058438
2021-01-26,99.17,100.46,96.6,97.5,2526904,28831,98.228737
2021-01-27,91.66,95.3983,89.06,91.52,3167120,37071,91.649572
2021-01-28,92.95,93.525,88.91,88.99,1789575,24111,89.99982
2021-01-29,88.98,89.41,84.765,85.56,2347454,21797,85.782725
2021-02-01,85.56,86.82,85.3,86.43,1251813,17547,86.116279
2021-02-02,87.54,88.8,86.39,86.62,1289547,17662,87.054905
2021-02-03,86.61,87.52,86.28,86.93,970155,11893,86.948827
2021-02-04,87.4,87.99,86.24,87.31,888353,10111,87.308394
2021-02-05,87.38,88.86,86.88,88.84,766023,10290,88.365498
2021-02-08,89.2,90.09,88.85,89.97,1025313,12982,89.582263
2021-02-09,90.28,91.92,89.69,91.87,931041,12496,91.481243
2021-02-10,91.98,92.3,89.92,90.96,897334,13652,91.047917
2021-02-11,91.53,91.68,89.07,90.28,738170,11414,90.058424
2021-02-12,90.2,91.47,90.14,91.3,655267,9843,91.099916
2021-02-16,91.41,92.0,88.335,88.5,1057557,14889,89.146253
2021-02-17,88.1,90.04,87.3321,89.95,883692,13210,89.448838
2021-02-18,89.51,91.44,89.335,91.24,713609,11832,90.925489
2021-02-19,91.42,92.19,90.54,90.78,941675,13169,91.245466
2021-02-22,90.73,90.73,89.38,89.82,735404,12079,89.986836
2021-02-23,89.78,90.73,88.36,89.78,736002,12980,89.653597
2021-02-24,89.66,90.5,89.23,90.03,1080396,16104,90.014052
2021-02-25,90.33,91.23,89.755,90.0,904591,15569,90.167864
2021-02-26,90.0,92.08,89.79,90.85,1404100,18456,91.098441
2021-03-01,91.47,93.09,91.35,92.22,849618,14632,92.417819
2021-03-02,92.21,94.31,91.95,93.12,1367855,16426,93.119919
2021-03-03,92.95,94.93,91.98,92.97,1183172,16271,93.562168
2021-03-04,92.88,93.33,91.69,91.99,1229393,17545,92.156606
2021-03-05,92.0,94.59,91.43,94.03,1000007,16394,93.385824
2021-03-08,94.88,95.365,91.74,91.81,1105488,19230,93.406821
2021-03-09,92.77,95.16,92.095,93.61,988840,14703,94.004853
2021-03-10,93.91,94.85,93.59,94.52,800711,11367,94.389775
2021-03-11,94.21,95.06,93.34,94.53,982872,15340,94.395304
2021-03-12,95.0,96.325,94.455,95.92,767164,13165,95.768979
2021-03-15,96.05,97.26,95.97,97.22,740138,11593,96.659207
2021-03-16,96.88,97.18,94.84,96.18,688416,10660,96.060136
2021-03-17,96.68,96.68,94.5,95.18,696612,11996,95.25018
2021-03-18,94.76,97.23,94.76,95.61,844148,12699,96.086834
2021-03-19,96.31,97.37,95.46,96.7,2270799,15748,96.58415
2021-03-22,96.91,97.28,94.595,95.59,1311156,12970,95.512344
2021-03-23,95.39,96.05,94.66,95.11,669375,10414,95.042832
2021-03-24,95.14,96.64,94.83,95.07,808099,12556,95.569936
2021-03-25,95.62,96.74,94.6,96.28,699888,10760,96.016647
2021-03-26,96.86,97.87,96.5,97.7,1159500,18368,97.276184
2021-03-29,97.7,98.9,96.73,97.41,884576,14919,97.797528
2021-03-30,97.5,98.38,97.4,97.81,803871,12505,97.811318
2021-03-31,98.14,98.26,95.08,95.43,1259605,17319,95.908618
2021-04-01,95.6,97.49,94.995,97.15,917496,13937,96.648312
2021-04-05,97.97,98.65,97.045,97.68,798604,13653,97.690847
2021-04-06,97.0,98.25,97.0,97.56,811389,12248,97.658082
2021-04-07,95.19,97.75,96.03,96.27,613699,10661,96.673571
2021-04-08,96.07,96.7,95.46,96.51,656879,10983,96.402836
2021-04-09,96.86,97.81,96.54,97.45,545279,9075,97.388284
2021-04-12,97.49,99.14,97.22,99.08,643449,11329,98.401567
2021-04-13,98.8,99.32,97.45,98.2,787590,11695,98.129205
2021-04-14,98.0,98.73,97.42,98.52,722809,10482,98.253977
2021-04-15,99.04,101.0299,98.19,100.77,1085051,17686,100.19854
2021-04-16,101.37,104.35,100.3,100.75,1387708,22224,101.839048
2021-04-19,100.56,100.56,98.34,98.64,660198,12432,98.954861
2021-04-20,98.97,99.67,98.33,99.49,583240,12854,99.083127
2021-04-21,99.68,100.58,98.69,98.96,808325,14614,99.37443
2021-04-22,98.78,100.04,98.43,99.17,812351,14321,99.179452
2021-04-23,99.56,100.3,98.84,99.78,841216,13399,99.751762
2021-04-26,100.62,100.7,97.75,98.14,992589,16025,98.511713
2021-04-27,98.2,99.26,96.35,96.59,1749698,24009,97.310874
2021-04-28,93.9,95.0,92.0,93.63,2482682,33432,93.232975
2021-04-29,93.94,97.44,93.6,97.43,1634998,24929,96.489155
2021-04-30,97.47,98.52,96.26,97.08,2310744,25392,97.410413
2021-05-03,97.49,100.0,97.11,99.07,1389662,16509,99.089853
2021-05-04,98.95,99.942,98.38,99.3,1093073,18123,99.197496
2021-05-05,99.39,99.75,97.87,98.87,891572,14558,98.643655
2021-05-06,98.92,99.41,97.15,98.07,787921,15324,97.78503
2021-05-07,98.06,99.78,97.33,99.51,896551,14708,98.949613
2021-05-10,100.0,102.65,99.94,101.73,1386355,21196,101.85189
2021-05-11,101.03,101.2,98.02,99.09,950822,18436,99.181403
2021-05-12,98.15,98.75,97.04,97.15,912640,15188,97.608083
2021-05-13,97.45,99.69,97.3,99.21,595770,12507,98.816129
2021-05-14,99.36,100.28,98.9,99.78,673748,12432,99.905969
2021-05-17,99.54,99.99,98.62,99.03,679379,13426,99.2809
2021-05-18,99.06,99.5,97.41,97.49,660534,13673,97.899243
2021-05-19,97.03,97.47,95.42,97.38,1011573,16866,96.659591
2021-05-20,97.35,98.0173,96.4,96.51,946107,15708,97.00961
2021-05-21,96.37,97.93,96.34,96.58,2444840,15761,96.675574
2021-05-24,97.62,97.89,96.28,97.72,821847,16280,97.50903
2021-05-25,97.71,97.86,95.76,96.14,1014935,15007,96.345834
2021-05-26,96.0,97.35,95.97,97.34,856866,12597,96.963962
2021-05-27,97.74,98.37,96.94,97.13,1518945,14908,97.35084
2021-05-28,97.24,98.57,96.79,97.02,935939,15215,97.194449
2021-06-01,97.64,97.745,96.13,96.42,792149,13170,96.612923
2021-06-02,96.73,96.73,95.29,95.57,760246,14918,95.734498
2021-06-03,95.06,96.36,94.35,96.16,1332360,13436,95.895527
2021-06-04,95.82,96.54,95.58,96.34,971281,15967,96.138416
2021-06-07,98.58,98.74,96.89,98.55,1071334,17559,98.143738
2021-06-08,98.13,99.1,97.72,98.67,1035365,17069,98.597282
2021-06-09,99.11,99.32,98.265,99.0,1165211,16054,98.817552
2021-06-10,99.36,99.59,98.4,99.17,1104592,18621,99.010284
2021-06-11,99.3,100.07,99.17,100.0,759463,13132,99.788722
2021-06-14,100.15,100.22,98.41,98.71,896519,15579,99.259344
2021-06-15,98.68,99.37,97.87,99.18,742645,15528,98.793275
2021-06-16,99.37,99.37,96.36,96.47,981835,16353,97.011362
2021-06-17,96.4,96.685,94.5165,95.02,986940,19377,95.10612
2021-06-18,93.95,94.39,92.03,92.89,1966945,19949,93.150015
2021-06-21,93.53,95.08,93.335,94.35,778257,13989,94.468296
2021-06-22,94.14,95.53,93.76,95.36,864949,14542,95.146624
2021-06-23,95.54,95.74,94.33,94.35,624518,10753,94.731627
2021-06-24,95.04,95.04,94.02,94.35,508800,9190,94.419422
2021-06-25,94.12,95.92,93.76,95.79,1016930,11997,95.51699
2021-06-28,95.99,95.99,94.11,94.27,709841,13781,94.466761
2021-06-29,94.29,94.9799,93.52,94.54,704475,12845,94.502301
2021-06-30,94.21,94.395,93.15,93.67,2087360,15243,93.617136
2021-07-01,94.14,94.31,92.365,94.21,1297112,19133,93.586045
2021-07-02,94.25,94.65,93.54,93.78,756586,14796,93.929483
2021-07-06,93.61,93.61,91.93,92.82,946954,14768,92.659689
2021-07-07,92.77,93.8,92.36,93.34,846728,15360,93.216717
2021-07-08,92.52,92.7,91.41,91.76,780160,15544,91.902399
2021-07-09,92.66,93.37,92.36,93.17,826847,12370,93.05088
2021-07-12,93.17,93.57,92.405,92.74,686629,12504,92.766967
2021-07-13,92.02,92.99,92.02,92.62,1001808,15057,92.519475
2021-07-14,93.09,95.36,92.83,94.65,1328696,21177,94.430945
2021-07-15,94.21,95.6,93.82,93.94,902468,14833,94.464271
2021-07-16,94.11,94.21,93.26,93.3,1372832,12582,93.416383
2021-07-19,92.61,93.445,92.21,93.13,1125278,18241,92.953744
2021-07-20,93.37,94.42,92.86,93.11,1062714,17156,93.458136
2021-07-21,93.05,94.04,92.78,93.14,737715,13051,93.123918
2021-07-22,93.11,93.2,91.67,91.77,1042113,13420,92.265428
2021-07-23,92.23,92.95,91.24,92.88,706305,12210,92.339155
2021-07-26,92.61,93.82,92.36,92.5,863371,13380,92.754717
2021-07-27,91.89,92.29,91.14,91.32,2237100,18807,91.409488
2021-07-28,86.75,90.0,84.67,88.51,2729772,34135,88.277209
2021-07-29,89.15,89.96,88.82,89.23,1173331,17731,89.353508
2021-07-30,89.0,89.68,88.45,89.17,1564006,15533,89.157555
2021-08-02,89.28,90.2816,88.92,89.65,1073887,18294,89.681769
2021-08-03,89.85,91.91,89.42,91.41,1253416,21894,91.245115
2021-08-04,90.98,91.29,90.09,90.36,796795,13978,90.523431
2021-08-05,90.82,91.21,89.13,89.74,934185,14464,89.712365
2021-08-06,90.45,91.35,90.14,91.0,1044608,15688,91.003667
2021-08-09,90.71,90.72,89.53,89.61,545248,9909,89.932725
2021-08-10,89.8,90.11,89.35,89.4,603798,10153,89.638045
2021-08-11,89.94,91.235,89.49,90.82,691904,10907,90.717146
2021-08-12,90.98,91.675,90.425,91.23,634313,10413,91.192242
2021-08-13,91.26,92.44,91.11,91.9,655915,11479,92.027599
2021-08-16,91.69,92.965,91.52,92.32,726099,11998,92.40108
2021-08-17,91.77,91.84,90.47,91.46,678971,12473,91.224325
2021-08-18,91.11,91.61,88.7,88.77,1074675,15046,89.498855
2021-08-19,88.28,88.75,87.12,87.77,826700,13155,87.803898
2021-08-20,87.84,88.9,87.465,88.69,756500,11413,88.581723
2021-08-23,89.09,90.225,88.95,89.53,723041,12399,89.736526
2021-08-24,89.61,90.2376,89.24,89.56,580329,10267,89.575145
2021-08-25,89.56,90.78,89.31,90.31,763779,11349,90.3039
2021-08-26,90.08,90.39,89.59,89.99,516473,10330,89.9387
2021-08-27,90.1,91.08,89.82,90.74,767926,14685,90.705318
2021-08-30,90.89,91.585,90.47,90.76,692816,13398,91.030702
2021-08-31,90.78,91.05,89.6201,90.06,1721596,17653,90.115502
2021-09-01,90.07,90.07,87.56,89.16,1510416,21636,88.97599
2021-09-02,89.24,90.81,88.83,90.76,1198119,17961,90.285577
2021-09-03,90.56,91.14,89.9728,90.09,759215,13407,90.431156
2021-09-07,90.3,90.3,88.41,88.49,900172,16879,88.999517
2021-09-08,88.34,89.39,87.87,89.11,877603,13454,88.873853
2021-09-09,88.83,89.26,86.81,87.28,1152142,16437,87.56063
2021-09-10,87.99,89.139,87.87,88.4,1157948,18738,88.582905
2021-09-13,89.68,90.79,88.941,89.13,1535041,24742,89.628208
2021-09-14,89.59,90.43,89.12,90.08,1130161,17421,89.909765
2021-09-15,90.36,91.35,89.9,90.67,1147208,16990,90.82913
2021-09-16,90.74,91.76,90.24,90.27,1041587,14997,90.630831
2021-09-17,89.8,89.8,86.87,87.44,4922820,24804,87.61291
2021-09-20,86.86,87.5,86.07,86.82,1225232,21043,86.76092
2021-09-21,87.32,87.74,86.375,87.45,854068,13316,87.23791
2021-09-22,87.73,88.08,87.23,87.51,801070,17604,87.588245
2021-09-23,87.83,88.68,87.75,88.46,750129,13377,88.320171
2021-09-24,88.17,89.27,87.88,88.51,857273,15231,88.635888
2021-09-27,88.75,90.25,88.14,89.71,770571,15492,89.77244
2021-09-28,89.59,90.09,88.51,88.7,693624,13913,88.894481
2021-09-29,88.83,88.94,87.68,88.44,694701,11675,88.298583
2021-09-30,88.58,89.0,86.41,87.0,994274,14412,87.51075
2021-10-01,87.6,87.91,85.8,86.35,910447,16972,86.508972
2021-10-04,86.69,87.2,86.1,86.46,1030237,16497,86.457727
2021-10-05,86.7,87.88,86.04,87.36,675627,12108,87.328463
2021-10-06,86.52,88.84,86.495,88.72,730239,12549,88.240229
2021-10-07,89.15,90.21,89.06,89.64,701672,11836,89.697055
2021-10-08,89.66,90.82,89.47,90.66,737923,12493,90.313096
2021-10-11,92.41,92.48,90.91,91.26,769364,13513,91.475699
2021-10-12,91.16,91.96,90.5,90.85,707155,10731,91.073422
2021-10-13,90.78,92.16,89.82,91.49,710219,12774,91.211699
2021-10-14,91.92,93.97,91.92,93.94,884629,15473,93.429789
2021-10-15,94.99,96.395,94.57,94.63,1114073,19549,95.162321
2021-10-18,95.66,100.65,95.24,97.03,2381560,31843,98.139897
2021-10-19,97.17,97.8,96.47,97.56,708161,12459,97.375342
2021-10-20,97.73,98.39,97.4,98.35,587416,10808,98.100603
2021-10-21,98.81,99.22,97.99,98.8,596023,12623,98.643255
2021-10-22,99.0,99.965,98.81,99.7,630120,11772,99.609159
2021-10-25,99.7,99.85,97.86,98.19,1171149,21779,98.661479
2021-10-26,98.81,99.55,97.17,98.51,1749547,30079,98.383543
2021-10-27,98.49,98.49,94.125,97.64,2620760,38682,96.153
2021-10-28,98.08,99.24,97.525,98.14,1201789,20308,98.27978
2021-10-29,97.23,98.48,96.34,96.99,1246064,18077,97.019372
2021-11-01,97.49,97.93,95.81,96.0,1202410,18110,96.397397
2021-11-02,96.02,96.26,94.06,94.57,1673759,27281,94.893835
2021-11-03,94.38,94.86,91.34,94.48,2266881,31238,93.747196
2021-11-04,95.07,96.87,94.76,96.05,966667,17560,95.937166
2021-11-05,96.68,96.95,93.5,93.82,943506,17509,94.475524
2021-11-08,94.2,95.06,93.82,94.46,853455,17783,94.51492
2021-11-09,94.4,95.1,94.005,94.18,562341,13427,94.331294
2021-11-10,94.0,94.45,92.3,92.86,815290,14643,92.835891
2021-11-11,93.07,93.5,92.44,92.85,595257,13869,92.968623
2021-11-12,92.62,94.76,92.49,94.49,657498,12262,94.260728
2021-11-15,94.84,95.69,94.11,95.62,905288,15683,95.193351
2021-11-16,95.6,97.79,95.38,96.49,1376998,19056,96.764102
2021-11-17,96.12,96.16,94.4,94.45,685494,13047,94.910324
2021-11-18,94.47,95.0,92.32,93.91,848430,13898,93.475001
2021-11-19,94.13,96.435,93.55,96.27,1188640,19890,95.684633
2021-11-22,96.81,98.21,96.24,96.78,931823,16071,97.229415
2021-11-23,96.55,97.81,95.85,97.77,762280,13933,97.335684
2021-11-24,97.48,98.44,97.36,98.26,729636,14777,98.089945
2021-11-26,96.89,98.16,95.54,96.28,613748,11418,97.016992
2021-11-29,96.81,96.83,95.43,95.62,836309,16284,95.793029
2021-11-30,94.92,95.73,94.21,95.09,2202183,18991,95.078372
2021-12-01,96.09,96.6,93.82,93.87,967432,19742,95.265263
2021-12-02,93.93,95.08,93.15,94.22,1298377,22225,94.265328
2021-12-03,94.82,97.05,94.82,97.0,1571812,20944,96.425928
2021-12-06,97.62,98.58,97.21,97.9,1100119,21424,98.052575
2021-12-07,98.34,100.5,98.08,98.29,965342,18079,99.034016
2021-12-08,98.8,99.955,98.63,99.58,1036085,18314,99.461955
2021-12-09,99.58,101.23,98.97,100.63,1147902,18564,100.546595
2021-12-10,101.96,104.81,101.61,104.7,2127231,30150,103.804035
2021-12-13,104.84,106.3,102.57,104.99,1620822,23983,104.82717
2021-12-14,104.31,105.7,103.32,103.63,1287896,18039,103.914116
2021-12-15,104.28,105.51,103.49,103.96,1151457,19078,104.438104
2021-12-16,104.47,105.67,104.14,104.39,978722,15450,104.73184
2021-12-17,104.29,104.64,101.12,101.37,2405855,24328,101.770336
2021-12-20,101.03,101.71,99.855,100.75,1120329,18411,100.579568
2021-12-21,100.9,102.28,100.415,101.72,1178904,19443,101.504036
2021-12-22,102.09,102.665,100.87,101.29,654841,12383,101.564996
2021-12-23,101.45,103.1599,101.45,102.45,513114,10823,102.678016
2021-12-27,102.85,104.61,102.5,104.48,458396,9273,103.895157
2021-12-28,104.64,106.25,104.4,106.13,774392,12052,105.830287
2021-12-29,106.23,108.06,105.9,107.42,930322,16144,107.521097
2021-12-30,107.58,107.92,106.6,107.09,483432,10813,107.093897
2021-12-31,107.09,107.92,106.6785,107.63,589481,9553,107.534725
2022-01-03,109.12,110.5,107.295,107.9,1382548,19887,108.621718
2022-01-04,107.74,110.93,107.16,110.38,1408650,22796,110.183206
2022-01-05,110.55,111.99,109.5,109.63,1404145,22839,110.744195
2022-01-06,111.07,112.15,108.86,110.95,1061217,15738,110.731766
2022-01-07,110.74,110.74,107.98,108.43,1320155,19841,108.879505
2022-01-10,108.11,108.665,106.36,107.84,1330455,22784,107.812183
2022-01-11,108.17,108.64,106.53,107.98,964453,17649,107.510398
2022-01-12,108.66,109.145,106.54,107.35,990582,14797,107.349416
2022-01-13,107.65,108.95,107.3,108.45,1164178,14373,108.311438
2022-01-14,107.54,108.44,106.09,108.29,1099110,17331,107.644485
2022-01-18,107.18,109.29,106.685,109.1,879684,15879,108.592819
2022-01-19,109.1,109.98,107.44,107.51,1018024,19201,108.205547
2022-01-20,109.48,109.63,104.875,105.04,1239374,21132,106.350999
2022-01-21,105.35,107.35,104.7,104.98,1040182,17108,105.60999
2022-01-24,104.55,107.83,104.14,107.58,1179280,23993,106.082269
2022-01-25,106.41,107.5,104.48,105.14,1052081,20696,105.368645
2022-01-26,104.0,104.99,101.84,102.65,1292882,22706,103.229203
2022-01-27,103.73,105.35,102.61,102.82,1240523,22395,103.452873
2022-01-28,103.0,104.13,101.895,104.1,838573,17545,103.163785
2022-01-31,103.7,104.77,102.72,104.65,1486038,16936,104.193284
2022-02-01,104.99,107.18,103.48,104.57,1476995,26082,104.57919
2022-02-02,93.93,96.97,92.3032,92.54,3568914,49434,93.814738
2022-02-03,92.25,93.24,89.405,89.56,2271177,35764,90.765401
2022-02-04,88.91,90.05,86.57,88.73,2024216,28973,88.356809
2022-02-07,88.94,90.02,87.39,89.32,1467772,23218,88.992863
2022-02-08,89.67,90.01,87.9,88.21,1271686,20715,88.77457
2022-02-09,88.56,89.68,87.58,89.37,2009032,27458,88.966838
2022-02-10,88.74,91.745,88.18,90.33,1446521,23509,90.506028
