Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,86.64,87.46,85.525,87.37,446652,7191,86.875723
2021-01-04,87.82,88.29,83.87,84.5,974674,16028,84.768544
2021-01-05,84.77,85.61,82.62,83.7,574821,9771,83.708396
2021-01-06,85.76,88.125,84.92,87.64,731692,11483,87.281925
2021-01-07,88.25,88.32,86.8,87.68,652160,12614,87.588301
2021-01-08,87.92,87.92,86.55,87.78,685995,13031,87.454716
2021-01-11,87.54,89.26,86.875,88.67,600065,9736,88.641173
2021-01-12,89.18,93.83,88.63,92.47,686726,12744,92.269472
2021-01-13,91.79,92.7,90.19,91.81,847870,10003,91.873802
2021-01-14,92.16,93.76,90.855,93.49,901963,13328,93.102245
2021-01-15,93.48,94.8508,92.29,93.7,909737,13289,93.910644
2021-01-19,93.14,94.62,92.821,93.77,772146,9635,94.008538
2021-01-20,93.9,94.34,91.48,92.48,528843,8802,92.617359
2021-01-21,92.3,92.545,88.26,88.28,800263,12758,89.123837
2021-01-22,87.66,87.84,84.64,87.32,1344628,14089,86.916275
2021-01-25,86.53,88.99,85.173,88.48,983378,13605,87.815021
2021-01-26,89.11,89.23,86.76,86.78,1382282,16878,87.444289
2021-01-27,85.19,86.055,83.96,84.25,2367923,24514,85.102522
2021-01-28,85.02,86.29,84.77,85.63,753478,12698,85.730735
2021-01-29,85.48,85.56,83.56,84.09,1138636,12014,84.231967
2021-02-01,85.13,87.98,84.5,87.41,808206,14796,86.900289
2021-02-02,88.03,88.03,86.17,87.11,726400,9285,87.042972
2021-02-03,86.76,87.03,85.245,86.12,464045,8064,86.06885
2021-02-04,86.26,88.19,85.74,87.34,629629,9729,87.352824
2021-02-05,87.64,87.9262,86.63,86.71,495901,9258,86.939079
2021-02-08,87.07,87.82,86.48,87.66,515934,8741,87.512945
2021-02-09,88.01,88.8,86.6,87.18,1095959,13959,87.656966
2021-02-10,87.5,89.36,86.7987,89.04,758744,11014,88.573098
2021-02-11,90.99,95.0,90.641,91.37,1330629,16783,92.26983
2021-02-12,90.9,92.55,90.63,92.42,578258,9447,91.892662
2021-02-16,93.5,93.5,90.52,90.82,2655521,12752,90.90501
2021-02-17,91.39,93.84,90.83,93.8,684684,11722,92.791593
2021-02-18,92.35,95.44,92.35,94.68,818532,12688,94.620019
2021-02-19,95.06,97.09,95.06,96.26,661372,10023,96.373789
2021-02-22,95.47,97.35,95.28,96.98,2411607,11650,96.896707
2021-02-23,98.0,99.17,96.54,98.41,694887,11945,98.250947
2021-02-24,98.7,101.41,98.45,100.89,625973,10691,100.718886
2021-02-25,101.75,102.08,98.77,98.77,1020669,14297,99.917149
2021-02-26,98.7,99.91,97.18,97.87,1100327,15127,98.232791
2021-03-01,98.98,102.31,98.98,101.16,1057178,14186,101.27993
2021-03-02,100.61,101.44,99.5,99.98,526981,10218,100.299595
2021-03-03,99.97,102.41,99.82,101.09,982454,12362,101.37144
2021-03-04,101.08,101.75,98.2802,99.87,855831,15676,100.025433
2021-03-05,101.42,104.68,100.085,104.26,667923,11792,102.968263
2021-03-08,105.0,108.39,104.03,107.02,643699,13918,106.850299
2021-03-09,106.41,108.22,104.79,105.46,657651,12693,106.465486
2021-03-10,106.46,107.4,105.48,106.25,529309,10283,106.348238
2021-03-11,105.72,106.12,104.29,104.74,578531,8528,105.054227
2021-03-12,107.02,107.73,106.18,107.61,522140,8699,107.125605
2021-03-15,107.15,108.99,105.875,108.93,740098,13601,107.982285
2021-03-16,107.17,107.25,104.25,106.41,684819,14074,105.880037
2021-03-17,107.46,107.46,105.37,106.3,820461,13579,106.460406
2021-03-18,107.3,108.89,105.65,107.79,1252038,19385,107.497395
2021-03-19,106.61,108.25,105.27,107.0,4507370,20691,107.047311
2021-03-22,107.15,107.705,105.3276,105.86,562090,10959,106.142953
2021-03-23,104.9,105.9724,104.015,104.64,650677,10247,104.919738
2021-03-24,105.68,106.59,104.56,104.62,589272,10626,105.336676
2021-03-25,104.96,106.27,103.24,106.08,526010,11859,105.119994
2021-03-26,106.42,106.86,104.42,105.79,837668,14235,105.620708
2021-03-29,104.78,105.69,102.8,104.04,850760,13480,104.080085
2021-03-30,104.04,105.5,104.04,105.08,717473,9140,104.965622
2021-03-31,104.62,104.65,103.04,103.09,691051,10998,103.608605
2021-04-01,102.89,104.95,102.18,104.14,745197,13591,103.964755
2021-04-05,104.8,105.87,104.53,105.59,697398,10831,105.417277
2021-04-06,105.36,106.02,104.51,105.95,498803,8890,105.659402
2021-04-07,106.0,106.18,104.38,105.25,486424,9740,105.104818
2021-04-08,105.11,105.285,104.34,104.52,517186,10390,104.753799
2021-04-09,105.22,105.36,103.8,105.09,898819,13423,104.663361
2021-04-12,105.45,106.58,105.34,106.5,499606,11189,105.93655
2021-04-13,106.38,106.65,105.39,105.42,583986,10200,105.838783
2021-04-14,105.85,106.62,105.62,106.0,452897,9635,106.15088
2021-04-15,106.12,106.69,105.555,106.45,508570,10429,106.262286
2021-04-16,107.55,107.55,105.84,106.39,522127,9158,106.593807
2021-04-19,106.9,107.35,105.64,107.245,327112,7497,106.83681
2021-04-20,107.61,108.43,106.37,107.0,355807,8732,107.170489
2021-04-21,107.24,110.0,106.69,109.82,615387,8429,109.47359
2021-04-22,109.37,110.3,108.55,108.84,493795,9220,109.25156
2021-04-23,109.65,110.28,108.81,109.36,527669,9890,109.585954
2021-04-26,109.81,111.0,108.37,109.02,638996,9888,109.27769
2021-04-27,108.71,109.91,108.19,108.43,722773,8705,108.584002
2021-04-28,108.2882,108.593,106.29,106.76,698391,12223,107.140195
2021-04-29,110.05,112.25,108.84,111.5,1047318,17337,111.244697
2021-04-30,110.88,113.0,110.3,112.68,1864722,13793,112.363738
2021-05-03,114.26,115.435,112.04,114.9,943570,14226,114.503619
2021-05-04,114.62,116.59,114.2,116.3,754020,13008,115.809694
2021-05-05,116.2,118.17,114.6191,117.68,881364,13002,117.091814
2021-05-06,118.42,119.8,117.68,119.73,449150,10097,118.732713
2021-05-07,117.99,120.52,117.5,120.35,863531,12614,119.786998
2021-05-10,121.41,122.8,120.57,120.64,828871,12162,121.383869
2021-05-11,120.38,120.38,117.84,118.15,687562,12975,118.625959
2021-05-12,118.72,119.4,116.76,116.96,495657,10672,117.547206
2021-05-13,116.5,120.5,115.8,119.95,479403,9744,119.388889
2021-05-14,119.52,121.73,118.355,121.02,338920,7686,120.817516
2021-05-17,120.61,121.23,119.66,120.2,325897,6658,120.382886
2021-05-18,120.42,120.42,119.035,119.24,463039,11469,119.633686
2021-05-19,118.26,119.74,116.975,119.63,780575,12850,118.849084
2021-05-20,119.27,121.89,118.4,121.17,613146,11818,120.736858
2021-05-21,121.05,122.355,119.59,120.28,515137,9072,120.449575
2021-05-24,120.53,121.27,119.75,120.93,535910,8343,120.714662
2021-05-25,120.74,121.29,119.08,119.25,516122,10001,119.877015
2021-05-26,119.97,120.222,118.69,118.89,537168,9908,119.102245
2021-05-27,119.71,121.11,118.87,120.8,954016,12732,120.443096
2021-05-28,121.09,121.81,120.1,121.71,583729,8692,121.489606
2021-06-01,122.29,122.988,121.26,121.85,527760,11958,122.012889
2021-06-02,122.17,122.29,120.905,122.19,493718,8465,121.946608
2021-06-03,121.9,123.82,121.09,123.36,652312,10071,122.970524
2021-06-04,123.77,124.29,122.55,124.22,315635,7286,123.594678
2021-06-07,124.34,124.37,122.52,122.76,334820,7488,122.831685
2021-06-08,122.47,123.91,121.58,123.41,600187,9812,123.29066
2021-06-09,123.05,123.17,120.56,121.14,740759,12580,121.413843
2021-06-10,121.95,122.665,121.33,121.55,332881,6927,121.860288
2021-06-11,121.77,122.0,121.19,121.8,270887,5936,121.718622
2021-06-14,121.29,121.42,119.88,120.48,326192,7198,120.466382
2021-06-15,120.87,122.38,120.0,121.7,458418,10606,121.40374
2021-06-16,120.65,121.13,119.1001,120.28,531634,9737,120.398964
2021-06-17,120.58,120.58,115.91,116.74,410805,9358,117.129094
2021-06-18,115.09,115.66,113.1,113.82,1414960,15089,113.982592
2021-06-21,114.33,117.04,114.33,116.86,556641,8547,116.386542
2021-06-22,117.03,117.73,115.83,117.27,448832,6185,117.22617
2021-06-23,116.97,117.43,116.53,116.79,286455,5906,116.961471
2021-06-24,117.48,118.0158,116.8,117.75,408337,7249,117.568368
2021-06-25,117.95,119.5,117.19,119.08,831728,7872,118.902134
2021-06-28,118.93,118.93,116.03,117.38,744704,12392,117.23343
2021-06-29,117.34,118.28,116.155,116.36,671800,12111,116.865367
2021-06-30,116.26,117.32,115.22,116.62,612657,9703,116.347392
2021-07-01,117.06,118.22,116.26,117.92,358892,7621,117.771216
2021-07-02,117.79,117.97,116.895,117.84,293427,5832,117.64657
2021-07-06,117.83,117.83,114.32,116.38,540858,8219,115.948003
2021-07-07,115.66,117.34,115.66,117.2,383867,8603,116.785223
2021-07-08,115.68,116.115,113.32,113.76,603443,12198,114.083279
2021-07-09,116.26,118.99,115.4857,118.87,775689,12717,118.027523
2021-07-12,118.05,120.38,117.4,119.81,556267,11364,119.698248
2021-07-13,119.81,119.81,118.62,118.71,479611,10662,119.01744
2021-07-14,119.42,120.16,117.19,118.0,394990,8457,118.016491
2021-07-15,117.05,118.95,116.58,118.49,387036,8795,118.163482
2021-07-16,118.84,119.25,117.97,118.53,375109,8488,118.578478
2021-07-19,116.92,116.92,113.33,114.13,466131,12387,114.257259
2021-07-20,114.52,118.13,114.52,117.17,491517,10033,117.13229
2021-07-21,118.36,119.22,117.495,117.64,323500,7364,117.980998
2021-07-22,117.11,117.11,114.88,115.02,350451,8527,115.343988
2021-07-23,115.68,116.34,114.42,115.24,404127,10097,115.126948
2021-07-26,115.26,117.19,115.26,116.77,451895,10466,116.578613
2021-07-27,115.87,116.58,114.47,116.05,551647,10849,115.972678
2021-07-28,116.46,116.46,112.89,113.7,529372,10649,114.139669
