Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,84.96,85.6,84.53,85.51,1893101,17220,85.173714
2021-01-04,84.95,85.555,83.53,84.33,3505996,38195,84.344168
2021-01-05,84.33,84.82,83.37,84.52,2559272,24153,84.343886
2021-01-06,84.16,84.79,81.87,82.25,9053894,66569,82.913986
2021-01-07,81.91,82.5529,81.14,81.8,5061003,43392,81.889317
2021-01-08,82.09,82.61,81.82,82.35,5570566,47388,82.197097
2021-01-11,82.35,83.06,82.1,82.14,4430835,37085,82.405294
2021-01-12,81.85,82.75,81.85,82.26,4359810,39136,82.353334
2021-01-13,82.25,82.93,82.25,82.49,4069447,35855,82.642135
2021-01-14,82.77,82.78,81.62,81.94,3732522,35645,82.072896
2021-01-15,81.94,82.4355,81.69,81.88,6359615,37892,81.936592
2021-01-19,82.48,82.55,80.74,80.85,4004356,34084,81.231943
2021-01-20,79.84,80.447,78.9,80.2,6897350,49412,79.931177
2021-01-21,80.18,80.43,78.76,79.28,5771997,50490,79.372724
2021-01-22,78.83,78.92,77.9,78.19,4816319,40295,78.306673
2021-01-25,78.21,79.1,78.15,78.61,7750420,68637,78.589291
2021-01-26,78.87,79.09,77.93,78.75,5788404,45958,78.703007
2021-01-27,78.55,78.99,77.84,78.03,6289834,55646,78.251911
2021-01-28,78.04,79.83,78.03,79.15,8037887,68128,79.403192
2021-01-29,78.91,80.2,77.84,78.0,7405227,59843,78.620605
2021-02-01,78.64,79.7,78.32,78.52,6514497,59847,78.824351
2021-02-02,78.85,79.75,78.56,78.85,5018843,48475,79.173936
2021-02-03,79.0,79.41,78.53,78.88,3863638,34751,78.910407
2021-02-04,78.77,79.2785,78.45,78.93,3919636,38450,78.947992
2021-02-05,79.16,80.07,79.11,79.87,3579308,29171,79.705546
2021-02-08,80.0,80.13,79.27,79.7,3829167,33634,79.637878
2021-02-09,79.64,79.66,78.36,78.7,3682304,32370,78.765184
2021-02-10,79.0,79.47,78.265,79.11,4883029,39498,78.987892
2021-02-11,79.25,79.3,78.345,78.41,3105978,25411,78.615624
2021-02-12,78.33,78.5,77.78,78.43,2732393,27217,78.205761
2021-02-16,78.05,78.22,77.065,78.19,5147642,39771,77.80586
2021-02-17,77.9,78.92,77.86,78.44,3320924,29567,78.458494
2021-02-18,78.34,78.86,78.09,78.72,2565643,27728,78.580671
2021-02-19,78.62,78.75,77.105,77.2,4540246,36640,77.803696
2021-02-22,77.22,77.44,76.875,77.27,2573353,29808,77.207099
2021-02-23,77.95,78.44,77.0,77.49,4135176,40202,77.643802
2021-02-24,77.09,77.64,76.625,76.64,4083608,38681,76.899272
2021-02-25,76.6,77.17,76.282,76.69,4178113,42131,76.712765
2021-02-26,76.62,76.66,75.15,75.2,5421225,48876,75.61627
2021-03-01,75.44,76.36,75.33,75.6,3872423,37078,75.923322
2021-03-02,75.64,76.045,75.26,75.42,4979063,44738,75.636671
2021-03-03,75.1,75.27,74.18,74.61,5705652,48428,74.563203
2021-03-04,74.92,75.935,74.27,74.44,6337463,50292,74.86466
2021-03-05,74.61,76.24,74.57,76.06,10241260,83967,75.604519
2021-03-08,75.76,77.26,75.38,76.45,4676317,48102,76.579967
2021-03-09,76.73,77.34,74.85,74.94,7085446,64490,75.770687
2021-03-10,75.29,76.33,74.141,75.8,7028778,59965,75.330282
2021-03-11,75.57,75.86,75.11,75.27,4842609,44339,75.4631
2021-03-12,76.04,76.25,75.39,75.51,3141741,35906,75.685093
2021-03-15,76.04,76.12,74.91,75.68,4865592,39241,75.431917
2021-03-16,75.85,76.39,75.5,75.86,4268616,38257,75.861111
2021-03-17,76.15,76.42,75.4,75.8,3914868,41290,75.939513
2021-03-18,75.66,76.21,74.67,76.07,3366667,36925,75.679502
2021-03-19,76.1,76.5,74.85,74.98,11897104,71698,75.22342
2021-03-22,74.98,75.925,74.84,75.77,8160489,74336,75.510728
2021-03-23,76.2,78.32,75.82,77.75,6060898,57690,77.466096
2021-03-24,76.9,78.26,76.9,77.77,4255464,44007,77.685076
2021-03-25,78.3,78.54,77.475,77.89,4769499,45648,77.949276
2021-03-26,77.79,79.26,77.52,79.22,4175373,43784,78.604871
2021-03-29,79.11,79.975,79.11,79.9,3811904,45174,79.725459
2021-03-30,79.47,79.74,79.01,79.33,4842554,42998,79.376232
2021-03-31,79.75,79.82,78.61,78.83,4493197,42308,79.097715
2021-04-01,78.53,79.0576,77.58,78.55,4870521,44684,78.505342
2021-04-05,78.73,79.91,78.61,79.53,4018209,35013,79.545844
2021-04-06,79.25,80.14,79.21,79.86,3810097,35208,79.775338
2021-04-07,80.23,80.33,79.46,79.62,5011502,35921,79.768957
2021-04-08,79.7,79.85,79.195,79.64,3758274,36336,79.557534
2021-04-09,79.67,80.17,79.17,79.78,3488202,32968,79.699062
2021-04-12,79.8,80.46,79.62,80.16,2736166,34888,80.077268
2021-04-13,79.5,79.83,79.12,79.73,3395520,37213,79.584201
2021-04-14,79.79,79.81,79.0,79.38,3770504,40003,79.382661
2021-04-15,79.77,80.755,79.57,80.46,3597344,38851,80.43365
2021-04-16,80.88,80.96,80.3,80.7,5700198,37562,80.710715
2021-04-19,80.48,80.58,79.708,80.37,3468945,35051,80.215681
2021-04-20,79.93,81.88,79.82,81.33,3789143,41449,81.114689
2021-04-21,81.73,82.05,80.81,81.15,3751665,36136,81.249148
2021-04-22,80.93,81.6299,80.725,81.05,4019172,36477,81.061283
2021-04-23,80.41,80.63,79.48,79.79,3934903,38293,79.92168
2021-04-26,79.75,79.89,78.97,79.28,3914410,35919,79.277345
2021-04-27,78.96,79.13,78.41,78.56,4126596,42094,78.722953
2021-04-28,79.06,79.27,78.585,78.77,3339061,34135,78.834648
2021-04-29,79.12,80.23,79.02,79.82,4780857,49977,79.841927
2021-04-30,79.61,81.16,79.61,80.7,7229669,57781,80.563834
2021-05-03,80.84,81.25,80.1855,81.07,3693759,41080,80.95894
2021-05-04,81.2,82.0,80.85,81.09,4086449,39461,81.263661
2021-05-05,80.95,81.55,80.53,81.32,3079652,32070,81.170592
2021-05-06,81.63,82.3981,81.37,82.31,3211091,38533,82.124032
2021-05-07,82.22,82.54,81.86,82.18,2258653,26344,82.210418
2021-05-10,82.61,83.925,82.44,83.39,3840409,49707,83.440912
2021-05-11,83.6,83.63,82.185,82.44,5103287,51162,82.726757
2021-05-12,82.51,82.84,81.93,82.05,4039388,43393,82.316793
2021-05-13,81.76,83.76,81.45,83.26,4210635,43623,83.029215
2021-05-14,83.49,84.01,83.36,83.54,3787473,40881,83.715739
2021-05-17,83.79,84.27,83.38,83.55,3530004,34210,83.678491
2021-05-18,83.16,83.88,82.76,83.11,3024228,34416,83.211659
2021-05-19,82.8,83.255,82.44,83.21,4078574,47311,82.937877
2021-05-20,83.26,84.68,83.17,84.09,3966888,41850,84.237552
2021-05-21,84.29,84.66,84.015,84.23,3497927,34857,84.213795
2021-05-24,84.37,84.91,84.095,84.4,3196167,34066,84.606247
2021-05-25,84.47,84.68,83.9,84.59,3472842,43556,84.3778
2021-05-26,84.88,84.88,84.2,84.43,2601736,29217,84.419938
