Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-13,35.1704,35.3,34.425,34.97,28363504,0.0
2020-05-14,34.7838,35.835,34.165,35.77,22459585,0.0
2020-05-15,35.3102,35.98,34.85,35.94,45253576,0.0
2020-05-18,36.94,38.35,36.83,38.095,39854502,0.0
2020-05-19,37.83,38.66,37.33,38.2,25538443,0.0
2020-05-20,38.61,39.24,38.5,39.19,19297122,0.0
2020-05-21,38.84,39.185,38.56,38.96,35276756,0.0
2020-05-22,38.67,39,38.465,38.74,21144404,0.0
2020-05-26,39.45,40.13,39.395,39.59,15836730,0.0
2020-05-27,39.63,40.47,39.62,39.92,33045218,0.0
2020-05-28,39.97,40.13,39.44,39.53,15067227,0.0
2020-05-29,39.56,39.82,38.8,39.7,14082105,0.0
2020-06-01,39.54,40.27,39.4,40.19,23859418,0.0
2020-06-02,40.13,40.825,40.12,40.78,29844230,0.0
2020-06-03,41.15,41.575,40.99,41.3,27568774,0.0
2020-06-04,40.97,41.38,40.84,41.295,10621471,0.0
2020-06-05,42.13,43.1,41.99,42.14,16456787,0.0
2020-06-08,41.93,43.18,41.9022,43.11,26199142,0.0
2020-06-09,42.67,42.89,41.88,42.19,20343660,0.0
2020-06-10,42.1,42.12,41.13,41.35,13137762,0.0
2020-06-11,40.91,41.27,39.19,39.25,35605906,0.0
2020-06-12,39.59,39.97,39.17,39.225,3438612,0.0
2020-06-15,39.29,40.085,38.54,39.83,27076280,0.0
2020-06-16,40.54,41.05,39.14,39.76,35331665,0.0
2020-06-17,39.78,39.89,39.115,39.2,26814389,0.0
2020-06-18,39.19,39.6,38.95,39.44,23755514,0.0
2020-06-19,39.85,40.46,38.87,39.1,19952419,0.0
2020-06-22,38.8,39.05,38.315,38.44,13723127,0.0
2020-06-23,38.93,39.65,38.69,39.2,20072234,0.0
2020-06-24,39.48,39.48,38.13,38.58,16673185,0.0
2020-06-25,38.36,38.735,37.77,38.58,14150573,0.0
2020-06-26,38.3,38.74,38.03,38.67,18461667,0.0
2020-06-29,38.87,39.03,38.39,38.96,16260415,0.0
2020-06-30,38.5,39.13,38.12,38.97,15706815,0.0
2020-07-01,39.61,40.21,39.4,39.69,15066472,0.0
2020-07-02,40.04,40.279,39.165,39.26,15690070,0.0
2020-07-06,39.8,40.37,39.65,40.34,14015997,0.0
2020-07-07,40.04,40.35,40,40.08,16032091,0.0
2020-07-08,40.13,40.24,39.52,39.72,10391041,0.0
2020-07-09,39.7,39.72,39.025,39.3,13418069,0.0
2020-07-10,39.23,40.54,39.14,40.5,17059000,0.0
2020-07-13,40.47,41.0982,40.18,40.56,14906104,0.0
2020-07-14,39.95,41.29,39.8309,41.18,17575081,0.0
2020-07-15,41.11,42.08,41.05,41.96,18011428,0.0
2020-07-16,41.71,42.18,41.66,42.105,11228002,0.0
2020-07-17,42.48,42.48,41.9,42.18,13019557,0.0
2020-07-20,41.99,42.105,41.76,41.95,10966385,0.0
2020-07-21,42.14,42.77,42.06,42.57,19482813,0.0
