Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,182.34,185.11,181.72,183.91,1179996,0.0
2020-12-07,180.53,183.66,180.09,183.18,983269,0.0
2020-12-08,182.11,184.29,179.465,183.39,1357629,0.0
2020-12-09,184.3,184.5,180.94,182.24,1110033,0.0
2020-12-10,181.44,183.77,181.17,182.45,1089958,0.0
2020-12-11,181.34,184.34,179.77,180.181,1338576,0.0
2020-12-14,181.71,182.28,177.57,177.74,1018476,0.0
2020-12-15,178.54,181.4,177.76,181.4,1070699,0.0
2020-12-16,181.44,183.23,181,181.63,763420,0.0
2020-12-17,183.08,185.26,182.2,184.92,1400749,0.0
2020-12-18,185.21,187,181.87,183.8,1614262,0.0
2020-12-21,181.57,182.88,179.66,181.78,1010863,0.0
2020-12-22,181.84,182.9899,180.61,180.95,736441,0.0
2020-12-23,181.45,183.305,180.2,180.33,1074980,0.0
2020-12-24,177.83,178.85,177.15,178.61,417423,0.0
2020-12-28,179.15,181.07,178.71,180.36,804937,0.0
2020-12-29,181.14,181.48,178.69,178.91,754046,0.0
2020-12-30,179.85,180.18,177.77,178,661580,0.0
2020-12-31,178.56,182.2199,178.11,182.07,992206,0.0
2021-01-04,183.1,183.17,177.685,179.3,1101122,0.0
2021-01-05,179.62,179.75,177.51,179.13,1186409,0.0
2021-01-06,181.61,194.81,181.16,193.38,3818160,0.0
2021-01-07,197.24,199.3,195.01,198.86,2157104,0.0
2021-01-08,196.9816,200.86,196.9816,199.68,1606412,0.0
2021-01-11,198.52,200.33,197.0125,198.94,1158397,0.0
2021-01-12,199.29,202.1,198.57,201.36,1434698,0.0
2021-01-13,202.47,205.05,197.67,197.95,1678469,0.0
2021-01-14,198.24,198.925,193.73,194.14,1027807,0.0
2021-01-15,192.66,193.68,191.14,191.92,1075037,0.0
2021-01-19,193.22,194.35,191.0301,192.17,1004399,0.0
2021-01-20,192.28,192.74,188.86,189.71,892365,0.0
2021-01-21,189.45,189.45,186.07,186.15,957972,0.0
2021-01-22,185.51,185.95,183.89,183.89,868040,0.0
2021-01-25,183.69,185.12,182.07,184.43,1067463,0.0
2021-01-26,184.6088,185.335,183.02,183.74,871934,0.0
