Date,Open,High,Low,Close,Volume,OpenInterest
2020-08-03,193.96,197.39,192.74,195.46,1243783,0.0
2020-08-04,194.7,196.1,192.92,193.02,1381334,0.0
2020-08-05,194.87,198.9,194.23,198.27,1778547,0.0
2020-08-06,197.64,198.335,195.68,196.22,1522027,0.0
2020-08-07,196.01,199.3,195,199.21,1400824,0.0
2020-08-10,202.86,210.67,202.68,210.26,2324110,0.0
2020-08-11,211.49,215,211.11,212.01,2673761,0.0
2020-08-12,213.49,214.32,211.4,213.21,1503981,0.0
2020-08-13,211.78,211.91,209.2878,210.27,716270,0.0
2020-08-14,209.98,215.43,209.22,213.5,783357,0.0
2020-08-17,214.24,214.885,210.218,210.46,1642908,0.0
2020-08-18,211,212.63,209.49,210,1536990,0.0
2020-08-19,209.54,212.77,209.27,211.13,1564579,0.0
2020-08-20,208.91,209.77,207.31,209.04,1104953,0.0
2020-08-21,208.24,210.51,207.24,209.03,1267383,0.0
2020-08-24,210.56,211.935,209.6564,211.13,940212,0.0
2020-08-25,212.27,213.6859,209.57,210.12,1092641,0.0
2020-08-26,209.65,210.38,207.7,209.15,936888,0.0
2020-08-27,210,210.5532,206.71,207.71,1061731,0.0
2020-08-28,208.45,209.4225,206.63,208.72,680476,0.0
2020-08-31,208.61,209.07,206.85,207.23,927717,0.0
2020-09-01,207.75,211.4993,206.12,211.06,1889412,0.0
2020-09-02,211.52,213.62,211.52,212.83,1851285,0.0
2020-09-03,212.51,213.71,202.8218,204.56,1862250,0.0
2020-09-04,206.66,208.45,202.88,204.25,1618393,0.0
2020-09-08,205.67,207.4,202.23,204.12,2260293,0.0
2020-09-09,206.19,213.81,205.51,212.06,1926351,0.0
2020-09-10,210.815,211.12,204.85,207.15,1709701,0.0
2020-09-11,207.66,211.325,207.28,207.91,1538214,0.0
2020-09-14,209.14,211.88,208.21,210.59,1046544,0.0
2020-09-15,211.9,213.98,210.11,210.21,410081,0.0
2020-09-16,212.29,213.7,209.23,209.59,765813,0.0
2020-09-17,207.745,214.8,206.36,210.32,725201,0.0
2020-09-18,209.69,214.1,209.61,211.91,1304568,0.0
2020-09-21,208.1,208.76,202.045,204.03,623969,0.0
2020-09-22,203.77,206.23,202.26,204.31,727438,0.0
2020-09-23,205.96,207.885,202.45,203.05,613369,0.0
2020-09-24,202.53,208.42,199.7,205.44,578474,0.0
