Date,Estimate,Actual
2022-04-25,None,None
2022-02-07,None,None
2021-10-25,None,None
2021-07-27,1.39,None
2021-04-27,1.59,1.63
2021-02-09,0.47,0.46
2020-10-27,0.97,1.26
2020-07-28,2.38,2.4
2020-04-28,0.99,0.86
2020-02-04,0.73,0.73
2019-10-22,0.95,0.96
2019-07-23,1.24,1.34
2019-04-23,1.34,1.39
2019-02-05,0.66,0.69
2018-10-23,0.88,0.9
2018-07-24,0.88,0.9
2018-04-24,0.96,1.09
2018-02-06,0.46,0.49
2017-10-24,0.62,0.68
2017-07-25,0.66,0.8
2017-04-25,0.52,0.56
2017-02-07,1.11,1.19
2016-10-25,1.15,1.11
2016-07-26,1.09,1.29
2016-04-26,0.73,0.74
2016-02-09,0.86,0.95
2015-10-27,0.78,0.84
2015-07-28,0.7,0.73
2015-04-28,0.48,0.52
2015-02-03,0.85,0.87
2014-10-28,0.48,0.67
2014-07-22,0.18,0.2
2014-04-22,0.11,0.14
2014-02-04,0.21,0.21
2013-10-22,0.21,0.22
2013-07-23,0.16,0.18
2013-04-23,0.09,0.11
2013-02-05,0.08,0.04
2012-10-23,0.12,0.12
2012-07-24,-0.03,-0.04
2012-04-24,0.12,0.11
2012-02-07,0.14,0.14
2011-10-25,0.13,0.14
2011-07-26,0.14,0.16
2011-04-26,0.1,0.12
2011-02-08,0.12,0.13
2010-10-26,0.12,0.12
2010-07-27,0.1,0.11
2010-04-27,0.09,0.1
2010-02-09,0.13,0.13
2009-10-27,0.13,0.13
2009-07-28,0.11,0.12
2009-04-28,0.1,0.11
2009-02-10,0.13,0.13
2008-10-28,0.11,0.12
2008-07-22,0.1,0.1
2008-04-22,0.13,0.14
2008-02-08,0.12,0.05
2007-10-23,0.09,0.09
2007-07-24,0.07,0.07
2007-04-24,0.06,0.07
2007-02-06,0.1,0.1
2006-10-24,0.07,0.08
2006-07-25,0.03,0.03
2006-04-25,0.05,0.05
2006-02-07,0.08,0.08
2005-10-25,0.08,0.08
2005-07-25,0.08,0.09
2005-04-25,0.08,0.08
2005-02-07,0.07,0.07
2004-10-25,0.06,0.07
2004-07-26,0.06,0.06
2004-04-26,0.06,0.06
2004-02-09,0.05,0.06
2003-10-27,0.05,0.06
2003-07-28,0.05,0.05
2003-04-30,0.05,0.05
2003-02-10,0.05,0.05
2002-10-28,0.04,0.04
2002-07-24,0.03,0.04
2002-04-25,0.03,0.03
