Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,98.0,99.155,97.06,98.85,1290793,14105,98.670219
2021-01-04,99.73,99.99,96.98,97.84,3429883,35115,98.16453
2021-01-05,97.79,100.575,97.79,100.14,2171542,24451,99.850131
2021-01-06,103.0,107.65,102.56,107.38,4394231,50476,106.524579
2021-01-07,108.65,111.54,108.0,110.73,4800190,58068,110.629242
2021-01-08,111.0,111.78,108.64,110.56,3001077,39004,110.468645
2021-01-11,108.23,109.95,107.0,109.31,3312930,37824,109.037804
2021-01-12,110.26,111.7,108.7332,110.76,3119925,33906,110.720133
2021-01-13,110.55,113.135,110.55,112.08,3015877,29974,112.038583
2021-01-14,113.03,115.48,112.27,114.4,2841618,33371,114.418684
2021-01-15,112.23,113.69,111.25,112.53,3396098,31504,112.401022
2021-01-19,114.25,114.83,112.56,112.86,3399603,35141,113.349357
2021-01-20,113.07,114.18,111.02,111.38,3931458,37382,111.818552
2021-01-21,110.36,110.99,106.85,108.54,6253869,47392,108.052616
2021-01-22,107.11,107.405,103.83,105.34,5447256,50092,105.223412
2021-01-25,104.0,104.44,100.68,102.53,3733303,44582,102.291423
2021-01-26,102.99,103.0,99.82,99.93,4237557,42704,100.825757
2021-01-27,103.19,108.22,100.88,102.69,7617330,71012,103.154421
2021-01-28,104.5,108.405,103.04,106.84,4667569,46329,106.53843
2021-01-29,105.47,107.49,103.39,104.26,3535532,36830,104.977211
2021-02-01,105.13,105.97,102.57,102.86,3712557,41701,103.446243
2021-02-02,103.94,107.29,103.68,106.04,4621170,41470,106.566026
2021-02-03,105.94,107.55,105.57,107.21,3947788,39530,106.727087
2021-02-04,107.99,112.945,107.86,112.66,5819447,52539,111.860272
2021-02-05,114.5,115.532,113.4,114.48,3925736,37354,114.266917
2021-02-08,115.01,116.91,114.8,116.0,3391891,33052,115.685592
2021-02-09,115.58,117.4,114.27,115.93,4071632,37980,116.112107
2021-02-10,116.94,118.4,116.1,117.62,3982602,37736,117.559376
2021-02-11,118.0,118.43,115.75,117.16,3273735,30843,116.871716
2021-02-12,116.79,118.7253,116.79,117.75,2497156,24051,117.764662
2021-02-16,117.46,120.555,116.435,119.8,3985464,33921,119.341196
2021-02-17,119.37,120.98,117.72,118.91,3104232,34215,118.945774
2021-02-18,117.5,118.29,115.31,117.02,2348890,29207,116.703367
2021-02-19,118.57,120.42,117.93,119.56,2989186,30783,119.365035
2021-02-22,119.45,123.03,119.12,122.58,2902472,32110,122.351316
2021-02-23,123.74,124.43,120.45,122.54,3003286,40107,122.469015
2021-02-24,122.46,125.75,122.35,124.48,3314247,40148,124.205704
2021-02-25,125.48,125.705,118.88,119.24,4068163,48508,121.088631
2021-02-26,119.53,121.32,116.67,120.19,3996168,46361,119.4438
2021-03-01,122.5,124.8,121.87,123.93,2714834,33512,123.749891
2021-03-02,123.5,124.71,122.87,123.46,2486597,30219,123.746168
2021-03-03,124.34,127.05,124.34,125.41,3043895,38143,125.784811
2021-03-04,124.43,126.19,122.0,125.94,4583937,61118,124.532736
2021-03-05,127.3,128.45,120.78,127.7,4443110,57278,125.469566
2021-03-08,128.97,130.64,127.9,128.69,2684221,35933,129.203836
2021-03-09,127.18,129.14,125.51,126.3,2564144,32939,127.380285
2021-03-10,127.25,130.04,126.92,129.53,2068583,29401,128.970021
2021-03-11,128.83,132.61,128.72,132.1,2296123,28305,131.509059
2021-03-12,133.95,134.7,131.65,132.55,2217542,25845,132.839686
2021-03-15,132.5,132.73,128.8,132.6,3208127,32058,131.097969
2021-03-16,131.51,131.67,128.12,128.49,3221726,38645,129.027565
2021-03-17,129.94,131.68,127.28,131.65,2840753,36971,129.832781
2021-03-18,132.29,133.58,127.6407,128.31,2443962,34936,130.505577
2021-03-19,127.38,128.07,123.95,126.43,3319840,30582,126.699836
2021-03-22,125.48,126.42,124.39,125.22,2090391,28486,125.432288
2021-03-23,123.95,125.33,121.21,122.41,3862558,39341,122.497384
2021-03-24,124.33,126.41,123.53,123.91,2096717,29947,125.002934
2021-03-25,123.37,128.13,121.44,127.87,2716541,36461,125.734943
2021-03-26,129.86,130.49,126.57,129.59,2864920,37901,128.615264
2021-03-29,127.66,128.4,124.9501,126.49,2130870,27354,126.552774
2021-03-30,127.22,128.85,126.46,128.56,2732421,33715,127.996203
2021-03-31,128.22,129.47,126.905,127.23,2389058,28001,127.599178
2021-04-01,128.41,130.77,128.21,129.78,2666937,37054,129.845714
2021-04-05,131.36,133.74,131.0,132.6,2579476,38026,132.687698
2021-04-06,132.1,132.98,131.05,132.03,2263117,27970,131.892649
2021-04-07,133.09,134.35,132.49,132.97,1798275,29386,133.170196
2021-04-08,131.38,133.32,129.89,132.73,2185368,31439,132.265543
2021-04-09,134.0,134.45,132.405,134.17,2099224,28212,133.593243
2021-04-12,133.72,134.63,132.865,134.24,2051064,36054,134.025396
2021-04-13,133.63,133.8,131.38,132.67,2060839,30983,132.898769
2021-04-14,132.54,136.45,132.32,135.77,2607695,35688,135.552932
2021-04-15,136.07,136.08,132.85,134.87,3164679,46637,134.362109
2021-04-16,136.04,137.75,135.26,136.68,2522767,37684,136.308498
2021-04-19,135.92,136.26,133.8905,135.41,1948823,30554,134.95563
2021-04-20,134.34,134.56,129.98,131.5,2395404,33858,131.598287
2021-04-21,130.21,133.42,127.8,132.91,3030048,40568,132.043283
2021-04-22,133.55,134.735,132.23,133.0,2299962,35706,133.379136
2021-04-23,132.59,136.23,131.38,135.68,2536188,34360,134.688805
2021-04-26,137.0,139.935,136.81,138.29,2164886,29761,138.705087
2021-04-27,138.61,139.54,138.04,138.95,3474837,41425,138.716519
2021-04-28,143.0,147.04,142.0,144.36,4588689,52544,145.30068
2021-04-29,146.01,149.64,145.71,149.23,3323540,41165,148.290776
2021-04-30,148.13,150.01,147.775,149.08,3796174,43427,149.194878
2021-05-03,151.07,151.84,148.53,149.92,2627987,35583,150.187301
2021-05-04,148.89,152.38,147.8,152.02,4200769,51058,151.111954
2021-05-05,152.82,154.47,151.45,153.6,3108610,37892,153.169274
2021-05-06,155.0,156.51,152.51,156.44,3363224,46504,154.48047
2021-05-07,153.68,157.98,153.23,157.71,2475677,37190,156.800136
2021-05-10,159.14,160.365,157.3,157.48,3073748,52744,159.049418
2021-05-11,154.81,156.93,153.26,154.76,4316387,65412,154.993977
2021-05-12,155.9,156.7757,152.3,152.97,3254076,43200,153.887004
2021-05-13,152.24,157.21,152.0,156.29,2898011,44112,156.003663
2021-05-14,156.98,159.26,156.815,158.04,2351120,35526,158.140389
2021-05-17,158.03,160.48,157.57,159.9,2229813,33235,159.67635
2021-05-18,160.17,160.85,156.83,156.91,2247776,35010,158.465123
2021-05-19,154.12,157.34,152.86,157.15,3298856,51759,155.552593
2021-05-20,157.73,159.01,155.6375,157.81,2893447,41767,157.551233
2021-05-21,158.59,162.33,158.3943,159.05,3551974,43952,159.994288
2021-05-24,159.99,161.68,159.34,160.74,2087707,31665,160.886238
2021-05-25,161.47,162.48,158.13,158.22,2670448,36794,159.899228
2021-05-26,159.32,160.5,157.98,159.84,3143592,30990,159.781288
2021-05-27,162.1,162.75,160.34,161.79,3488752,31769,161.562471
2021-05-28,161.83,162.24,159.22,160.78,3365804,37150,160.647651
2021-06-01,165.27,166.625,163.74,166.25,4188041,52261,165.493373
2021-06-02,167.0,167.4,164.965,165.92,3099481,38479,166.081639
2021-06-03,165.06,167.34,164.31,166.29,2513709,33088,166.091362
2021-06-04,167.07,168.0,165.03,166.26,2886528,35288,166.241796
2021-06-07,163.5,165.31,162.59,163.55,3223914,41278,163.565084
2021-06-08,162.14,163.84,161.04,162.73,3513600,39139,162.679943
2021-06-09,162.6,162.615,159.3,160.6,3303394,46660,160.726036
2021-06-10,163.31,163.86,158.6,158.74,3705528,43994,159.526598
2021-06-11,159.2,160.69,159.1,160.65,3821888,43489,160.12338
2021-06-14,160.4,160.8,157.17,158.71,3368632,45309,158.572473
2021-06-15,159.38,162.7,158.72,162.11,2786334,40220,161.517716
2021-06-16,161.44,163.31,159.79,162.2,3131859,45561,161.777148
2021-06-17,163.59,163.59,151.43,153.55,4342805,62318,154.729804
2021-06-18,149.6,150.44,147.52,150.02,8365097,81916,149.550034
2021-06-21,151.88,154.99,151.22,154.89,2866150,40942,153.838967
2021-06-22,154.3,155.91,152.85,154.89,2358144,39240,154.739226
2021-06-23,155.61,157.61,155.04,156.37,2025784,27667,156.497432
2021-06-24,157.59,158.17,155.4,157.57,2072913,26180,157.321705
2021-06-25,160.92,162.0,159.79,159.99,4230627,48775,160.518372
2021-06-28,159.41,160.01,155.295,156.0,2690315,38997,156.255765
2021-06-29,157.37,158.32,153.82,154.15,2148435,34424,154.893434
2021-06-30,153.69,155.22,153.6201,154.69,2630068,36085,154.588176
2021-07-01,155.53,158.06,155.13,157.15,3345811,46629,157.055982
2021-07-02,157.7,158.95,157.15,157.4,2245848,33680,157.95012
2021-07-06,156.76,157.38,154.14,155.5,3563783,47001,155.24898
2021-07-07,153.73,156.71,153.14,155.04,3038851,43589,155.437993
2021-07-08,151.9,154.88,149.45,152.46,3307152,51059,152.217582
2021-07-09,155.38,160.915,155.345,160.55,3632380,54069,159.789686
2021-07-12,158.59,165.44,158.08,164.85,3248885,53214,164.021335
2021-07-13,164.85,165.3,162.64,162.84,2528588,44862,163.437154
2021-07-14,163.07,165.0,157.63,158.84,4185589,56394,159.40779
2021-07-15,156.66,160.64,156.29,160.35,3060600,44046,159.413251
2021-07-16,161.65,161.65,157.08,157.52,1949112,33425,158.633079
2021-07-19,153.45,154.81,150.89,153.61,3731894,55283,153.106956
2021-07-20,152.96,159.24,152.44,157.98,3292884,49862,157.602916
2021-07-21,159.83,164.4,159.395,163.21,2500554,40705,163.206067
2021-07-22,162.2,163.08,158.7,161.43,2962967,42240,160.865253
2021-07-23,157.0,164.25,156.5869,160.08,3511092,50059,161.265746
2021-07-26,160.05,163.0,160.0,162.34,2052282,34918,161.69877
2021-07-27,159.95,163.66,159.14,162.54,2165877,36984,161.872199
2021-07-28,163.04,163.54,159.875,161.39,2304399,37167,161.671532
2021-07-29,163.5,165.3512,162.91,163.91,2582328,44475,164.226562
2021-07-30,163.16,165.09,160.635,161.7,2652997,45594,162.358442
2021-08-02,163.14,165.91,158.92,160.1,3925449,67326,161.619899
2021-08-03,161.05,162.06,155.455,161.43,2860288,49335,159.957339
2021-08-04,160.28,164.17,159.1,161.19,2719153,44258,162.058917
2021-08-05,162.22,163.95,162.22,163.19,2745836,43844,163.128693
2021-08-06,164.85,167.51,164.26,165.95,3392751,50279,166.050127
2021-08-09,164.84,167.15,163.13,166.21,2237599,41383,165.796233
2021-08-10,166.21,171.285,166.1,170.67,3439814,54469,170.029462
2021-08-11,171.13,174.94,169.84,174.55,4165355,52358,173.307491
2021-08-12,174.5,177.165,173.41,176.93,3273073,51958,175.911293
2021-08-13,177.18,177.95,175.791,177.73,2367047,37744,177.185542
2021-08-16,176.0,177.72,175.18,177.32,2111595,37128,176.750074
2021-08-17,175.27,176.5266,171.43,173.28,2784404,46939,173.648766
2021-08-18,172.33,175.62,171.27,172.02,1753637,34024,173.641705
2021-08-19,169.12,171.59,166.95,168.1,2469063,40137,168.608846
2021-08-20,168.18,169.12,165.46,168.22,2590551,44236,167.546687
2021-08-23,169.42,171.2025,168.98,169.35,2015426,31415,169.776451
2021-08-24,169.89,171.71,169.45,170.05,1668261,27758,170.607704
2021-08-25,170.59,174.56,170.23,173.93,2181703,33289,173.389168
2021-08-26,174.4,174.6986,171.31,171.63,1862760,32706,172.584314
2021-08-27,172.31,175.98,171.65,175.8,1741502,29373,174.866589
2021-08-30,172.58,173.57,165.11,165.19,4298827,68117,167.521572
2021-08-31,165.03,167.17,163.2609,165.97,3788241,47202,165.840819
2021-09-01,165.96,166.58,161.23,161.68,3338435,51002,162.903169
2021-09-02,162.5,163.38,159.52,160.06,3176931,47996,161.196098
2021-09-03,159.99,160.37,156.4,157.26,3360122,50153,157.660143
2021-09-07,156.95,159.68,156.46,156.93,3435814,56442,157.584367
2021-09-08,156.49,156.49,152.13,154.6,3329320,49787,153.961427
2021-09-09,154.84,159.179,154.48,155.78,2902395,52584,156.993919
2021-09-10,156.91,157.82,155.4,155.56,2854679,45498,156.44885
2021-09-13,157.07,159.43,156.91,158.93,3343746,58853,158.387841
2021-09-14,159.59,160.17,153.95,154.39,4069546,63132,155.836968
2021-09-15,155.22,159.1,154.81,158.91,3209182,42985,158.161345
2021-09-16,159.6,161.24,159.12,160.17,2626060,39816,160.373038
2021-09-17,159.1,161.15,158.45,159.57,4827362,41636,159.576418
2021-09-20,153.81,157.01,153.33,156.37,3423752,47388,155.114347
2021-09-21,158.0,158.86,156.32,156.5,2843595,42753,157.289275
2021-09-22,159.35,161.02,158.37,159.62,2992349,41173,160.123741
2021-09-23,161.65,167.15,161.0,166.02,2964879,46543,165.82635
2021-09-24,165.13,168.05,164.96,166.17,2687468,50379,166.722059
2021-09-27,167.69,170.27,167.31,169.76,2604051,44547,169.500798
2021-09-28,169.44,171.5,167.1,167.38,2927223,44160,168.347352
2021-09-29,168.62,168.62,165.92,166.55,1985940,36061,166.805708
2021-09-30,167.88,167.88,161.85,161.97,2672526,36773,163.403741
2021-10-01,162.61,167.84,161.87,166.54,2687939,43376,165.134281
2021-10-04,166.54,170.2799,165.69,166.11,2731316,42872,166.909019
2021-10-05,168.08,170.69,166.39,168.72,2081130,34876,169.372836
2021-10-06,166.92,169.03,164.47,167.87,1998994,33353,167.159358
2021-10-07,169.73,171.43,167.7118,167.88,2006298,35911,169.10801
2021-10-08,168.44,171.28,167.405,168.8,1702949,28898,169.299364
2021-10-11,169.5,171.78,166.05,166.18,1921915,27897,168.379114
2021-10-12,166.23,168.3319,165.16,167.65,1687780,26901,167.199173
2021-10-13,167.57,167.74,159.55,162.1,3827291,50678,161.573876
2021-10-14,165.15,166.29,162.7408,166.01,2273847,35959,165.141724
2021-10-15,168.3,170.25,167.26,168.38,2734752,34280,168.731654
2021-10-18,167.3,170.66,167.03,169.16,1730826,26330,169.250323
2021-10-19,170.2,170.44,167.785,169.79,1937285,29285,169.143834
2021-10-20,168.92,173.47,168.2599,173.25,2587280,34670,172.062415
2021-10-21,172.48,174.65,165.07,165.69,3399007,50206,167.250066
2021-10-22,167.0,169.43,165.63,167.84,2897052,37499,167.539183
2021-10-25,168.21,169.84,166.22,168.68,2346970,33851,167.913135
2021-10-26,169.3,170.0,164.56,164.85,3170934,46337,166.521898
2021-10-27,160.14,161.49,151.78,152.5,7275780,104363,154.093028
2021-10-28,152.81,153.93,150.48,152.5,4399771,61018,152.088253
2021-10-29,152.84,154.065,150.22,151.03,3813757,49697,151.46766
2021-11-01,152.33,154.8277,152.2101,153.01,3143421,43287,153.285496
2021-11-02,153.22,154.01,150.87,151.91,3773130,49979,152.0192
2021-11-03,151.0,155.35,150.66,153.9,3331473,44818,153.527898
2021-11-04,153.0,155.49,152.3,153.46,2462339,38812,153.193404
2021-11-05,155.36,157.59,154.25,154.87,2388644,42612,155.484897
2021-11-08,156.48,157.76,154.79,155.52,2277767,31604,155.929747
2021-11-09,154.56,156.11,153.2,155.42,2151237,31949,155.089197
2021-11-10,155.48,158.47,155.48,156.28,2272261,31341,157.055884
2021-11-11,156.28,158.66,155.91,157.15,1822610,28646,157.632652
2021-11-12,156.83,157.33,155.025,156.8,2142316,28755,156.248375
2021-11-15,156.8,158.43,155.835,156.36,1770196,24918,157.083725
2021-11-16,156.5,156.5,152.75,153.82,2677613,33911,154.53103
2021-11-17,153.7,155.0,151.87,151.95,3106005,41181,153.068459
2021-11-18,152.07,153.94,150.465,152.99,2481025,33805,152.776804
2021-11-19,150.5,152.5499,148.52,151.32,2753819,40330,150.957686
2021-11-22,153.37,154.65,150.97,153.21,2741335,42006,153.461067
2021-11-23,154.0,156.74,153.21,156.29,2591916,39333,155.550524
2021-11-24,155.13,157.96,155.06,155.86,2303198,31878,156.35088
2021-11-26,150.02,150.54,144.37,149.16,3075264,44587,147.857508
2021-11-29,151.24,151.7293,145.7,147.02,4259236,53711,147.361703
2021-11-30,145.15,146.0,140.18,140.53,6012314,69346,141.693908
2021-12-01,144.5,145.47,138.35,138.37,3528706,57459,141.922454
2021-12-02,139.71,145.17,139.0,143.36,3010749,44547,143.233134
2021-12-03,143.02,143.75,140.68,141.9,2765905,41448,142.097694
2021-12-06,144.98,147.85,143.93,145.94,2928449,43675,146.482543
2021-12-07,147.97,151.11,147.28,148.58,2839499,42881,149.146617
2021-12-08,148.89,150.05,148.01,148.81,2509974,35736,148.954748
2021-12-09,148.24,150.71,147.06,149.17,2286977,34580,149.426509
2021-12-10,150.52,151.45,148.495,150.41,2409181,32503,149.994588
2021-12-13,149.26,149.47,145.575,146.04,2608008,39046,146.604317
2021-12-14,145.92,149.53,145.51,147.92,2209128,33926,148.037338
2021-12-15,148.35,148.655,144.0,147.39,2694572,39583,146.570196
2021-12-16,149.73,150.24,147.355,148.02,3335879,42409,148.40442
2021-12-17,147.35,147.35,142.64,144.08,9130595,50818,144.292349
2021-12-20,140.39,141.2,136.5201,138.35,3186108,39686,137.969153
2021-12-21,140.37,143.745,140.11,143.51,2507059,37072,142.93479
2021-12-22,142.97,144.53,142.13,143.73,1666420,22933,143.780206
2021-12-23,145.26,146.72,144.99,145.1,1752146,20664,145.467103
2021-12-27,145.46,146.09,143.59,145.89,1373312,19485,145.555931
2021-12-28,144.78,147.88,144.55,146.2,1024943,16797,146.535113
2021-12-29,146.2,146.73,145.21,145.59,1694771,16372,145.847229
2021-12-30,145.75,147.3,145.34,145.49,1213664,16440,145.925922
2021-12-31,145.2,146.73,144.98,145.09,1355450,18664,145.363812
2022-01-03,146.08,149.35,145.94,148.34,2380892,33296,148.308236
2022-01-04,150.43,152.36,149.76,151.15,3477877,45765,151.339379
2022-01-05,152.23,153.0,148.21,148.26,2096856,34310,150.109215
2022-01-06,149.07,151.29,146.2,150.73,2616457,38127,149.399491
2022-01-07,150.63,155.63,149.985,154.69,3282763,50769,154.560405
2022-01-10,157.0,157.86,154.1,157.15,3860049,52424,156.245203
2022-01-11,157.53,158.857,155.905,158.51,2178262,34847,157.828226
2022-01-12,159.53,161.03,158.46,158.79,2130930,34735,159.332579
2022-01-13,160.17,162.3,159.56,161.37,2401925,38749,161.318909
2022-01-14,156.94,160.63,154.5201,160.56,3626516,45202,159.133002
2022-01-18,160.62,162.4,155.8,157.08,2390074,39138,157.756627
2022-01-19,157.45,158.1,151.57,151.61,2013795,38039,153.147246
2022-01-20,151.57,154.54,149.83,150.27,1952093,31408,151.752506
2022-01-21,149.45,149.45,145.325,146.52,2708455,43144,147.114207
2022-01-24,142.9,148.65,140.68,148.3,3880131,51371,144.953835
2022-01-25,146.73,154.51,144.5877,152.16,5628092,68306,151.175367
2022-01-26,143.0,149.95,142.13,144.9,7520553,97722,146.365718
2022-01-27,146.82,148.6,140.82,141.68,4035487,58317,143.583861
2022-01-28,140.81,142.72,138.6,142.62,3590602,48826,141.006141
