Date,Open,High,Low,Close,Volume,OpenInterest
2020-07-08,49.6,49.64,49.18,49.54,954076,0.0
2020-07-09,49.34,49.86,49.26,49.42,1039815,0.0
2020-07-10,49.5,50.75,49.5,50.27,1910770,0.0
2020-07-13,50.32,50.47,49.71,49.82,1411870,0.0
2020-07-14,49.51,50.5,49.51,50.31,1926482,0.0
2020-07-15,50.51,50.7,49.08,49.2,1467812,0.0
2020-07-16,49.17,49.84,49.17,49.55,1762874,0.0
2020-07-17,49.8,49.96,49.49,49.61,1962765,0.0
2020-07-20,49.5,49.59,48.87,49.22,1006901,0.0
2020-07-21,49.15,49.95,49.15,49.35,1849510,0.0
2020-07-22,49.44,49.44,48.29,49.34,1236721,0.0
2020-07-23,49.25,49.9,49.102,49.64,1072371,0.0
2020-07-24,49.75,50.23,49.21,49.41,750188,0.0
2020-07-27,49.21,49.56,49.06,49.49,1267127,0.0
2020-07-28,49.51,50.64,49.51,50.23,2996309,0.0
2020-07-29,50.6,50.78,49.98,50.19,2878872,0.0
2020-07-30,50.15,50.2,49.1,49.31,2428399,0.0
2020-07-31,49.3,49.87,48.96,49.57,2507277,0.0
2020-08-03,49.68,50.21,49.44,49.71,2760794,0.0
2020-08-04,49.66,50.54,49.61,50.44,4022142,0.0
2020-08-05,50.29,50.46,49.4077,49.74,2965786,0.0
2020-08-06,49.75,50,49.31,49.88,2141743,0.0
2020-08-07,49.9,50.0901,49.26,49.96,2196593,0.0
2020-08-10,50.02,50.46,49.79,50.4,1652616,0.0
2020-08-11,50.34,50.56,49.68,49.76,2480050,0.0
2020-08-12,50,51.27,49.925,50.97,2357990,0.0
2020-08-13,50.99,51.38,50.53,51.18,747346,0.0
2020-08-14,51.29,51.945,51.04,51.63,1002100,0.0
2020-08-17,51.65,52.55,51.41,52.27,2348661,0.0
2020-08-18,52.26,52.82,51.845,52.43,2573450,0.0
2020-08-19,52.47,52.75,52.23,52.38,1678804,0.0
2020-08-20,52.14,52.835,52.04,52.4,2211864,0.0
2020-08-21,52.54,52.69,52.04,52.54,2741879,0.0
2020-08-24,52.75,53.1,52.145,52.69,2143037,0.0
2020-08-25,53,53.18,52.54,53.03,2427022,0.0
2020-08-26,52.9,53.5,52.39,53.47,2333258,0.0
2020-08-27,53.51,54.08,53.26,53.29,2619458,0.0
2020-08-28,53.29,53.29,51.93,52.13,2804087,0.0
2020-08-31,52.35,52.71,52.02,52.6,3104698,0.0
2020-09-01,52.81,52.88,51.19,51.4,5450608,0.0
2020-09-02,51.7,52.82,51.35,52.44,4906727,0.0
2020-09-03,49.74,52.365,47.8,48.53,12140110,0.0
2020-09-04,48.91,49.03,46.71,47.59,7171333,0.0
2020-09-08,47.33,47.49,44.53,45.22,10794963,0.0
2020-09-09,45.82,46.48,45.43,45.6,5533160,0.0
2020-09-10,46.16,46.16,45.105,45.33,5144179,0.0
2020-09-11,45.3,45.7,44.9659,45.49,5203023,0.0
2020-09-14,45.69,46.43,45.36,45.82,4507649,0.0
2020-09-15,45.87,45.98,45.31,45.52,2157217,0.0
2020-09-16,45.63,46.02,45.11,45.25,1929039,0.0
2020-09-17,45.16,45.72,44.89,45.59,2091236,0.0
2020-09-18,45.5,46.29,45.27,45.45,2504868,0.0
2020-09-21,45.3,47.05,45.3,46.07,2466501,0.0
2020-09-22,46.18,46.39,45.385,45.64,2574067,0.0
2020-09-23,45.9,46.18,45.18,45.19,1700896,0.0
2020-09-24,45.12,46.91,44.95,46.8,1980324,0.0
2020-09-25,46.73,47.96,46.53,47.56,2182096,0.0
2020-09-28,47.9998,48.365,47.445,48,1500415,0.0
2020-09-29,48.12,48.19,47.72,48.02,3056168,0.0
2020-09-30,48.21,48.7278,47.87,48.37,3735096,0.0
2020-10-01,48.31,48.89,46.99,48.5218,3727423,0.0
2020-10-02,48.19,49.03,47.87,48.81,2096501,0.0
2020-10-05,49,49.38,48.43,48.98,5540007,0.0
2020-10-06,48.89,49.1541,48.48,48.55,3184376,0.0
2020-10-07,48.23,48.59,47.81,48.25,3978219,0.0
2020-10-08,48.29,48.7,47.86,48.4,2996483,0.0
2020-10-09,48.35,48.775,48.08,48.47,2227979,0.0
2020-10-12,48.7,49.24,48.47,49.12,2922243,0.0
2020-10-13,49.25,49.85,49.15,49.61,1791228,0.0
2020-10-14,49.49,49.88,49.15,49.46,1562523,0.0
2020-10-15,49.11,49.38,48.813,49.15,1963250,0.0
2020-10-16,49.4,49.74,48.92,48.92,2330745,0.0
2020-10-19,48.81,49.49,48.475,48.61,2698361,0.0
2020-10-20,48.91,48.99,47.6,47.66,3041986,0.0
2020-10-21,47.38,48.08,47.3524,47.74,2585439,0.0
2020-10-22,47.69,48.06,47.41,47.92,2491227,0.0
2020-10-23,48.22,48.84,47.98,48.56,2482612,0.0
2020-10-26,48.47,48.56,47.72,48.29,3450131,0.0
2020-10-27,48.24,48.98,47.97,48.24,2911823,0.0
2020-10-28,47.9,48.24,47.02,47.06,2794856,0.0
2020-10-29,47.1,47.395,46.46,46.78,2737192,0.0
2020-10-30,46.74,47.21,46.35,46.68,2041261,0.0
2020-11-02,47.09,47.72,47.06,47.68,4147242,0.0
2020-11-03,47.88,48.7,47.625,47.9,1766926,0.0
2020-11-04,48.17,48.575,47.55,47.69,1671181,0.0
2020-11-05,48.15,48.39,47.7,48.06,2205052,0.0
2020-11-06,48.07,48.73,47.72,47.99,1756553,0.0
2020-11-09,47.64,48.075,46.1,46.13,6532007,0.0
2020-11-10,46.12,47.29,45.51,47.29,3900111,0.0
2020-11-11,47.52,48.36,47.5,48.29,3189611,0.0
2020-11-12,48.41,48.57,47.81,48.55,1659218,0.0
2020-11-13,48.66,49.31,48.44,49.15,1813979,0.0
2020-11-16,48.97,49.97,48.82,49.94,4058899,0.0
2020-11-17,49.51,49.89,49.12,49.38,3215192,0.0
2020-11-18,49.49,49.95,49.01,49.05,4655291,0.0
2020-11-19,48.87,49.345,48.55,49.33,1608300,0.0
2020-11-20,49.42,49.77,48.72,48.99,2035822,0.0
2020-11-23,48.87,49.43,48.72,49.11,2188352,0.0
2020-11-24,49.36,49.57,49.055,49.36,2269041,0.0
2020-11-25,49.68,49.85,48.835,48.93,2139562,0.0
2020-11-27,49.19,49.41,48.7,48.94,735764,0.0
2020-11-30,49.02,50.045,48.79,50.03,1402720,0.0
2020-12-01,49.98,50.33,49.7,50.23,1487687,0.0
2020-12-02,50.3,50.77,48.46,49.08,1872273,0.0
2020-12-03,49.01,49.41,48.51,48.74,1428870,0.0
2020-12-04,48.62,48.87,48.46,48.49,1124426,0.0
2020-12-07,48.65,48.7999,48.13,48.32,1628454,0.0
2020-12-08,48.39,48.535,47.59,48.26,2680528,0.0
2020-12-09,47.88,48.16,46.62,47.27,5060002,0.0
2020-12-10,47.21,47.58,46.88,47.31,1979382,0.0
2020-12-11,47.19,47.5,47.01,47.22,1821860,0.0
2020-12-14,47.33,47.79,46.62,46.7,1737863,0.0
2020-12-15,46.82,47,46.44,46.8,1351592,0.0
2020-12-16,46.81,47.37,46.81,47.1,1378195,0.0
2020-12-17,47.36,47.89,47.08,47.78,1438765,0.0
2020-12-18,47.77,47.95,47.37,47.57,1858678,0.0
2020-12-21,47.48,48.39,46.95,48.31,2664340,0.0
2020-12-22,48.38,48.52,47.54,47.75,1579636,0.0
2020-12-23,48,48.3438,47.81,48.11,652500,0.0
2020-12-24,48,48.66,48,48.59,575445,0.0
2020-12-28,48.55,48.78,48.07,48.43,872478,0.0
2020-12-29,48.46,48.83,48.33,48.43,983311,0.0
2020-12-30,48.37,48.58,47.86,48.03,985859,0.0
2020-12-31,48,48.4,47.74,48.36,564876,0.0
2021-01-04,48.2,48.67,47.86,48.53,1766217,0.0
2021-01-05,48.13,48.98,48.13,48.9,2209091,0.0
2021-01-06,48.88,49.28,47.51,47.91,2578224,0.0
2021-01-07,47.5,47.93,47.12,47.22,1985860,0.0
2021-01-08,47.31,47.39,46.36,46.86,2746988,0.0
2021-01-11,46.86,47.065,45.84,46.03,1762333,0.0
2021-01-12,46,46.13,45.08,45.48,5490363,0.0
2021-01-13,45.48,45.76,44.8526,45.42,5201326,0.0
2021-01-14,45.71,46.175,45.12,45.87,2348675,0.0
2021-01-15,45.72,46.48,45.53,46.42,2914762,0.0
2021-01-19,46.59,46.78,46.22,46.37,2276190,0.0
2021-01-20,46.24,46.295,45.58,46.04,2223009,0.0
2021-01-21,45.97,46.63,45.92,46.62,1510248,0.0
2021-01-22,46.65,46.84,45.88,46.57,1429060,0.0
2021-01-25,46.58,48.97,46.419,48,3305292,0.0
2021-01-26,47.91,50.04,47.6433,49.95,2208358,0.0
2021-01-27,50.12,53.77,49.97,52.67,5030934,0.0
2021-01-28,52,53.5,48.03,48.75,5898503,0.0
2021-01-29,48.84,50.1,47.69,48.11,2642484,0.0
2021-02-01,48.04,48.305,47.43,48.03,2020904,0.0
2021-02-02,48.07,48.07,47.09,47.26,2158288,0.0
2021-02-03,47.15,47.28,46.26,47.12,1434726,0.0
2021-02-04,47.08,47.4,46.66,46.93,1435288,0.0
2021-02-05,46.98,47.74,46.71,47.5,942851,0.0
2021-02-08,47.59,47.71,46.64,47.1,1526206,0.0
2021-02-09,47.31,47.33,46.53,47.01,1333787,0.0
2021-02-10,47.29,47.91,47.1,47.56,1443791,0.0
2021-02-11,47.55,47.56,46.81,46.98,1117829,0.0
2021-02-12,46.97,47,46.34,46.75,1368206,0.0
2021-02-16,46.7,46.88,46.05,46.11,1593290,0.0
2021-02-17,46.19,46.54,45.91,46.42,1655284,0.0
2021-02-18,46.38,47.75,46.14,47.14,1850792,0.0
2021-02-19,47.11,47.155,46.26,46.35,1290833,0.0
2021-02-22,46.38,46.63,45.49,46.13,2194503,0.0
2021-02-23,46.38,46.89,46.045,46.33,1619016,0.0
2021-02-24,46.29,46.53,45.96,46.23,1032175,0.0
2021-02-25,46.1,46.93,45.54,45.63,1581740,0.0
2021-02-26,45.74,46.14,45.33,45.47,1512263,0.0
2021-03-01,45.49,46.19,45.3,45.49,1225579,0.0
2021-03-02,45.54,45.88,45.09,45.63,1609340,0.0
2021-03-03,45.5,45.95,45.14,45.8,1536609,0.0
2021-03-04,46.05,46.35,45.58,45.81,1391818,0.0
2021-03-05,45.93,46.78,45.72,46.56,1809062,0.0
2021-03-08,46.8,47.94,46.4278,47.25,2738486,0.0
2021-03-09,47.11,47.52,46.86,46.94,1821702,0.0
2021-03-10,45.51,48.66,44.9,47.86,6471955,0.0
2021-03-11,47.7,48.11,46.85,47.45,1813724,0.0
2021-03-12,47.74,47.99,47.49,47.96,1510858,0.0
2021-03-15,48.2,48.453,47.42,47.62,1440907,0.0
2021-03-16,47.69,49.06,47.64,48.9,1816870,0.0
2021-03-17,49,49.19,48.09,48.98,2034235,0.0
2021-03-18,48.7,49.71,48.7,49.52,1673947,0.0
2021-03-19,49.64,50.07,49.39,49.8,2363590,0.0
2021-03-22,49.6,51.03,49.39,51.02,1432921,0.0
2021-03-23,51.24,51.33,50.48,50.64,1295395,0.0
2021-03-24,49.94,49.94,48.66,48.77,2206930,0.0
2021-03-25,49.1,49.69,48.59,49.36,1437705,0.0
2021-03-26,49.49,50.94,49.09,50.88,2188577,0.0
2021-03-29,50.95,52.23,50.935,51.97,2242130,0.0
2021-03-30,51.96,52.1793,51.23,51.37,2474605,0.0
2021-03-31,51.15,51.42,50.12,50.26,1912100,0.0
2021-04-01,50.15,50.44,49.03,49.96,2318593,0.0
2021-04-05,50.1,51.01,49.77,50.11,2109311,0.0
2021-04-06,50.08,50.48,49.59,50.09,2256294,0.0
2021-04-07,49.75,49.94,48.94,49.2,2013305,0.0
2021-04-08,49.06,49.29,48.54,48.74,1599063,0.0
2021-04-09,48.65,48.905,47.61,48.06,1418008,0.0
2021-04-12,48.19,48.9,48.1,48.84,1471691,0.0
2021-04-13,48.9,49.21,48.51,48.87,1407350,0.0
2021-04-14,48.85,48.93,48.1,48.44,1205666,0.0
2021-04-15,48.48,49.16,48.48,48.87,1526060,0.0
2021-04-16,49.09,49.67,48.83,49.4,1111959,0.0
2021-04-19,49.22,49.8199,49.15,49.69,1069646,0.0
2021-04-20,49.68,50.52,49.58,50.16,1155834,0.0
2021-04-21,50.5,50.83,50.24,50.56,1039734,0.0
2021-04-22,50.36,50.36,49.53,49.53,975287,0.0
2021-04-23,49.26,49.48,48.54,48.77,1611165,0.0
2021-04-26,48.82,48.865,47.8,47.93,2697183,0.0
2021-04-27,47.85,48.09,47.44,47.98,1850378,0.0
2021-04-28,48.19,48.44,47.45,47.57,1680338,0.0
2021-04-29,47.55,48.18,47.53,48.02,1337096,0.0
2021-04-30,48.15,48.15,47.62,47.75,1371683,0.0
2021-05-03,47.77,48.6599,47.62,48.4,1429383,0.0
2021-05-04,48.49,48.63,47.95,48.25,1081707,0.0
2021-05-05,48.15,48.98,47.9,48.85,1809681,0.0
2021-05-06,49.2,49.96,49.14,49.83,2119341,0.0
2021-05-07,49.74,49.79,48.88,49.56,1857453,0.0
2021-05-10,49.46,50.52,49.46,50.15,1586151,0.0
2021-05-11,50.39,50.48,49.685,50.04,1834893,0.0
2021-05-12,50.06,50.06,49.17,49.21,1935426,0.0
2021-05-13,48.99,49.98,48.79,49.56,1726378,0.0
2021-05-14,49.66,50.08,49.255,49.27,985892,0.0
2021-05-17,49.15,49.73,48.75,49.37,2132386,0.0
2021-05-18,49.23,49.5,48.74,48.81,2067860,0.0
2021-05-19,48.9,48.98,48.06,48.33,1910539,0.0
2021-05-20,48.32,49.34,48.17,48.86,1945006,0.0
2021-05-21,48.97,49.61,48.765,48.88,1579600,0.0
2021-05-24,48.4,48.91,48.37,48.64,1174888,0.0
2021-05-25,48.65,48.65,47.8,48.41,1571726,0.0
2021-05-26,48.3,48.59,48.225,48.37,1098088,0.0
2021-05-27,48.43,48.7,47.81,47.815,1514445,0.0
2021-05-28,47.93,48.79,47.89,48.7,1525844,0.0
2021-06-01,48.9,49.11,48.62,48.86,1168997,0.0
2021-06-02,49.03,49.66,48.56,49.66,1336871,0.0
2021-06-03,49.65,50,48.82,49.41,1716868,0.0
2021-06-04,49.38,49.76,49.1,49.69,974120,0.0
2021-06-07,49.63,49.77,49.1,49.44,1096016,0.0
2021-06-08,49.58,49.65,48.78,49.09,2157347,0.0
2021-06-09,44.95,47.08,44.735,45.93,11214285,0.0
2021-06-10,45.76,46.435,45.4,45.71,4001107,0.0
2021-06-11,45.8,46.15,45.67,46.11,3073646,0.0
2021-06-14,46,46.025,45.41,45.83,2489872,0.0
2021-06-15,45.95,46.03,45.18,45.37,2728505,0.0
2021-06-16,45.53,45.61,45.1999,45.51,2622241,0.0
2021-06-17,45.62,45.96,45.16,45.69,3421648,0.0
2021-06-18,45.53,45.61,45.16,45.27,2467657,0.0
2021-06-21,45.35,45.66,45.17,45.55,1956414,0.0
2021-06-22,45.65,46.01,45.35,45.59,1683634,0.0
2021-06-23,45.45,45.59,45.2,45.23,1461858,0.0
2021-06-24,45.22,45.53,44.77,45.21,2680845,0.0
2021-06-25,45.21,45.865,45.1,45.76,1461097,0.0
2021-06-28,45.76,45.965,45.62,45.85,1427120,0.0
