Date,Open,High,Low,Close,Volume,OpenInterest
2020-09-21,83.56,85.72,81.5975,85.54,1644994,0.0
2020-09-22,85.31,85.81,84.398,85.14,1101251,0.0
2020-09-23,85.07,85.42,83.55,83.91,1476804,0.0
2020-09-24,83.55,83.56,80.3,80.76,980953,0.0
2020-09-25,80.39,82.12,79.65,81.97,794913,0.0
2020-09-28,83.21,84.66,83.07,84.12,712643,0.0
2020-09-29,83.95,85.818,83.55,85.18,1092127,0.0
2020-09-30,84.98,86.48,84.82,85.71,1458173,0.0
2020-10-01,86.46,87.03,85.53,86.32,1308873,0.0
2020-10-02,84.94,86.5,82.88,85.91,1696301,0.0
2020-10-05,86.71,89.53,86.5,89.48,1590419,0.0
2020-10-06,89.27,91.22,88.51,88.79,1445027,0.0
2020-10-07,89.77,91.84,89.54,91.47,1483734,0.0
2020-10-08,92.25,93.32,91.5,92.68,1264252,0.0
2020-10-09,93.34,94.52,93.06,94.47,958311,0.0
2020-10-12,94.99,95.22,93.73,95.01,1532178,0.0
2020-10-13,94.19,96.38,94.19,94.87,1544711,0.0
2020-10-14,94.93,95.195,91.61,92.6,1831620,0.0
2020-10-15,91.45,92.9,91.31,92.2,1029783,0.0
2020-10-16,92.94,94.07,92.22,92.41,917225,0.0
2020-10-19,92.68,93.3233,90.87,91.26,841359,0.0
2020-10-20,91.23,94.25,91.23,93.16,2006787,0.0
2020-10-21,93.54,94.99,92.33,92.4,1033745,0.0
2020-10-22,92.43,94.7,91.81,93.4,1112032,0.0
2020-10-23,93.8,94.11,92.21,94.02,833823,0.0
2020-10-26,93.15,94.04,90.78,91.33,1292166,0.0
2020-10-27,91.89,92.91,91.44,91.49,802145,0.0
2020-10-28,90.1,90.59,88.7,88.93,948274,0.0
2020-10-29,89.08,89.91,87.1,89.4,1330102,0.0
2020-10-30,89.03,89.61,86.43,87.76,1155525,0.0
2020-11-02,88.78,90.13,87.16,88.49,1388346,0.0
2020-11-03,91.17,96.37,91.17,95.5,2113212,0.0
2020-11-04,97.71,103.64,96.6,101.53,2449705,0.0
2020-11-05,102.42,103.87,101.505,102.48,1787430,0.0
2020-11-06,102.4,104.22,102.2697,103.32,1028089,0.0
2020-11-09,120.48,120.48,99.7,101.91,4103228,0.0
2020-11-10,101.83,102.29,98.6172,99.91,2335059,0.0
2020-11-11,101.16,102.61,100.435,101.72,1843236,0.0
2020-11-12,101.48,103.74,100.65,103.44,1736032,0.0
2020-11-13,103.89,105.5,103.33,104.585,1298118,0.0
2020-11-16,107.6,107.6,104.11,104.965,1365137,0.0
2020-11-17,104.88,105.0834,103.71,104.97,1479760,0.0
2020-11-18,105,105.245,103.05,103.11,2793401,0.0
2020-11-19,103.76,104.8,103.01,104.17,1667615,0.0
2020-11-20,104.19,104.85,102.71,103.29,2524909,0.0
2020-11-23,102.5,102.6,98.631,99.83,3997626,0.0
2020-11-24,100.09,100.61,94.56,94.65,4952218,0.0
2020-11-25,94.88,95.465,93.11,94.68,2578550,0.0
2020-11-27,95.17,97.45,94.75,97.27,1274068,0.0
2020-11-30,98,99,96,96.16,1342072,0.0
2020-12-01,96.35,96.81,94.61,95.81,1349901,0.0
2020-12-02,95.66,96.11,92.96,93.22,1142601,0.0
2020-12-03,93,93.8,91.97,93.48,1064643,0.0
2020-12-04,93.36,95.46,93.22,95.46,839269,0.0
2020-12-07,95.31,96.75,92.02,93.43,985935,0.0
2020-12-08,93.35,95.29,93.01,94.25,1027141,0.0
2020-12-09,94.22,95.16,91.87,92.3,751370,0.0
2020-12-10,95.14,96.29,94.19,95.17,1930690,0.0
2020-12-11,94.34,95.66,93.52,95.22,851905,0.0
2020-12-14,96,98.45,95.785,97.93,1688933,0.0
2020-12-15,98.82,100.42,98.05,100.06,1002436,0.0
2020-12-16,100.44,101.15,99.7,100.14,731757,0.0
2020-12-17,100.36,103.93,99.46,103.62,1044419,0.0
2020-12-18,104.01,105.51,103.07,105,1794591,0.0
2020-12-21,103.36,103.7,99.51,103.63,719819,0.0
2020-12-22,104.1,105.585,103.84,104.85,339706,0.0
2020-12-23,105.05,105.405,103.34,104.86,537182,0.0
2020-12-24,104.89,106.22,104.66,105.28,255498,0.0
2020-12-28,106.14,106.55,102.78,102.86,502763,0.0
2020-12-29,103.37,103.645,101.18,102.7,464004,0.0
2020-12-30,103.14,104.05,102.59,103.29,472898,0.0
2020-12-31,103.52,104.42,102.06,103.97,559128,0.0
2021-01-04,104.84,104.9799,103.07,103.72,1097333,0.0
2021-01-05,103.22,105.33,103,104.9,660176,0.0
2021-01-06,103.79,107.285,103.79,106.21,1274798,0.0
2021-01-07,106.82,108.8,106.52,108.57,1638898,0.0
2021-01-08,109.36,112.77,109.36,112.46,1084783,0.0
2021-01-11,112.5,115.81,111.44,115.4,769840,0.0
2021-01-12,115.44,117.61,115.02,115.69,1485173,0.0
2021-01-13,115.86,117.29,114.73,114.76,1341716,0.0
2021-01-14,115.14,116.0433,113.64,115.25,603269,0.0
2021-01-15,115.01,115.74,113.77,115.5,719762,0.0
2021-01-19,117.3,119.97,116.54,119.8,897498,0.0
2021-01-20,119.88,120.18,118.16,119.66,746363,0.0
2021-01-21,119.7,119.97,117.54,118.29,598857,0.0
2021-01-22,117.88,118.51,116.08,116.81,687516,0.0
2021-01-25,117.17,117.895,114.25,115.73,677628,0.0
2021-01-26,116.05,116.78,112.5404,113.39,709026,0.0
2021-01-27,110.31,111.5,107.71,109.59,846120,0.0
2021-01-28,111.08,115.99,110.56,115,981384,0.0
2021-01-29,114.35,116.38,113.26,115.08,961968,0.0
2021-02-01,116.91,119.32,116.15,117.55,1090797,0.0
2021-02-02,122.2,124.48,117.73,117.73,1349476,0.0
2021-02-03,118.9,119.05,112.54,113.83,953750,0.0
2021-02-04,113.55,114.17,112.69,113.38,639850,0.0
2021-02-05,113.62,114.41,111.93,113.57,803705,0.0
2021-02-08,114.14,114.7,112.58,113.42,524641,0.0
2021-02-09,113.34,116.17,113.34,114.25,703256,0.0
2021-02-10,115.17,119.92,115.09,119.22,1045633,0.0
2021-02-11,119.94,124.87,119.45,122.99,1319656,0.0
2021-02-12,122.41,125.6345,122.14,125.36,666275,0.0
2021-02-16,125.29,127.68,122.3,122.78,906520,0.0
2021-02-17,122,122.49,119.31,121,527663,0.0
2021-02-18,120.74,120.74,117.12,118.25,585474,0.0
2021-02-19,118.99,119.51,117.88,118,622562,0.0
2021-02-22,117.42,117.645,114.26,114.32,735671,0.0
2021-02-23,113.93,114,109.34,112.78,1063261,0.0
2021-02-24,112.61,115.54,112.26,115.08,723650,0.0
2021-02-25,114.53,115.07,111.2,112.32,1232850,0.0
