Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-15,144.89,148.18,144.44,146.72,2282460,0.0
2020-05-18,146.44,147.26,139.73,139.83,5289390,0.0
2020-05-19,140.66,141.16,137.05,137.13,2293517,0.0
2020-05-20,138.04,138.96,135.18,137.44,1545782,0.0
2020-05-21,137.81,138.3,135.05,136.73,2600500,0.0
2020-05-22,137.16,137.88,135.13,137.09,2839492,0.0
2020-05-26,138.81,140.271,137.24,138.95,1744492,0.0
2020-05-27,136.84,139.41,135.51,139.21,2872590,0.0
2020-05-28,139.31,142.79,139.0163,141.19,1467580,0.0
2020-05-29,141.72,148.53,141.54,148.12,2042429,0.0
2020-06-01,147.39,148.71,145.17,146.68,2459658,0.0
2020-06-02,145.9,146.025,140.76,143.87,2799182,0.0
2020-06-03,143.85,143.85,139.08,139.54,2592046,0.0
2020-06-04,137.97,140.705,137.804,139.92,1109188,0.0
2020-06-05,137.62,139.55,135.34,139.16,1829752,0.0
2020-06-08,136.41,140.54,136.1,139.93,2682534,0.0
2020-06-09,141.36,142.365,139.11,140.2,2048744,0.0
2020-06-10,141.72,143.59,140.22,141.25,1396357,0.0
2020-06-11,140.73,143.37,137.5,137.9,3068342,0.0
2020-06-12,139.49,141.24,139.3,140.79,292678,0.0
2020-06-15,140.06,143.33,139.1333,143.24,2658938,0.0
2020-06-16,143.67,146.99,143.6,145.47,2188001,0.0
2020-06-17,145.42,146.975,144.505,145.37,1371830,0.0
2020-06-18,145.92,146.99,144.24,146.61,1967470,0.0
2020-06-19,148,148.75,144.94,144.98,1402233,0.0
2020-06-22,145.03,145.48,143.09,144.87,815800,0.0
2020-06-23,145.06,145.475,142.57,142.62,934234,0.0
2020-06-24,142.94,144.925,141.59,142.17,1113665,0.0
2020-06-25,142.66,143.64,140.11,140.9,1088575,0.0
2020-06-26,140.89,144.14,139.9,142.81,1377422,0.0
2020-06-29,142.46,145.399,141.03,144.82,1194718,0.0
2020-06-30,146.57,148.36,145.57,147.76,897442,0.0
2020-07-01,147.01,149.84,145.66,149.38,932967,0.0
2020-07-02,150,151.62,149.27,149.99,853109,0.0
2020-07-06,151.49,152.212,148.91,150.39,779945,0.0
2020-07-07,150.13,152.6,149.82,150.07,839056,0.0
2020-07-08,151.04,151.66,148.75,149.65,931472,0.0
2020-07-09,151.29,153.29,150.05,152.68,860552,0.0
2020-07-10,152.87,153.39,150.82,152.19,760306,0.0
2020-07-13,153.06,154.5,148.99,149.07,1147311,0.0
2020-07-14,147.96,153.88,146.75,153.59,1366708,0.0
2020-07-15,152.08,154.2885,150.39,150.82,1018009,0.0
2020-07-16,150.41,152.56,149.37,151.83,959483,0.0
2020-07-17,152.81,156.3,152.111,155.84,931162,0.0
2020-07-20,159.44,167.9498,158.455,167.78,2076386,0.0
2020-07-21,167,169.32,164.1,165.87,1947631,0.0
2020-07-22,168.71,173.56,167.05,167.15,1914428,0.0
2020-07-23,153.43,160.7,143.92,145.5,6808620,0.0
2020-07-24,144.285,145.86,141.17,142.52,2513586,0.0
2020-07-27,143.5,144.39,140.1,142.13,1656323,0.0
2020-07-28,142.08,142.08,137.53,138.065,1939460,0.0
2020-07-29,138.93,140.77,137.67,139.3,1328834,0.0
2020-07-30,138.4,142.01,136.93,141.68,1721222,0.0
2020-07-31,142.54,144.15,138.18,142.78,1860044,0.0
2020-08-03,142.91,143.44,139.305,139.86,1799131,0.0
2020-08-04,138.85,142.75,137.8,142.69,1158258,0.0
2020-08-05,142.75,142.78,140.15,142.7,1003505,0.0
2020-08-06,142.29,142.98,140.15,140.79,846581,0.0
2020-08-07,141.03,143.3134,140.32,141.14,950905,0.0
2020-08-10,141,141,136.015,137.51,1158538,0.0
2020-08-11,138.13,138.3828,135.36,135.76,1306914,0.0
2020-08-12,135.71,137.89,135.45,136.49,741522,0.0
2020-08-17,137.1,138.74,136.91,138.08,662263,0.0
2020-08-18,138.96,141.12,138.37,140.39,845263,0.0
2020-08-19,139.9,141.98,139.075,140.42,685656,0.0
2020-08-20,140.2,141.99,139.67,141.55,729940,0.0
2020-08-21,141.3,143.73,140.2716,143.17,971081,0.0
2020-08-24,142.38,142.82,141.35,142.8,597329,0.0
2020-08-25,143.26,144.4,142.3907,142.89,735562,0.0
2020-08-26,142.92,144.92,142.4,144.31,746371,0.0
2020-08-27,144.15,144.39,140.96,142.35,838767,0.0
2020-08-28,143.08,146.49,142.62,144.03,811489,0.0
2020-08-31,143.59,145.48,142.67,145.2,853503,0.0
2020-09-01,145.04,148.47,144.5,145.15,1369572,0.0
2020-09-02,145.88,148.47,144.395,147.8,1082210,0.0
2020-09-03,147.12,147.1283,138.47,140.69,1578954,0.0
2020-09-04,139.06,141.04,135.13,137.09,1386426,0.0
2020-09-08,133.89,140.8,133.11,138.65,2356693,0.0
2020-09-09,140.4,142.24,137.37,141.51,1173153,0.0
2020-09-10,140.43,141.16,134.16,134.89,1674881,0.0
2020-09-11,135.71,136.93,131.15,132.37,1479474,0.0
2020-09-14,134.02,136.22,133.33,135.48,992904,0.0
2020-09-15,135.78,137.59,135.23,135.85,1176563,0.0
2020-09-16,137.05,138.63,134.96,135.13,957584,0.0
2020-09-17,132.67,134.85,131.41,134,1131804,0.0
2020-09-18,134.14,135.86,132.3,134.07,1626287,0.0
2020-09-21,133.76,134.84,132.405,134.23,1037904,0.0
2020-09-22,135.7,137.81,133.9,137.23,673562,0.0
2020-09-23,136.64,137.48,132.86,133.22,659979,0.0
2020-09-24,132.13,135.17,132.07,133.85,451135,0.0
2020-09-25,133.7,136.765,133.335,136.18,525422,0.0
2020-09-28,137.7,139,136.69,138.32,566656,0.0
2020-09-29,138.19,139.05,136.89,136.89,579127,0.0
2020-09-30,137.22,139.14,136.06,137.73,584703,0.0
2020-10-01,139.03,139.93,137.75,139.21,643613,0.0
2020-10-02,137.42,138.49,134.6,134.91,606085,0.0
2020-10-05,135.49,136.17,134.2,135.61,627110,0.0
2020-10-06,134.9813,137.43,132.86,133.35,797122,0.0
2020-10-07,134.05,134.84,132.21,133.41,942630,0.0
2020-10-08,134.79,135.77,133.65,135.57,565222,0.0
2020-10-09,137.02,139.4758,136.1,139.43,713802,0.0
2020-10-12,141,146.9372,140.7102,145.25,1354399,0.0
2020-10-13,145.23,146.03,141.9,144.07,1168013,0.0
2020-10-14,142.47,143.99,139.5,140.81,993133,0.0
2020-10-15,140.15,140.51,138.24,138.87,659808,0.0
2020-10-16,139.16,139.73,137.67,138.36,895012,0.0
2020-10-19,139.11,140.17,134.36,134.83,864597,0.0
2020-10-20,136.29,139.41,135.98,136.72,988402,0.0
2020-10-21,136.68,137.94,135.86,136.45,905755,0.0
2020-10-22,135.39,136.1,125.75,126.67,4165303,0.0
2020-10-23,124.6,125.47,120.76,122.72,3746643,0.0
2020-10-26,121.83,124.29,120.71,123.82,1528070,0.0
2020-10-27,124.35,125.96,119.25,119.45,2114447,0.0
2020-10-28,117.855,118.39,114.68,114.76,1609284,0.0
2020-10-29,115.01,116.13,113.7,113.87,1268448,0.0
2020-10-30,113.78,114.98,111.865,113.28,1294774,0.0
2020-11-02,113.62,114.78,111.6,114.43,1315498,0.0
2020-11-03,115.07,116.77,114.025,115.93,1140138,0.0
2020-11-04,118.9,119.47,116.45,116.89,1376496,0.0
2020-11-05,119.04,120.88,118.32,119.43,1070148,0.0
2020-11-06,119.33,119.51,117.18,118.98,784167,0.0
