Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,71.8,73.9,71,73.85,2773762,0.0
2020-12-07,73.8,74.95,73.31,74.88,1699521,0.0
2020-12-08,74.03,76.42,74.03,75.34,2901225,0.0
2020-12-09,75.27,75.75,70.87,71.64,2548910,0.0
2020-12-10,70.72,72.6,69.29,71.16,1693798,0.0
2020-12-11,71.65,72.44,69.48,69.9,1244887,0.0
2020-12-14,71.68,73.1635,70.825,71.9,1767194,0.0
2020-12-15,72.86,75.52,71.8155,75.2,1730225,0.0
2020-12-16,74.63,76.28,73.882,75.85,1473336,0.0
2020-12-17,76.03,77.42,75.76,77.02,1800274,0.0
2020-12-18,77.42,78.16,74.63,75.44,2801483,0.0
2020-12-21,73.2817,74.94,71.21,73.82,1679615,0.0
2020-12-22,73.95,74.69,71.56,74.24,1314730,0.0
2020-12-23,74.64,77.45,74.64,76.63,946613,0.0
2020-12-24,76.2289,77.2,75.31,75.82,632158,0.0
2020-12-28,76.48,77,73.42,73.63,1232021,0.0
2020-12-29,74.16,74.78,72.1406,73.4,1213489,0.0
2020-12-30,73.33,74.24,72.38,73.68,1109251,0.0
2020-12-31,73.73,75.53,72.69,74.29,1081741,0.0
2021-01-04,74.62,75.44,71.05,71.74,2259682,0.0
2021-01-05,71.54,75.5,71.525,74.76,1595855,0.0
2021-01-06,75.96,78,74.6515,76.22,3050680,0.0
2021-01-07,77.3,80,76.52,78.02,2896381,0.0
2021-01-08,77.85,79.5,77.45,78.73,2308989,0.0
2021-01-11,77.28,79.65,76.82,78.3,1321000,0.0
2021-01-12,78.8032,80.69,77.61,79.08,1652017,0.0
2021-01-13,78.5,78.9594,76.06,76.5,1916478,0.0
2021-01-14,77.46,79.47,77.33,78.23,1902694,0.0
2021-01-15,77.3,80.1,76.22,80,2727374,0.0
2021-01-19,80.18,82.15,79.05,80.72,3262568,0.0
2021-01-20,80.4,82.34,79.625,80.04,2066068,0.0
2021-01-21,80.22,81.43,78.34,80.72,1812151,0.0
2021-01-22,79.75,81.57,78.68,79.52,1632708,0.0
2021-01-25,79.32,79.53,75.99,78.42,1853315,0.0
2021-01-26,78.8534,80.65,74.15,74.46,2035260,0.0
2021-01-27,71.77,72.3,66.34,66.86,4378170,0.0
2021-01-28,68,74.89,68,73.74,3100783,0.0
2021-01-29,73.04,73.5,69.315,70.241,1713579,0.0
2021-02-01,70.67,72.25,69.9,70.73,1849904,0.0
2021-02-02,72.25,76.39,71.68,75.99,1616408,0.0
2021-02-03,76.01,78.45,74.78,76.43,1480468,0.0
2021-02-04,77.89,80.15,77.315,79.47,1426203,0.0
2021-02-05,81.02,83.97,80.37,82.81,2231539,0.0
2021-02-08,83.47,83.96,80.19,82.85,1151449,0.0
2021-02-09,82.12,83.93,80.62,81.57,997018,0.0
2021-02-10,81.85,82.3932,79.3,79.67,1225694,0.0
2021-02-11,79.75,80.3,77.0201,78.41,1116340,0.0
2021-02-12,77.79,80.73,77.63,80.21,1857814,0.0
2021-02-16,80.9,81.12,78.27,78.3,1378852,0.0
2021-02-17,77.35,79.24,75.45,78.61,1711898,0.0
2021-02-18,77.65,80.06,77.07,79.32,830436,0.0
2021-02-19,79.87,83.87,79.395,83.15,1856240,0.0
2021-02-22,83.4,89.11,83.04,84.72,2243981,0.0
2021-02-23,83.7,86.81,81.69,85.89,2106836,0.0
2021-02-24,86.83,89.99,84.1601,89.87,1882939,0.0
2021-02-25,89.6,90.2633,84.37,85.4,2323935,0.0
2021-02-26,90.74,94.43,88.07,92.92,4845871,0.0
2021-03-01,96,96.83,93.17,94.04,2377161,0.0
2021-03-02,93.63,95.15,92.51,92.97,1368203,0.0
2021-03-03,95.24,98.16,93.6403,95.51,3145395,0.0
2021-03-04,96,96.08,86.82,90.82,2452941,0.0
2021-03-05,91.82,93.84,83.92,93.3,2711034,0.0
