Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-29,51.99,52.98,51.78,52.48,2776368,0.0
2020-06-30,52.11,53.47,51.89,53.11,3989622,0.0
2020-07-01,53.12,53.83,52.07,52.32,3426671,0.0
2020-07-02,53.01,54.2232,52.91,53.72,3631086,0.0
2020-07-06,54.73,54.94,53.64,54.59,2904530,0.0
2020-07-07,53.89,54.38,53.12,53.61,2798466,0.0
2020-07-08,53.52,53.77,51.635,52.27,4110865,0.0
2020-07-09,52.39,52.46,50.745,50.92,4099287,0.0
2020-07-10,51,52.39,50.81,52.24,2438202,0.0
2020-07-13,52.73,53.52,52.31,52.52,3836999,0.0
2020-07-14,52.41,53.8101,51.98,53.67,2409897,0.0
2020-07-15,54.73,55.2,53.82,54.87,2927013,0.0
2020-07-16,54.5,55.37,54.19,54.81,1929332,0.0
2020-07-17,54.99,55.48,54.5,54.525,2181303,0.0
2020-07-20,54.07,54.41,53.12,53.15,2064578,0.0
2020-07-21,53.44,54.38,53.19,53.92,2772980,0.0
2020-07-22,53.54,54.49,53.38,54.43,1567642,0.0
2020-07-23,54.3,55.43,54.04,55.35,2421037,0.0
2020-07-24,55.15,55.41,54.17,54.55,3185990,0.0
2020-07-27,54.61,55.76,54.0306,55.36,2303309,0.0
2020-07-28,54.63,55.24,53.97,54,6731573,0.0
2020-07-29,53.64,55.64,53.64,55.54,7704526,0.0
2020-07-30,53.55,54.43,52.16,53.76,12334341,0.0
2020-07-31,53.77,54.96,52.91,53.49,7685459,0.0
2020-08-03,53.03,53.33,52.38,52.45,5859316,0.0
2020-08-04,52.37,53.515,52.12,53.16,6800524,0.0
2020-08-05,53.82,55.37,53.77,54.75,7897971,0.0
2020-08-06,55.16,55.234,54.38,54.71,9943290,0.0
2020-08-07,54.46,55.88,53.81,55.88,5681920,0.0
2020-08-10,56.66,57.797,56.54,57.67,6721884,0.0
2020-08-11,58.98,59.83,57.18,57.32,12108629,0.0
2020-08-12,59,59.495,58.32,58.38,8599453,0.0
2020-08-13,57.75,58.47,57.48,58.01,3253404,0.0
2020-08-14,57.48,58.58,57.21,58.16,2203661,0.0
2020-08-17,58.11,58.46,57.42,57.47,4171544,0.0
2020-08-18,57.64,57.92,56.935,56.99,3355468,0.0
2020-08-19,56.87,57.21,56.14,56.28,4485220,0.0
2020-08-20,55.62,56.34,55.25,56.105,4020310,0.0
2020-08-21,56,56.19,55.025,55.14,5108430,0.0
2020-08-24,55.74,56.99,55.0561,56.9,7233974,0.0
2020-08-25,57.23,57.67,56.04,56.2,4342530,0.0
2020-08-26,56.04,57.175,55.72,56.91,4239588,0.0
2020-08-27,56.94,57.47,56.14,56.59,2996116,0.0
2020-08-28,56.82,57.26,56.3,57.18,3000048,0.0
2020-08-31,56.83,56.9,55.74,55.75,4656180,0.0
2020-09-01,55.41,57.27,54.9201,57.26,7488978,0.0
2020-09-02,57.43,60.35,57.28,60.11,11700560,0.0
2020-09-03,60,60.46,57.42,58.1,8050514,0.0
2020-09-04,58.89,59.12,57.98,58.78,7778053,0.0
2020-09-08,57.97,58,56.581,56.78,7583335,0.0
2020-09-09,57.54,58.47,57.33,57.93,4855860,0.0
2020-09-10,58.38,58.58,57.59,57.73,3954478,0.0
2020-09-11,58.16,59.075,57.63,58.56,3877323,0.0
2020-09-14,59.19,60.0899,58.86,59.4,4131954,0.0
2020-09-15,59.43,59.96,59.22,59.53,1959245,0.0
2020-09-16,59.75,60.98,59.15,60.18,2264672,0.0
2020-09-17,59.33,60.92,59.031,60.8,4049896,0.0
2020-09-18,60.13,60.48,58.67,59.27,4609977,0.0
2020-09-21,57.36,57.68,55.88,56.17,4365467,0.0
2020-09-22,56.22,56.2899,55.38,55.77,2608986,0.0
2020-09-23,55.59,56.18,54.31,54.38,4095908,0.0
2020-09-24,54.25,55.03,53.59,54.26,3290458,0.0
2020-09-25,53.81,55.27,53.4901,55.04,2407595,0.0
2020-09-28,55.97,57.29,55.87,56.57,3158491,0.0
2020-09-29,56.63,56.685,55.02,55.19,6433672,0.0
2020-09-30,55.54,56.33,55.02,55.46,6233155,0.0
2020-10-01,55.96,56.3101,54.425,54.53,7202490,0.0
2020-10-02,53.73,55.57,53.52,54.77,7762384,0.0
2020-10-05,55.62,56.5,55.395,56.06,8394711,0.0
2020-10-06,56.68,57.59,56.04,56.14,12806986,0.0
2020-10-07,56.53,58.17,56.48,57.66,9765670,0.0
2020-10-08,58.33,59.29,58.14,59.29,8448322,0.0
2020-10-09,59.64,60.2,59.19,59.31,5047585,0.0
2020-10-12,59.42,59.55,58.3,58.43,5844971,0.0
2020-10-13,57.9,58.75,57.52,58.32,6220575,0.0
2020-10-14,58.27,59.35,57.62,58.78,6374706,0.0
2020-10-15,57.99,59.45,57.67,59.28,5256265,0.0
2020-10-16,59.45,59.9399,58.93,59.175,5031135,0.0
2020-10-19,59.35,60.21,58.21,58.44,6065615,0.0
2020-10-20,58.68,60.1,58.55,59.48,6183709,0.0
2020-10-21,59.16,60.07,58.59,58.66,5314712,0.0
2020-10-22,58.91,59.62,58.25,59.49,5101654,0.0
2020-10-23,59.94,60.14,59.25,59.83,3900547,0.0
2020-10-26,59.12,59.12,57.84,58.52,5305829,0.0
2020-10-27,58.23,58.4,57.14,57.34,6765373,0.0
2020-10-28,56,56.87,55.63,55.96,8438586,0.0
2020-10-29,55.26,58.7032,55.225,57.96,10741885,0.0
2020-10-30,57.58,58.11,56.18,56.91,9098517,0.0
2020-11-02,57.9,59.06,57.15,58.8,7929338,0.0
2020-11-03,59.585,60.15,59.04,59.59,5252456,0.0
2020-11-04,59.19,59.75,58.05,58.21,6024172,0.0
2020-11-05,59.02,60.995,58.83,60.2,6943368,0.0
2020-11-06,60.2,60.7,59.42,59.62,4937567,0.0
2020-11-09,62.06,64.65,61.5,61.66,12670100,0.0
2020-11-10,61.92,62.825,61.34,61.75,8573678,0.0
2020-11-11,61.87,62.04,59.83,60.32,6892554,0.0
2020-11-12,59.98,61.14,59.42,59.99,4390171,0.0
2020-11-13,60.385,61.835,60.385,61.67,2814689,0.0
2020-11-16,63,63.43,62.1,63.43,5774642,0.0
2020-11-17,62.72,63.55,61.81,63.18,4913188,0.0
2020-11-18,63.5,64.3,62.14,62.14,5818715,0.0
2020-11-19,61.9,62.48,61.25,62.04,3751793,0.0
2020-11-20,61.9,62.75,61.73,62.55,4784995,0.0
2020-11-23,63.02,64,62.98,63.6,5317042,0.0
2020-11-24,64.6,66.33,64.29,65.85,10091984,0.0
2020-11-25,65.52,65.52,64.36,64.89,5505828,0.0
2020-11-27,64.79,65.39,64.22,64.57,2820460,0.0
2020-11-30,64.14,64.37,63.02,63.44,3658836,0.0
2020-12-01,64.84,65.23,63.33,63.52,4079738,0.0
2020-12-02,63.48,64.29,63.25,63.96,2884582,0.0
2020-12-03,63.95,64.93,63.8,64.18,3086523,0.0
2020-12-04,64.65,66.17,64.54,66.02,4026526,0.0
2020-12-07,65.59,66.24,65.07,65.43,2618159,0.0
2020-12-08,65.32,67.17,65.21,66.8,3428335,0.0
2020-12-09,67.15,67.75,66.56,67.53,3191108,0.0
2020-12-10,66.96,67.1,66.34,66.55,2734337,0.0
2020-12-11,65.98,66.53,65.28,66.405,2531991,0.0
2020-12-14,67.17,67.22,65.75,65.76,4227898,0.0
2020-12-15,66.38,68.04,66.02,68.03,4389269,0.0
2020-12-16,67.85,68.83,67.57,68.38,3331084,0.0
2020-12-17,68.86,69.615,68.48,69.48,3730282,0.0
2020-12-18,71.26,71.48,69.92,71.31,13205137,0.0
2020-12-21,69.99,70.94,69.3,70.425,5260530,0.0
2020-12-22,70.58,71.08,70.09,70.43,5287623,0.0
2020-12-23,70.42,71.04,69.16,69.19,9365792,0.0
2020-12-24,69.4,69.63,68.88,69.58,1847723,0.0
2020-12-28,69.93,70.05,68.64,68.65,4320762,0.0
2020-12-29,68.75,69.62,68.65,69.35,4288807,0.0
2020-12-30,69.34,70.4,69.27,70.35,4426235,0.0
2020-12-31,70.33,71.55,70,71.1,8779043,0.0
2021-01-04,71.68,72.32,70.14,70.32,10625088,0.0
2021-01-05,69.98,74.19,69.98,73.8,12092989,0.0
2021-01-06,74.45,78.08,74.41,77.73,19335784,0.0
2021-01-07,77.97,80.94,77.97,80.88,17896356,0.0
2021-01-08,80.46,82.9154,80.46,81.78,14078967,0.0
2021-01-11,80.17,85.47,80.05,83.98,14218257,0.0
2021-01-12,83.56,87.27,83.47,86.34,30735110,0.0
2021-01-13,84.56,85.55,81.76,83.49,27532015,0.0
2021-01-14,82.12,83.23,81.58,82.6,13091593,0.0
2021-01-15,81.92,82.57,80.48,82.34,11918465,0.0
2021-01-19,83.2,84.56,82.01,84.46,12936957,0.0
