Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,89.13,90.66,88.73,90.53,1224928,13813,90.144818
2021-01-04,91.56,91.99,88.1,89.61,3621579,32776,89.549419
2021-01-05,89.27,91.24,89.245,90.73,2477294,25175,90.605356
2021-01-06,92.5,95.91,92.35,95.46,3101359,34284,94.811504
2021-01-07,96.76,98.62,96.51,97.55,3553555,33657,97.781557
2021-01-08,97.81,97.855,95.05,97.11,1865246,22468,96.720091
2021-01-11,95.53,96.18,94.505,95.23,2570691,26493,95.265366
2021-01-12,95.67,96.13,94.17,95.33,3011452,33061,95.17834
2021-01-13,95.5,98.45,95.27,96.99,3122348,22500,96.753802
2021-01-14,97.32,98.88,96.56,98.43,2024804,22700,98.11907
2021-01-15,96.73,97.99,95.11,97.76,2848801,24052,97.042963
2021-01-19,98.92,100.21,98.14,99.07,3318196,28098,99.458286
2021-01-20,100.64,100.96,98.6,99.89,4129363,35482,99.724478
2021-01-21,98.0,99.03,93.0,94.24,6011219,55148,94.904215
2021-01-22,93.56,94.35,91.135,92.27,2975837,33687,92.393685
2021-01-25,90.57,91.0,86.935,89.06,4005650,43565,88.692029
2021-01-26,89.52,89.56,86.61,86.82,2235661,25299,87.695013
2021-01-27,84.73,84.73,81.82,82.18,4599160,53163,82.778356
2021-01-28,83.69,86.17,83.01,85.85,3690707,41984,85.212381
2021-01-29,85.13,85.275,82.66,83.54,2402674,29841,83.708992
2021-02-01,84.09,85.25,81.27,82.19,5108189,50230,82.452236
2021-02-02,84.0,86.145,83.46,85.33,3022955,34253,85.27478
2021-02-03,85.17,87.52,84.33,87.3,3795133,31732,86.429597
2021-02-04,87.8,91.695,87.51,91.5,3364259,37360,90.676274
2021-02-05,92.78,94.55,92.58,92.84,2453459,28969,93.151061
2021-02-08,93.24,94.44,92.58,94.34,2466016,21558,93.923475
2021-02-09,93.55,94.14,92.41,92.66,1901514,19955,93.151751
2021-02-10,93.63,94.39,92.86,93.37,1403229,17656,93.551574
2021-02-11,93.51,94.09,91.46,92.77,1187341,16545,92.595267
2021-02-12,92.9,94.33,92.7395,93.72,1420476,17488,93.689168
2021-02-16,93.67,96.5,92.545,95.9,3051496,29035,95.399899
2021-02-17,94.65,95.02,90.6101,91.7,3731498,34763,92.134128
2021-02-18,91.3,91.66,88.66,90.26,2089140,27721,89.896931
2021-02-19,91.39,94.351,91.2343,93.92,2544937,27742,92.77628
2021-02-22,93.53,97.4,93.13,95.39,2070250,25091,96.111103
2021-02-23,95.97,96.5,92.68,95.3,1957142,27972,95.146955
2021-02-24,95.79,98.47,94.84,97.96,2510672,31948,96.936463
2021-02-25,98.55,98.75,93.65,95.0,2818670,37509,95.303296
2021-02-26,94.44,96.0,92.4,94.07,2256846,30881,94.286991
2021-03-01,96.44,98.86,96.42,97.87,2051232,25572,97.725017
2021-03-02,97.64,98.385,96.44,96.54,1362770,17310,97.142331
2021-03-03,97.09,98.9,96.7,96.76,1982456,25917,97.636114
2021-03-04,95.88,97.9813,92.27,95.4,2050243,31776,95.035348
2021-03-05,97.48,98.1,92.2,98.02,1961114,31474,96.392407
2021-03-08,98.5,99.6,96.92,97.92,2141865,28381,98.274078
2021-03-09,97.64,98.91,96.115,97.53,2088298,27852,97.681727
2021-03-10,98.0,100.92,97.89,99.61,2174056,26280,99.560262
2021-03-11,99.41,103.4,98.4812,102.27,2128138,27475,101.946734
2021-03-12,103.47,104.49,101.78,102.27,2071415,25730,102.846634
2021-03-15,101.6,102.26,97.51,100.72,2936435,35857,99.520324
2021-03-16,99.96,100.95,97.08,98.62,2409289,27446,98.411059
2021-03-17,99.63,99.99,97.11,99.08,2265600,30243,98.732864
2021-03-18,99.43,100.13,95.23,95.68,2623702,35616,97.422891
2021-03-19,94.52,96.5,93.26,94.78,8964095,38654,94.939016
2021-03-22,94.35,95.17,93.14,94.68,1968771,27353,94.409618
2021-03-23,93.77,94.61,89.83,91.98,5848495,48881,91.398477
2021-03-24,93.62,94.58,92.69,92.93,3278141,33582,93.415433
2021-03-25,92.11,96.28,90.33,95.95,2476837,30074,94.247676
2021-03-26,97.53,98.13,94.44,96.96,1995598,23771,96.341452
2021-03-29,95.39,96.24,93.31,94.08,1975250,23009,94.492445
2021-03-30,94.36,95.775,93.88,95.26,2782663,25720,94.953706
2021-03-31,95.48,96.55,94.32,94.99,2285612,25838,94.961565
