Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,209.87,210.62,208.15,210.3,1396466,22006,209.36102
2021-01-04,210.25,211.6032,207.795,209.71,2036943,32159,209.701058
2021-01-05,209.43,210.0,206.4,206.73,1781098,32012,207.728435
2021-01-06,206.05,216.06,205.81,215.31,2648423,39558,213.38847
2021-01-07,214.63,218.48,214.6,217.72,1519088,26861,217.174723
2021-01-08,218.64,219.0,214.46,215.81,1859222,26286,215.965095
2021-01-11,215.37,217.65,214.62,215.26,1605195,26401,215.917283
2021-01-12,214.79,218.765,213.645,218.38,2155938,31704,217.325622
2021-01-13,217.21,219.58,216.04,218.22,1169387,23366,218.248844
2021-01-14,217.1,217.86,213.11,213.24,2568678,36170,214.647332
2021-01-15,213.24,213.76,210.45,211.44,1795790,26889,211.731858
2021-01-19,211.44,212.44,205.96,206.06,2148426,32964,207.324675
2021-01-20,206.89,207.12,203.93,205.12,2741046,36504,205.368172
2021-01-21,205.68,209.39,204.51,207.72,2085254,27742,207.969894
2021-01-22,207.72,208.2921,205.76,206.21,1455288,24636,206.926862
2021-01-25,206.76,207.99,205.11,206.57,1511695,23310,206.451544
2021-01-26,207.15,207.555,205.26,206.12,1472522,26250,206.367483
2021-01-27,205.35,207.75,198.51,199.63,3235655,52124,201.361141
2021-01-28,199.01,201.51,198.25,199.05,6367183,49086,199.499964
2021-01-29,199.54,200.0,194.37,194.61,4483823,43505,196.088073
2021-02-01,194.61,195.79,192.34,192.75,3087303,39047,193.788134
2021-02-02,193.59,198.0,193.31,195.35,3729453,40391,195.88238
2021-02-03,195.63,196.9,195.01,195.78,3184618,34451,195.734374
2021-02-04,196.07,196.92,193.93,195.72,2842849,36773,195.201996
2021-02-05,196.25,199.155,193.02,193.82,3784643,44058,194.953394
2021-02-08,195.32,198.77,194.92,198.38,3475960,35299,197.914098
2021-02-09,200.7,203.89,198.63,203.49,3080883,38063,202.097564
2021-02-10,205.5,205.76,200.96,201.32,2169235,30261,202.417482
