Date,Open,High,Low,Close,Volume,OpenInterest
2020-08-03,21.18,21.45,20.83,21.33,2271194,0.0
2020-08-04,21.48,22.55,21.3,22.02,5894031,0.0
2020-08-05,23,23,21.055,21.12,7540836,0.0
2020-08-06,21.1,21.79,21.07,21.62,6170971,0.0
2020-08-07,21.56,21.91,20.88,20.99,6709444,0.0
2020-08-10,21.375,21.84,21.34,21.77,3998670,0.0
2020-08-11,21.98,23.665,21.95,22.485,7236043,0.0
2020-08-12,22.8,22.84,21.81,21.82,2905300,0.0
2020-08-13,21.68,22.12,21.53,21.975,2285405,0.0
2020-08-14,21.93,22.725,21.85,22.62,2230683,0.0
2020-08-17,22.47,22.5415,21.7,22.09,2460394,0.0
2020-08-18,22.14,22.285,21.94,22.06,2080324,0.0
2020-08-19,22.36,22.51,22.06,22.21,1892313,0.0
2020-08-20,22.02,22.375,21.89,22.13,2535168,0.0
2020-08-21,22,22.16,21.77,22,1724366,0.0
2020-08-24,21.94,22.88,21.89,22.82,3119223,0.0
2020-08-25,22.93,23.01,22.38,22.86,3202814,0.0
2020-08-26,22.89,23.05,22.565,22.77,2462413,0.0
2020-08-27,22.77,23.12,22.65,22.86,3168825,0.0
2020-08-28,22.88,22.98,22.69,22.87,2152527,0.0
2020-08-31,22.8,22.95,21.99,22.06,3264212,0.0
2020-09-01,22.04,22.04,21.27,21.42,3294472,0.0
2020-09-02,21.3,22.125,21.22,21.81,3710169,0.0
2020-09-03,21.97,22.68,21.46,21.64,4616226,0.0
2020-09-04,21.88,22.875,21.8,22.81,9312069,0.0
2020-09-08,22.57,23.2,22.43,22.5,5081249,0.0
2020-09-09,22.52,23.19,22.12,23.06,4322865,0.0
2020-09-10,23.605,23.8,23.4,23.45,4565233,0.0
2020-09-11,23.41,23.58,22.55,22.82,4835366,0.0
2020-09-14,23,23.8901,22.91,23.78,4354430,0.0
2020-09-15,23.85,24.12,23.64,23.81,2747861,0.0
2020-09-16,23.94,24.765,23.89,24.27,3326881,0.0
2020-09-17,24.05,24.68,23.89,24.21,3376654,0.0
2020-09-18,24.04,24.315,23.76,23.87,3644413,0.0
2020-09-21,23.43,23.515,22.285,22.42,3799855,0.0
2020-09-22,22.42,22.77,22.175,22.33,2198565,0.0
2020-09-23,22,22.58,21.085,21.12,3727714,0.0
2020-09-24,21.21,21.55,20.79,21.32,3129540,0.0
2020-09-25,21.07,21.42,20.8691,21.33,2193357,0.0
2020-09-28,21.56,22.12,21.56,21.95,2739450,0.0
2020-09-29,21.93,22.13,21.585,21.75,2048908,0.0
2020-09-30,21.89,22.3,21.68,21.78,2223570,0.0
2020-10-01,21.89,22.02,21.24,21.5,3135793,0.0
2020-10-02,21.15,21.6,21.055,21.51,2117614,0.0
2020-10-05,21.96,22.13,21.6211,21.9,1850134,0.0
