Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,36.65,37.31,36.13,36.43,2013865,0.0
2020-12-07,35.6057,36.88,35.32,36.7,1944903,0.0
2020-12-08,36.3,36.67,35.895,36.35,2024126,0.0
2020-12-09,36.64,36.98,35.89,36.13,1363418,0.0
2020-12-10,35.95,36.41,35.5628,36.22,1589324,0.0
2020-12-11,35.76,36.16,35.5202,36.01,1335782,0.0
2020-12-14,36.42,36.42,35.02,35.02,1572683,0.0
2020-12-15,35.16,35.82,34.98,35.69,1019517,0.0
2020-12-16,32.96,33.82,31.17,31.535,24738792,0.0
2020-12-17,31.31,31.57,30.7,31.4086,15744248,0.0
2020-12-18,31.3,31.62,30.275,30.53,6481374,0.0
2020-12-21,30.21,30.26,29.2255,29.77,5814939,0.0
2020-12-22,29.85,29.89,28.75,28.89,5921192,0.0
2020-12-23,28.98,31.15,28.82,30.97,6035979,0.0
2020-12-24,31.02,31.08,30.49,31.05,1613460,0.0
2020-12-28,31.3464,32.095,31.16,31.93,4402352,0.0
2020-12-29,32.05,32.17,31.29,31.69,3811613,0.0
2020-12-30,31.81,32.24,31.32,31.52,2399664,0.0
2020-12-31,31.22,32.45,31.17,32.34,2441996,0.0
2021-01-04,32.43,32.67,31.42,31.53,4449784,0.0
2021-01-05,31.51,32.04,30.95,31.46,3445790,0.0
2021-01-06,31.63,32.1,31.435,31.82,3090598,0.0
2021-01-07,31.85,32.7,31.77,32.425,3282043,0.0
2021-01-08,32.6,33.19,32.48,33.17,4139924,0.0
2021-01-11,32.7,33.18,32.425,32.72,2272100,0.0
2021-01-12,32.86,33.11,32.31,33.05,4629659,0.0
2021-01-13,32.96,33.4095,32.35,32.38,2895248,0.0
2021-01-14,32.94,33.97,32.5,33.54,4275761,0.0
2021-01-15,33.28,33.72,32.87,33.12,3941429,0.0
2021-01-19,33.07,33.44,32.56,32.68,1891177,0.0
2021-01-20,32.91,32.98,32.13,32.4,2819954,0.0
2021-01-21,32.47,32.83,31.89,31.92,2415909,0.0
2021-01-22,31.61,31.63,30.35,30.73,4691864,0.0
2021-01-25,30.67,30.97,29.59,30.7,3694634,0.0
2021-01-26,30.69,31.6854,30.25,31.57,3621433,0.0
2021-01-27,31.21,31.21,30.07,30.17,6992986,0.0
2021-01-28,30.38,30.97,29.84,29.92,4922561,0.0
2021-01-29,29.95,30.345,28.53,29.0199,3683105,0.0
2021-02-01,29.32,29.645,28.815,29.45,3097137,0.0
2021-02-02,29.79,30.82,29.53,30.07,2911009,0.0
2021-02-03,30.05,30.89,29.86,30.72,1951227,0.0
2021-02-04,30.7885,31.76,30.7885,31.51,3594776,0.0
2021-02-05,31.39,31.8899,31.16,31.21,2025762,0.0
2021-02-08,31.62,31.75,31.125,31.52,1803086,0.0
2021-02-09,31.47,32.62,31.4,32.27,2471900,0.0
2021-02-10,32.51,32.83,31.5,32.285,4491164,0.0
2021-02-11,32.46,32.46,31.51,31.69,2268136,0.0
2021-02-12,31.67,31.94,31.27,31.35,2456794,0.0
2021-02-16,31.69,32.37,31.52,32.26,2483677,0.0
2021-02-17,32.09,32.645,31.85,32.5,2585586,0.0
2021-02-18,32.19,34.22,31.9,33.81,5779765,0.0
2021-02-19,34.23,34.81,33.53,33.67,4609049,0.0
2021-02-22,33.69,34.1838,32.18,32.23,4510783,0.0
2021-02-23,31.16,31.62,29.71,30.96,7452112,0.0
2021-02-24,31,31.67,30.67,31.41,2515735,0.0
2021-02-25,31.6,32.49,31.28,31.56,5800265,0.0
2021-02-26,31.59,32.76,31.105,31.52,3384951,0.0
2021-03-01,31.98,32.97,31.47,32.85,3100090,0.0
2021-03-02,32.77,33.6697,32.61,33.1,2537430,0.0
2021-03-03,34.01,34.49,33.35,33.63,3661507,0.0
2021-03-04,33.65,33.84,32.15,32.78,2954808,0.0
2021-03-05,33.38,34.26,32.68,33.8,3859747,0.0
2021-03-08,34.26,35.43,33.91,34.83,3980427,0.0
