Date,Open,High,Low,Close,Volume,OpenInterest
2020-04-30,94.58,94.58,92.36,93.73,926775,0.0
2020-05-01,92.03,92.57,90.345,91.39,754818,0.0
2020-05-04,90.01,91.11,89.15,90.7,764032,0.0
2020-05-05,91.98,93.6,91.63,91.83,633463,0.0
2020-05-06,91.88,92.15,90.216,90.34,440420,0.0
2020-05-07,91.74,92.53,90.62,91.06,460935,0.0
2020-05-08,92.88,93.5,91.32,92.23,527306,0.0
2020-05-11,90.78,91.4,89.64,90.78,522538,0.0
2020-05-12,91.19,91.73,86.71,86.74,574818,0.0
2020-05-13,86.45,86.58,82.67,83.42,643180,0.0
2020-05-14,81.96,85.79,79.87,85.52,742728,0.0
2020-05-15,84.82,85.76,84.1,84.93,689038,0.0
2020-05-18,88.93,91.36,88.26,90.53,703568,0.0
2020-05-19,90.12,91.38,88.8,89.54,648743,0.0
2020-05-20,91.19,92.5,90.8,91.01,421492,0.0
2020-05-21,90.62,91.77,90.54,90.84,488600,0.0
2020-05-22,91.04,91.04,89.13,89.76,790062,0.0
2020-05-26,92.83,95.85,92.3,94.71,851632,0.0
2020-05-27,97.14,97.88,95.54,97.26,715650,0.0
2020-05-28,98,98.07,95.8889,97.12,1035990,0.0
2020-05-29,96.24,97.6,95.4403,97.25,907581,0.0
2020-06-01,97.44,98.56,96.88,97.75,612959,0.0
2020-06-02,98.69,99.705,97.92,99.15,562311,0.0
2020-06-03,102.88,104.31,101.405,103.48,913432,0.0
2020-06-04,101.69,104.04,101.43,103.4,725754,0.0
2020-06-05,107.82,109.53,106.52,107.63,687260,0.0
2020-06-08,107.69,109.46,107.55,108.96,686515,0.0
2020-06-09,106.95,107.84,105.52,106.79,634442,0.0
2020-06-10,106.4,106.51,102.87,102.9,573597,0.0
2020-06-11,99.42,99.86,96.094,96.3,659680,0.0
2020-06-12,100.1,100.1,96.31,96.39,113872,0.0
2020-06-15,93.33,97.89,93.02,97.41,693538,0.0
2020-06-16,101.78,101.79,96.04,98.42,870953,0.0
2020-06-17,98.96,99.035,97.41,97.76,735620,0.0
2020-06-18,96.72,98.52,96.13,97.35,604022,0.0
2020-06-19,99.15,99.155,94.8769,94.95,1118189,0.0
2020-06-22,94.75,95.84,93.27,95.21,685531,0.0
2020-06-23,96.73,96.8,94.52,94.76,612216,0.0
2020-06-24,93.74,93.77,90.84,91.85,824517,0.0
2020-06-25,91.43,92.43,90.03,92.28,644431,0.0
2020-06-26,91.8,92.88,91.56,92.59,662236,0.0
2020-06-29,93.53,95.09,93.02,94.67,476441,0.0
2020-06-30,94.06,97.29,93.89,96.57,599056,0.0
2020-07-01,96.87,97.09,94.765,95.61,500565,0.0
2020-07-02,96.98,99.08,96.825,97.42,697146,0.0
2020-07-06,99.23,99.76,97.81,98.53,424888,0.0
2020-07-07,97.67,98.145,96.6,96.83,617727,0.0
2020-07-08,96.97,97.43,95.85,96.91,510229,0.0
2020-07-09,97.03,97.03,94.2,94.81,480693,0.0
2020-07-10,95.14,95.67,94.355,95.14,417591,0.0
2020-07-13,96.46,98.32,95.71,96.48,671630,0.0
2020-07-14,96.52,98.73,95.88,98.62,988870,0.0
2020-07-15,100.45,102.5,99.06,102.2,902989,0.0
2020-07-16,101.72,103.47,101.29,102.36,597090,0.0
2020-07-17,103.92,104.57,102.99,103.58,739463,0.0
2020-07-20,102.79,103.97,101.91,102.5,581272,0.0
2020-07-21,103.47,104.465,102.72,103.42,868998,0.0
2020-07-22,104.55,107.9899,104.04,105.23,1191078,0.0
2020-07-23,105.4,106.835,104.52,105.75,625971,0.0
2020-07-24,105.44,106.18,105.195,105.55,926096,0.0
2020-07-27,105.2,106.43,104.815,106.17,529315,0.0
2020-07-28,105.65,106.1,104.59,104.69,985027,0.0
2020-07-29,105.38,107.14,105.19,106.87,1100036,0.0
2020-07-30,105.48,105.5,103.72,104.57,889668,0.0
2020-07-31,103.73,104.06,101.54,102.92,2017825,0.0
2020-08-03,103.34,104.39,102.71,103.14,1320180,0.0
2020-08-04,102.63,103.65,102.48,103.33,1208882,0.0
2020-08-05,104.14,105.47,103.97,104.7,1086662,0.0
2020-08-06,104.56,105.29,104.05,105.27,727350,0.0
2020-08-07,105.38,108.1,105.38,108.1,1591970,0.0
2020-08-10,108.36,110.94,108.36,110.51,1438504,0.0
2020-08-11,111,113.32,111,112.43,1645852,0.0
2020-08-12,112.95,113.22,111.855,112.52,1144154,0.0
2020-08-13,111.81,112.54,111.18,112.1,469622,0.0
2020-08-14,111.44,112.61,110.83,111.53,437203,0.0
2020-08-17,111.7,112.43,110.86,111.89,1129836,0.0
2020-08-18,111.92,112.18,110.9,111.05,841216,0.0
2020-08-19,111.55,112,110.34,110.73,562603,0.0
2020-08-20,109.37,110.195,108.98,110,1137160,0.0
2020-08-21,110.09,110.83,108.83,109.96,1132244,0.0
2020-08-24,110.68,111.05,110.122,111.04,622532,0.0
2020-08-25,111.49,111.89,110.43,111.24,938236,0.0
2020-08-26,110.86,111.96,110.21,111.5,703758,0.0
2020-08-27,112.17,112.45,111.04,111.51,755420,0.0
2020-08-28,111.16,111.67,110.23,111.39,627776,0.0
2020-08-31,111,111.17,109.41,109.76,986204,0.0
2020-09-01,109.33,111.535,108.86,111.42,793026,0.0
2020-09-02,111.65,113.95,110.84,113.4,1084454,0.0
2020-09-03,113.09,113.81,108.57,109.73,816589,0.0
2020-09-04,111.24,111.29,108.59,109.62,1044696,0.0
2020-09-08,108.79,110.01,107.55,108.15,1104350,0.0
2020-09-09,109.18,112.57,108.86,111.51,1209702,0.0
2020-09-10,112.19,112.51,110.81,110.88,1337591,0.0
2020-09-11,111.11,113.38,111.07,112.8,885737,0.0
2020-09-14,113.66,114.535,112.91,113.76,1080094,0.0
2020-09-15,114,114.83,113.22,113.98,551953,0.0
2020-09-16,114.76,116.37,113.681,115.39,399934,0.0
2020-09-17,113.78,115.84,112.905,115.41,501475,0.0
2020-09-18,115.57,116.1405,112.1,112.6,573651,0.0
2020-09-21,110.57,110.75,105.94,107.45,598852,0.0
2020-09-22,107.13,107.76,106.19,107.52,843482,0.0
2020-09-23,107.67,109.23,106.65,106.95,1125117,0.0
2020-09-24,106.95,108.9,105.7945,107.13,571013,0.0
2020-09-25,106.35,109.11,106.06,108.48,474567,0.0
2020-09-28,110.42,110.76,108.64,108.78,667541,0.0
2020-09-29,108.84,109.095,107.61,108.25,849524,0.0
2020-09-30,108.86,110.3099,107.26,108.36,1150186,0.0
2020-10-01,109,109.61,106.3,107.14,877822,0.0
2020-10-02,105.51,111.12,105.4,110.13,1319076,0.0
2020-10-05,111.29,112.59,110.7,111.33,826281,0.0
2020-10-06,111.53,112.67,109.9,110.08,637519,0.0
2020-10-07,111.47,113.0475,110.88,111.7,730720,0.0
2020-10-08,112.37,112.97,111.02,112.88,682220,0.0
2020-10-09,113.81,114.29,112.31,113.05,761749,0.0
2020-10-12,113.89,114.495,113.14,113.97,870351,0.0
2020-10-13,113.9,114.53,111.93,112.43,595697,0.0
2020-10-14,112.95,114.67,112.95,113.64,890208,0.0
2020-10-15,112.06,114.21,111.82,113.9,639185,0.0
2020-10-16,114.41,115.4169,113.91,114.02,1073338,0.0
2020-10-19,114.55,115.99,112.45,112.81,1141474,0.0
2020-10-20,113.08,116.68,112.62,114.24,1864026,0.0
2020-10-21,113.95,115.38,113.67,113.8,949415,0.0
2020-10-22,114.41,115.78,114.055,115.25,852980,0.0
2020-10-23,116.21,116.53,115.2,116.36,759143,0.0
2020-10-26,114.89,114.96,112.34,113.82,931668,0.0
2020-10-27,113.98,114.23,111.5,111.58,1099191,0.0
2020-10-28,109.23,110.79,108.5,109.29,1334410,0.0
2020-10-29,108.42,111.08,108,110.12,1258672,0.0
2020-10-30,109.83,111.17,109.45,110.76,1389625,0.0
2020-11-02,112.61,115.13,112.41,114.86,1012928,0.0
2020-11-03,116.58,118.16,116.06,117.12,966296,0.0
2020-11-04,116.24,117.26,113.09,114.07,1031056,0.0
2020-11-05,115.68,119.03,115.68,117.37,894333,0.0
2020-11-06,117.96,118.2,113.86,116.43,1493425,0.0
2020-11-09,121.39,127.39,119.6,119.73,1676391,0.0
2020-11-10,120.31,122.6,119.58,119.81,2052270,0.0
2020-11-11,120.56,121.29,118.14,120.91,1177724,0.0
2020-11-12,120.4,121.09,118.98,120.09,872180,0.0
2020-11-13,120.98,122.92,119.98,122.1,647602,0.0
2020-11-16,124.56,125.89,122.31,124.71,509646,0.0
2020-11-17,124.95,125.87,122.82,125.47,870626,0.0
2020-11-18,125.97,126.855,124.36,124.42,1246927,0.0
2020-11-19,123.74,125,123.01,124.68,753053,0.0
2020-11-20,124.69,125.175,122.91,123.47,878376,0.0
2020-11-23,122.75,124.675,122.75,123.46,1384273,0.0
2020-11-24,124.27,127.035,124.12,126.34,1394145,0.0
2020-11-25,125.57,126.03,123.2,124.19,1756966,0.0
2020-11-27,124.03,124.6,123.48,123.92,411960,0.0
2020-11-30,122.87,123.3017,121.03,122.03,545745,0.0
2020-12-01,123.61,124.9,122.53,122.56,608495,0.0
