Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-22,376.46,378.249,367.54,372.16,439682,0.0
2020-05-26,374.95,375.37,360.13,360.16,784842,0.0
2020-05-27,363.72,375.21,360.02,373.98,1187790,0.0
2020-05-28,375.96,375.96,364.57,365.4,518669,0.0
2020-05-29,370.26,386.51,369.74,385.82,930687,0.0
2020-06-01,385.59,394.39,383.2,383.59,843321,0.0
2020-06-02,386.63,387.49,381.13,384.86,606500,0.0
2020-06-03,387,391,385,390.24,572720,0.0
2020-06-04,390.4,394.36,379.53,382.78,662999,0.0
2020-06-05,381.68,382.34,371.86,376.41,674244,0.0
2020-06-08,371.8,377.54,370.83,376.04,578825,0.0
2020-06-09,376.94,385.415,374.95,382.22,659121,0.0
2020-06-10,383.28,393,380.41,392.22,796702,0.0
2020-06-11,387,394.99,382.18,382.75,751830,0.0
2020-06-12,385.32,387.19,371.925,372.22,196980,0.0
2020-06-15,376.57,378.68,368.82,377.95,691900,0.0
2020-06-16,380.05,381.178,371.05,374.72,644565,0.0
2020-06-17,375.34,382.84,374.73,380.65,569010,0.0
2020-06-18,380.93,381.63,374,375.56,387359,0.0
2020-06-19,380.81,381,373.59,378.09,649317,0.0
2020-06-22,377.04,387.1,376.05,384.64,416867,0.0
2020-06-23,387.79,388.48,376.8,377.51,402388,0.0
2020-06-24,377.91,381.88,372.82,375.48,477384,0.0
2020-06-25,373.72,376.27,369.3201,373.7,426902,0.0
2020-06-26,374.55,375.25,364.37,365.81,482421,0.0
2020-06-29,365.16,370.35,362,369.46,440059,0.0
2020-06-30,368.89,371.02,363.5,369.49,486265,0.0
2020-07-01,371.42,377.02,369.6,375.56,385439,0.0
2020-07-02,377.54,379.99,372.12,374.31,358858,0.0
2020-07-06,378,387.01,376.2072,385,598068,0.0
2020-07-07,384.74,388.73,380.88,381.13,661318,0.0
2020-07-08,381.72,385.43,381.46,384.34,445905,0.0
2020-07-09,386.07,387.34,378.38,385.67,503253,0.0
2020-07-10,387,398.91,383.71,398.41,797357,0.0
2020-07-13,402,417.1499,401.24,401.3,1070264,0.0
2020-07-14,400.43,405.43,390.58,401.93,774248,0.0
2020-07-15,401,417.34,399.43,415.37,1044846,0.0
2020-07-16,404,422.15,403.685,406.82,1170267,0.0
2020-07-17,410,410,388,390.21,1092400,0.0
2020-07-20,391.1,394.6751,385.13,391.37,619605,0.0
2020-07-21,395,395.64,386.56,387.7,497193,0.0
2020-07-22,388.47,395.22,387.405,389.05,529016,0.0
2020-07-23,389.99,390.6,380.13,381.4,363358,0.0
2020-07-24,379.48,387.23,376.5759,387.07,516090,0.0
2020-07-27,390.62,394.89,387.11,389.57,462232,0.0
2020-07-28,389.54,390.83,384.765,385.47,746661,0.0
2020-07-29,387.19,389.3018,384.3,384.81,793930,0.0
2020-07-30,383,386.04,379.68,384.58,1293124,0.0
2020-07-31,384.92,387.12,377.955,386.61,937764,0.0
2020-08-03,387.45,393.96,382.62,387.02,830315,0.0
2020-08-04,385,392.03,383.54,391.78,811600,0.0
2020-08-05,389.97,394.5,388.6,393.25,888360,0.0
2020-08-06,392.19,395.24,390.92,392.5,549922,0.0
2020-08-07,392.58,393.85,385,389.13,816098,0.0
2020-08-10,388.09,389.98,384.4,385.93,606166,0.0
2020-08-11,384,391.18,381.87,388.71,828577,0.0
2020-08-12,390.36,395.95,388.02,392.76,761686,0.0
2020-08-13,394.38,399.48,392.26,399.08,342713,0.0
2020-08-14,399.98,400.9,393.665,399,303826,0.0
2020-08-17,401,409.8,401,409,1300768,0.0
2020-08-18,410,413.73,406.17,411.45,767414,0.0
2020-08-19,413.45,416.3,408.02,414.24,1169836,0.0
2020-08-20,413.33,419.655,412.82,418.35,873809,0.0
2020-08-21,419.94,423.55,416.73,419.73,644944,0.0
2020-08-24,423.02,424.72,416.77,418.98,671326,0.0
2020-08-25,418.23,419.84,411.06,419.35,607748,0.0
2020-08-26,417.56,419.715,414.92,418.15,507584,0.0
2020-08-27,418.09,422.9515,416.295,416.32,628560,0.0
2020-08-28,414.77,419.37,412.01,416.21,561248,0.0
2020-08-31,418,418.28,407.16,408.87,963632,0.0
2020-09-01,408.44,411.72,405.65,410,836848,0.0
2020-09-02,409.86,413.18,402.62,403.6,1089932,0.0
2020-09-03,403,403.31,389.64,397.65,1438118,0.0
2020-09-04,397.61,401.2,376.3301,381.81,1599224,0.0
2020-09-08,381.57,386.645,376.11,376.36,1222635,0.0
2020-09-09,382.5,387.69,380.48,381.9,1064110,0.0
2020-09-10,391.09,395.18,385.425,388.98,1061430,0.0
2020-09-11,401.39,401.9811,392.94,394.56,1287930,0.0
2020-09-14,395.45,397.59,385.26,388.52,942390,0.0
2020-09-15,390.99,394.715,387.39,389.37,369074,0.0
2020-09-16,390.72,394.01,385.99,386.38,339161,0.0
2020-09-17,386.72,395.44,385.83,395.06,447042,0.0
2020-09-18,393.01,398.05,388.9,397.84,535999,0.0
2020-09-21,395.44,405.96,392.08,404.96,570833,0.0
2020-09-22,404.96,414.915,400.9,413.66,491771,0.0
2020-09-23,414.57,421.15,409.77,413.54,515629,0.0
2020-09-24,413.25,417.55,408.55,413.19,416634,0.0
2020-09-25,413.465,418.28,410.38,418.08,250568,0.0
2020-09-28,416.44,423.11,414.88,421.9161,339634,0.0
