Date,Open,High,Low,Close,Volume,OpenInterest
2021-07-01,38.7,42.5,38.6,41.95,6267396,0.0
2021-07-02,41.7,46.97,41.65,43.74,4907474,0.0
2021-07-06,42.7,44.42,42.33,43,1793636,0.0
2021-07-07,42.34,43.23,39.52,39.76,9036045,0.0
2021-07-08,40.06,40.28,38.46,39.7,4421189,0.0
2021-07-09,39.78,40.88,39.13,40.26,4454429,0.0
2021-07-12,39.9,41.3,39.66,41.02,1148973,0.0
2021-07-13,40.7,41.98,40.59,40.81,710503,0.0
2021-07-14,41.48,41.88,40.44,41.67,1347162,0.0
2021-07-15,41.27,42.17,41,42.02,723675,0.0
2021-07-16,41.98,42.5,40.68,41.04,826645,0.0
2021-07-19,40.25,40.9,40.05,40.6,654176,0.0
2021-07-20,40.5,41.95,40.25,41.2,1020954,0.0
2021-07-21,41.4,42.93,41.25,41.9,1024162,0.0
2021-07-22,41.85,42.06,40.82,41.18,920309,0.0
2021-07-23,40.75,41.01,40.05,40.87,863663,0.0
2021-07-26,40.74,41.64,40.59,41.12,497302,0.0
2021-07-27,40.84,42.22,40.5,41.95,503477,0.0
2021-07-28,42.07,43.24,41.62,42.32,859165,0.0
2021-07-29,42.81,43.4,42.44,43.31,450961,0.0
2021-07-30,42.83,43.48,42.27,42.41,740957,0.0
2021-08-02,42.12,44,42.12,43.18,401105,0.0
2021-08-03,42.68,44.05,42,43.75,769148,0.0
2021-08-04,43.27,44.61,43.26,43.96,682167,0.0
2021-08-05,44.12,44.9,43.74,44.66,587081,0.0
2021-08-06,44.62,45.19,43.885,44.26,460934,0.0
2021-08-09,44.18,44.365,43.19,43.97,240492,0.0
2021-08-10,44.07,44.3,42.84,42.9,355984,0.0
2021-08-11,42.78,43.09,42.32,42.7,363121,0.0
2021-08-12,43.03,43.5,42.47,42.82,424869,0.0
2021-08-13,42.77,43.305,42.32,42.36,210682,0.0
2021-08-16,41.83,42.315,41.51,42.08,334056,0.0
2021-08-17,41.85,42.4299,41.5,42.05,231898,0.0
2021-08-18,41.98,42.38,41.3,41.31,305342,0.0
2021-08-19,41,42.45,40.63,42.13,510763,0.0
2021-08-20,42.11,43.67,42.01,42.54,374808,0.0
2021-08-23,42.62,43.4945,42.62,43.41,393870,0.0
2021-08-24,44,44.54,43.745,44.33,605683,0.0
2021-08-25,44.09,45.95,44.03,45.54,472805,0.0
2021-08-26,45.27,45.85,44.905,45.27,882611,0.0
2021-08-27,45.99,47.72,45.6197,47.2,1136270,0.0
2021-08-30,47.06,47.63,46.86,47.26,82080,0.0
