Date,Estimate,Actual
2022-04-27,None,None
2022-02-09,None,None
2021-10-27,None,None
2021-08-03,2.17,None
2021-04-29,1.82,2.09
2021-02-11,1.87,1.67
2020-10-29,1.44,1.8
2020-07-30,1.3,1.95
2020-05-05,1.47,1.83
2020-02-10,1.66,1.86
2019-11-05,1.24,1.53
2019-08-01,1.11,1.22
2019-05-07,0.93,0.91
2019-02-13,0.9,0.9
2018-11-07,0.87,0.56
2018-08-01,0.97,1.05
2018-05-03,0.93,1.05
2018-02-13,0.94,0.92
2017-11-07,0.94,0.81
2017-08-01,0.9,0.92
2017-05-02,0.82,0.79
2017-02-16,0.91,0.98
2016-11-02,0.93,0.95
2016-08-08,0.98,1.01
2016-05-04,0.86,0.92
2016-02-11,0.97,1.01
2015-11-03,0.97,1
2015-08-04,0.95,0.95
2015-05-04,0.86,0.86
2015-02-12,0.89,0.96
2014-11-06,0.9,0.9
2014-07-31,0.89,0.95
2014-05-01,0.86,0.97
2014-02-11,0.98,0.99
2013-11-05,0.96,0.98
2013-08-06,0.92,0.92
2013-05-07,0.9,0.92
2013-02-14,0.8,0.84
2012-10-30,0.78,0.78
2012-08-01,0.72,0.75
2012-05-01,0.73,0.73
2012-02-17,0.75,0.79
2011-11-03,0.72,0.73
2011-08-03,0.57,0.59
2011-05-02,0.48,0.48
2011-02-10,0.56,0.56
2010-11-04,0.56,0.57
2010-08-02,0.53,0.53
2010-04-27,0.52,0.52
2010-02-10,0.53,0.53
2009-11-03,0.5,0.53
2009-08-04,0.47,0.51
2009-04-27,0.45,0.46
2009-02-10,0.45,0.47
2008-11-03,0.44,0.45
2008-08-04,0.42,0.45
2008-04-29,0.39,0.4
2008-02-13,0.4,0.4
2007-11-01,0.42,0.42
2007-08-02,0.39,0.42
2007-04-30,0.36,0.37
2007-02-14,0.34,0.35
2006-11-01,0.32,0.33
2006-08-02,0.28,0.31
2006-05-03,0.26,0.28
2006-02-15,0.27,0.27
2005-10-31,0.26,0.27
2005-07-28,0.26,0.26
2005-04-27,0.27,0.27
2005-02-08,0.28,0.28
2004-11-02,0.26,0.27
2004-08-02,0.25,0.25
2004-05-03,0.24,0.26
2004-02-11,0.23,0.26
2003-11-03,0.19,0.22
2003-08-01,0.17,0.18
2003-05-05,0.16,0.17
2003-02-14,0.17,0.17
2002-11-06,0.15,0.17
2002-08-01,0.13,0.14
2002-05-10,0.12,0.13
2002-02-26,0.1,0.11
2001-11-05,0.09,0.1
2001-08-02,0.08,0.09
2001-05-18,0.07,0.08
2001-02-27,0.06,0.06
2000-11-09,0.04,0.05
2000-08-09,0.01,0.01
2000-05-11,0.01,0.02
2000-03-23,0.01,0.02
1999-11-10,0.06,0.05
1999-08-10,0.07,0.07
1999-05-11,0.11,0.11
1999-02-18,0.12,0.1
1998-11-03,0.11,0.12
1998-08-04,0.1,0.1
1998-04-30,0.09,0.09
1998-02-17,0.08,0.08
1997-11-06,0.07,0.07
1997-08-05,0.06,0.07
