Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,24.52,25.96,24.34,25.75,4405331,27814,25.258286
2021-01-04,26.95,28.14,25.56,25.92,7401612,51089,26.510942
2021-01-05,26.21,27.35,26.0,26.88,3705486,26658,26.857936
2021-01-06,25.87,27.43,25.87,26.45,4121433,29997,26.653059
2021-01-07,29.06,29.61,27.745,28.91,12353741,70750,28.801996
2021-01-08,29.05,30.14,28.92,29.6,7229359,45039,29.513285
2021-01-11,28.47,28.84,28.22,28.39,3505086,24310,28.486856
2021-01-12,28.2,28.65,27.895,28.3,2069700,18512,28.254497
2021-01-13,28.42,28.78,28.09,28.26,2715687,15082,28.352316
2021-01-14,28.46,29.1,28.29,28.97,1352508,11461,28.89118
2021-01-15,28.64,29.76,27.985,28.5,3412576,28228,28.82123
2021-01-19,28.5,28.67,28.03,28.21,2259313,14991,28.298216
2021-01-20,28.43,28.97,28.25,28.82,1474857,13944,28.742016
2021-01-21,28.95,29.94,28.71,29.3,2415945,18843,29.488386
2021-01-22,28.76,29.52,28.73,29.23,2523545,18433,29.199629
2021-01-25,29.22,29.39,28.59,29.15,2522767,17501,29.028844
2021-01-26,29.32,29.45,28.9,29.35,1641355,16069,29.231204
2021-01-27,28.62,29.21,28.2,28.47,2840961,25084,28.715644
2021-01-28,28.93,29.69,28.16,29.24,3145857,26763,29.022632
2021-01-29,28.66,29.11,28.16,28.2,2298203,19676,28.477648
2021-02-01,28.36,29.31,24.17,25.5,13660018,77325,26.572979
2021-02-02,26.22,26.44,25.1,25.66,7067321,53434,25.679506
2021-02-03,25.68,26.09,25.26,25.62,3607237,30899,25.683045
2021-02-04,25.64,26.5,25.3998,26.44,3577770,29519,26.101722
2021-02-05,26.6,26.65,25.58,25.94,4760904,34848,26.01038
2021-02-08,26.23,26.4,24.86,25.48,4159578,33143,25.386056
2021-02-09,25.44,26.695,25.21,26.42,3110984,28721,26.177374
2021-02-10,26.51,26.57,25.59,25.71,2204743,18731,25.850316
2021-02-11,25.66,26.15,25.39,25.63,1626872,14511,25.70914
2021-02-12,26.31,26.31,25.51,25.79,2609386,20995,25.748481
2021-02-16,25.65,26.0,25.41,25.89,3293862,24058,25.717151
2021-02-17,25.71,26.025,25.34,26.0,2529068,20290,25.853228
2021-02-18,25.81,26.135,25.49,25.49,1776596,15905,25.706558
2021-02-19,25.86,26.26,25.73,25.81,2621515,20211,25.951742
2021-02-22,25.5,26.4701,25.5,25.99,2330690,20088,26.078571
2021-02-23,25.8,25.86,25.06,25.6,2932281,26650,25.514178
2021-02-24,25.7,26.338,25.5811,26.02,2319746,21699,26.020302
2021-02-25,26.04,26.2,24.83,24.89,2344394,22829,25.247183
2021-02-26,24.79,25.62,24.2,25.22,2661583,22794,25.123879
2021-03-01,25.77,26.3,25.67,25.96,2504029,20142,26.072397
2021-03-02,25.75,26.1,25.66,25.71,1445611,10556,25.855542
2021-03-03,25.85,26.48,25.74,26.22,1754295,14202,26.154544
