Date,Estimate,Actual
2022-02-02,None,None
2021-11-03,None,None
2021-08-04,0.74,None
2021-05-26,0.7,0.74
2021-02-04,0.54,0.84
2020-11-05,0.38,0.64
2020-08-06,0.12,0.21
2020-05-28,0.97,1.2
2020-02-06,1.09,1.25
2019-11-11,1.43,1.38
2019-08-08,1.71,1.74
2019-05-23,2.09,2.19
2019-02-07,2.05,2.23
2018-11-06,1.94,2.02
2018-08-07,1.75,1.93
2018-05-24,2.22,2.28
2018-02-08,1.98,2.15
2017-11-07,1.53,1.93
2017-08-08,1.25,1.59
2017-05-25,0.83,1.15
2017-02-02,0.7,0.81
2016-11-03,0.47,0.61
2016-08-08,0.45,0.53
2016-05-24,0.68,0.73
2016-02-09,0.69,0.71
2015-11-04,1.14,1.26
2015-08-11,1.01,1.11
2015-05-19,1.2,1.26
2015-02-09,1.12,1.18
2014-11-06,1.01,1.18
2014-08-07,0.94,1.03
2014-05-08,1.04,1.09
2014-01-30,0.84,0.98
2013-10-30,0.83,0.93
2013-08-06,0.66,0.91
2013-05-15,0.98,0.55
2013-02-05,0.59,0.77
2012-11-06,0.47,0.83
2012-08-08,0.22,0.36
2012-05-17,0.2,-0.14
2012-02-08,0.57,1.35
2011-11-09,0.68,0.85
2011-08-10,0.69,1.18
2011-05-25,1.11,1.09
2011-02-09,1.48,1.54
2010-11-10,1.17,1.18
2010-08-11,0.9,0.91
2010-05-20,1.48,1.66
2010-02-10,1.23,1.36
2009-11-11,1.3,1.4
2009-08-06,0.53,0.85
2009-05-20,1.47,1.52
2009-02-10,1.02,1.06
2008-11-12,0.76,0.7
2008-08-05,0.76,0.79
2008-05-21,1.4,1.44
2008-02-04,1,1.11
2007-12-20,0.7,0.8
2007-06-13,1.49,1.65
2007-02-06,0.83,0.85
2006-11-02,0.71,0.7
2006-08-01,0.61,0.61
2006-05-23,1.13,1.16
2006-02-07,0.85,0.88
2005-11-03,0.67,0.71
2005-07-25,0.55,0.58
2005-05-24,1.07,1.09
2005-02-08,0.8,0.82
2004-11-09,0.66,0.68
2004-08-10,0.57,0.58
2004-05-17,1,1.01
2004-02-11,0.7,0.71
2003-11-11,0.59,0.6
2003-08-12,0.51,0.51
2003-05-13,0.94,0.95
2003-02-04,0.6,0.61
2002-11-05,0.54,0.54
2002-07-31,0.46,0.46
2002-05-14,0.77,0.82
2002-01-31,0.5,0.51
2001-11-01,0.37,0.4
2001-08-01,0.27,0.28
2001-05-14,0.35,0.36
2001-02-05,0.74,0.72
2000-11-02,0.64,0.64
2000-07-31,0.57,0.56
2000-05-08,0.85,0.84
2000-01-31,0.66,0.66
1999-10-25,0.55,0.55
1999-07-27,0.48,0.48
1999-05-03,0.71,0.73
1999-01-26,0.54,0.54
1998-10-26,0.45,0.45
1998-07-28,0.39,0.41
1998-05-04,0.58,0.59
1998-01-20,0.43,0.44
1997-10-21,0.37,0.37
1997-07-23,0.32,0.34
1997-05-05,0.48,0.49
1997-01-22,0.37,0.37
