Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,221.2,225.86,221.2,225.73,606823,0.0
2020-12-07,224.87,225.03,221.76,222.74,627424,0.0
2020-12-08,222.6,224.6,221.95,224.33,567683,0.0
2020-12-09,225.23,226.56,222.96,225.69,551862,0.0
2020-12-10,225.23,227.29,222.66,223.08,772913,0.0
2020-12-11,221.93,224.5,220.28,221.17,538385,0.0
2020-12-14,222.24,222.79,216.62,216.99,595894,0.0
2020-12-15,219.45,224.09,218.08,222.97,725022,0.0
2020-12-16,222.13,223.335,219.93,220.01,554516,0.0
2020-12-17,221.4,222.595,219.79,220.58,741747,0.0
2020-12-18,221.06,221.34,216.87,218.61,1168255,0.0
2020-12-21,215.58,215.8999,210.79,215.65,991863,0.0
2020-12-22,216.28,217.6,214.38,215.2,509521,0.0
2020-12-23,216.69,219.21,213.28,213.42,411121,0.0
2020-12-24,213.22,216.36,212.06,216.305,243909,0.0
2020-12-28,217.35,218.66,214.27,214.7,377335,0.0
2020-12-29,216.01,216.925,213.365,214.59,328386,0.0
2020-12-30,215.67,218.39,214.77,215.26,359784,0.0
2020-12-31,215.25,216.84,214.725,216.29,460041,0.0
2021-01-04,218,220.45,213.105,214.19,1144897,0.0
2021-01-05,214.27,216.85,212.4303,216.68,519343,0.0
2021-01-06,219.51,227.18,217.92,225.61,1063944,0.0
2021-01-07,227.43,227.97,224.27,225.74,668729,0.0
2021-01-08,224.95,226.48,218.6129,221.75,774630,0.0
2021-01-11,219.84,221.97,218.86,221.07,600030,0.0
2021-01-12,221.07,223.68,220,223.12,977854,0.0
2021-01-13,222.48,223.26,216.14,216.84,1852780,0.0
2021-01-14,217.56,219.028,212.13,212.43,702377,0.0
2021-01-15,213.17,213.975,209.79,210.76,1053312,0.0
2021-01-19,212.38,216.69,211.02,215.91,809731,0.0
2021-01-20,217.3,219.43,216.34,218.37,582248,0.0
2021-01-21,218.31,220,213.93,214.02,620971,0.0
2021-01-22,213.81,213.95,210.75,212.41,633082,0.0
2021-01-25,212.17,213,208,211.27,654128,0.0
2021-01-26,211.27,212.04,209.07,209.42,718956,0.0
2021-01-27,206.73,209,201.55,207.21,1009139,0.0
2021-01-28,210.06,217.115,207.1,211.08,1025139,0.0
2021-01-29,209.3,211.56,204.19,204.25,600341,0.0
2021-02-01,205.34,209.11,204.69,208.43,716879,0.0
2021-02-02,209.92,211.485,208.16,210.28,683416,0.0
2021-02-03,209.82,210.94,207.08,208.84,720511,0.0
2021-02-04,209.56,210.6,205.79,208.15,851697,0.0
2021-02-05,210.9,214.07,210.88,212.87,563928,0.0
2021-02-08,214.07,217.3,213.15,217.05,598413,0.0
2021-02-09,217.31,217.68,215.12,215.49,495548,0.0
2021-02-10,217.46,217.97,215.27,215.77,457554,0.0
2021-02-11,215.71,218.58,214.47,216.33,793403,0.0
2021-02-12,215.69,220,215.33,219.95,895644,0.0
2021-02-16,219.8,220,210.5,210.89,1008805,0.0
2021-02-17,209.6,210.64,205.7,208.84,887844,0.0
2021-02-18,206.85,211.07,206.21,209.8,685900,0.0
2021-02-19,210.24,211.46,208.01,208.16,698952,0.0
2021-02-22,207.05,207.89,206,206.71,811752,0.0
2021-02-23,207.22,211.88,205.5,211.12,1084234,0.0
2021-02-24,212.29,217.42,212.28,216.19,889489,0.0
2021-02-25,215.69,216.16,210.93,212.11,878917,0.0
2021-02-26,212.06,213.16,209.14,209.15,787762,0.0
2021-03-01,210.8,212.97,210.57,211.22,787859,0.0
2021-03-02,211.74,213.82,210.23,211.52,540737,0.0
2021-03-03,211.08,212.205,208.18,208.33,927625,0.0
2021-03-04,208.45,210.47,201.36,204.54,1023772,0.0
2021-03-05,206.43,208.73,201.147,207.77,1254593,0.0
2021-03-08,210.02,214.51,208.83,211.37,781850,0.0
2021-03-09,213.6,216.88,212.415,214.43,908648,0.0
2021-03-10,215.02,218.6988,212.8,216.93,678172,0.0
2021-03-11,216.51,218.5,214.09,214.36,685770,0.0
2021-03-12,214.59,216.084,213.625,214.71,499971,0.0
2021-03-15,213.48,215.77,213.12,215.38,467542,0.0
2021-03-16,215.54,216.86,211.96,212.94,518833,0.0
2021-03-17,212.86,212.94,208.305,209.18,1104698,0.0
2021-03-18,209.68,211.415,206.07,209.39,1248629,0.0
2021-03-19,209.35,210.97,206.28,207.59,1205448,0.0
2021-03-22,207.77,209.89,205.6201,208.07,1661366,0.0
2021-03-23,206.99,211.57,206.4,207.91,1194752,0.0
2021-03-24,209.63,211,203.43,208.49,1274512,0.0
2021-03-25,207.47,209.54,203.63,208.83,1192086,0.0
2021-03-26,210.4,213.46,209.12,213.32,720410,0.0
2021-03-29,213.08,215.67,210.43,214.68,908010,0.0
2021-03-30,218.32,219.84,214.56,215,924453,0.0
2021-03-31,213.75,216,213.48,213.97,694206,0.0
2021-04-01,215.25,216.9,213.71,216.8,590499,0.0
2021-04-05,219,219.98,217.7,218.79,619015,0.0
2021-04-06,219,221.35,218.38,220.91,681697,0.0
2021-04-07,219.98,221.315,213.965,214.67,544529,0.0
2021-04-08,214,215.98,214,215.97,534761,0.0
2021-04-09,217.03,219.54,216.77,219.53,641438,0.0
2021-04-12,219.8,220.19,218.5589,219.77,440934,0.0
2021-04-13,218.54,219.7,217.32,217.94,471541,0.0
2021-04-14,217.68,219.705,217.495,218.41,307531,0.0
2021-04-15,219,220.56,219,219.8998,554932,0.0
2021-04-16,220.58,223.49,221.065,223.14,564251,0.0
2021-04-19,223.68,224.17,219.5,220.18,649703,0.0
2021-04-20,219.71,222.555,219.67,220.9,1024399,0.0
2021-04-21,222.14,224.36,221.94,223.93,432518,0.0
2021-04-22,224,224.62,220.84,221.59,770975,0.0
2021-04-23,222.63,227.72,222.1091,226.78,686581,0.0
2021-04-26,227.23,229.05,226.81,226.81,840905,0.0
2021-04-27,221.71,224.99,217.305,218.28,1045204,0.0
2021-04-28,219,223.455,217,222.15,819410,0.0
2021-04-29,223.4,225.07,222.7,224.75,506940,0.0
2021-04-30,224.57,225.3799,223.06,224.22,527252,0.0
2021-05-03,225.52,228.47,225.52,226.96,543962,0.0
2021-05-04,225.52,229.21,225.45,229.16,751374,0.0
2021-05-05,228.79,229.72,226.865,227.94,896916,0.0
2021-05-06,228,229.57,226.55,228.6,631177,0.0
2021-05-07,228.5,229.525,227.45,228.33,628422,0.0
2021-05-10,229.85,230,224.92,224.99,979149,0.0
2021-05-11,223.69,225.32,221.77,225.17,662747,0.0
2021-05-12,223.87,224.26,217.36,217.42,874386,0.0
2021-05-13,217.44,222.91,217.44,221.49,529179,0.0
2021-05-14,223.25,225.42,222.7,224,460577,0.0
2021-05-17,223.33,223.72,221.07,221.65,787221,0.0
2021-05-18,220.97,221.775,217.69,217.96,1794324,0.0
2021-05-19,215.99,216.13,211.36,213.43,1774412,0.0
2021-05-20,213.21,215.9,213.16,214.36,1807332,0.0
2021-05-21,215.95,217.76,214.1148,214.22,730786,0.0
2021-05-24,215.04,215.84,213.06,215.3,718734,0.0
2021-05-25,216.06,216.85,214.29,215.04,635595,0.0
2021-05-26,214.44,215.62,213.69,215.05,681748,0.0
2021-05-27,216.73,217.3,215.04,216.25,947890,0.0
2021-05-28,217.76,218,215.03,215.08,889256,0.0
2021-06-01,217,217.47,214.63,215.09,804818,0.0
2021-06-02,215.76,216.23,214.17,215,949544,0.0
2021-06-03,214.15,214.92,212.75,213.77,1530454,0.0
2021-06-04,214.65,215.8,213.89,215.45,848440,0.0
2021-06-07,215.5,215.87,210.94,212.93,677117,0.0
2021-06-08,213.79,213.82,211.48,212.38,594599,0.0
2021-06-09,211.18,213.49,210.97,212.77,1095005,0.0
2021-06-10,215,215,212.98,213.56,737889,0.0
2021-06-11,214.77,215.06,212.56,214.53,549838,0.0
2021-06-14,213.02,213.92,210.97,213.18,735803,0.0
