Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,70.88,72.32,70.76,72.27,2081407,18770,71.918284
2021-01-04,72.27,72.36,70.22,70.66,2488756,28378,70.822733
2021-01-05,70.7,70.939,69.61,69.87,2192606,21711,69.984511
2021-01-06,70.0,71.67,69.91,71.36,2417336,27084,71.12879
2021-01-07,71.3,71.49,69.82,69.91,3066425,26758,70.208131
2021-01-08,70.4,70.4,69.52,69.93,2504226,27579,69.87811
2021-01-11,69.59,70.1,68.25,68.73,2773722,27553,68.853353
2021-01-12,68.43,68.65,66.92,67.92,2766457,32898,67.705462
2021-01-13,68.12,69.74,68.0,69.61,1930793,21005,69.30634
2021-01-14,69.87,69.95,68.35,68.46,4223304,30018,68.609551
2021-01-15,68.26,69.67,68.0443,69.6,2139657,19341,69.179947
2021-01-19,69.82,69.91,68.94,69.48,2557000,21338,69.564425
2021-01-20,68.98,70.18,68.87,69.94,2784102,24723,69.731736
2021-01-21,69.04,69.9,68.94,69.15,2241685,18896,69.310034
2021-01-22,68.41,69.09,67.86,68.83,2365013,26888,68.586719
2021-01-25,68.7,70.68,68.63,70.64,3095379,29361,70.253964
2021-01-26,70.58,70.64,69.72,70.28,2261363,19758,70.22786
2021-01-27,69.92,73.09,69.7241,71.54,5718768,54748,71.957289
2021-01-28,71.31,72.0,70.04,70.21,3986230,35673,70.720029
2021-01-29,69.92,71.42,69.52,70.78,6527652,34738,70.744109
2021-02-01,70.78,71.585,69.52,70.75,2479716,23658,70.845619
2021-02-02,70.9,72.04,70.2,70.26,2185707,23400,71.122141
2021-02-03,70.0,70.86,70.0,70.51,1767350,18419,70.426924
2021-02-04,70.56,71.0,70.03,70.59,2391215,22940,70.612459
2021-02-05,71.02,71.85,70.62,71.5,1642333,18111,71.428358
2021-02-08,71.78,71.96,71.03,71.28,1818055,18856,71.365006
2021-02-09,71.52,71.64,70.47,71.35,1447845,19103,71.080241
2021-02-10,71.8,72.32,71.38,72.31,1412584,19065,71.954402
2021-02-11,72.31,72.42,71.66,71.82,1792018,19052,71.897828
2021-02-12,71.87,72.09,70.7,71.06,1595654,17461,71.134415
2021-02-16,70.06,70.49,69.4,70.05,2264714,23503,69.864893
2021-02-17,70.16,70.52,69.69,70.16,1659619,19389,70.10725
2021-02-18,70.0,70.45,69.805,70.02,3042065,25776,70.133697
2021-02-19,69.51,69.6425,67.94,68.18,4358716,39473,68.464033
2021-02-22,67.75,68.08,66.6312,67.97,3936992,34055,67.497523
2021-02-23,68.7,68.7,67.31,67.67,3355914,33323,67.943252
2021-02-24,67.74,67.9,66.59,66.65,3339763,32493,66.966618
2021-02-25,66.7,67.35,66.61,67.15,2200290,22453,67.027894
2021-02-26,67.19,67.62,65.56,65.65,4072588,32001,66.2182
2021-03-01,66.13,67.6,66.06,67.04,4524474,24465,67.264315
2021-03-02,67.13,67.65,66.31,67.08,2253857,20971,67.091176
2021-03-03,66.83,67.62,66.4,67.43,1999328,23810,67.078698
2021-03-04,67.59,69.03,66.79,66.96,2850059,29693,67.619398
2021-03-05,67.36,68.665,66.8229,68.3,3702783,34295,67.79971
2021-03-08,68.82,70.045,68.33,69.5,2990285,31884,69.408297
2021-03-09,69.1,69.97,68.856,69.69,3908530,31454,69.445007
2021-03-10,69.82,71.02,69.445,70.37,3268649,28196,70.435286
2021-03-11,69.93,70.56,69.5689,69.82,3595256,26779,69.97136
2021-03-12,70.38,71.37,70.18,70.94,2896520,22608,70.935132
2021-03-15,71.26,72.22,71.23,71.82,3192300,24978,71.755951
2021-03-16,71.3,72.31,71.22,72.08,2775430,24411,72.004834
2021-03-17,72.32,72.93,71.73,71.79,4615288,32560,72.052475
2021-03-18,71.92,72.82,71.54,72.22,3839547,29039,72.172522
2021-03-19,72.58,72.87,71.68,72.3,5564564,28835,72.328494
2021-03-22,71.81,72.25,71.405,72.05,3343807,19821,71.969134
2021-03-23,72.03,73.4,71.885,73.24,3325193,26679,73.04586
2021-03-24,72.76,73.94,72.5557,73.43,2050093,22093,73.484887
2021-03-25,73.93,74.74,73.35,74.27,2039506,27210,74.2062
2021-03-26,74.0,74.5,73.45,74.44,1649166,23078,74.193142
2021-03-29,74.44,76.05,74.2582,75.45,1724552,23104,75.31625
