Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,245.93,246.61,241.56,244.13,904523,0.0
2020-12-07,242.89,246.1,242.01,245.86,877468,0.0
2020-12-08,244.78,249.025,244.22,248.49,886335,0.0
2020-12-09,248.09,249.32,245.325,246.64,1046152,0.0
2020-12-10,246.92,248.56,245.34,246.54,915673,0.0
2020-12-11,245.76,247.95,243.9904,245.75,657588,0.0
2020-12-14,248.4,249.76,246.87,247.28,1059023,0.0
2020-12-15,250.06,252.1225,247.5,250.44,1019948,0.0
2020-12-16,251.54,259.17,250.46,258.6,1431496,0.0
2020-12-17,258.62,265.55,258.62,263.78,1953887,0.0
2020-12-18,265.19,267.04,259.3,261.31,1812354,0.0
2020-12-21,256.72,257.54,250.79,254.52,1510816,0.0
2020-12-22,254.95,258.96,254.55,257.47,673323,0.0
2020-12-23,258.58,261.81,256.94,259.62,509113,0.0
2020-12-24,261.32,261.63,259.93,261.275,262959,0.0
2020-12-28,264.37,264.85,262.4401,263.69,548102,0.0
2020-12-29,266.95,267.2,262.67,262.74,626923,0.0
2020-12-30,263.41,264.28,261.85,262.7,468018,0.0
2020-12-31,262.92,266.66,262.01,266.03,528763,0.0
2021-01-04,261.05,264.65,253.51,254.77,1498733,0.0
2021-01-05,254.99,258.96,254.96,258.83,1053492,0.0
2021-01-06,256.52,261.31,256.3,258.22,952738,0.0
2021-01-07,261.1,261.55,256.89,258.55,717314,0.0
2021-01-08,260.03,261.07,257.45,260.64,802488,0.0
2021-01-11,258.7,259.7,256.03,258.11,829953,0.0
2021-01-12,257.76,259.5,255.245,255.51,2220206,0.0
2021-01-13,253.79,258.66,252.56,256.66,1899490,0.0
2021-01-14,258.38,258.405,249.76,250.02,883356,0.0
2021-01-15,249.5,251.14,248.1275,249.28,1372417,0.0
2021-01-19,249,250.11,245.88,248.43,1395507,0.0
2021-01-20,251.79,255.69,246,255.14,1192485,0.0
2021-01-21,254.91,258.89,253.69,255.41,615688,0.0
2021-01-22,255.63,256.23,249.72,249.84,828793,0.0
2021-01-25,250.24,252.2,247.405,249.98,979188,0.0
2021-01-26,249.72,250.21,244.8,245.32,904884,0.0
2021-01-27,242.53,243.505,231.97,235.65,2329941,0.0
2021-01-28,237.82,247.215,236.27,244.76,1299369,0.0
2021-01-29,243.58,243.605,235.805,236.63,957375,0.0
2021-02-01,238.83,243.29,237.73,241.76,1111611,0.0
2021-02-02,242.83,249.29,242.83,246.85,1148432,0.0
2021-02-03,246.78,249.48,246.27,248.62,927596,0.0
2021-02-04,250,253.96,244.7,253.49,1636691,0.0
2021-02-05,275.69,276.94,267.55,272.82,2937039,0.0
2021-02-08,280.25,284.66,277.9,280.5,2360767,0.0
2021-02-09,279.11,281.56,274.41,279.34,1297747,0.0
2021-02-10,282.26,288.4899,281,284.39,1396967,0.0
2021-02-11,283.92,290.24,282.57,289.81,1323651,0.0
2021-02-12,288.87,291,284.645,290.26,1469674,0.0
2021-02-16,291.96,297.55,290.9,295.72,1602317,0.0
2021-02-17,296,296.09,289.02,289.6,1359065,0.0
2021-02-18,287.68,289.44,286.755,287.96,766230,0.0
2021-02-19,287.99,289.9999,284.685,285.16,832972,0.0
2021-02-22,283.98,289.84,283.62,285.29,950638,0.0
2021-02-23,284.48,294.98,283.135,291.9,1495493,0.0
2021-02-24,288.57,298.31,288.57,294.36,1428379,0.0
2021-02-25,292.02,294.18,288.03,289.66,900589,0.0
2021-02-26,289.89,290.74,284.14,285.97,986190,0.0
2021-03-01,290.78,295.81,289.4,293.85,848526,0.0
2021-03-02,294.2,297.7,289.36,289.6,1125619,0.0
2021-03-03,289.57,293.96,288.84,289.63,1675405,0.0
2021-03-04,289.59,291.69,283.72,285.19,1443005,0.0
2021-03-05,287.86,293.74,285.44,292.9,1128008,0.0
2021-03-08,283,286.5,278.28,280,2290781,0.0
2021-03-09,284.73,285.58,279.36,280.25,1967624,0.0
2021-03-10,281.77,286.59,281.3,285.25,1439019,0.0
2021-03-11,289.45,293.59,287.34,291.69,1448450,0.0
