Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,49.33,53.01,49.26,53,5683952,0.0
2020-12-07,52.28,52.67,51.1,51.58,4919100,0.0
2020-12-08,51.72,52.23,51.02,52.15,4176374,0.0
2020-12-09,52.83,54.51,52.0184,52.97,5732662,0.0
2020-12-10,53,55.95,52.96,54.68,4699199,0.0
2020-12-11,54.19,54.34,52.85,53.6,3376000,0.0
2020-12-14,54.44,54.68,51.88,52.09,3143795,0.0
2020-12-15,52.52,53.41,51.65,53.19,2184613,0.0
2020-12-16,53.27,53.965,52.42,52.69,2799639,0.0
2020-12-17,53.23,53.41,51.5,52.14,3574427,0.0
2020-12-18,52.01,52.36,51.03,51.76,6277913,0.0
2020-12-21,49.31,51.24,48.59,50.06,4353760,0.0
2020-12-22,50,50,48.515,48.85,4363952,0.0
2020-12-23,49.45,50.93,49.28,50.1,3264538,0.0
2020-12-24,50.15,50.2013,49.04,49.6,2023709,0.0
2020-12-28,49.8,50.34,48.79,48.94,2247813,0.0
2020-12-29,49.54,49.83,48.2,48.68,1785481,0.0
2020-12-30,48.58,50.65,48.34,50.57,1874691,0.0
2020-12-31,50.3,50.45,49.53,49.83,1821272,0.0
2021-01-04,50.76,50.95,48.6,49.87,2968271,0.0
2021-01-05,50.74,55.315,50.37,53.92,4908851,0.0
2021-01-06,54.46,56.16,53.73,55.08,5520520,0.0
2021-01-07,55.69,59.26,55.25,58.62,4749477,0.0
2021-01-08,59.5,59.69,57.9901,58.87,4993593,0.0
2021-01-11,57.43,60.03,56.8,59.59,4101896,0.0
2021-01-12,60.7,63.03,60.31,62.45,9235807,0.0
2021-01-13,62.13,62.34,59.8,60.47,6668506,0.0
2021-01-14,60.29,62.97,60.115,62.22,3131955,0.0
2021-01-15,60.94,61.04,58.55,59.17,3834132,0.0
2021-01-19,60.26,61.23,59.875,60.48,2498938,0.0
2021-01-20,61.05,61.25,59.36,60.2,1667273,0.0
2021-01-21,60.11,60.46,54.965,55.03,7582512,0.0
2021-01-22,53.25,54.98,52.94,54.85,4839576,0.0
2021-01-25,54.12,55.25,52.8158,55.2,4417973,0.0
2021-01-26,55.84,56.78,53.47,53.48,3028946,0.0
2021-01-27,52.72,55.49,51.89,55,6478067,0.0
2021-01-28,55.52,55.9,53.57,53.69,6013400,0.0
2021-01-29,53.2,53.87,50.75,50.93,4195470,0.0
2021-02-01,51.32,52,50.08,51.34,4086084,0.0
2021-02-02,52.9,53.01,50.94,51.28,4960848,0.0
2021-02-03,51.83,56,51.5,55.89,4441112,0.0
2021-02-04,56.31,57.53,54.73,57.48,4247519,0.0
2021-02-05,58.04,58.1,56.43,56.61,3441257,0.0
2021-02-08,57.51,59.845,57.32,59.46,3512324,0.0
2021-02-09,58.75,58.93,57.8827,58.22,2746006,0.0
2021-02-10,58.5,60.92,58.45,60.21,4525144,0.0
2021-02-11,60.15,60.27,58.16,59.63,2581214,0.0
2021-02-12,59.21,61.5,59.03,61.01,2969228,0.0
2021-02-16,63.05,63.85,62.1401,63.1,3313421,0.0
2021-02-17,63.34,63.73,61.84,63.57,2196644,0.0
2021-02-18,63,63.1399,60.46,60.57,2260230,0.0
2021-02-19,60.79,62.56,60.79,62.5,2611388,0.0
2021-02-22,63.01,67.28,62.78,66.09,4015960,0.0
2021-02-23,67.3,68.16,63.62,67.85,3978851,0.0
2021-02-24,68.15,72.855,67.41,72.37,5371757,0.0
2021-02-25,72.4,72.84,69.84,70.49,5236962,0.0
2021-02-26,69.25,69.35,63.42,64.56,8057926,0.0
2021-03-01,65.46,65.98,64.13,64.95,3957153,0.0
2021-03-02,64.69,65.75,63.95,64.47,3071662,0.0
2021-03-03,64.8,68.48,64.8,67.02,3917473,0.0
2021-03-04,67.45,73.87,67.23,71.46,6782121,0.0
2021-03-05,73.92,74.86,71.27,74.56,5912368,0.0
2021-03-08,75.5,75.8,72.77,74.54,6231272,0.0
2021-03-09,72.99,77.145,70.6,73.6099,5043382,0.0
2021-03-10,74,75.65,72.63,75.12,3273079,0.0
2021-03-11,75.2,76.59,74.66,75.29,3810228,0.0
2021-03-12,75.7,75.89,74.23,74.97,2437812,0.0
2021-03-15,74.17,74.59,72.17,74.36,2270193,0.0
2021-03-16,72.61,72.95,70.33,70.65,4895088,0.0
2021-03-17,71.38,73.24,69.88,73.2,3462913,0.0
2021-03-18,72.47,73.16,68.7001,68.9,3511825,0.0
2021-03-19,69.22,71.03,68.28,70.09,4430023,0.0
2021-03-22,68.61,69.12,67.61,68.2,2332390,0.0
2021-03-23,66.66,71.51,66.28,69.67,6475172,0.0
2021-03-24,71.34,73.47,71,72.55,4427008,0.0
2021-03-25,71.05,73.149,69.8,73.04,3197917,0.0
2021-03-26,74.44,75,73.58,74.88,3292968,0.0
2021-03-29,73.76,74.89,72.49,73.65,2548097,0.0
2021-03-30,72.55,73.9,71.39,73.26,2131331,0.0
2021-03-31,73.13,73.79,72.19,72.53,2656863,0.0
2021-04-01,72.37,75.55,72.16,75.34,5124270,0.0
2021-04-05,75.04,75.15,70.832,71.78,3234050,0.0
2021-04-06,72.47,74.63,72.15,72.28,2524725,0.0
2021-04-07,72.47,73.56,72.3,73.31,3144372,0.0
2021-04-08,72.8,72.85,70.88,72.2,3984761,0.0
2021-04-09,72.77,73.51,71.13,71.73,2784594,0.0
2021-04-12,72.39,73.37,70.1,70.11,2633319,0.0
2021-04-13,70.11,71.1,69.31,70.4,1719096,0.0
2021-04-14,71.26,74.88,71.07,74.15,3980437,0.0
2021-04-15,74.34,74.33,72.26,72.83,3048830,0.0
2021-04-16,72.83,73.1,70.44,70.51,2937018,0.0
2021-04-19,70.7,72.1,70.01,71.31,2385891,0.0
2021-04-20,70.23,70.6,67.3,68.56,3514077,0.0
2021-04-21,67.54,69.6815,67.2879,68.97,2706802,0.0
2021-04-22,69.14,69.195,67.13,68.35,2102359,0.0
2021-04-23,68.64,69.8892,68.28,69.05,1718405,0.0
2021-04-26,68.9,70.39,68.79,69.83,1472509,0.0
2021-04-27,70.04,72.025,69.75,71.66,1992516,0.0
2021-04-28,72.22,75.44,72.22,75,4013287,0.0
2021-04-29,76.4,77.05,74.93,75.93,2461053,0.0
2021-04-30,74.27,76.23,73.52,73.62,1847562,0.0
2021-05-03,74.62,76.02,74.151,76.02,2611925,0.0
2021-05-04,76.15,76.69,74.72,75.02,4082660,0.0
2021-05-05,76.49,78.16,75.5,76.71,6924494,0.0
2021-05-06,76.73,77.21,74.67,76.98,4170704,0.0
2021-05-07,77.33,83.28,76.8,83.24,6657522,0.0
2021-05-10,84.94,86.6,83.68,84.54,4977975,0.0
2021-05-11,82.76,82.98,80.4801,82.13,4432247,0.0
2021-05-12,83.24,84.2,81.07,81.36,3982274,0.0
2021-05-13,80.71,81.37,78.08,79.57,3044588,0.0
2021-05-14,80.55,83.016,80.54,82.59,3465072,0.0
2021-05-17,81.84,85.13,81.84,85.09,3348732,0.0
2021-05-18,84.78,85.81,82.82,82.97,2870717,0.0
2021-05-19,80.56,82.05,78.83,80.53,3528198,0.0
2021-05-20,81.25,81.06,78.7143,80.51,2826860,0.0
2021-05-21,81.46,82.23,79.99,80.07,2197277,0.0
