Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-22,78.8,79.75,77.95,78.46,1899088,0.0
2020-05-26,79.79,79.83,77.76,78.06,2510416,0.0
2020-05-27,79.06,79.06,75.91,77.47,3197672,0.0
2020-05-28,78.69,81.14,78.14,80.91,2806542,0.0
2020-05-29,80.57,84.19,80.57,83.82,4369114,0.0
2020-06-01,83.77,86.175,83.2,85.59,3517294,0.0
2020-06-02,86.14,86.46,84.61,85.75,3051032,0.0
2020-06-03,86.36,88.27,86.01,86.93,2769398,0.0
2020-06-04,86.27,86.74,84.32,85.59,1946186,0.0
2020-06-05,86.13,87.73,85.34,86.5,2700852,0.0
2020-06-08,86.41,87.98,85.53,87.65,2493650,0.0
2020-06-09,87.18,87.18,84.57,85.31,2327786,0.0
2020-06-10,85.46,86.92,85.4,86.29,2249140,0.0
2020-06-11,86,86.18,83.15,84.4,4957016,0.0
2020-06-12,85.55,86.17,84.75,84.91,637072,0.0
2020-06-15,83,85.54,82.29,84.26,3057864,0.0
2020-06-16,86.01,86.73,83.955,84.29,2540716,0.0
2020-06-17,84.66,85.6,83.53,85.04,2092300,0.0
2020-06-18,84.55,85.25,83.6617,84.69,1982036,0.0
2020-06-19,85.85,85.85,82.7,82.95,4950866,0.0
2020-06-22,82.88,84.97,82.365,84.23,1234619,0.0
2020-06-23,84.88,85.38,83.15,83.4,1113432,0.0
2020-06-24,82.73,82.88,81.66,82.38,1222846,0.0
2020-06-25,82.56,82.79,81.16,82.34,1143628,0.0
2020-06-26,82.04,83.5,81.21,81.85,1204711,0.0
2020-06-29,82.62,83.12,81.67,83.1,991131,0.0
2020-06-30,82.88,83.75,82.11,83.2,1405252,0.0
2020-07-01,83.22,85.465,83.155,85.14,1109189,0.0
2020-07-02,85.61,85.93,84.42,84.7,962652,0.0
2020-07-06,85.71,86.27,83.27,83.88,1320212,0.0
2020-07-07,83.17,84.63,82.42,84.33,1076957,0.0
2020-07-08,84.09,85.45,83.6,85.14,1054925,0.0
2020-07-09,84.41,84.95,83.05,84.57,1052407,0.0
2020-07-10,84.57,85.71,84.06,85.43,612080,0.0
2020-07-13,85.09,87.08,85.09,85.94,1010295,0.0
2020-07-14,86.03,86.885,85.41,86.42,1035280,0.0
2020-07-15,87.09,87.41,84.89,84.99,1392094,0.0
2020-07-16,85.21,86.08,84.86,85.85,1167168,0.0
2020-07-17,86.47,88.14,86.22,87.85,1424078,0.0
2020-07-20,87.4,87.73,86.2,86.61,1182597,0.0
2020-07-21,85.75,88.58,85.25,87.19,1216511,0.0
2020-07-22,86.82,89.985,86.31,89.64,987543,0.0
2020-07-23,89.35,90.7,89.28,90.02,580132,0.0
2020-07-24,90.01,91.09,88.77,89.47,714055,0.0
2020-07-27,89.48,89.65,87.8,88.7,824219,0.0
2020-07-28,88.56,91.13,88.56,90.13,2146913,0.0
2020-07-29,90.56,91.375,89.99,90.5,1646712,0.0
2020-07-30,89.68,90.78,89.35,90.71,1858402,0.0
2020-07-31,90.38,91.96,88.41,90.07,3747025,0.0
2020-08-03,89.69,90.07,88.6,89.47,1271280,0.0
2020-08-04,89.52,90.91,89.4723,90.26,1787581,0.0
2020-08-05,90.36,90.65,87.89,88.19,1365188,0.0
2020-08-06,87.95,88.51,87.0844,88.07,2314167,0.0
2020-08-07,87.95,89.8,87.8,89.05,2686831,0.0
2020-08-10,88.68,89.47,88.275,88.56,1928816,0.0
2020-08-11,88.48,88.69,85.9,86.09,2253750,0.0
2020-08-12,86.58,88.35,86.4,87.91,2046747,0.0
2020-08-13,87.47,88.31,87.15,87.96,647444,0.0
2020-08-14,87.66,88.07,86.77,87.14,470001,0.0
2020-08-17,86.94,88.5,86.65,87.45,1446234,0.0
2020-08-18,87.46,87.9,86.34,86.93,1555410,0.0
2020-08-19,87.24,87.24,85.74,86.22,1640124,0.0
2020-08-20,85.91,86.61,85.37,85.7,1212634,0.0
2020-08-21,85.99,86.7,84.875,86.53,1761181,0.0
2020-08-24,85.79,86.45,84.4,85.88,2578579,0.0
2020-08-25,86.27,86.31,84.74,84.94,1810633,0.0
2020-08-26,84.54,84.635,83.04,84.01,1959468,0.0
2020-08-27,84.41,84.82,83.19,84.29,2089244,0.0
2020-08-28,84.37,85.02,83.24,84.77,1923918,0.0
2020-08-31,84.59,85.86,84.53,85.65,2216345,0.0
2020-09-01,85.1,85.36,83.43,83.66,2104607,0.0
2020-09-02,83.76,86.76,83.18,86.46,2008673,0.0
2020-09-03,86.63,87.66,85.24,86.05,1837767,0.0
2020-09-04,85.94,86.51,84.54,86.06,1866783,0.0
2020-09-08,86.17,86.37,84.8729,85.25,1933537,0.0
2020-09-09,85.85,87.96,85.6,85.78,1823322,0.0
2020-09-10,84.4,85.35,83.29,83.35,2058758,0.0
2020-09-11,83.63,83.65,81.52,82.13,3630380,0.0
2020-09-14,82.55,83.49,81.675,82.9,3099551,0.0
2020-09-15,83.23,85.16,83.23,83.97,1205044,0.0
2020-09-16,83.555,84.46,83.31,83.35,847278,0.0
2020-09-17,82.71,82.78,81.4,81.97,911866,0.0
2020-09-18,81.8264,81.8264,78.66,78.83,1796532,0.0
2020-09-21,78.11,78.78,77,78.03,1131667,0.0
2020-09-22,77.84,79.56,77.77,78.98,841488,0.0
2020-09-23,78.93,79.365,78.16,78.29,793157,0.0
2020-09-24,78.245,80.24,78.2,79.95,1026647,0.0
2020-09-25,79.81,82.57,79.62,82.475,1432444,0.0
2020-09-28,83,83.74,81.915,82.65,870303,0.0
2020-09-29,82.94,83.67,82.61,83,1371251,0.0
2020-09-30,83.49,84.17,82.64,83.52,1987112,0.0
2020-10-01,83.84,85.48,83.6,85.44,2512450,0.0
2020-10-02,84.93,87.63,84.64,87.03,2879299,0.0
2020-10-05,87.42,89.56,86.83,89.49,2954271,0.0
2020-10-06,89.49,91.37,88.7419,90.7,2912666,0.0
2020-10-07,91.37,91.79,90.26,91.38,1908281,0.0
2020-10-08,91.54,92.95,91.24,92.43,1840387,0.0
2020-10-09,92.75,92.99,91.48,92.19,1745501,0.0
2020-10-12,92.17,93.8,92.17,93.05,1285546,0.0
2020-10-13,91.9,92.92,91.18,92.65,1699572,0.0
2020-10-14,91.99,92.7,91.24,91.82,1369714,0.0
2020-10-15,91.32,91.88,90.395,91.01,2172209,0.0
2020-10-16,91.02,92.18,90.46,91.42,2883541,0.0
2020-10-19,91.9,92.41,90.81,91.13,1379205,0.0
2020-10-20,91.6,92.98,91.21,92.28,2000682,0.0
2020-10-21,92.01,92.92,91.63,92.08,1237578,0.0
