Date,Estimate,Actual
2021-07-29,0.79,None
2021-05-10,1.09,1.08
2021-02-16,0.85,0.85
2020-11-03,1.02,1.02
2020-07-30,0.76,0.76
2020-05-06,1.01,1.02
2020-02-19,0.77,0.76
2019-11-05,0.96,0.98
2019-07-31,0.76,0.74
2019-05-01,0.91,0.97
2019-02-20,0.76,0.73
2018-11-01,0.9,0.91
2018-07-31,0.75,0.76
2018-05-02,0.85,0.85
2018-02-22,0.75,0.75
2017-11-01,0.83,0.82
2017-07-27,0.67,0.72
2017-05-03,0.82,0.82
2017-02-21,0.74,0.72
2016-11-01,0.8,0.83
2016-07-28,0.65,0.64
2016-05-04,0.78,0.77
2016-02-04,0.62,0.6
2015-11-02,0.76,0.75
2015-07-30,0.56,0.66
2015-04-29,0.8,0.81
2015-02-11,0.69,0.72
2014-11-06,0.75,0.75
2014-07-31,0.5,0.52
2014-05-01,0.75,0.74
2014-02-06,0.59,0.56
2013-10-31,0.73,0.66
2013-07-29,0.5,0.54
2013-05-01,0.65,0.73
2013-02-19,0.58,0.56
2012-11-01,0.66,0.7
2012-07-30,0.45,0.45
2012-05-02,0.68,0.57
2012-02-23,0.69,0.74
2011-11-04,0.54,0.51
2011-08-02,0.48,0.44
2011-05-05,0.63,0.69
2011-02-24,0.65,0.73
2010-10-29,0.54,0.57
2010-08-03,0.44,0.41
2010-05-05,0.54,0.49
2010-02-23,0.41,0.48
2009-11-02,0.38,0.37
2009-08-04,0.34,0.47
2009-04-29,0.55,0.6
2009-02-17,0.47,0.46
2008-11-10,0.39,0.47
2008-08-01,0.35,0.37
2008-05-01,0.54,0.57
2008-02-20,0.44,0.47
2007-11-05,0.31,0.32
2007-08-06,0.28,0.3
2007-04-26,0.44,0.46
2007-02-19,0.34,0.36
2006-11-06,0.26,0.22
2006-08-03,0.17,0.24
2006-05-04,0.35,0.34
2006-02-15,0.32,0.32
2005-11-07,0.28,0.06
2005-07-26,0.18,0.14
2005-04-28,0.38,0.45
2005-02-04,0.25,0.26
2004-10-25,0.3,0.3
2004-07-28,0.2,0.2
2004-04-29,0.5,0.53
2004-01-27,0.26,0.21
2003-10-27,0.27,0.35
2003-07-22,0.15,0.21
2003-04-22,0.41,0.47
2003-01-28,0.3,0.37
2002-10-21,0.24,0.27
2002-07-23,0.25,0.22
2002-04-23,0.27,0.21
2002-01-22,0.39,0.38
2001-10-23,0.37,0.26
2001-07-24,0.21,0.29
2001-04-24,0.54,0.36
2001-01-23,0.39,0.47
2000-10-24,0.39,0.38
2000-07-25,0.2,0.14
2000-04-25,0.45,0.55
2000-01-25,0.25,0.35
1999-10-20,0.32,0.32
1999-07-27,-0.01,0
1999-04-27,0.07,0.14
1999-02-09,-0.07,-0.24
1998-10-19,-0.04,0.11
1998-07-28,-0.43,0.05
1998-04-28,0.04,-0.13
1998-01-27,0,-0.29
1997-10-27,0.05,-0.4
1997-07-22,-0.07,-0.5
1997-04-22,0.09,0.14
1997-01-28,-0.09,-0.02
1996-10-22,0.06,0.01
