Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,49.01,49.62,48.2501,48.4,2210853,25143,48.738577
2021-01-04,49.0,50.09,47.56,48.94,2820922,31305,48.967234
2021-01-05,49.78,55.95,49.56,53.67,6028474,60526,53.738645
2021-01-06,54.87,57.79,53.92,56.32,4451439,50945,56.386755
2021-01-07,57.46,59.07,56.17,56.79,3259921,36838,57.616228
2021-01-08,57.2,58.4,55.63,56.76,2749369,36267,56.84701
2021-01-11,54.69,58.61,54.1,58.3,2167480,24927,57.485957
2021-01-12,59.32,63.13,58.81,62.87,4214540,39109,61.844058
2021-01-13,62.7,62.75,61.21,61.54,2484229,29668,61.901587
2021-01-14,62.49,64.07,61.54,61.93,3008589,26921,62.428619
2021-01-15,61.07,61.15,58.4213,59.235,2840085,31388,59.681172
2021-01-19,60.445,61.11,59.8,60.02,1922772,22898,60.319599
2021-01-20,61.0,61.64,59.91,60.62,2348485,26327,60.611987
2021-01-21,60.56,61.09,57.5,60.78,4382910,38554,59.859683
2021-01-22,58.63,63.99,57.81,63.74,4518275,46748,62.744784
2021-01-25,62.43,64.9,59.45,61.33,3581038,41309,61.501897
2021-01-26,62.89,64.11,59.34,59.61,2928535,32625,61.082797
2021-01-27,57.845,60.16,56.13,56.59,4060734,46444,57.863396
2021-01-28,57.9,60.66,57.02,60.31,3634968,41538,59.351175
2021-01-29,59.79,60.91,56.355,56.69,3138174,34611,57.552594
2021-02-01,58.38,58.75,56.3538,57.98,1934803,26583,57.5586
2021-02-02,59.9,60.48,58.29,58.415,1886246,26064,59.041583
2021-02-03,59.19,64.35,58.64,63.58,4214014,43629,62.322423
2021-02-04,64.72,65.89,63.05,65.35,2928472,35156,64.873367
2021-02-05,66.23,66.67,64.24,64.45,1912800,24788,65.061644
2021-02-08,65.8,69.6,65.645,68.93,2662033,32756,68.053657
2021-02-09,68.5,68.65,66.52,66.97,2409362,26693,67.610745
2021-02-10,67.54,69.9,66.69,68.88,2186431,25944,68.684077
2021-02-11,68.34,69.23,65.56,67.77,1815493,23064,67.500331
2021-02-12,67.17,69.7,66.63,69.12,1991547,24182,68.605993
2021-02-16,70.55,72.15,68.83,68.97,2524266,28810,69.904619
2021-02-17,69.78,70.19,67.4,68.84,1951315,24095,68.686963
2021-02-18,68.23,68.66,64.69,65.14,2338322,27197,65.869243
2021-02-19,65.45,66.95,65.17,65.57,2294108,24569,65.735754
2021-02-22,67.37,70.78,66.275,68.4,3405925,40653,69.166049
2021-02-23,67.05,71.45,63.05,71.01,5421125,64600,69.366093
2021-02-24,71.85,74.5999,70.65,73.8,2798423,35373,73.732107
2021-02-25,74.6,74.87,69.05,69.06,2740627,37872,71.101168
2021-02-26,68.74,70.18,65.27,69.28,2530536,33475,68.106214
2021-03-01,70.96,74.47,70.42,73.66,3160082,37720,73.176162
2021-03-02,73.09,74.14,69.89,71.01,2592774,30849,71.633751
2021-03-03,72.07,78.03,72.07,74.44,3671348,43261,75.438427
2021-03-04,75.53,82.86,75.51,81.26,5757777,61910,80.068355
2021-03-05,83.95,88.75,82.58,85.27,6623347,81655,85.997716
2021-03-08,86.9,87.7458,81.8183,84.17,3194380,44485,84.358737
2021-03-09,83.0,83.61,79.93,81.03,3557561,45489,81.30472
2021-03-10,81.08,82.75,78.79,80.94,2816836,37465,80.61942
2021-03-11,82.36,85.97,81.42,84.04,2355048,33375,84.308166
2021-03-12,83.49,84.8799,81.68,82.01,2146329,26473,82.819853
2021-03-15,82.52,84.41,81.64,84.29,2133869,26453,83.268035
2021-03-16,82.04,83.0,79.45,82.09,5632064,43998,81.621009
2021-03-17,81.13,82.9622,79.01,81.41,2596775,34944,80.71848
2021-03-18,80.36,81.6,74.56,75.17,3539732,46080,77.428334
2021-03-19,75.67,79.025,74.26,75.81,9533135,41552,76.232889
2021-03-22,76.05,76.69,74.17,75.31,2663310,32847,75.191475
2021-03-23,72.24,75.28,71.35,72.13,3744147,40773,73.177465
2021-03-24,74.28,77.4,74.225,74.39,2555294,37367,75.624229
2021-03-25,72.1,74.36,69.53,73.8,3059965,37114,72.244572
2021-03-26,76.66,77.36,73.47,75.79,2158181,28523,75.303071
2021-03-29,74.7,75.84,72.69,74.24,1857336,24615,74.260156
2021-03-30,73.49,75.72,72.62,74.48,1567566,22337,74.405344
2021-03-31,74.39,75.1916,73.13,73.49,2509281,27688,73.795466
2021-04-01,74.18,81.23,74.07,81.22,4708908,50935,79.047577
2021-04-05,81.0,81.0,75.16,75.4,3867773,46142,76.678412
2021-04-06,76.5,78.94,75.25,75.46,2532366,30672,76.874653
2021-04-07,75.06,76.92,74.87,76.31,2065817,27456,76.206997
2021-04-08,75.61,75.63,73.58,75.2,3253438,40318,74.779717
2021-04-09,75.7,76.54,74.04,74.8,1805234,24111,74.945354
2021-04-12,75.49,76.5884,73.23,73.88,1491399,23150,74.347315
2021-04-13,74.7,76.855,74.01,75.71,1787112,25084,75.636625
2021-04-14,76.95,81.42,76.87,80.33,2700291,39120,80.002184
2021-04-15,78.64,79.9648,77.93,79.08,1638736,27794,78.898005
2021-04-16,79.55,79.89,77.43,77.54,1428689,21859,78.250415
2021-04-19,78.0,79.91,77.04,77.65,1627828,25969,77.860747
2021-04-20,77.25,77.26,73.12,74.26,2533193,35312,74.306333
2021-04-21,73.2,75.84,72.34,75.26,1565290,25082,74.867467
2021-04-22,75.58,76.15,73.655,75.28,1290348,20373,75.144041
2021-04-23,75.88,76.7,74.75,76.13,1146618,17935,76.058842
2021-04-26,75.89,78.26,75.55,77.46,1190834,18910,77.451305
2021-04-27,77.58,79.6,77.3,79.32,1298095,20513,78.843186
2021-04-28,79.61,84.58,79.82,83.68,2768324,37261,83.539255
2021-04-29,85.0,87.595,83.57,84.34,2084436,28100,85.249373
2021-04-30,83.28,85.0899,81.36,81.73,1714989,23175,82.634381
2021-05-03,83.48,84.55,82.01,83.92,1987169,27012,83.582063
2021-05-04,83.84,84.49,78.3058,79.2,4633960,55127,80.115694
2021-05-05,80.07,86.1,78.75,83.12,4663955,53431,83.563354
2021-05-06,83.42,83.53,79.84,82.25,2242479,34736,81.599969
2021-05-07,80.93,84.48,80.15,84.21,2095352,29333,82.932022
2021-05-10,85.46,87.18,82.2411,82.76,2029938,30917,83.978615
2021-05-11,79.16,81.81,77.28,79.8,2501775,39585,79.932905
2021-05-12,80.57,85.8588,78.75,79.48,3702041,52827,81.951792
2021-05-13,78.19,80.64,75.1,76.15,2868234,41550,77.102805
2021-05-14,77.5,79.3,76.7,78.7,2387290,36785,78.140163
2021-05-17,78.4,80.52,77.76,80.36,2344541,30367,79.491619
2021-05-18,80.66,81.19,78.69,80.0,2063906,31620,79.966293
2021-05-19,77.1,79.03,75.46,77.92,2712993,34614,77.157001
2021-05-20,77.75,77.76,74.6,76.53,2686258,35713,75.946794
2021-05-21,77.98,79.26,75.9,76.31,2688164,30202,77.17584
2021-05-24,76.82,77.7,75.335,77.3,2324694,30549,76.830435
2021-05-25,77.44,77.881,75.33,75.48,1534560,22046,76.041796
2021-05-26,75.48,78.55,75.15,78.29,2385664,33963,77.116132
2021-05-27,78.96,80.25,78.11,79.34,1741557,23869,79.357796
2021-05-28,79.87,80.24,78.5437,80.07,1361541,21802,79.582288
2021-06-01,82.71,86.84,82.4,86.61,4189327,52282,85.356987
2021-06-02,87.24,89.07,85.05,86.44,2704107,40212,87.392148
2021-06-03,85.98,87.54,84.6,86.52,2082766,29927,86.412347
2021-06-04,87.31,87.8799,84.03,85.82,2294446,30959,85.338427
2021-06-07,86.31,87.85,85.75,87.19,1269725,21029,87.058152
2021-06-08,87.18,90.18,85.1,89.64,2684975,39259,89.023491
2021-06-09,90.12,92.11,87.85,88.28,2791189,40839,89.944283
2021-06-10,90.31,90.75,85.9631,86.99,1770809,30035,87.910818
2021-06-11,87.15,88.4517,86.71,87.27,1406087,18764,87.254033
2021-06-14,88.46,89.61,85.38,86.44,1526256,22974,87.281234
2021-06-15,87.34,91.14,87.04,90.85,2720108,36334,89.884716
2021-06-16,90.07,91.75,88.87,90.37,1669041,27464,90.263917
2021-06-17,89.95,91.2474,84.14,86.89,2807935,43138,86.631431
2021-06-18,84.41,87.235,84.2,86.18,4271552,37291,86.040896
2021-06-21,86.63,92.31,86.51,91.5,2732865,37408,90.724202
2021-06-22,90.47,91.66,88.6402,91.33,2020327,29786,90.52293
2021-06-23,92.36,95.78,91.81,91.91,2319316,33792,93.434
2021-06-24,91.5,94.46,91.11,94.25,1761402,24903,93.274171
2021-06-25,94.77,96.51,93.556,96.31,4879655,30807,95.887598
2021-06-28,95.53,95.94,91.88,92.47,2339963,33475,92.721011
2021-06-29,93.32,95.23,91.98,92.62,1710510,29408,93.325306
2021-06-30,93.53,95.42,92.605,93.89,2107667,28551,93.75237
2021-07-01,97.0,102.53,95.09,99.6,5549585,65896,99.289455
2021-07-02,97.81,99.06,96.75,98.06,1772802,26204,98.243288
2021-07-06,98.36,98.6128,90.97,91.17,3325760,46428,92.708489
2021-07-07,91.33,92.6499,86.8,87.99,3722721,54892,88.638271
2021-07-08,85.82,89.13,85.35,88.19,3047447,44532,87.679033
2021-07-09,89.39,90.75,88.0,89.42,1831583,29258,89.470283
2021-07-12,88.07,90.4115,86.9104,89.83,1403006,22536,89.518385
2021-07-13,89.84,91.13,88.2,90.04,1209753,20521,89.917858
2021-07-14,90.8,91.378,84.06,84.58,2216362,34354,86.16431
2021-07-15,83.15,84.62,80.77,81.74,2981301,39969,82.210905
2021-07-16,82.57,82.9129,78.01,78.36,1963513,29209,79.40099
2021-07-19,74.48,76.28,71.35,73.19,4693848,63669,73.004857
2021-07-20,73.0,76.25,71.88,74.92,2794976,38501,74.720814
2021-07-21,75.75,80.3589,75.75,79.34,2986113,37544,78.752878
2021-07-22,79.25,79.39,76.89,78.67,1593067,23662,78.230336
2021-07-23,79.9,79.9,77.0301,78.24,1937137,27493,78.281344
2021-07-26,78.25,81.43,78.11,80.25,2015466,24285,79.899565
2021-07-27,79.0,79.69,77.68,78.55,1815176,26103,78.580637
2021-07-28,78.82,80.67,78.01,79.58,2749019,32003,79.203822
2021-07-29,80.63,80.7996,78.645,79.54,1478589,20065,79.566522
2021-07-30,79.41,79.41,76.25,77.13,2082341,27696,77.041335
2021-08-02,77.64,79.73,75.92,76.75,2850803,42496,77.505357
2021-08-03,75.52,81.2572,75.5,80.53,4090355,52039,79.576451
2021-08-04,78.8,80.25,76.0233,76.42,2713643,39089,77.794182
2021-08-05,77.01,80.66,76.28,79.83,2331326,32484,79.451394
2021-08-06,81.16,82.29,79.325,80.05,1659803,23932,80.426649
2021-08-09,78.27,79.13,76.59,77.23,2150070,29631,77.460937
2021-08-10,78.43,79.75,77.99,78.12,2718939,32765,78.825261
2021-08-11,77.23,79.02,75.2101,79.01,1695573,24362,77.605394
2021-08-12,78.69,79.86,77.32,79.37,972192,17272,78.909365
2021-08-13,79.3,79.52,75.5304,75.64,1785678,23554,76.708403
2021-08-16,74.35,74.52,72.15,72.54,2564147,30339,72.865478
2021-08-17,72.0,74.25,71.4011,71.88,1904289,25944,72.440999
2021-08-18,72.1,73.2,69.7,69.81,1632138,25114,71.337626
2021-08-19,67.92,69.2,65.9304,67.88,4152779,49135,67.336418
2021-08-20,67.01,68.55,66.12,68.18,2323419,31628,67.68153
2021-08-23,71.3,73.27,70.9154,72.2,3153815,34655,72.133427
2021-08-24,73.36,74.7231,72.79,74.2,2315794,28655,73.912682
2021-08-25,74.37,75.36,73.31,75.01,1758022,21014,74.710834
2021-08-26,74.3,74.52,72.48,73.08,1885180,25092,73.32617
2021-08-27,74.2,77.07,74.2,76.65,2357545,33079,76.007735
2021-08-30,77.85,78.1,75.78,76.28,1550606,23347,76.89312
2021-08-31,75.89,78.05,74.86,77.14,1549012,23055,77.040693
2021-09-01,77.16,77.3,73.26,74.16,4147165,49353,74.761042
2021-09-02,74.96,78.2,74.96,76.57,2422842,32567,76.918802
2021-09-03,76.42,76.9,74.6737,75.56,1672318,24523,75.468458
2021-09-07,75.25,76.72,73.97,74.93,2166845,25834,75.005618
2021-09-08,75.84,76.92,73.95,74.7,1893132,28008,75.261778
2021-09-09,74.07,77.43,73.31,75.66,1823595,29793,75.947429
2021-09-10,76.91,77.39,74.92,75.04,1384783,23722,75.789039
2021-09-13,76.16,78.95,76.16,77.8,2115765,31704,77.802426
2021-09-14,78.84,78.885,75.05,75.68,1934564,29707,76.093769
2021-09-15,77.64,81.97,77.39,81.58,3564945,47403,80.686746
2021-09-16,80.95,81.04,78.925,80.07,1994190,30699,80.06824
2021-09-17,83.11,84.35,82.0,82.62,6716681,50098,82.762191
2021-09-20,78.78,80.84,77.21,79.11,3201782,42881,78.589452
2021-09-21,80.33,81.03,78.1369,80.04,2146745,28961,80.021256
2021-09-22,81.85,85.25,81.81,84.38,2860019,38556,84.169202
2021-09-23,84.7,88.76,84.47,87.86,2531209,33919,87.460059
2021-09-24,87.0,90.87,86.75,88.72,2383174,31207,89.37596
2021-09-27,91.54,95.719,91.53,95.48,3889434,49635,94.443838
2021-09-28,96.84,97.43,93.39,94.98,3424139,49959,94.998051
2021-09-29,94.31,96.9506,94.06,96.05,2392007,39314,95.864291
2021-09-30,95.565,97.69,94.49,94.67,2982205,40118,95.512838
2021-10-01,95.27,98.96,94.8092,98.86,2774342,38621,97.647678
2021-10-04,100.44,104.93,99.0501,103.38,4556327,60980,102.727003
2021-10-05,105.0,107.55,102.19,104.16,4146008,54528,105.070655
2021-10-06,101.66,104.59,100.17,104.11,2992521,43539,102.839064
2021-10-07,104.23,105.73,102.602,105.12,2156535,30165,104.672283
2021-10-08,106.52,110.5,106.24,109.9,3152145,45527,109.178176
2021-10-11,112.25,114.1,110.1201,110.73,3246569,46780,112.034329
2021-10-12,110.6,113.01,108.24,110.0,2454660,35791,110.130128
2021-10-13,107.475,109.62,104.84,108.19,2920948,39885,107.683072
2021-10-14,110.0,110.64,106.22,108.83,2326644,37367,107.88715
2021-10-15,110.16,110.8,107.98,108.28,2381607,33375,109.463405
2021-10-18,111.19,114.73,108.5,109.26,3613421,44114,110.888269
2021-10-19,110.0,111.36,108.42,110.94,1677389,25881,110.210069
2021-10-20,109.0,111.48,108.51,111.15,1645910,24471,110.408799
2021-10-21,110.44,110.86,107.76,108.93,1529480,23585,108.966394
2021-10-22,109.88,111.12,108.58,109.33,2153341,28084,109.604948
2021-10-25,111.26,112.89,108.97,109.41,2820273,35125,110.755338
2021-10-26,110.5,112.455,109.62,111.69,1891667,29634,111.415533
2021-10-27,109.74,111.62,107.38,107.58,2070087,32741,108.958232
2021-10-28,107.0,109.055,106.45,109.01,1673075,30926,108.087994
2021-10-29,109.0,109.31,105.47,107.19,2143292,27746,107.333437
2021-11-01,109.52,112.12,109.35,111.61,3981251,54104,110.853149
2021-11-02,109.3,116.11,108.1,114.45,4229248,61379,113.791684
2021-11-03,113.38,115.239,110.51,111.81,2672253,42914,112.273464
2021-11-04,114.46,116.3876,110.9201,112.76,2656299,42012,113.198981
2021-11-05,114.41,115.3999,112.56,113.79,1869174,33423,114.053613
2021-11-08,115.27,117.71,114.85,115.71,2161778,34060,116.437524
2021-11-09,115.0,116.15,110.69,112.99,2345859,35001,112.864822
2021-11-10,112.39,112.3999,105.67,107.16,2657293,43323,108.00013
2021-11-11,107.58,109.95,107.56,108.77,1648687,26517,108.943536
