Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,47.58,48.46,47.53,48.04,2323829,0.0
2020-12-07,48,48.995,47.72,48.68,2278357,0.0
2020-12-08,48.37,49.3484,48.16,49.09,2053768,0.0
2020-12-09,49.03,49.845,49.02,49.62,2543422,0.0
2020-12-10,49.27,49.54,48.33,48.38,1926679,0.0
2020-12-11,48.3,49.58,47.6,49.21,1855325,0.0
2020-12-14,49.35,49.86,49.19,49.22,1558590,0.0
2020-12-15,49.42,50.18,49.28,49.82,1520242,0.0
2020-12-16,48.91,49.64,48.73,49.46,1949549,0.0
2020-12-17,49.65,49.74,49.3,49.56,2085203,0.0
2020-12-18,49.69,49.82,48.82,49.34,2933856,0.0
2020-12-21,48.8,49.71,48.34,49.62,1747281,0.0
2020-12-22,49.7,49.75,49.18,49.47,1358174,0.0
2020-12-23,49.78,49.7887,48.9,49.1,1004623,0.0
2020-12-24,49.37,49.51,49.15,49.47,586139,0.0
2020-12-28,49.88,50.13,49.55,50.05,1824401,0.0
2020-12-29,50.15,50.47,49.29,49.68,2640669,0.0
2020-12-30,49.99,49.99,48.71,49.07,1204928,0.0
2020-12-31,48.89,49.1,48.33,48.8,1908133,0.0
2021-01-04,49.03,49.36,47.19,47.63,2716002,0.0
2021-01-05,47.59,48.38,47.34,48.28,2114759,0.0
2021-01-06,48.04,49.39,47.94,49.11,2857130,0.0
2021-01-07,49.26,49.8,48.36,49.71,2101309,0.0
2021-01-08,49.58,50.91,49.58,50.75,2903890,0.0
2021-01-11,50.31,50.89,50.25,50.48,1662388,0.0
2021-01-12,50.4,51.89,50.31,51.62,2925554,0.0
2021-01-13,51.53,51.62,50.67,50.7,2868615,0.0
2021-01-14,50.98,51.03,49.94,50.32,1740496,0.0
2021-01-15,50.25,50.6,49.53,50.49,1920265,0.0
2021-01-19,50.8,51.15,49.9,50.38,3824932,0.0
2021-01-20,50,50.49,47.72,48.7,6090792,0.0
2021-01-21,48.8,49.12,47.84,48.17,3342115,0.0
2021-01-22,48.17,48.25,47.55,47.72,2858775,0.0
2021-01-25,47.61,48.245,46.9,48.13,2578358,0.0
2021-01-26,48.43,48.5619,47.36,47.6,1851819,0.0
2021-01-27,47.08,47.95,46.45,47.84,3694180,0.0
2021-01-28,47.7447,48.5,46.64,46.66,3009501,0.0
2021-01-29,46.41,46.99,45.545,45.55,2677139,0.0
2021-02-01,46.22,46.78,46.01,46.41,2385971,0.0
2021-02-02,46.58,46.92,45.84,46.46,3253241,0.0
2021-02-03,46.35,47.23,46.1,47.01,2847561,0.0
2021-02-04,46.62,47.17,45.88,47.13,3770693,0.0
2021-02-05,47.39,47.62,46.94,47.3,1649947,0.0
2021-02-08,47.51,47.99,47.31,47.42,2063259,0.0
2021-02-09,47.41,47.435,46.61,47.33,1499126,0.0
2021-02-10,47.65,47.85,47.07,47.66,1574880,0.0
2021-02-11,47.83,47.95,46.75,47.07,1295963,0.0
2021-02-12,47.07,47.43,46.945,47.4,1219714,0.0
2021-02-16,47.5,47.63,46.565,46.63,2011597,0.0
2021-02-17,46.48,47.04,46.34,46.95,1545255,0.0
2021-02-18,46.59,47.61,46.4,47.29,1955080,0.0
2021-02-19,47.24,47.95,47.13,47.22,1625375,0.0
2021-02-22,47.04,47.15,46.27,46.33,2225858,0.0
2021-02-23,46.29,46.915,45.72,46.8,2868306,0.0
2021-02-24,46.46,47.095,45.96,46.9,2679762,0.0
2021-02-25,46.8,47.29,46.14,46.28,2130968,0.0
2021-02-26,46.39,46.92,46.01,46.37,3086105,0.0
2021-03-01,46.4416,48.79,46.4416,48.48,4540192,0.0
2021-03-02,48.485,48.485,47.27,47.47,2724041,0.0
2021-03-03,47.21,47.65,46.44,46.45,3197616,0.0
