Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,176.32,176.38,175.0,175.94,366610,7348,175.670605
2021-01-04,176.88,176.88,173.41,175.85,436721,10385,175.404128
2021-01-05,176.0,177.87,173.95,177.25,633548,11488,176.682577
2021-01-06,177.57,180.71,175.55,178.58,601299,11472,178.641261
2021-01-07,178.2,180.89,178.06,180.1,1041968,15529,180.154762
2021-01-08,193.72,200.57,189.02,191.24,1806515,25364,192.443328
2021-01-11,189.35,193.405,186.95,190.35,452650,10869,191.229439
2021-01-12,190.03,193.43,189.83,192.97,406310,9568,192.559241
2021-01-13,191.46,191.9,189.355,191.71,482472,9387,191.147524
2021-01-14,193.81,198.07,192.5001,193.43,519382,10942,194.908856
2021-01-15,192.57,195.87,190.27,195.1,513517,9859,194.574112
2021-01-19,195.4,198.67,195.2,196.8,739916,11174,197.053419
2021-01-20,198.75,199.8,197.47,198.65,731757,10097,198.738022
2021-01-21,199.03,201.07,197.9701,201.0,671692,9663,200.083878
2021-01-22,199.2,204.55,198.52,204.32,833939,12056,202.819809
2021-01-25,209.46,211.01,203.849,207.25,1197738,18619,207.170893
2021-01-26,208.42,210.5573,204.2152,208.56,1827078,16793,207.53594
2021-01-27,203.5,208.55,196.38,201.22,3259424,40901,202.108259
2021-01-28,203.9,203.91,198.2,201.35,666190,13780,201.192946
2021-01-29,201.17,202.27,195.56,195.95,701400,12391,197.573357
2021-02-01,195.57,198.64,194.125,196.35,907417,12659,196.312096
2021-02-02,193.2,195.36,190.6379,194.19,812615,16289,193.967978
2021-02-03,194.69,196.26,192.4417,194.91,482676,11252,194.502683
2021-02-04,195.28,199.16,194.59,199.08,784006,12287,197.312764
2021-02-05,199.08,201.27,196.82,199.14,525481,9832,198.682485
2021-02-08,200.0,205.86,200.0,205.79,451080,9986,204.486285
2021-02-09,204.98,206.27,203.29,205.34,487017,10129,204.95232
2021-02-10,205.38,207.93,203.84,206.75,634802,11908,206.596539
2021-02-11,207.26,208.33,203.42,206.27,541104,12481,205.973012
2021-02-12,207.56,210.83,206.51,210.62,427230,9876,209.496118
2021-02-16,210.0,213.8,207.66,208.35,669301,12415,209.301949
2021-02-17,204.52,206.435,200.86,204.14,748799,11755,204.291753
2021-02-18,202.49,204.28,198.55,199.03,758517,12248,200.502745
2021-02-19,199.64,200.15,198.0,198.81,1395677,12368,198.974542
2021-02-22,196.61,197.95,192.1,192.79,1244933,17755,193.432427
2021-02-23,192.37,192.93,182.41,186.77,1185312,22950,185.846918
2021-02-24,186.38,189.84,185.16,189.5,965927,14826,188.665277
2021-02-25,190.65,194.03,188.26,190.04,966587,17345,190.523709
2021-02-26,190.05,192.255,184.5316,189.98,752185,12864,190.441333
2021-03-01,193.04,196.73,192.505,194.12,652121,12395,194.931423
2021-03-02,194.75,195.37,191.39,192.16,428067,8940,192.76173
2021-03-03,192.36,192.67,187.99,188.37,564420,12593,189.511886
2021-03-04,187.74,189.255,184.0,186.03,704323,15374,186.337555
2021-03-05,189.27,191.14,183.005,190.44,620306,18185,188.181979
2021-03-08,189.17,192.56,188.23,188.24,545626,12127,190.081702
2021-03-09,190.25,194.91,188.56,192.94,717753,12723,193.079685
2021-03-10,194.09,195.6527,191.25,191.7,440552,11636,192.793992
2021-03-11,194.63,196.65,193.54,195.08,488750,10536,194.965369
2021-03-12,195.0,196.97,191.01,196.18,481878,9435,195.835128
2021-03-15,195.03,199.12,194.92,198.7,505786,10280,197.96576
2021-03-16,199.5,202.52,197.25,201.06,535223,10929,200.735469
2021-03-17,200.53,201.96,197.9243,201.38,436812,10219,200.333474
2021-03-18,199.5,203.15,198.36,200.29,919785,14030,200.674142
2021-03-19,201.37,203.42,200.04,200.25,631504,10298,200.933066
2021-03-22,200.25,204.28,199.76,202.94,644128,9548,202.869759
2021-03-23,203.84,204.61,199.8,201.34,596097,11682,202.056514
